"","GEOID10","District","total_population"
"1",60230112001,26,725
"2",60230111003,8,690
"3",60230013001,26,1185
"4",60450105003,26,1130
"5",60450103002,8,1600
"6",60230109021,26,450
"7",60230107005,26,600
"8",60230002003,26,485
"9",60230001003,26,620
"10",60230007004,26,460
"11",60239400001,26,1560
"12",60150002024,26,755
"13",60971543032,26,705
"14",60450107004,8,565
"15",60450106001,8,525
"16",61050004002,26,255
"17",60230101024,8,210
"18",61050002001,8,1085
"19",60930005003,26,465
"20",60930005001,26,700
"21",60971535023,40,1010
"22",60330010004,26,640
"23",60450116001,8,695
"24",60450113001,26,1140
"25",60450108013,8,1235
"26",60210103003,8,520
"27",60890124002,8,830
"28",60411281002,23,1290
"29",60750352013,23,1000
"30",60750479022,1,1045
"31",60750351005,23,1100
"32",60750353004,34,660
"33",60411302023,23,1455
"34",60759802001,1,280
"35",60816032004,27,445
"36",60750329012,34,1115
"37",60411302022,23,710
"38",60816029002,34,1370
"39",60750328013,34,985
"40",60816014003,34,1575
"41",60816012004,34,1400
"42",60750326012,1,1290
"43",60816012001,23,1715
"44",60411302021,1,615
"45",60816033003,27,1615
"46",60411130004,26,365
"47",60971507014,26,730
"48",60411130002,26,760
"49",60411031003,26,1705
"50",60411022033,26,1205
"51",60411191005,26,650
"52",60411041021,23,1480
"53",60411200004,23,1065
"54",60411191003,26,700
"55",60411110002,23,530
"56",60411082004,23,455
"57",60411082002,23,1915
"58",60411121003,23,700
"59",60411261001,23,940
"60",60411192012,23,355
"61",60411200005,23,870
"62",60411211001,23,1305
"63",60411241001,23,1080
"64",60971536001,40,550
"65",60971535021,40,705
"66",60971538042,40,1010
"67",60971538071,40,685
"68",60971530052,40,510
"69",60971534032,40,875
"70",60971538093,40,655
"71",60971534031,40,960
"72",60971530054,40,400
"73",60971539011,26,1065
"74",60971530065,40,850
"75",60971529051,40,915
"76",60971527025,40,385
"77",60971528013,40,790
"78",60971528025,40,570
"79",60971527022,40,825
"80",60971512011,40,1120
"81",60971512042,40,745
"82",60971514013,40,700
"83",60971513052,40,585
"84",60971512041,40,1175
"85",60971513063,40,785
"86",60971518004,40,1425
"87",60971522021,40,645
"88",60971512014,40,1680
"89",60971525011,40,1075
"90",60971506021,40,845
"91",60971516023,40,1205
"92",60971516022,40,845
"93",60552019002,40,485
"94",60971503033,23,615
"95",60971505004,40,540
"96",60971539031,40,675
"97",60971539012,40,955
"98",60330013004,26,2665
"99",60330009002,8,425
"100",60330008011,26,935
"101",60330008012,26,935
"102",60330008021,8,1080
"103",61030002001,8,1270
