"","GEOID10","District","total_population"
"1",60230112001,66,954
"2",60230111003,66,916
"3",60230013001,48,1377
"4",60450105003,48,1467
"5",60450103002,39,1926
"6",60230109021,66,529
"7",60230107005,66,1398
"8",60230002003,66,515
"9",60230001003,48,638
"10",60230007004,66,527
"11",60239400001,66,2034
"12",60150002024,48,928
"13",60971543032,76,887
"14",60450107004,48,826
"15",60450106001,39,707
"16",61050004002,66,365
"17",60230101024,66,330
"18",61050002001,48,1212
"19",60930005003,66,613
"20",60930005001,66,854
"21",60971535023,15,1156
"22",60330010004,39,856
"23",60450116001,48,1199
"24",60450113001,48,1678
"25",60450108013,48,1793
"26",60210103003,39,603
"27",60890124002,66,1085
"28",60411281002,15,1699
"29",60750352013,8,1368
"30",60750479022,27,1331
"31",60750351005,8,1769
"32",60750353004,26,864
"33",60411302023,15,1774
"34",60759802001,8,305
"35",60816032004,26,556
"36",60750329012,27,1465
"37",60411302022,76,819
"38",60816029002,26,1803
"39",60750328013,27,1398
"40",60816014003,26,2099
"41",60816012004,26,1825
"42",60750326012,8,1793
"43",60816012001,26,2853
"44",60411302021,76,717
"45",60816033003,10,2083
"46",60411130004,76,381
"47",60971507014,73,1073
"48",60411130002,76,864
"49",60411031003,15,2088
"50",60411022033,15,1666
"51",60411191005,15,953
"52",60411041021,15,2050
"53",60411200004,15,1664
"54",60411191003,15,850
"55",60411110002,15,788
"56",60411082004,15,742
"57",60411082002,15,2466
"58",60411121003,15,775
"59",60411261001,15,1316
"60",60411192012,15,459
"61",60411200005,15,1166
"62",60411211001,15,1690
"63",60411241001,15,1448
"64",60971536001,73,890
"65",60971535021,73,921
"66",60971538042,73,1838
"67",60971538071,73,776
"68",60971530052,73,537
"69",60971534032,73,985
"70",60971538093,73,734
"71",60971534031,73,1383
"72",60971530054,73,887
"73",60971539011,48,1152
"74",60971530065,73,1412
"75",60971529051,73,1238
"76",60971527025,73,517
"77",60971528013,73,1235
"78",60971528025,73,1291
"79",60971527022,73,1052
"80",60971512011,73,1593
"81",60971512042,15,893
"82",60971514013,73,958
"83",60971513052,73,783
"84",60971512041,73,1543
"85",60971513063,73,1090
"86",60971518004,73,1926
"87",60971522021,73,782
"88",60971512014,73,1988
"89",60971525011,73,1556
"90",60971506021,73,1143
"91",60971516023,48,1294
"92",60971516022,48,845
"93",60552019002,73,581
"94",60971503033,73,862
"95",60971505004,48,587
"96",60971539031,48,760
"97",60971539012,73,1032
"98",60330013004,48,3659
"99",60330009002,48,426
"100",60330008011,39,1516
"101",60330008012,39,1271
"102",60330008021,39,1643
"103",61030002001,39,1548
"104",60890110012,66,906
"105",60930009004,66,3189
"106",60539900000,8,0
"107",60816138001,10,522
"108",60816138004,21,1608
"109",60871204003,21,1814
"110",60871203022,21,1165
"111",60871207001,10,998
"112",60871010005,10,447
"113",60871207003,10,1568
"114",60871208002,10,2130
"115",60871011004,10,1703
"116",60816137004,10,1800
"117",60816057003,10,1791
"118",60816069001,26,965
"119",60816088004,10,1095
"120",60816074003,10,2089
"121",60816071001,10,709
"122",60816089002,10,1630
"123",60816084003,10,1560
"124",60816090002,10,1285
"125",60816092022,10,2574
"126",60816092012,10,1064
"127",60816080131,10,1963
"128",60816092013,10,1506
"129",60816109001,26,3143
"130",60816133001,10,1645
"131",60816113001,10,1282
"132",60816132004,21,2047
"133",60816125002,10,885
"134",60816104001,10,3164
