"","GEOID10","District","total_population"
"1",60230112001,8,725
"2",60230111003,8,690
"3",60230013001,8,1185
"4",60450105003,22,1130
"5",60450103002,22,1600
"6",60230109021,8,450
"7",60230107005,8,600
"8",60230002003,8,485
"9",60230001003,8,620
"10",60230007004,8,460
"11",60239400001,8,1560
"12",60150002024,8,755
"13",60971543032,22,705
"14",60450107004,8,565
"15",60450106001,8,525
"16",61050004002,8,255
"17",60230101024,8,210
"18",61050002001,8,1085
"19",60930005003,8,465
"20",60930005001,8,700
"21",60971535023,22,1010
"22",60330010004,12,640
"23",60450116001,22,695
"24",60450113001,22,1140
"25",60450108013,8,1235
"26",60210103003,12,520
"27",60890124002,8,830
"28",60411281002,22,1290
"29",60750352013,22,1000
"30",60750479022,36,1045
"31",60750351005,36,1100
"32",60750353004,22,660
"33",60411302023,22,1455
"34",60759802001,22,280
"35",60816032004,6,445
"36",60750329012,22,1115
"37",60411302022,22,710
"38",60816029002,6,1370
"39",60750328013,22,985
"40",60816014003,22,1575
"41",60816012004,6,1400
"42",60750326012,22,1290
"43",60816012001,22,1715
"44",60411302021,22,615
"45",60816033003,6,1615
"46",60411130004,22,365
"47",60971507014,4,730
"48",60411130002,22,760
"49",60411031003,22,1705
"50",60411022033,22,1205
"51",60411191005,22,650
"52",60411041021,22,1480
"53",60411200004,22,1065
"54",60411191003,22,700
"55",60411110002,22,530
"56",60411082004,22,455
"57",60411082002,22,1915
"58",60411121003,22,700
"59",60411261001,4,940
"60",60411192012,22,355
"61",60411200005,22,870
"62",60411211001,22,1305
"63",60411241001,4,1080
"64",60971536001,22,550
"65",60971535021,22,705
"66",60971538042,4,1010
"67",60971538071,4,685
"68",60971530052,4,510
"69",60971534032,4,875
"70",60971538093,4,655
"71",60971534031,22,960
"72",60971530054,22,400
"73",60971539011,8,1065
"74",60971530065,22,850
"75",60971529051,4,915
"76",60971527025,4,385
"77",60971528013,22,790
"78",60971528025,4,570
"79",60971527022,4,825
"80",60971512011,22,1120
"81",60971512042,4,745
"82",60971514013,4,700
"83",60971513052,4,585
"84",60971512041,4,1175
"85",60971513063,4,785
"86",60971518004,4,1425
"87",60971522021,4,645
"88",60971512014,22,1680
"89",60971525011,12,1075
"90",60971506021,4,845
"91",60971516023,12,1205
"92",60971516022,4,845
"93",60552019002,4,485
"94",60971503033,4,615
"95",60971505004,12,540
"96",60971539031,8,675
"97",60971539012,8,955
"98",60330013004,12,2665
"99",60330009002,12,425
"100",60330008011,12,935
"101",60330008012,12,935
"102",60330008021,12,1080
"103",61030002001,8,1270
"104",60890110012,8,705
"105",60930009004,8,2575
"106",60539900000,36,0
"107",60816138001,36,290
"108",60816138004,6,1315
"109",60871204003,36,1525
"110",60871203022,6,845
"111",60871207001,6,535
"112",60871010005,36,375
"113",60871207003,6,1240
"114",60871208002,6,1540
"115",60871011004,36,1325
"116",60816137004,6,1390
"117",60816057003,6,1180
"118",60816069001,6,710
"119",60816088004,6,930
"120",60816074003,6,1280
"121",60816071001,6,540
"122",60816089002,6,1250
"123",60816084003,6,1170
"124",60816090002,6,880
"125",60816092022,6,1785
"126",60816092012,2,805
"127",60816080131,6,1400
"128",60816092013,6,1070
"129",60816109001,2,1420
"130",60816133001,6,1290
"131",60816113001,6,780
"132",60816132004,6,1495
"133",60816125002,2,575
"134",60816104001,2,1290
"135",60816132003,6,875
"136",60855116081,2,10
"137",60816117003,2,675
"138",60855113011,2,1725
"139",60855115003,2,1060
"140",60855113012,2,975
"141",60855112003,2,490
"142",60816120001,2,695
"143",60855111002,2,865
"144",60855117011,2,920
"145",60816119004,17,655
"146",60855117041,2,1550
"147",60855104002,2,435
"148",60855094043,2,775
"149",60855094031,2,850
"150",60855102001,2,1145
"151",60855098014,2,985
"152",60855093042,2,1110
"153",60855117022,2,555
"154",60855097001,2,740
"155",60855099023,2,920
"156",60855100021,2,925
"157",60855046011,17,700
"158",60855084015,2,1035
"159",60855077012,2,1060
"160",60855091062,2,740
"161",60855078053,2,670
"162",60014443011,16,1240
"163",60855078062,2,655
"164",60855077023,2,1825
"165",60750309007,22,445
"166",60750304003,22,1260
"167",60750452001,22,1580
"168",60750303022,22,1155
"169",60411230001,22,555
"170",60750262004,4,1285
"171",60750262003,4,1205
"172",60750204021,22,2225
"173",60750204011,22,965
"174",60750128002,22,660
"175",60750204013,22,1145
"176",60750158021,22,1460
"177",60816019022,6,665
"178",60750255006,22,1680
"179",60750167002,22,540
"180",60750206003,4,745
"181",60750218004,4,725
"182",60750214003,22,1110
"183",60750129022,4,1360
"184",60750168012,4,980
"185",60750260011,22,1650
"186",60750215004,4,770
"187",60750163002,22,695
"188",60816038011,6,1685
"189",60750260031,4,1815
"190",60750260021,4,925
"191",60816022001,4,1135
"192",60750202001,4,810
"193",60750202002,4,2270
"194",60750260022,4,1670
"195",60750202003,4,1890
"196",60750215001,4,760
"197",60750109003,4,1395
"198",60750210004,22,970
"199",60750162001,22,935
"200",60750168021,4,1005
"201",60750253002,22,585
"202",60750201004,4,1280
"203",60750209001,4,1310
"204",60816046001,6,1150
"205",60750122011,22,1730
"206",60750264041,4,930
"207",60750228013,4,1170
"208",60750229011,4,1305
"209",60750229012,4,1165
"210",60750125011,4,1350
"211",60750121002,4,1080
"212",60816046002,6,955
"213",60750228032,4,1200
"214",60750264012,36,1250
"215",60816042002,6,440
"216",60750228021,4,490
"217",60816041011,6,1140
"218",60816042001,6,720
"219",60750614003,4,960
"220",60750178012,4,1925
"221",60816049002,6,925
"222",60816050004,6,605
"223",60750227021,4,820
"224",60750232002,4,925
"225",60816052004,6,555
"226",60816023001,4,2735
"227",60816053001,6,890
"228",60816054002,36,655
"229",60816065004,6,595
"230",60816065003,6,660
"231",60816059003,6,1025
"232",60816067001,6,530
"233",60816062004,6,635
"234",60014205002,17,1040
"235",60014022003,17,325
"236",60014219003,17,770
"237",60014220001,17,1105
"238",60014024002,17,660
"239",60816079003,6,865
"240",60014277001,17,790
"241",60014009002,17,880
"242",60014251041,17,1635
"243",60014287001,17,2095
"244",60014028001,17,1645
"245",60014230002,17,1305
"246",60014014002,17,1290
"247",60014224003,17,1200
"248",60014028002,17,2050
"249",60014214001,17,810
"250",60014010002,17,955
"251",60014278005,17,835
"252",60014005003,17,385
"253",60014235002,17,815
"254",60816080021,6,1255
"255",60014235003,17,870
"256",60014029001,17,1160
"257",60014034004,17,885
"258",60014011004,17,1090
"259",60014239011,17,780
"260",60014005001,17,1895
"261",60014228002,17,1560
"262",60014216004,17,660
"263",60014035012,17,1700
"264",60014236012,17,1025
"265",60014239021,17,555
"266",60014003004,17,1155
"267",60014227003,17,2325
"268",60014041022,17,990
"269",60014227002,17,1140
"270",60014060002,17,275
"271",60014036001,17,895
"272",60014054011,17,1030
"273",60014272002,17,970
"274",60816103031,6,1050
"275",60014059012,17,960
"276",60014283011,17,2000
"277",60014072003,17,645
"278",60014049002,17,870
"279",60014261006,17,715
"280",60014067005,17,455
"281",60014076004,17,820
"282",60014067003,17,1510
"283",60014074001,17,1140
"284",60014090002,17,0
"285",60014070002,17,1040
"286",60014068004,17,840
"287",60014088004,17,1060
"288",60014045024,17,1520
"289",60014075001,17,395
"290",60014068001,17,475
"291",60014045023,17,1295
"292",60014090001,17,1380
"293",60014085005,17,750
"294",60014095002,17,550
"295",60014333004,16,1535
"296",60014335001,16,615
"297",60014102002,17,840
"298",60014098002,16,1115
"299",60014333005,16,1245
"300",60014101002,17,1145
"301",60014336001,16,610
"302",60014081002,17,2695
"303",60014332004,16,1055
"304",60014331042,16,400
"305",60014360002,16,1380
"306",60014360003,16,1030
"307",60014100003,17,15
"308",60014100002,16,1880
"309",60014361001,16,980
"310",60014338003,16,1370
"311",60014372001,16,2425
"312",60014357004,16,565
"313",60014356011,16,1620
"314",60014355003,16,880
"315",60014363004,16,1485
"316",60014373002,16,1070
"317",60014403322,16,1260
"318",60014375002,16,1160
"319",60133511013,12,1155
"320",60133410001,38,1145
"321",60014415012,16,2245
"322",60014382032,16,1560
"323",60014364015,16,690
"324",60014379002,16,550
"325",60014415221,16,725
"326",60014364012,16,1560
"327",60133511012,12,460
"328",60014415214,16,455
"329",60014352002,16,1640
"330",60014381002,16,590
"331",60014351022,16,2945
"332",60014414014,16,2155
"333",60014381006,16,740
"334",60133430032,38,1090
"335",60014364022,16,965
"336",60014403081,16,1220
"337",60014301013,16,2375
"338",60133770005,17,860
"339",60133680014,17,435
"340",60133790002,17,860
"341",60133660022,17,770
"342",60133660011,17,605
"343",60133672002,17,1485
"344",60133710004,17,705
"345",60133700002,17,415
"346",60133620003,12,765
"347",60133640023,17,1085
"348",60133591023,4,1465
"349",60014205001,17,590
"350",60133602002,4,995
"351",60133602001,4,1385
"352",60133601011,4,640
"353",60014213002,17,675
"354",60133910001,17,1430
"355",60133591051,12,3500
"356",60952517021,4,735
"357",60952517012,4,1295
"358",60014215002,17,1025
"359",60952518032,4,615
"360",60133592032,12,1010
"361",60133592041,12,695
"362",60952510001,4,655
"363",60952515002,12,735
"364",60952514002,4,1200
"365",60952513001,4,590
"366",60952508011,12,1435
