"","GEOID10","District","total_population"
"1",60230112001,16,954
"2",60230111003,16,916
"3",60230013001,16,1377
"4",60450105003,16,1467
"5",60450103002,16,1926
"6",60230109021,16,529
"7",60230107005,16,1398
"8",60230002003,16,515
"9",60230001003,16,638
"10",60230007004,16,527
"11",60239400001,16,2034
"12",60150002024,16,928
"13",60971543032,16,887
"14",60450107004,3,826
"15",60450106001,16,707
"16",61050004002,16,365
"17",60230101024,16,330
"18",61050002001,16,1212
"19",60930005003,16,613
"20",60930005001,16,854
"21",60971535023,16,1156
"22",60330010004,3,856
"23",60450116001,16,1199
"24",60450113001,3,1678
"25",60450108013,16,1793
"26",60210103003,16,603
"27",60890124002,16,1085
"28",60411281002,16,1699
"29",60750352013,16,1368
"30",60750479022,35,1331
"31",60750351005,16,1769
"32",60750353004,16,864
"33",60411302023,16,1774
"34",60759802001,15,305
"35",60816032004,35,556
"36",60750329012,16,1465
"37",60411302022,16,819
"38",60816029002,35,1803
"39",60750328013,16,1398
"40",60816014003,35,2099
"41",60816012004,16,1825
"42",60750326012,35,1793
"43",60816012001,16,2853
"44",60411302021,16,717
"45",60816033003,35,2083
"46",60411130004,16,381
"47",60971507014,3,1073
"48",60411130002,16,864
"49",60411031003,3,2088
"50",60411022033,3,1666
"51",60411191005,16,953
"52",60411041021,16,2050
"53",60411200004,16,1664
"54",60411191003,16,850
"55",60411110002,16,788
"56",60411082004,16,742
"57",60411082002,16,2466
"58",60411121003,16,775
"59",60411261001,16,1316
"60",60411192012,16,459
"61",60411200005,16,1166
"62",60411211001,16,1690
"63",60411241001,16,1448
"64",60971536001,3,890
"65",60971535021,3,921
"66",60971538042,16,1838
"67",60971538071,3,776
"68",60971530052,16,537
"69",60971534032,3,985
"70",60971538093,3,734
"71",60971534031,16,1383
"72",60971530054,3,887
"73",60971539011,3,1152
"74",60971530065,16,1412
"75",60971529051,3,1238
"76",60971527025,16,517
"77",60971528013,16,1235
"78",60971528025,3,1291
"79",60971527022,16,1052
"80",60971512011,16,1593
"81",60971512042,16,893
"82",60971514013,3,958
"83",60971513052,16,783
"84",60971512041,3,1543
"85",60971513063,3,1090
"86",60971518004,3,1926
"87",60971522021,3,782
"88",60971512014,3,1988
"89",60971525011,3,1556
"90",60971506021,3,1143
"91",60971516023,36,1294
"92",60971516022,36,845
"93",60552019002,3,581
"94",60971503033,3,862
"95",60971505004,3,587
"96",60971539031,16,760
"97",60971539012,16,1032
"98",60330013004,36,3659
"99",60330009002,16,426
"100",60330008011,36,1516
"101",60330008012,16,1271
"102",60330008021,36,1643
"103",61030002001,36,1548
"104",60890110012,16,906
"105",60930009004,16,3189
"106",60539900000,15,0
"107",60816138001,11,522
"108",60816138004,9,1608
"109",60871204003,11,1814
"110",60871203022,9,1165
"111",60871207001,11,998
"112",60871010005,15,447
"113",60871207003,9,1568
"114",60871208002,11,2130
"115",60871011004,15,1703
"116",60816137004,35,1800
"117",60816057003,35,1791
"118",60816069001,35,965
"119",60816088004,11,1095
"120",60816074003,35,2089
"121",60816071001,35,709
"122",60816089002,35,1630
"123",60816084003,11,1560
"124",60816090002,11,1285
"125",60816092022,11,2574
"126",60816092012,11,1064
"127",60816080131,11,1963
"128",60816092013,11,1506
"129",60816109001,8,3143
"130",60816133001,11,1645
"131",60816113001,8,1282
"132",60816132004,9,2047
"133",60816125002,8,885
"134",60816104001,8,3164
"135",60816132003,9,1143
"136",60855116081,8,31
"137",60816117003,8,1237
"138",60855113011,8,2572
"139",60855115003,8,1904
"140",60855113012,8,1367
"141",60855112003,8,680
"142",60816120001,8,1343
"143",60855111002,8,1563
"144",60855117011,9,1225
"145",60816119004,8,1018
"146",60855117041,9,1966
"147",60855104002,9,605
"148",60855094043,8,2141
"149",60855094031,8,2537
"150",60855102001,8,1643
"151",60855098014,9,1525
"152",60855093042,8,1837
"153",60855117022,9,805
"154",60855097001,8,958
"155",60855099023,8,1407
"156",60855100021,9,1449
"157",60855046011,8,1025
"158",60855084015,8,1594
"159",60855077012,9,1896
"160",60855091062,9,909
"161",60855078053,9,1209
"162",60014443011,7,1851
"163",60855078062,9,1909
"164",60855077023,9,2433
"165",60750309007,16,639
"166",60750304003,35,1611
"167",60750452001,35,2082
"168",60750303022,35,1501
"169",60411230001,16,762
"170",60750262004,16,1708
"171",60750262003,35,1661
"172",60750204021,35,2531
"173",60750204011,35,1128
"174",60750128002,15,998
"175",60750204013,35,1330
"176",60750158021,35,1718
"177",60816019022,35,879
"178",60750255006,35,2755
"179",60750167002,35,710
"180",60750206003,35,876
"181",60750218004,35,964
"182",60750214003,35,1407
"183",60750129022,15,1591
"184",60750168012,35,1115
"185",60750260011,35,2477
"186",60750215004,35,1005
"187",60750163002,35,948
"188",60816038011,35,2335
"189",60750260031,35,2543
"190",60750260021,35,1412
"191",60816022001,35,2159
"192",60750202001,35,1092
"193",60750202002,35,2708
"194",60750260022,35,2115
"195",60750202003,35,2381
"196",60750215001,35,963
"197",60750109003,35,1605
"198",60750210004,35,1202
"199",60750162001,35,1030
"200",60750168021,35,1190
"201",60750253002,35,1006
"202",60750201004,35,2053
"203",60750209001,35,2115
"204",60816046001,35,1631
"205",60750122011,35,2724
"206",60750264041,35,1747
"207",60750228013,35,2243
"208",60750229011,35,1865
"209",60750229012,35,1904
"210",60750125011,35,2807
"211",60750121002,35,1544
"212",60816046002,35,1226
"213",60750228032,35,1704
"214",60750264012,35,1662
"215",60816042002,35,576
"216",60750228021,15,601
"217",60816041011,35,1541
"218",60816042001,35,1051
"219",60750614003,35,1132
"220",60750178012,15,2487
"221",60816049002,35,1271
"222",60816050004,35,966
"223",60750227021,15,1029
"224",60750232002,15,1526
"225",60816052004,35,782
"226",60816023001,15,4167
"227",60816053001,35,1441
"228",60816054002,35,999
"229",60816065004,35,774
"230",60816065003,11,941
"231",60816059003,15,1615
"232",60816067001,35,715
"233",60816062004,15,1210
"234",60014205002,18,1573
"235",60014022003,15,380
"236",60014219003,18,1135
"237",60014220001,15,1435
"238",60014024002,18,1006
"239",60816079003,11,1185
"240",60014277001,15,1020
"241",60014009002,18,1096
"242",60014251041,18,2041
"243",60014287001,15,3336
"244",60014028001,18,1798
"245",60014230002,15,1710
"246",60014014002,18,1708
"247",60014224003,18,1434
"248",60014028002,18,2841
"249",60014214001,18,1065
"250",60014010002,18,1138
"251",60014278005,15,1243
"252",60014005003,18,494
"253",60014235002,18,1054
"254",60816080021,15,2014
"255",60014235003,18,1132
"256",60014029001,18,1427
"257",60014034004,18,1346
"258",60014011004,18,1343
"259",60014239011,18,899
"260",60014005001,18,2546
"261",60014228002,18,1966
"262",60014216004,18,866
"263",60014035012,18,2022
"264",60014236012,18,1216
"265",60014239021,18,657
"266",60014003004,18,1319
"267",60014227003,18,2706
"268",60014041022,18,1060
"269",60014227002,18,1410
"270",60014060002,18,546
"271",60014036001,18,1456
"272",60014054011,18,1420
"273",60014272002,18,1568
"274",60816103031,8,1505
"275",60014059012,18,1627
"276",60014283011,7,2649
"277",60014072003,18,1088
"278",60014049002,18,1068
"279",60014261006,18,993
"280",60014067005,18,600
"281",60014076004,18,1358
"282",60014067003,18,1921
"283",60014074001,18,2098
"284",60014090002,7,0
"285",60014070002,18,1297
"286",60014068004,18,1042
"287",60014088004,18,2145
"288",60014045024,18,1856
"289",60014075001,18,1032
"290",60014068001,18,736
"291",60014045023,18,1773
"292",60014090001,7,2298
"293",60014085005,7,1898
"294",60014095002,7,1286
"295",60014333004,7,2110
"296",60014335001,7,874
"297",60014102002,7,1136
"298",60014098002,7,1795
"299",60014333005,7,1579
"300",60014101002,7,1538
"301",60014336001,7,988
"302",60014081002,18,3287
"303",60014332004,7,1698
"304",60014331042,7,657
"305",60014360002,7,2104
"306",60014360003,7,1487
"307",60014100003,18,13
"308",60014100002,18,2278
"309",60014361001,7,1329
"310",60014338003,7,2117
"311",60014372001,7,3246
"312",60014357004,7,1009
"313",60014356011,7,3381
"314",60014355003,7,1731
"315",60014363004,7,2378
"316",60014373002,7,1788
"317",60014403322,7,1887
"318",60014375002,7,2529
"319",60133511013,18,1164
"320",60133410001,18,1546
"321",60014415012,7,2836
"322",60014382032,7,2537
"323",60014364015,7,1157
"324",60014379002,7,1101
"325",60014415221,7,1354
"326",60014364012,7,1961
"327",60133511012,18,458
"328",60014415214,7,606
"329",60014352002,7,2223
"330",60014381002,7,1019
"331",60014351022,7,3848
"332",60014414014,7,3678
"333",60014381006,7,1304
"334",60133430032,18,1595
"335",60014364022,7,1217
"336",60014403081,7,1569
"337",60014301013,7,3644
"338",60133770005,18,1420
"339",60133680014,15,1106
"340",60133790002,15,1646
"341",60133660022,15,1923
"342",60133660011,18,1215
"343",60133672002,18,2510
"344",60133710004,18,934
"345",60133700002,18,494
"346",60133620003,18,962
"347",60133640023,3,1565
"348",60133591023,15,2035
"349",60014205001,18,964
"350",60133602002,15,1416
"351",60133602001,15,2196
"352",60133601011,15,833
"353",60014213002,18,942
"354",60133910001,18,1805
"355",60133591051,3,5054
"356",60952517021,3,1005
"357",60952517012,3,1766
"358",60014215002,18,1258
"359",60952518032,3,1276
"360",60133592032,15,1495
"361",60133592041,3,973
"362",60952510001,3,932
"363",60952515002,3,1086
"364",60952514002,3,1845
"365",60952513001,3,713
"366",60952508011,3,1915
"367",60952503003,3,563
"368",60952506011,3,2300
"369",60952521033,3,2107
"370",60133560013,15,1852
"371",60952521031,3,720
"372",60952521052,3,1442
"373",60133570002,3,1228
"374",60952522021,3,1677
"375",60133170002,3,1264
"376",60133560024,15,2176
"377",60133190005,3,772
