"","GEOID10","District","total_population"
"1",120330036033,37,1060
"2",120330036133,37,720
"3",120330026032,93,1115
"4",120330027042,93,2550
"5",120330039002,37,855
"6",120330033062,93,1920
"7",120330033081,93,3095
"8",120330032033,37,775
"9",120330023003,26,615
"10",120330029001,93,760
"11",120330028042,93,1040
"12",120330030002,93,1410
"13",120330036101,37,2290
"14",120330035071,37,2450
"15",120330003001,93,1105
"16",120330006001,93,1110
"17",120330008005,93,295
"18",120330011041,93,1510
"19",121130107081,37,1170
"20",121130107052,37,960
"21",121130107053,37,395
"22",120330025002,26,925
"23",121130105032,37,2455
"24",121130108091,26,1065
"25",121130108093,26,1450
"26",120330025001,67,760
"27",121130108081,26,3060
"28",121130108173,89,880
"29",120330040002,26,395
"30",121130102002,26,690
"31",121130105024,26,1475
"32",121130105022,26,1370
"33",121130105021,26,2000
"34",120919901000,67,0
"35",120910208002,89,1585
"36",120910219001,89,2930
"37",120910218011,89,1905
"38",120910226003,89,955
"39",120910224003,89,675
"40",120910215012,89,1585
"41",120910215022,89,1655
"42",120910215011,89,870
"43",120910209002,26,2070
"44",120910201002,79,1915
"45",120910205003,26,500
"46",120910207002,26,2450
"47",120910210021,89,1300
"48",120910210012,89,1520
"49",120910233082,89,1165
"50",121319506031,67,3145
"51",121319506012,67,1955
"52",121319505023,67,910
"53",121319505021,79,1380
"54",121319503014,79,720
"55",121319502004,79,620
"56",121319502001,79,1090
"57",120050027032,31,685
"58",120050027051,67,435
"59",120050025002,31,760
"60",120050023002,67,1590
"61",120050022001,67,875
"62",120050015021,67,1440
"63",120050014044,67,2945
"64",120050014021,67,985
"65",120599604002,79,775
"66",121339701031,79,910
"67",120379900000,31,0
"68",120459603003,31,545
"69",120459602003,31,920
"70",120459900000,31,0
"71",120459603005,31,1080
"72",120459603001,31,965
"73",120050008041,31,1640
"74",120050005002,31,860
"75",120459601004,31,2505
"76",120130103001,38,785
"77",120779502004,38,900
"78",120050003002,31,745
"79",120130102001,31,770
"80",121339701043,79,545
"81",120632102002,79,555
"82",120632104002,79,430
"83",120632105003,79,690
"84",120632106001,79,530
"85",120632107002,79,1100
"86",120632107001,79,680
"87",120632101001,79,750
"88",120779502001,31,2555
"89",120632110004,79,605
"90",120379701002,38,335
"91",121290101003,38,755
"92",121290102012,38,2190
"93",120390207012,31,2255
"94",120390208005,38,530
"95",120390205002,31,1805
"96",120390206002,31,2515
"97",120390206001,91,815
"98",120390201013,31,830
"99",120390201021,91,1575
"100",120730020031,91,2880
"101",120730021043,91,3300
"102",120730019023,91,780
"103",120730020062,91,945
"104",120730022083,91,1325
"105",120730022014,91,995
"106",120730027015,38,430
"107",120730006001,91,415
"108",120730018012,38,2305
"109",120730011022,38,650
"110",120730024162,91,1335
"111",120730003021,91,1105
"112",120730009011,91,915
"113",120730003032,38,1185
"114",120730009015,38,1710
"115",120730025051,38,710
"116",120730024032,38,680
"117",120730024141,38,750
"118",120730025101,38,1165
"119",120652501013,113,2995
"120",121239503004,113,1090
"121",121239502002,113,415
"122",121019900000,34,0
"123",120299702004,113,1325
"124",120419502022,113,900
"125",120419502021,53,1835
"126",120679601002,113,390
"127",121219701002,113,770
"128",121219706002,113,1420
