"","GEOID10","District","total_population"
"1",120330036033,6,1508
"2",120330036133,6,1061
"3",120330026032,87,1380
"4",120330027042,87,3367
"5",120330039002,6,1083
"6",120330033062,87,2376
"7",120330033081,87,4005
"8",120330032033,87,1058
"9",120330023003,87,853
"10",120330029001,6,1331
"11",120330028042,87,1339
"12",120330030002,6,1626
"13",120330036101,98,2769
"14",120330035071,98,2979
"15",120330003001,87,1466
"16",120330006001,98,1680
"17",120330008005,98,332
"18",120330011041,98,2321
"19",121130107081,98,1540
"20",121130107052,98,1262
"21",121130107053,98,570
"22",120330025002,6,1136
"23",121130105032,98,3277
"24",121130108091,98,1437
"25",121130108093,98,1842
"26",120330025001,87,961
"27",121130108081,98,3501
"28",121130108173,87,1049
"29",120330040002,6,506
"30",121130102002,6,783
"31",121130105024,98,1572
"32",121130105022,98,1634
"33",121130105021,98,2876
"34",120919901000,6,0
"35",120910208002,51,2452
"36",120910219001,6,3888
"37",120910218011,51,2643
"38",120910226003,51,1130
"39",120910224003,51,843
"40",120910215012,51,2035
"41",120910215022,51,2149
"42",120910215011,51,1079
"43",120910209002,51,2906
"44",120910201002,95,2758
"45",120910205003,95,836
"46",120910207002,6,3610
"47",120910210021,109,1637
"48",120910210012,51,2036
"49",120910233082,109,1448
"50",121319506031,109,3889
"51",121319506012,109,2240
"52",121319505023,95,1028
"53",121319505021,109,1792
"54",121319503014,6,1274
"55",121319502004,95,774
"56",121319502001,95,1340
"57",120050027032,109,772
"58",120050027051,51,501
"59",120050025002,95,843
"60",120050023002,51,1913
"61",120050022001,51,1849
"62",120050015021,51,1752
"63",120050014044,95,3789
"64",120050014021,95,1399
"65",120599604002,109,892
"66",121339701031,95,1190
"67",120379900000,51,0
"68",120459603003,51,617
"69",120459602003,109,1166
"70",120459900000,51,0
"71",120459603005,109,1135
"72",120459603001,51,1014
"73",120050008041,109,2116
"74",120050005002,51,1176
"75",120459601004,51,2901
"76",120130103001,51,1004
"77",120779502004,109,1135
"78",120050003002,95,998
"79",120130102001,109,913
"80",121339701043,95,806
"81",120632102002,95,686
"82",120632104002,95,519
"83",120632105003,95,753
"84",120632106001,95,606
"85",120632107002,95,1369
"86",120632107001,95,979
"87",120632101001,109,935
"88",120779502001,109,2829
"89",120632110004,95,795
"90",120379701002,96,343
"91",121290101003,114,956
"92",121290102012,114,3298
"93",120390207012,109,2753
"94",120390208005,70,543
"95",120390205002,70,2481
"96",120390206002,70,3506
"97",120390206001,70,1001
"98",120390201013,70,927
"99",120390201021,70,1889
"100",120730020031,96,3039
"101",120730021043,70,3592
"102",120730019023,70,991
"103",120730020062,70,1016
"104",120730022083,96,1710
"105",120730022014,96,1200
"106",120730027015,114,494
"107",120730006001,96,531
"108",120730018012,96,3820
"109",120730011022,114,883
"110",120730024162,70,1674
"111",120730003021,96,1352
"112",120730009011,96,1110
"113",120730003032,114,1751
"114",120730009015,70,2041
"115",120730025051,70,776
"116",120730024032,70,950
"117",120730024141,96,1009
"118",120730025101,114,1508
"119",120652501013,114,3431
"120",121239503004,114,1467
"121",121239502002,114,606
"122",121019900000,50,0
"123",120299702004,114,1875
"124",120419502022,114,1079
"125",120419502021,114,2369
"126",120679601002,114,463
"127",121219701002,114,1095
"128",121219706002,44,2172
"129",121219704002,114,865
"130",121219702002,114,949
"131",121219701001,44,1733
