"","GEOID10","District","total_population"
"1",120330036033,25,1060
"2",120330036133,25,720
"3",120330026032,25,1115
"4",120330027042,25,2550
"5",120330039002,25,855
"6",120330033062,25,1920
"7",120330033081,25,3095
"8",120330032033,25,775
"9",120330023003,25,615
"10",120330029001,25,760
"11",120330028042,25,1040
"12",120330030002,25,1410
"13",120330036101,15,2290
"14",120330035071,25,2450
"15",120330003001,26,1105
"16",120330006001,25,1110
"17",120330008005,25,295
"18",120330011041,25,1510
"19",121130107081,25,1170
"20",121130107052,25,960
"21",121130107053,15,395
"22",120330025002,15,925
"23",121130105032,15,2455
"24",121130108091,15,1065
"25",121130108093,25,1450
"26",120330025001,15,760
"27",121130108081,25,3060
"28",121130108173,15,880
"29",120330040002,25,395
"30",121130102002,25,690
"31",121130105024,15,1475
"32",121130105022,25,1370
"33",121130105021,25,2000
"34",120919901000,26,0
"35",120910208002,15,1585
"36",120910219001,15,2930
"37",120910218011,15,1905
"38",120910226003,15,955
"39",120910224003,15,675
"40",120910215012,26,1585
"41",120910215022,15,1655
"42",120910215011,15,870
"43",120910209002,15,2070
"44",120910201002,25,1915
"45",120910205003,15,500
"46",120910207002,15,2450
"47",120910210021,26,1300
"48",120910210012,26,1520
"49",120910233082,15,1165
"50",121319506031,15,3145
"51",121319506012,15,1955
"52",121319505023,15,910
"53",121319505021,15,1380
"54",121319503014,15,720
"55",121319502004,15,620
"56",121319502001,25,1090
"57",120050027032,26,685
"58",120050027051,26,435
"59",120050025002,15,760
"60",120050023002,26,1590
"61",120050022001,15,875
"62",120050015021,15,1440
"63",120050014044,26,2945
"64",120050014021,26,985
"65",120599604002,15,775
"66",121339701031,15,910
"67",120379900000,26,0
"68",120459603003,26,545
"69",120459602003,26,920
"70",120459900000,26,0
"71",120459603005,26,1080
"72",120459603001,26,965
"73",120050008041,26,1640
"74",120050005002,26,860
"75",120459601004,26,2505
"76",120130103001,26,785
"77",120779502004,26,900
"78",120050003002,15,745
"79",120130102001,15,770
"80",121339701043,15,545
"81",120632102002,15,555
"82",120632104002,26,430
"83",120632105003,15,690
"84",120632106001,15,530
"85",120632107002,15,1100
"86",120632107001,15,680
"87",120632101001,15,750
"88",120779502001,15,2555
"89",120632110004,15,605
"90",120379701002,15,335
"91",121290101003,15,755
"92",121290102012,15,2190
"93",120390207012,15,2255
"94",120390208005,26,530
"95",120390205002,26,1805
"96",120390206002,26,2515
"97",120390206001,26,815
"98",120390201013,26,830
"99",120390201021,26,1575
"100",120730020031,26,2880
"101",120730021043,26,3300
"102",120730019023,26,780
"103",120730020062,9,945
"104",120730022083,26,1325
"105",120730022014,26,995
"106",120730027015,26,430
"107",120730006001,26,415
"108",120730018012,26,2305
"109",120730011022,9,650
"110",120730024162,26,1335
"111",120730003021,26,1105
"112",120730009011,9,915
"113",120730003032,26,1185
"114",120730009015,9,1710
"115",120730025051,26,710
"116",120730024032,26,680
"117",120730024141,9,750
"118",120730025101,26,1165
"119",120652501013,26,2995
"120",121239503004,26,1090
"121",121239502002,9,415
"122",121019900000,23,0
"123",120299702004,26,1325
"124",120419502022,9,900
"125",120419502021,9,1835
"126",120679601002,26,390
"127",121219701002,9,770
"128",121219706002,9,1420
"129",121219704002,9,675
"130",121219702002,9,820
"131",121219701001,9,1225
"132",120579901000,36,0
"133",120810018004,36,1205
"134",120810004032,36,680
"135",120810004071,1,1070
"136",120810012031,1,1605
"137",120810011052,36,915
"138",120810011053,36,810
"139",121150008011,36,800
"140",121150008012,36,355
"141",120810005042,1,1905
"142",120810003101,36,1100
"143",120810006041,36,840
"144",120810014031,1,1065
"145",120810003063,36,1170
"146",121150019032,36,490
"147",120810001062,1,745
"148",120810007032,1,470
"149",120810015021,1,2185
"150",120810015012,1,1330
"151",121150002003,36,835
"152",121150001013,1,960
"153",121150001011,36,1450
"154",121150003003,1,865
"155",121150019082,36,435
"156",121150011013,1,820
"157",121150011014,1,1000
"158",121150018013,36,1300
"159",120810007043,1,1045
"160",121150005011,36,630
"161",121150006011,36,1190
"162",120810008031,1,1315
"163",121150003002,1,1300
"164",120810008052,1,1540
