"","GEOID10","District","total_population"
"1",120330036033,5,1508
"2",120330036133,5,1061
"3",120330026032,5,1380
"4",120330027042,5,3367
"5",120330039002,5,1083
"6",120330033062,5,2376
"7",120330033081,5,4005
"8",120330032033,5,1058
"9",120330023003,5,853
"10",120330029001,5,1331
"11",120330028042,5,1339
"12",120330030002,5,1626
"13",120330036101,5,2769
"14",120330035071,32,2979
"15",120330003001,5,1466
"16",120330006001,32,1680
"17",120330008005,32,332
"18",120330011041,5,2321
"19",121130107081,32,1540
"20",121130107052,32,1262
"21",121130107053,32,570
"22",120330025002,5,1136
"23",121130105032,5,3277
"24",121130108091,5,1437
"25",121130108093,5,1842
"26",120330025001,32,961
"27",121130108081,32,3501
"28",121130108173,32,1049
"29",120330040002,5,506
"30",121130102002,5,783
"31",121130105024,5,1572
"32",121130105022,5,1634
"33",121130105021,5,2876
"34",120919901000,5,0
"35",120910208002,32,2452
"36",120910219001,32,3888
"37",120910218011,32,2643
"38",120910226003,32,1130
"39",120910224003,32,843
"40",120910215012,32,2035
"41",120910215022,32,2149
"42",120910215011,32,1079
"43",120910209002,32,2906
"44",120910201002,32,2758
"45",120910205003,32,836
"46",120910207002,5,3610
"47",120910210021,5,1637
"48",120910210012,5,2036
"49",120910233082,32,1448
"50",121319506031,32,3889
"51",121319506012,32,2240
"52",121319505023,32,1028
"53",121319505021,35,1792
"54",121319503014,32,1274
"55",121319502004,32,774
"56",121319502001,32,1340
"57",120050027032,32,772
"58",120050027051,5,501
"59",120050025002,32,843
"60",120050023002,5,1913
"61",120050022001,5,1849
"62",120050015021,32,1752
"63",120050014044,32,3789
"64",120050014021,32,1399
"65",120599604002,32,892
"66",121339701031,32,1190
"67",120379900000,35,0
"68",120459603003,32,617
"69",120459602003,32,1166
"70",120459900000,35,0
"71",120459603005,32,1135
"72",120459603001,35,1014
"73",120050008041,32,2116
"74",120050005002,32,1176
"75",120459601004,35,2901
"76",120130103001,35,1004
"77",120779502004,35,1135
"78",120050003002,32,998
"79",120130102001,35,913
"80",121339701043,32,806
"81",120632102002,32,686
"82",120632104002,32,519
"83",120632105003,32,753
"84",120632106001,35,606
"85",120632107002,5,1369
"86",120632107001,32,979
"87",120632101001,5,935
"88",120779502001,35,2829
"89",120632110004,32,795
"90",120379701002,35,343
"91",121290101003,35,956
"92",121290102012,35,3298
"93",120390207012,32,2753
"94",120390208005,35,543
"95",120390205002,32,2481
"96",120390206002,32,3506
"97",120390206001,32,1001
"98",120390201013,5,927
"99",120390201021,5,1889
"100",120730020031,20,3039
"101",120730021043,20,3592
"102",120730019023,20,991
"103",120730020062,32,1016
"104",120730022083,32,1710
"105",120730022014,32,1200
"106",120730027015,20,494
"107",120730006001,20,531
"108",120730018012,20,3820
"109",120730011022,20,883
"110",120730024162,20,1674
"111",120730003021,20,1352
"112",120730009011,20,1110
"113",120730003032,20,1751
"114",120730009015,20,2041
"115",120730025051,20,776
"116",120730024032,20,950
"117",120730024141,20,1009
"118",120730025101,20,1508
"119",120652501013,20,3431
"120",121239503004,20,1467
"121",121239502002,35,606
"122",121019900000,12,0
"123",120299702004,35,1875
"124",120419502022,1,1079
"125",120419502021,1,2369
"126",120679601002,20,463
"127",121219701002,20,1095
"128",121219706002,1,2172
"129",121219704002,20,865
"130",121219702002,20,949
"131",121219701001,20,1733
