"","GEOID10","District","total_population"
"1",131499703002,30,1370
"2",130459104001,37,780
"3",132330104001,88,1100
"4",131430103022,88,1485
"5",131150014001,21,1430
"6",131150004001,71,1960
"7",132330105001,165,1135
"8",130550105001,21,715
"9",130550105002,21,2420
"10",132950207005,21,1240
"11",132950209012,21,1400
"12",132950209022,162,1095
"13",130830401012,8,1820
"14",130830403002,8,2300
"15",132950204001,8,550
"16",132950203013,151,1135
"17",132950207002,21,510
"18",130470307004,151,545
"19",130470306002,151,815
"20",130470306004,151,860
"21",130470307005,151,675
"22",130470304021,151,1050
"23",130470304011,145,1025
"24",130990905001,148,655
"25",130990904001,83,990
"26",130379502003,83,500
"27",132437901001,83,825
"28",130530201001,63,1310
"29",132150016001,152,1150
"30",132150003002,29,360
"31",132150103023,152,2085
"32",132150032001,152,305
"33",132150033011,152,990
"34",132150106022,29,420
"35",132150021002,29,935
"36",132150106021,29,1690
"37",132150106081,63,1720
"38",132150101072,20,4210
"39",131451202002,3,1405
"40",131451204022,3,4615
"41",132150101071,3,2270
"42",132859603001,74,595
"43",131999707005,135,920
"44",131499701002,74,1190
"45",130771706031,124,850
"46",130459105012,30,2860
"47",130459106001,37,2110
"48",130459102001,37,2760
"49",130459101044,116,500
"50",130459101032,37,1920
"51",130459101031,116,1830
"52",132231204002,12,4315
"53",132231204003,12,1845
"54",132231203021,12,870
"55",132231206051,12,3375
"56",132231206024,12,1780
"57",130970804032,52,725
"58",132231203022,41,2945
"59",132231206042,52,2620
"60",132231202031,173,2075
"61",130970803031,52,1915
"62",131150018002,88,790
"63",131150017023,71,980
"64",131150009001,71,1655
"65",131150006002,71,1880
"66",132330101003,88,1265
"67",131150017022,88,1515
"68",131150007001,71,1680
"69",132330101002,88,870
"70",130159605001,165,1150
"71",132231201032,41,5345
"72",130159601023,162,2290
"73",131150002022,21,1660
"74",131299706001,162,575
"75",131299703003,162,1965
"76",132130106002,59,705
"77",131299701002,75,1300
"78",131299709002,48,1550
"79",132130103003,59,1760
"80",130470303031,8,2360
"81",130470304023,151,1710
"82",133130014005,75,285
"83",133130014002,75,1475
"84",133130003022,87,1650
"85",133130003023,87,1060
"86",132130105002,59,1025
"87",132130102021,87,1820
"88",132130102022,87,1290
"89",130879708002,148,845
"90",130879701002,148,1130
"91",131319502002,148,1230
"92",130879703001,148,1620
"93",130879704001,42,690
"94",132731204001,83,920
"95",132731203001,169,480
"96",132499602001,6,1795
"97",132639602002,144,1025
"98",131999707003,135,680
"99",132930105004,32,550
"100",132930105005,32,920
"101",132310101003,101,1500
"102",132930105002,32,710
"103",130771704053,135,1290
"104",131131402083,146,1430
"105",130771705012,135,1650
"106",130771705013,135,1875
"107",131210105132,163,1900
"108",131131403063,135,1570
"109",131131401023,132,1715
"110",130630405132,55,925
"111",131131405022,146,625
"112",130630405133,55,1955
"113",130630405151,55,305
"114",131131405012,101,2865
"115",132551606001,135,1035
"116",130630404172,10,435
"117",130630406123,132,2550
"118",130630406112,33,810
"119",130630406163,33,1830
"120",130630406151,118,1290
"121",132551612003,101,740
"122",132551612002,38,300
"123",132551604005,44,795
"124",131510703052,132,1615
"125",130670315095,52,1785
"126",130670315081,173,1600
"127",130670315062,140,1685
"128",130970802022,53,1875
"129",130670315071,43,1545
"130",130970806022,130,1595
"131",130670315032,43,2140
"132",130970801031,140,1430
"133",130670302093,175,2165
"134",130970801033,140,990
"135",130670309053,175,1615
"136",130670314052,158,2050
"137",130670309011,70,840
"138",130670313094,140,1925
"139",130670311062,158,2065
"140",131210105131,92,2905
"141",130670311011,158,1435
"142",131210078024,140,1540
"143",131210077033,47,1035
"144",130670304112,95,475
"145",131210082024,130,0
"146",131210078081,47,1405
"147",130670311123,23,1965
"148",131210082023,130,205
"149",130670312091,102,2860
"150",130670304113,95,385
"151",131210078072,47,610
"152",131210113031,106,3000
"153",131210086021,102,675
"154",131210105073,92,970
"155",131210105072,92,905
"156",131210087003,102,1250
"157",130670312113,102,250
"158",131210105161,163,2135
"159",131210081024,157,1840
"160",131210086012,102,560
"161",131210081022,47,770
"162",131210113035,92,1825
"163",131210113012,92,680
"164",131210083012,157,770
"165",131210106031,92,480
"166",131210083021,157,540
"167",131210112012,92,705
"168",130670303391,70,1325
"169",131210081011,47,1220
"170",131210085003,157,885
"171",131210089031,23,1300
"172",131210061002,47,1185
"173",131210089041,23,1140
"174",131210041001,157,445
"175",131210062002,47,390
"176",130630405203,10,1635
"177",131210075003,47,1140
"178",131210090002,23,970
"179",131210058001,45,1250
"180",131210108004,33,855
"181",131210091013,23,450
"182",130630405212,10,660
"183",131210099003,23,795
"184",131210063001,45,730
"185",131210067003,45,1095
"186",131210095023,26,1170
"187",131210055012,96,1020
"188",131210012012,96,2225
"189",131210091022,2,970
"190",131210096011,2,875
"191",130630404152,33,1010
"192",131210013002,96,1015
"193",131210064001,45,750
"194",131210096033,2,1295
"195",130630403081,33,1585
"196",130630403024,45,935
"197",131210002005,65,870
"198",131210070022,45,795
"199",131210052002,45,710
"200",131210094043,93,220
"201",131210001002,65,795
"202",131210001003,93,1435
"203",131210100021,69,1290
"204",130630403035,66,125
"205",130890204001,114,1125
"206",130630404071,66,910
"207",130890238011,96,790
"208",130890224011,114,1375
"209",130890238012,96,1340
"210",130890214123,69,810
"211",130890212022,123,1505
"212",130890212093,123,2120
"213",130630404083,9,1600
"214",130890214141,93,885
"215",130890214131,93,870
"216",130890208022,114,1185
"217",130890212181,123,1125
"218",130890214122,69,830
"219",130890223015,114,875
"220",130630404072,66,1365
"221",130890236022,139,1065
"222",130890212183,24,1135
"223",130890214091,69,1290
"224",130890208024,139,995
"225",130890228001,139,975
"226",130890216053,69,2400
"227",130890234112,139,1990
"228",130890216022,93,1900
"229",130890229002,139,90
"230",130890228003,139,860
"231",130890217062,61,1320
"232",130890231012,139,1390
"233",130890223021,61,1355
"234",130890235042,72,790
"235",130630404112,9,2325
"236",130670301014,105,1925
"237",130670301061,105,1205
"238",130670302154,176,2625
"239",130670302311,43,650
"240",130670301072,105,2120
"241",130670302261,13,3255
"242",130670306024,70,965
"243",130670306013,176,3810
"244",130670306023,70,1850
"245",130570910031,13,3205
"246",130670306012,176,685
"247",130670303132,176,540
"248",130570910033,94,1675
"249",130670303133,176,1220
"250",130570907014,85,5960
"251",130670305044,95,440
"252",130670305051,95,1120
"253",130570902003,85,1900
"254",130670303292,95,1250
"255",130670303271,176,2245
"256",130670303333,90,875
"257",130670303313,171,805
"258",130670303282,90,2020
"259",130670303422,28,1960
"260",130670303373,156,690
"261",131210114182,28,435
"262",131210114232,171,1085
"263",131210114234,28,870
"264",131210102103,156,1180
"265",131210115032,117,1500
"266",131210114174,117,680
"267",131210101171,156,1855
"268",131210102082,156,360
"269",131210114162,28,1350
"270",130890212132,123,1420
"271",131210114052,171,645
"272",131210114163,28,765
"273",131210114161,28,1905
"274",131210114054,171,1620
"275",130890212143,156,920
"276",131210101061,156,1720
"277",130890212142,24,2190
"278",130890212112,54,1470
"279",131210114272,164,1770
"280",131299709001,48,1010
"281",130570902001,84,2060
"282",130570901002,84,2190
"283",131110502003,87,575
"284",132759608005,122,1365
"285",132759609001,122,890
"286",132759606003,122,585
"287",132759607001,122,1360
"288",131319505002,42,1000
"289",132050903001,50,615
"290",132050902001,50,785
"291",132759605003,42,1665
"292",130719709004,42,1135
"293",130719706003,56,1430
"294",130950103023,50,1505
"295",130950109001,35,865
"296",130950103021,50,640
"297",130950002001,50,440
"298",130950110001,50,850
"299",131770201002,169,1780
"300",130950112003,126,1015
"301",130950116001,50,1060
"302",133219505002,50,1120
"303",133219504002,126,530
"304",132619508001,169,680
"305",132619507004,6,1515
"306",132619502002,6,1020
"307",131930004006,63,650
"308",131930002001,63,820
"309",131930004005,144,695
"310",132619501001,6,835
"311",130939703003,169,1870
"312",131719703003,32,735
"313",131719702002,32,1680
"314",131719702001,73,2120
"315",132070501013,73,560
"316",130210136062,32,1000
"317",131590105001,44,1245
"318",132551611001,101,920
"319",132551611002,101,1960
"320",131510703113,36,3535
"321",131510702053,81,3245
"322",131510703071,36,3315
"323",132470604053,9,870
"324",131510702021,81,2200
"325",130351503001,133,1745
"326",130351502002,133,950
"327",132171009012,81,2040
"328",130351502004,133,810
"329",130351502005,133,1740
"330",130890223022,114,750
"331",130890231011,139,685
"332",130890222041,114,1545
"333",130890213031,69,1415
"334",131350503042,54,800
"335",130890231123,31,390
"336",130890218081,54,1150
"337",130890218121,61,610
"338",130890218093,61,1180
"339",130890218051,61,1715
"340",131350504182,58,935
"341",130890234251,66,2075
"342",130890220042,89,625
"343",131350504331,61,1210
"344",130890218053,137,2145
"345",130890219081,89,850
"346",130890234163,72,780
"347",131350503191,64,1090
"348",131350504321,58,775
"349",130890219061,89,1415
"350",130890234161,139,1380
"351",130890232093,89,1305
"352",130890218062,137,1550
"353",131350504222,64,560
"354",130890233092,5,1230
"355",131350503142,64,2630
"356",130890233122,89,2185
"357",130890219123,137,695
"358",131350504364,25,500
"359",131350505333,25,1210
"360",131350504362,25,1060
"361",131350507121,25,1375
"362",132470602022,9,2350
"363",131350507153,155,1160
"364",131350505352,25,2860
"365",132470602024,27,2130
"366",132470603092,27,1030
"367",131350507221,155,2150
"368",131350505212,57,1200
"369",131350507201,16,1750
"370",132470603052,27,1145
"371",132470603074,27,970
"372",132171005012,178,5420
"373",132971105073,51,3320
"374",131350507262,51,3750
"375",132971105051,18,3120
"376",131350503182,54,350
"377",131350503181,54,1405
"378",131171303041,28,1120
"379",131171303031,159,2125
"380",131171303042,147,1925
"381",131210116252,24,1360
"382",131210116231,164,1575
"383",131210116251,108,1635
"384",131210116241,108,1435
"385",131210116242,108,1290
"386",131171304042,147,1515
"387",131171306013,147,835
"388",131171302011,129,1120
"389",131350502203,108,1145
"390",131350502202,108,1905
"391",131171304103,147,1150
"392",131350502111,64,395
"393",131171304032,159,1295
"394",131171306102,179,1370
"395",131171302021,159,1180
"396",131171304092,159,1740
"397",131171306093,179,875
"398",131210116223,179,2040
"399",131171306112,107,2135
"400",131350505371,64,870
"401",131350505392,25,1105
"402",131171305072,147,1430
"403",131171305062,147,1750
"404",131171305042,147,1755
"405",131350502121,107,2860
"406",131350501082,147,2020
"407",131350505254,22,1120
"408",131350505401,60,1645
"409",131350505252,127,665
"410",131171305031,159,1180
"411",131350502081,22,2445
"412",131390015021,98,1655
"413",131350501052,107,1080
"414",131390015022,134,1625
"415",131171301043,134,860
"416",131390003023,134,880
"417",131390016062,134,1810
"418",131390014023,134,1245
"419",131390016041,98,2110
"420",131350506102,150,2545
"421",131350506101,22,3725
"422",131390011021,79,1295
"423",131390011013,40,250
"424",131390010033,40,140
"425",131390008003,79,1210
"426",131879602011,19,3965
"427",131390003051,125,885
"428",131390002041,40,1475
"429",133119502011,125,1530
"430",133119502031,19,2620
"431",131390002032,125,1820
"432",132910002053,19,725
"433",132910002031,34,1115
"434",131850114032,172,965
"435",130719703004,56,250
"436",130719707021,42,1755
"437",130719705001,122,1060
"438",130759602002,172,1005
"439",130759604002,172,1315
"440",130759604001,115,1680
"441",131850102024,128,3065
"442",132779607004,4,285
"443",132779606003,4,540
"444",132779606001,4,745
"445",131559501001,161,1100
"446",131559502004,86,870
"447",130810102022,169,1180
