"","GEOID10","District","total_population"
"1",131499703002,12,1911
"2",130459104001,163,1057
"3",132330104001,163,1825
"4",131430103022,148,2077
"5",131150014001,163,2251
"6",131150004001,163,2205
"7",132330105001,148,1439
"8",130550105001,163,907
"9",130550105002,115,2729
"10",132950207005,10,1781
"11",132950209012,115,2026
"12",132950209022,115,1308
"13",130830401012,147,2308
"14",130830403002,147,2798
"15",132950204001,147,703
"16",132950203013,147,1427
"17",132950207002,10,628
"18",130470307004,115,641
"19",130470306002,165,1235
"20",130470306004,115,1099
"21",130470307005,115,902
"22",130470304021,165,1384
"23",130470304011,115,1307
"24",130990905001,178,811
"25",130990904001,178,1435
"26",130379502003,178,710
"27",132437901001,98,1058
"28",130530201001,146,1771
"29",132150016001,146,1528
"30",132150003002,104,665
"31",132150103023,104,2884
"32",132150032001,146,323
"33",132150033011,146,1556
"34",132150106022,126,514
"35",132150021002,55,1225
"36",132150106021,126,2387
"37",132150106081,126,2354
"38",132150101072,174,5806
"39",131451202002,70,1673
"40",131451204022,174,5916
"41",132150101071,126,2904
"42",132859603001,91,855
"43",131999707005,91,1063
"44",131499701002,12,1543
"45",130771706031,136,1042
"46",130459105012,54,3097
"47",130459106001,89,2946
"48",130459102001,89,3317
"49",130459101044,89,884
"50",130459101032,89,2703
"51",130459101031,12,2626
"52",132231204002,120,6682
"53",132231204003,120,2246
"54",132231203021,3,1553
"55",132231206051,120,4555
"56",132231206024,120,2514
"57",130970804032,33,1048
"58",132231203022,27,4773
"59",132231206042,120,3761
"60",132231202031,160,2681
"61",130970803031,18,2931
"62",131150018002,79,942
"63",131150017023,148,1291
"64",131150009001,79,2258
"65",131150006002,79,2364
"66",132330101003,148,1585
"67",131150017022,148,1856
"68",131150007001,79,2092
"69",132330101002,86,1118
"70",130159605001,86,1602
"71",132231201032,3,7986
"72",130159601023,86,3075
"73",131150002022,79,2149
"74",131299706001,10,758
"75",131299703003,10,3292
"76",132130106002,133,1526
"77",131299701002,45,1756
"78",131299709002,45,1969
"79",132130103003,38,2393
"80",130470303031,115,3158
"81",130470304023,165,1997
"82",133130014005,133,604
"83",133130014002,53,2020
"84",133130003022,133,2439
"85",133130003023,133,2945
"86",132130105002,53,1803
"87",132130102021,42,2976
"88",132130102022,42,1968
"89",130879708002,178,1364
"90",130879701002,40,1636
"91",131319502002,40,1759
"92",130879703001,178,2241
"93",130879704001,40,989
"94",132731204001,98,1467
"95",132731203001,98,552
"96",132499602001,162,2237
"97",132639602002,174,1153
"98",131999707003,91,878
"99",132930105004,70,582
"100",132930105005,59,1155
"101",132310101003,152,2052
"102",132930105002,59,1053
"103",130771704053,179,1595
"104",131131402083,33,1787
"105",130771705012,136,2239
"106",130771705013,136,2526
"107",131210105132,92,2815
"108",131131403063,136,2094
"109",131131401023,169,2245
"110",130630405132,92,1085
"111",131131405022,152,800
"112",130630405133,92,2614
"113",130630405151,92,485
"114",131131405012,66,3627
"115",132551606001,91,1380
"116",130630404172,57,1268
"117",130630406123,108,2948
"118",130630406112,57,1109
"119",130630406163,60,2344
"120",130630406151,57,2037
"121",132551612003,91,1090
"122",132551612002,152,560
"123",132551604005,66,1094
"124",131510703052,80,2001
"125",130670315095,27,2359
"126",130670315081,25,2194
"127",130670315062,25,2038
"128",130970802022,18,2525
"129",130670315071,25,2552
"130",130970806022,18,2353
"131",130670315032,124,2701
"132",130970801031,62,1843
"133",130670302093,124,3210
"134",130970801033,7,1612
"135",130670309053,124,3634
"136",130670314052,62,3022
"137",130670309011,25,1128
"138",130670313094,48,2416
"139",130670311062,81,2998
"140",131210105131,169,4950
"141",130670311011,81,2884
"142",131210078024,7,1986
"143",131210077033,130,1515
"144",130670304112,173,1033
"145",131210082024,7,0
"146",131210078081,130,2082
"147",130670311123,173,2737
"148",131210082023,130,245
"149",130670312091,170,3913
"150",130670304113,173,592
"151",131210078072,130,720
"152",131210113031,13,3615
"153",131210086021,130,1015
"154",131210105073,92,1568
"155",131210105072,13,1446
"156",131210087003,130,1877
"157",130670312113,170,336
"158",131210105161,23,2643
"159",131210081024,97,2538
"160",131210086012,130,706
"161",131210081022,97,1276
"162",131210113035,37,3130
"163",131210113012,37,782
"164",131210083012,130,997
"165",131210106031,13,714
"166",131210083021,130,683
"167",131210112012,13,953
"168",130670303391,173,1766
"169",131210081011,97,1530
"170",131210085003,130,929
"171",131210089031,48,2175
"172",131210061002,97,1816
"173",131210089041,5,1322
"174",131210041001,97,558
"175",131210062002,97,512
"176",130630405203,23,2425
"177",131210075003,13,1349
"178",131210090002,52,1545
"179",131210058001,19,1698
"180",131210108004,13,1660
"181",131210091013,52,530
"182",130630405212,23,1103
"183",131210099003,170,1111
"184",131210063001,19,925
"185",131210067003,19,1428
"186",131210095023,56,1376
"187",131210055012,19,1576
"188",131210012012,5,2481
"189",131210091022,52,1014
"190",131210096011,56,992
"191",130630404152,108,1336
"192",131210013002,129,1106
"193",131210064001,19,1052
"194",131210096033,52,1760
"195",130630403081,60,2181
"196",130630403024,60,1662
"197",131210002005,129,1182
