"","GEOID10","District","total_population"
"1",131499703002,32,1370
"2",130459104001,32,780
"3",132330104001,38,1100
"4",131430103022,38,1485
"5",131150014001,41,1430
"6",131150004001,41,1960
"7",132330105001,38,1135
"8",130550105001,41,715
"9",130550105002,41,2420
"10",132950207005,38,1240
"11",132950209012,38,1400
"12",132950209022,38,1095
"13",130830401012,38,1820
"14",130830403002,38,2300
"15",132950204001,38,550
"16",132950203013,38,1135
"17",132950207002,46,510
"18",130470307004,38,545
"19",130470306002,38,815
"20",130470306004,46,860
"21",130470307005,38,675
"22",130470304021,46,1050
"23",130470304011,46,1025
"24",130990905001,50,655
"25",130990904001,5,990
"26",130379502003,50,500
"27",132437901001,50,825
"28",130530201001,50,1310
"29",132150016001,32,1150
"30",132150003002,32,360
"31",132150103023,32,2085
"32",132150032001,2,305
"33",132150033011,44,990
"34",132150106022,32,420
"35",132150021002,32,935
"36",132150106021,32,1690
"37",132150106081,32,1720
"38",132150101072,44,4210
"39",131451202002,2,1405
"40",131451204022,2,4615
"41",132150101071,2,2270
"42",132859603001,44,595
"43",131999707005,44,920
"44",131499701002,32,1190
"45",130771706031,44,850
"46",130459105012,41,2860
"47",130459106001,8,2110
"48",130459102001,8,2760
"49",130459101044,8,500
"50",130459101032,8,1920
"51",130459101031,8,1830
"52",132231204002,15,4315
"53",132231204003,8,1845
"54",132231203021,15,870
"55",132231206051,8,3375
"56",132231206024,8,1780
"57",130970804032,15,725
"58",132231203022,15,2945
"59",132231206042,15,2620
"60",132231202031,15,2075
"61",130970803031,8,1915
"62",131150018002,38,790
"63",131150017023,38,980
"64",131150009001,12,1655
"65",131150006002,12,1880
"66",132330101003,12,1265
"67",131150017022,12,1515
"68",131150007001,12,1680
"69",132330101002,7,870
"70",130159605001,12,1150
"71",132231201032,41,5345
"72",130159601023,12,2290
"73",131150002022,38,1660
"74",131299706001,12,575
"75",131299703003,12,1965
"76",132130106002,12,705
"77",131299701002,12,1300
"78",131299709002,12,1550
"79",132130103003,47,1760
"80",130470303031,38,2360
"81",130470304023,38,1710
"82",133130014005,46,285
"83",133130014002,46,1475
"84",133130003022,46,1650
"85",133130003023,46,1060
"86",132130105002,46,1025
"87",132130102021,46,1820
"88",132130102022,46,1290
"89",130879708002,50,845
"90",130879701002,50,1130
"91",131319502002,5,1230
"92",130879703001,5,1620
"93",130879704001,5,690
"94",132731204001,50,920
"95",132731203001,50,480
"96",132499602001,50,1795
"97",132639602002,2,1025
"98",131999707003,33,680
"99",132930105004,2,550
"100",132930105005,2,920
"101",132310101003,33,1500
"102",132930105002,2,710
"103",130771704053,23,1290
"104",131131402083,21,1430
"105",130771705012,21,1650
"106",130771705013,21,1875
"107",131210105132,23,1900
"108",131131403063,21,1570
"109",131131401023,31,1715
"110",130630405132,31,925
"111",131131405022,21,625
"112",130630405133,31,1955
"113",130630405151,31,305
"114",131131405012,21,2865
"115",132551606001,33,1035
"116",130630404172,24,435
"117",130630406123,24,2550
"118",130630406112,24,810
"119",130630406163,24,1830
"120",130630406151,24,1290
"121",132551612003,21,740
"122",132551612002,21,300
"123",132551604005,21,795
"124",131510703052,24,1615
"125",130670315095,15,1785
"126",130670315081,15,1600
"127",130670315062,27,1685
"128",130970802022,41,1875
"129",130670315071,10,1545
"130",130970806022,8,1595
"131",130670315032,27,2140
"132",130970801031,8,1430
"133",130670302093,27,2165
"134",130970801033,10,990
"135",130670309053,27,1615
"136",130670314052,10,2050
"137",130670309011,7,840
"138",130670313094,10,1925
"139",130670311062,10,2065
"140",131210105131,23,2905
"141",130670311011,48,1435
"142",131210078024,11,1540
"143",131210077033,11,1035
"144",130670304112,7,475
"145",131210082024,10,0
"146",131210078081,11,1405
"147",130670311123,10,1965
"148",131210082023,11,205
"149",130670312091,10,2860
"150",130670304113,7,385
"151",131210078072,11,610
"152",131210113031,11,3000
"153",131210086021,10,675
"154",131210105073,23,970
"155",131210105072,23,905
"156",131210087003,11,1250
"157",130670312113,48,250
"158",131210105161,23,2135
"159",131210081024,11,1840
"160",131210086012,11,560
"161",131210081022,11,770
"162",131210113035,11,1825
"163",131210113012,11,680
"164",131210083012,11,770
"165",131210106031,10,480
