"","GEOID10","District","total_population"
"1",131499703002,17,1911
"2",130459104001,17,1057
"3",132330104001,17,1825
"4",131430103022,6,2077
"5",131150014001,17,2251
"6",131150004001,17,2205
"7",132330105001,17,1439
"8",130550105001,21,907
"9",130550105002,21,2729
"10",132950207005,21,1781
"11",132950209012,21,2026
"12",132950209022,21,1308
"13",130830401012,21,2308
"14",130830403002,21,2798
"15",132950204001,21,703
"16",132950203013,21,1427
"17",132950207002,21,628
"18",130470307004,21,641
"19",130470306002,21,1235
"20",130470306004,18,1099
"21",130470307005,18,902
"22",130470304021,18,1384
"23",130470304011,21,1307
"24",130990905001,9,811
"25",130990904001,9,1435
"26",130379502003,9,710
"27",132437901001,9,1058
"28",130530201001,9,1771
"29",132150016001,19,1528
"30",132150003002,19,665
"31",132150103023,19,2884
"32",132150032001,19,323
"33",132150033011,9,1556
"34",132150106022,9,514
"35",132150021002,9,1225
"36",132150106021,9,2387
"37",132150106081,9,2354
"38",132150101072,9,5806
"39",131451202002,19,1673
"40",131451204022,19,5916
"41",132150101071,9,2904
"42",132859603001,33,855
"43",131999707005,33,1063
"44",131499701002,33,1543
"45",130771706031,33,1042
"46",130459105012,17,3097
"47",130459106001,6,2946
"48",130459102001,6,3317
"49",130459101044,6,884
"50",130459101032,6,2703
"51",130459101031,6,2626
"52",132231204002,42,6682
"53",132231204003,42,2246
"54",132231203021,42,1553
"55",132231206051,42,4555
"56",132231206024,42,2514
"57",130970804032,6,1048
"58",132231203022,42,4773
"59",132231206042,42,3761
"60",132231202031,42,2681
"61",130970803031,31,2931
"62",131150018002,17,942
"63",131150017023,17,1291
"64",131150009001,17,2258
"65",131150006002,21,2364
"66",132330101003,17,1585
"67",131150017022,6,1856
"68",131150007001,21,2092
"69",132330101002,6,1118
"70",130159605001,6,1602
"71",132231201032,42,7986
"72",130159601023,6,3075
"73",131150002022,21,2149
"74",131299706001,18,758
"75",131299703003,18,3292
"76",132130106002,18,1526
"77",131299701002,27,1756
"78",131299709002,27,1969
"79",132130103003,18,2393
"80",130470303031,21,3158
"81",130470304023,18,1997
"82",133130014005,18,604
"83",133130014002,18,2020
"84",133130003022,18,2439
"85",133130003023,18,2945
"86",132130105002,18,1803
"87",132130102021,18,2976
"88",132130102022,18,1968
"89",130879708002,40,1364
"90",130879701002,40,1636
"91",131319502002,40,1759
"92",130879703001,40,2241
"93",130879704001,40,989
"94",132731204001,9,1467
"95",132731203001,9,552
"96",132499602001,9,2237
"97",132639602002,19,1153
"98",131999707003,32,878
"99",132930105004,19,582
"100",132930105005,19,1155
"101",132310101003,19,2052
"102",132930105002,19,1053
"103",130771704053,29,1595
"104",131131402083,32,1787
"105",130771705012,33,2239
"106",130771705013,32,2526
"107",131210105132,31,2815
"108",131131403063,32,2094
"109",131131401023,29,2245
"110",130630405132,29,1085
"111",131131405022,32,800
"112",130630405133,35,2614
"113",130630405151,5,485
"114",131131405012,32,3627
"115",132551606001,43,1380
"116",130630404172,35,1268
"117",130630406123,5,2948
"118",130630406112,35,1109
"119",130630406163,35,2344
"120",130630406151,56,2037
"121",132551612003,43,1090
"122",132551612002,43,560
"123",132551604005,43,1094
"124",131510703052,5,2001
"125",130670315095,8,2359
"126",130670315081,8,2194
"127",130670315062,8,2038
"128",130970802022,31,2525
"129",130670315071,8,2552
"130",130970806022,31,2353
"131",130670315032,8,2701
"132",130970801031,31,1843
"133",130670302093,54,3210
"134",130970801033,31,1612
"135",130670309053,8,3634
"136",130670314052,8,3022
"137",130670309011,8,1128
"138",130670313094,31,2416
"139",130670311062,30,2998
