"","GEOID10","District","total_population"
"1",220170250003,50,845
"2",220170250001,50,460
"3",220190036002,38,1095
"4",220190035002,38,310
"5",220190035004,38,935
"6",220850007002,42,585
"7",220850005004,90,495
"8",220850004004,90,780
"9",220850005002,90,945
"10",220850001002,11,1055
"11",220850001003,52,600
"12",220170242011,9,1695
"13",220170241061,4,810
"14",220170241083,4,1310
"15",220170241072,4,1305
"16",220170241021,9,1810
"17",220170241041,4,1320
"18",220170239014,9,1050
"19",220150110021,19,555
"20",220170243012,11,1200
"21",220170243033,9,1185
"22",220170236003,4,510
"23",220170254062,4,1165
"24",220170222002,4,1045
"25",220170221007,4,755
"26",220170223001,3,475
"27",220170219002,85,540
"28",220170205001,3,875
"29",220170210002,85,665
"30",220170237004,9,1420
"31",220170231001,94,590
"32",220150104001,3,390
"33",220150105002,3,675
"34",220170239051,94,2325
"35",220170214002,12,1110
"36",220150108013,12,785
"37",220150108062,94,665
"38",220150111081,50,1295
"39",220150108041,94,1090
"40",220150109002,12,2790
"41",220150111063,83,1165
"42",221190315003,83,830
"43",221190312003,83,530
"44",221190313001,83,925
"45",220190024005,57,380
"46",220190033001,104,1500
"47",220190031013,104,1225
"48",220190019043,63,1985
"49",220190026001,63,1070
"50",220190025002,104,1530
"51",220190019011,63,1190
"52",220190007002,74,1120
"53",220190005001,63,1215
"54",220190001002,63,720
"55",220190008004,63,925
"56",220190022033,57,1495
"57",220190015001,57,720
"58",220190009001,74,1305
"59",220190022042,57,1635
"60",220190016004,74,805
"61",220190020002,57,2365
"62",220190021001,57,1135
"63",220039501001,57,1105
"64",220119605002,54,1295
"65",220119603001,54,735
"66",220119602003,42,1100
"67",220119601003,54,995
"68",221159505004,90,1465
"69",221159507043,90,670
"70",221159507022,90,605
"71",221159501005,42,800
"72",221159501002,42,410
"73",221159501001,75,530
"74",221159508003,42,660
"75",220690009002,18,1355
"76",220819601001,52,840
"77",220690003003,52,1510
"78",220690007002,52,640
"79",220690004001,90,475
"80",220690003004,52,660
"81",220690005004,18,855
"82",220690006004,18,3265
"83",220690002003,52,455
"84",220690004002,52,845
"85",220819601005,19,380
"86",220139703002,83,840
"87",221190317001,83,990
"88",221190320002,19,745
"89",221190321002,83,580
"90",220279502001,19,580
"91",220530003004,42,915
"92",220530005002,38,730
"93",220019611003,15,1075
"94",220790136001,42,1090
"95",220790134002,75,1260
"96",220790138001,62,555
"97",220430203001,18,575
"98",220790138003,62,2515
"99",221279603004,52,410
"100",221279604002,52,400
"101",220499705002,79,795
"102",220499702003,19,390
"103",220499702002,21,575
"104",220499701001,79,640
"105",220619610003,21,1415
"106",221119603003,14,460
"107",220619610002,21,1730
"108",220619604002,21,2220
"109",220619601001,21,1555
"110",221119602003,19,790
"111",221139502005,15,620
"112",221139505002,15,860
"113",221139506002,81,1115
"114",221139507001,2,565
"115",221139505003,15,1365
"116",221139509022,15,1245
"117",220019604002,39,1305
"118",220019610002,39,790
"119",220019610005,39,410
"120",220019608002,81,905
"121",220019610001,39,660
"122",220019607001,81,670
"123",220550020012,81,1725
"124",220550019053,2,1670
"125",220550020024,47,1375
"126",220550020022,5,735
"127",220550014031,7,1720
"128",220979609001,5,670
"129",220399504004,75,1120
"130",220399506002,33,415
"131",220979616001,95,430
"132",220979616002,95,725
"133",220979601003,59,990
"134",220090306001,78,555
"135",220090305006,78,1065
"136",220090304001,78,1350
"137",220090302001,78,1520
"138",220790123012,62,1915
"139",220790110002,62,485
"140",220790110001,44,555
"141",220790103004,44,870
"142",220790128001,78,770
"143",220790131002,71,1345
"144",220790115004,44,900
"145",220430204011,44,515
"146",220599703001,44,720
"147",220790101005,78,540
"148",220599703005,71,425
"149",220599702006,71,485
"150",220599702001,44,825
"151",220730105031,48,1450
"152",221119604002,14,875
"153",220730104005,14,870
"154",220730104001,79,1500
"155",220730105042,48,1095
"156",220730052032,97,390
"157",220730001003,97,420
"158",220730109003,41,810
"159",220730108002,41,700
"160",220730017001,41,925
"161",220730103012,92,1075
"162",220730006001,48,865
"163",220730109001,48,630
"164",220730106033,41,3865
"165",220730103021,97,1025
"166",221139510022,15,630
"167",220450303021,98,715
"168",220450304001,98,545
"169",220450304004,98,1990
"170",220450310001,100,495
"171",220450310002,100,720
"172",220450307004,100,565
"173",220450313002,15,1320
"174",221010410001,22,570
"175",220550017003,2,1305
"176",220550006044,47,705
"177",220550015003,47,1540
"178",220550005004,47,735
"179",220550006025,47,915
"180",220550014042,7,1500
"181",220550010022,6,1305
"182",220550013002,6,265
"183",220550014111,7,1070
"184",220979605002,33,2010
"185",220990204004,72,800
"186",220479527001,40,1560
"187",220979617005,33,820
"188",220979601002,59,455
"189",220090304004,59,415
"190",220250002002,71,640
"191",220290005003,78,2400
"192",220839703001,80,645
"193",220419502003,79,1110
"194",220419503004,80,795
"195",220730101023,92,975
"196",220730101012,92,1130
"197",220679501001,92,545
"198",221099900000,61,0
"199",221010413001,15,890
"200",221010407001,10,1220
"201",221010407003,10,790
"202",221010406001,10,1120
"203",221010405001,99,1305
"204",220990210001,22,210
"205",220479529004,100,755
"206",220479531013,100,1440
"207",221210204021,103,2480
"208",220330040132,103,380
"209",220330053003,8,1050
"210",220330017002,8,995
"211",220330017001,8,1545
"212",221259518003,103,1455
"213",221259518002,13,1815
"214",220330046031,24,595
"215",220330031012,24,440
"216",221259517011,13,1455
"217",220330031015,24,860
"218",220330030003,103,1805
"219",220379514002,13,1015
"220",220330009001,45,760
"221",220330009004,45,410
"222",220330006025,45,850
"223",220330042016,24,1135
"224",220290004005,71,550
"225",221070003002,80,660
"226",220839701003,80,1130
"227",221230003003,92,1295
"228",220659603002,80,845
"229",220350003001,92,360
"230",221230001001,92,655
"231",220350001002,92,605
"232",221090012021,61,690
"233",221090002013,82,650
"234",221090004021,36,1245
"235",221090004023,82,1260
"236",221090009005,10,740
"237",221090009003,10,775
"238",221090007001,10,960
"239",221090008001,10,645
"240",220070504002,99,1085
"241",220070505002,99,1435
"242",220570205003,89,320
"243",221090001011,89,610
"244",220570207031,99,2395
"245",220570207042,36,1665
"246",220930405001,36,505
"247",220570219012,89,3385
"248",220930401002,35,860
"249",220330040113,46,805
"250",220330040111,32,2190
"251",220330050003,8,640
"252",220330040053,8,560
"253",220330038014,87,865
"254",220330038042,87,510
"255",220330038051,32,565
"256",220330040103,46,700
"257",220330039094,87,555
"258",220330039072,32,750
"259",220330039062,32,1160
"260",220330039063,32,2600
"261",220330045042,87,1945
"262",220050309003,40,975
"263",220330045084,37,1855
"264",220050303002,40,4045
"265",220050302032,27,1900
"266",220050302061,58,3450
"267",220050302033,27,2025
"268",220630408051,76,1430
"269",220050304012,58,710
"270",220050302043,27,2745
"271",220050304021,58,635
"272",220050301011,70,2305
"273",220630408022,35,1375
"274",220630408041,70,1725
"275",220630402011,70,1400
"276",220330010005,8,730
"277",220330034004,24,335
"278",220330002003,103,835
"279",220330034002,31,1195
"280",220330032011,24,800
"281",220330043023,31,1505
"282",220330044034,31,560
"283",220330044035,31,725
"284",220330043021,29,1485
"285",220330044031,87,1395
"286",220330044032,87,1070
