"","GEOID10","District","total_population"
"1",220170250003,58,1131
"2",220170250001,58,640
"3",220190036002,75,1495
"4",220190035002,75,390
"5",220190035004,75,1270
"6",220850007002,2,727
"7",220850005004,2,662
"8",220850004004,2,976
"9",220850005002,2,1156
"10",220850001002,29,1273
"11",220850001003,29,746
"12",220170242011,95,2275
"13",220170241061,95,1011
"14",220170241083,96,1685
"15",220170241072,95,1925
"16",220170241021,96,2321
"17",220170241041,96,2114
"18",220170239014,70,1187
"19",220150110021,90,620
"20",220170243012,58,1712
"21",220170243033,96,1671
"22",220170236003,95,660
"23",220170254062,95,1710
"24",220170222002,76,1450
"25",220170221007,76,1027
"26",220170223001,76,497
"27",220170219002,40,645
"28",220170205001,40,1337
"29",220170210002,76,968
"30",220170237004,21,1887
"31",220170231001,76,776
"32",220150104001,71,570
"33",220150105002,71,924
"34",220170239051,21,2900
"35",220170214002,71,1489
"36",220150108013,40,835
"37",220150108062,71,902
"38",220150111081,58,1898
"39",220150108041,91,1459
"40",220150109002,71,3451
"41",220150111063,91,2004
"42",221190315003,90,1191
"43",221190312003,91,721
"44",221190313001,27,1101
"45",220190024005,92,466
"46",220190033001,75,2203
"47",220190031013,103,1584
"48",220190019043,103,2898
"49",220190026001,75,1610
"50",220190025002,75,1955
"51",220190019011,87,1559
"52",220190007002,103,1195
"53",220190005001,103,1533
"54",220190001002,87,945
"55",220190008004,87,1100
"56",220190022033,88,1938
"57",220190015001,75,998
"58",220190009001,88,1682
"59",220190022042,75,2143
"60",220190016004,77,1193
"61",220190020002,88,3398
"62",220190021001,88,1505
"63",220039501001,46,1429
"64",220119605002,92,1692
"65",220119603001,92,954
"66",220119602003,92,1451
"67",220119601003,92,1430
"68",221159505004,2,2066
"69",221159507043,2,1232
"70",221159507022,74,947
"71",221159501005,2,1128
"72",221159501002,74,549
"73",221159501001,74,608
"74",221159508003,92,838
"75",220690009002,29,1664
"76",220819601001,90,1190
"77",220690003003,29,2071
"78",220690007002,70,987
"79",220690004001,70,633
"80",220690003004,29,998
"81",220690005004,90,952
"82",220690006004,70,3679
"83",220690002003,70,661
"84",220690004002,70,1129
"85",220819601005,90,456
"86",220139703002,90,1112
"87",221190317001,27,1249
"88",221190320002,91,1040
"89",221190321002,27,834
"90",220279502001,27,770
"91",220530003004,88,1337
"92",220530005002,46,1145
"93",220019611003,26,1631
"94",220790136001,74,1416
"95",220790134002,5,1808
"96",220790138001,97,661
"97",220430203001,31,682
"98",220790138003,97,3084
"99",221279603004,90,468
"100",221279604002,78,764
"101",220499705002,90,1056
"102",220499702003,78,501
"103",220499702002,78,830
"104",220499701001,78,699
"105",220619610003,45,1606
"106",221119603003,27,719
"107",220619610002,78,2243
"108",220619604002,45,2696
"109",220619601001,27,2048
"110",221119602003,27,930
"111",221139502005,77,946
"112",221139505002,77,1187
"113",221139506002,16,1441
"114",221139507001,16,684
"115",221139505003,77,1880
"116",221139509022,16,1740
"117",220019604002,73,1894
"118",220019610002,26,1508
"119",220019610005,26,436
"120",220019608002,26,1292
"121",220019610001,26,860
"122",220019607001,57,939
"123",220550020012,57,2692
"124",220550019053,26,2123
"125",220550020024,41,1708
"126",220550020022,57,898
"127",220550014031,65,2148
"128",220979609001,73,980
"129",220399504004,13,1734
"130",220399506002,25,460
"131",220979616001,33,779
"132",220979616002,33,995
"133",220979601003,56,1329
"134",220090306001,56,827
"135",220090305006,56,1340
"136",220090304001,18,1490
"137",220090302001,13,1989
"138",220790123012,97,2650
"139",220790110002,97,774
"140",220790110001,97,755
"141",220790103004,31,1050
"142",220790128001,97,901
"143",220790131002,5,1910
"144",220790115004,31,1256
"145",220430204011,31,562
"146",220599703001,31,1166
"147",220790101005,31,684
"148",220599703005,31,661
"149",220599702006,31,834
"150",220599702001,10,902
"151",220730105031,36,2046
"152",221119604002,49,1247
"153",220730104005,78,1297
"154",220730104001,36,1701
"155",220730105042,52,1465
"156",220730052032,52,464
"157",220730001003,93,844
"158",220730109003,52,1097
"159",220730108002,93,1015
"160",220730017001,52,1146
"161",220730103012,93,1341
"162",220730006001,93,1237
"163",220730109001,93,743
"164",220730106033,36,4194
"165",220730103021,49,1547
"166",221139510022,16,891
"167",220450303021,16,977
"168",220450304001,64,761
"169",220450304004,64,2975
"170",220450310001,54,855
"171",220450310002,54,873
"172",220450307004,4,877
"173",220450313002,64,1767
"174",221010410001,64,949
"175",220550017003,65,1802
"176",220550006044,41,769
"177",220550015003,63,1956
"178",220550005004,63,788
"179",220550006025,41,1182
"180",220550014042,54,2296
"181",220550010022,33,1712
"182",220550013002,63,329
"183",220550014111,63,1522
"184",220979605002,25,2700
"185",220990204004,4,963
"186",220479527001,55,1883
"187",220979617005,25,1233
"188",220979601002,56,650
"189",220090304004,18,560
"190",220250002002,13,762
"191",220290005003,13,2566
"192",220839703001,36,861
"193",220419502003,10,1352
"194",220419503004,10,1146
"195",220730101023,49,1637
"196",220730101012,36,1464
"197",220679501001,8,614
"198",221099900000,77,0
"199",221010413001,64,1048
"200",221010407001,19,1411
"201",221010407003,19,1126
"202",221010406001,19,2033
"203",221010405001,19,1894
"204",220990210001,19,236
"205",220479529004,79,838
"206",220479531013,79,1854
"207",221210204021,44,3324
"208",220330040132,55,815
"209",220330053003,44,1214
"210",220330017002,22,1218
"211",220330017001,79,2238
"212",221259518003,38,1913
"213",221259518002,18,2675
"214",220330046031,44,808
"215",220330031012,44,617
"216",221259517011,38,1732
"217",220330031015,44,1256
"218",220330030003,44,1873
"219",220379514002,42,1394
