"","GEOID10","District","total_population"
"1",220170250003,14,845
"2",220170250001,14,460
"3",220190036002,3,1095
"4",220190035002,3,310
"5",220190035004,3,935
"6",220850007002,37,585
"7",220850005004,37,495
"8",220850004004,20,780
"9",220850005002,37,945
"10",220850001002,20,1055
"11",220850001003,20,600
"12",220170242011,23,1695
"13",220170241061,23,810
"14",220170241083,23,1310
"15",220170241072,23,1305
"16",220170241021,23,1810
"17",220170241041,23,1320
"18",220170239014,32,1050
"19",220150110021,32,555
"20",220170243012,23,1200
"21",220170243033,23,1185
"22",220170236003,23,510
"23",220170254062,23,1165
"24",220170222002,32,1045
"25",220170221007,32,755
"26",220170223001,23,475
"27",220170219002,32,540
"28",220170205001,32,875
"29",220170210002,23,665
"30",220170237004,32,1420
"31",220170231001,32,590
"32",220150104001,32,390
"33",220150105002,14,675
"34",220170239051,32,2325
"35",220170214002,14,1110
"36",220150108013,32,785
"37",220150108062,32,665
"38",220150111081,14,1295
"39",220150108041,14,1090
"40",220150109002,32,2790
"41",220150111063,6,1165
"42",221190315003,6,830
"43",221190312003,14,530
"44",221190313001,14,925
"45",220190024005,22,380
"46",220190033001,22,1500
"47",220190031013,22,1225
"48",220190019043,22,1985
"49",220190026001,22,1070
"50",220190025002,22,1530
"51",220190019011,22,1190
"52",220190007002,22,1120
"53",220190005001,22,1215
"54",220190001002,22,720
"55",220190008004,22,925
"56",220190022033,20,1495
"57",220190015001,22,720
"58",220190009001,22,1305
"59",220190022042,37,1635
"60",220190016004,3,805
"61",220190020002,20,2365
"62",220190021001,3,1135
"63",220039501001,20,1105
"64",220119605002,37,1295
"65",220119603001,37,735
"66",220119602003,37,1100
"67",220119601003,37,995
"68",221159505004,37,1465
"69",221159507043,37,670
"70",221159507022,37,605
"71",221159501005,37,800
"72",221159501002,37,410
"73",221159501001,20,530
"74",221159508003,9,660
"75",220690009002,31,1355
"76",220819601001,20,840
"77",220690003003,6,1510
"78",220690007002,20,640
"79",220690004001,20,475
"80",220690003004,6,660
"81",220690005004,20,855
"82",220690006004,20,3265
"83",220690002003,20,455
"84",220690004002,6,845
"85",220819601005,20,380
"86",220139703002,6,840
"87",221190317001,6,990
"88",221190320002,14,745
"89",221190321002,6,580
"90",220279502001,6,580
