"","GEOID10","District","total_population"
"1",220170250003,20,1131
"2",220170250001,20,640
"3",220190036002,37,1495
"4",220190035002,37,390
"5",220190035004,37,1270
"6",220850007002,37,727
"7",220850005004,37,662
"8",220850004004,7,976
"9",220850005002,37,1156
"10",220850001002,7,1273
"11",220850001003,14,746
"12",220170242011,10,2275
"13",220170241061,14,1011
"14",220170241083,14,1685
"15",220170241072,10,1925
"16",220170241021,10,2321
"17",220170241041,10,2114
"18",220170239014,7,1187
"19",220150110021,7,620
"20",220170243012,14,1712
"21",220170243033,14,1671
"22",220170236003,10,660
"23",220170254062,14,1710
"24",220170222002,14,1450
"25",220170221007,10,1027
"26",220170223001,10,497
"27",220170219002,17,645
"28",220170205001,14,1337
"29",220170210002,10,968
"30",220170237004,10,1887
"31",220170231001,10,776
"32",220150104001,14,570
"33",220150105002,14,924
"34",220170239051,17,2900
"35",220170214002,17,1489
"36",220150108013,17,835
"37",220150108062,17,902
"38",220150111081,20,1898
"39",220150108041,17,1459
"40",220150109002,17,3451
"41",220150111063,17,2004
"42",221190315003,20,1191
"43",221190312003,20,721
"44",221190313001,20,1101
"45",220190024005,37,466
"46",220190033001,6,2203
"47",220190031013,19,1584
"48",220190019043,19,2898
"49",220190026001,19,1610
"50",220190025002,19,1955
"51",220190019011,6,1559
"52",220190007002,6,1195
"53",220190005001,6,1533
"54",220190001002,6,945
"55",220190008004,6,1100
"56",220190022033,37,1938
"57",220190015001,19,998
"58",220190009001,6,1682
"59",220190022042,37,2143
"60",220190016004,19,1193
"61",220190020002,37,3398
"62",220190021001,19,1505
"63",220039501001,37,1429
"64",220119605002,37,1692
"65",220119603001,31,954
"66",220119602003,37,1451
"67",220119601003,37,1430
"68",221159505004,31,2066
"69",221159507043,31,1232
"70",221159507022,37,947
"71",221159501005,31,1128
"72",221159501002,31,549
"73",221159501001,37,608
"74",221159508003,31,838
"75",220690009002,7,1664
"76",220819601001,10,1190
"77",220690003003,7,2071
"78",220690007002,7,987
"79",220690004001,7,633
"80",220690003004,7,998
"81",220690005004,7,952
"82",220690006004,7,3679
"83",220690002003,7,661
"84",220690004002,7,1129
"85",220819601005,10,456
"86",220139703002,7,1112
"87",221190317001,20,1249
"88",221190320002,20,1040
"89",221190321002,20,834
"90",220279502001,20,770
"91",220530003004,6,1337
"92",220530005002,29,1145
"93",220019611003,21,1631
"94",220790136001,31,1416
"95",220790134002,31,1808
"96",220790138001,31,661
"97",220430203001,2,682
"98",220790138003,31,3084
"99",221279603004,8,468
"100",221279604002,8,764
"101",220499705002,7,1056
"102",220499702003,7,501
"103",220499702002,7,830
"104",220499701001,2,699
"105",220619610003,7,1606
"106",221119603003,7,719
"107",220619610002,7,2243
"108",220619604002,2,2696
"109",220619601001,7,2048
"110",221119602003,7,930
"111",221139502005,21,946
"112",221139505002,21,1187
"113",221139506002,29,1441
"114",221139507001,21,684
"115",221139505003,21,1880
"116",221139509022,6,1740
"117",220019604002,29,1894
"118",220019610002,6,1508
"119",220019610005,6,436
"120",220019608002,29,1292
"121",220019610001,29,860
"122",220019607001,29,939
"123",220550020012,21,2692
"124",220550019053,21,2123
"125",220550020024,21,1708
"126",220550020022,21,898
"127",220550014031,21,2148
"128",220979609001,39,980
"129",220399504004,39,1734
"130",220399506002,31,460
"131",220979616001,39,779
"132",220979616002,39,995
"133",220979601003,39,1329
"134",220090306001,31,827
"135",220090305006,39,1340
"136",220090304001,8,1490
"137",220090302001,8,1989
