"","GEOID10","District","total_population"
"1",260539506004,68,595
"2",260539505003,68,485
"3",260539504002,68,365
"4",260539502001,68,190
"5",261319701001,68,925
"6",260610010002,7,275
"7",260710003002,68,1010
"8",260710001001,7,840
"9",260610006002,68,1215
"10",260610008003,68,1945
"11",260610004003,68,860
"12",260439507003,7,605
"13",260439505001,7,980
"14",260710005002,68,900
"15",261030023002,7,1150
"16",261099606002,13,1175
"17",261099605001,7,830
"18",261099603002,7,1000
"19",261030022002,7,730
"20",261030017002,68,765
"21",261030013003,7,680
"22",261030015002,68,1445
"23",261399900000,9,0
"24",260419711001,7,1280
"25",260419711002,7,1295
"26",260419703002,7,1130
"27",260419704003,13,400
"28",261030012004,12,960
"29",261030004002,12,560
"30",261030002003,12,515
"31",260210114002,104,860
"32",260199900000,45,0
"33",260210202004,104,535
"34",260210202003,104,870
"35",260210211002,104,975
"36",260210210002,104,1770
"37",260210210001,92,525
"38",260210209004,92,570
"39",260270015001,92,590
"40",260270022004,92,645
"41",260210009002,104,605
"42",260210010002,104,605
"43",260210008001,104,1605
"44",260210007002,104,545
"45",260210004001,105,690
"46",260210021003,105,920
"47",260210022003,105,340
"48",260210102005,105,785
"49",260210102004,105,520
"50",260270022003,92,630
"51",260270019003,92,1305
"52",261590104004,105,620
"53",261590102001,73,1485
"54",261390221053,81,1110
"55",260050326001,81,1265
"56",260050302002,81,760
"57",261390257003,81,735
"58",260050322003,81,1080
"59",261390249001,81,1530
"60",261390220022,85,575
"61",261390222036,81,2465
"62",260050307042,81,1470
"63",260050307041,105,1965
"64",261210008004,9,550
"65",261210025003,9,700
"66",261210024002,77,1790
"67",261210022002,77,1795
"68",261210043001,77,435
"69",261210025001,77,1345
"70",261390213042,9,760
"71",261390206002,9,735
"72",261210004013,63,770
"73",261390206001,9,1055
"74",261210027003,77,330
"75",261210004021,77,0
"76",261390212021,77,2580
"77",261210028003,77,1325
"78",261210031002,63,1820
"79",261210038002,77,670
"80",261210037001,77,1105
"81",261210039002,9,790
"82",261210003001,77,415
"83",261210001004,77,570
"84",261210001002,63,1520
"85",261210032003,63,770
"86",261270110002,45,1060
"87",261270103002,9,755
"88",261059508003,9,565
"89",261059503002,45,650
"90",261059505002,9,535
"91",261059504001,45,730
"92",261059506003,9,1245
"93",261010006001,110,435
"94",261010009001,45,530
"95",261010007003,110,445
"96",261010002002,45,610
"97",260190005002,45,405
"98",260270018004,92,690
"99",260270012001,92,1355
"100",260270010004,96,1225
"101",261490411012,92,735
"102",261490414002,96,1010
"103",261590113003,92,705
"104",261590113005,92,365
"105",261590110022,80,1330
"106",261490409002,92,1025
"107",261590120006,73,695
"108",260050311001,105,935
"109",261590101003,105,1305
"110",260770029041,73,1590
"111",260770029011,73,1070
"112",260050318003,73,1120
"113",260050319004,83,1065
"114",260770029013,73,1175
"115",260050313002,83,1640
"116",261390257004,81,775
"117",261390236001,54,1665
"118",261390218012,54,740
"119",260050303003,81,1780
"120",261390230012,81,2740
"121",260810131002,87,1570
"122",260810131003,87,1905
"123",260050306002,54,1310
"124",260810132004,87,1555
"125",260810145014,87,560
"126",260810145021,87,2500
"127",260810145022,87,1040
"128",260810146023,2,1120
"129",260810147012,2,820
"130",260810129011,2,1525
"131",261390244001,85,2825
"132",261210029003,63,1285
"133",261390202001,42,1545
"134",261390216043,54,755
"135",261390214003,54,1130
"136",260810114031,42,1050
"137",260810018003,54,1330
"138",260810117021,40,1725
"139",260810104011,63,920
"140",260810138022,87,870
"141",260810134001,87,2135
"142",260810133003,40,1255
"143",260810135002,40,1780
"144",260810140003,87,810
"145",260810027003,87,1090
"146",260810026002,40,550
"147",260810015003,40,985
"148",260810040002,40,490
"149",260810104023,42,990
"150",260810021002,87,1380
"151",260810036001,40,635
"152",260810004002,40,855
"153",260810111011,42,2235
"154",261239705003,110,665
"155",261239706003,9,720
"156",261239703002,110,1385
"157",261239706004,9,1030
"158",261239711002,110,1340
"159",261239701003,110,1295
"160",261010006002,110,755
"161",260555504002,45,1575
"162",260555508003,13,1305
"163",260555507001,13,1165
"164",260555508002,45,815
"165",260555505001,45,575
"166",260555507004,13,1995
"167",260899706003,13,1625
"168",260899706001,13,1175
"169",260899702004,13,1520
"170",260899703001,45,865
"171",260899701002,13,890
"172",261490401003,96,625
"173",261490402001,96,780
"174",260770021013,80,2480
"175",260770061032,80,1715
"176",260770033022,80,1090
"177",260770033023,80,1830
"178",261490413001,92,700
"179",261490413004,96,775
"180",260239503001,96,600
"181",260770015021,73,790
"182",260770015011,10,680
"183",260770015071,10,1335
"184",260770016011,10,605
"185",260770015031,73,630
"186",260770005002,73,425
"187",260770017013,10,815
"188",260770003003,73,360
"189",260770011003,10,485
"190",260770017022,10,400
"191",260770010002,80,480
"192",260770035005,80,930
"193",260770028024,73,1630
"194",260770055023,73,970
"195",260770022023,73,945
"196",260770026013,83,930
"197",260250011001,3,1710
"198",260250025003,3,790
"199",260250015003,3,1510
"200",260250016001,3,570
"201",260250016003,3,915
"202",260250005002,3,1460
"203",260810127023,2,700
"204",260050305003,83,1420
"205",260810148072,35,1555
"206",260810148071,83,2265
"207",260150104023,83,1305
"208",260810122023,35,1990
"209",260150113002,35,580
"210",260670313002,35,1480
"211",260810012002,40,360
"212",260810022002,40,1010
"213",260810032004,18,265
"214",260810035003,18,835
"215",260810042001,18,1205
"216",260810035002,18,1195
"217",260810024002,40,750
"218",260810033001,40,1185
"219",260810011012,18,1275
"220",260810034001,18,2080
"221",260810043001,18,545
"222",260810011021,42,1685
"223",260810103022,63,1665
"224",260810126051,2,1195
"225",260810108011,63,1870
"226",260810109034,23,1240
"227",260810109041,42,3085
"228",260810122013,23,990
"229",260810108022,63,1520
"230",260670303001,23,840
"231",261179711004,82,990
"232",261179707002,82,1175
"233",261079608002,82,1075
"234",261079605004,110,815
"235",261079606004,110,825
"236",261079605001,110,1035
"237",261339705005,95,785
"238",261079602001,82,880
"239",261653805003,95,950
"240",261339703002,95,550
"241",261139603002,95,1260
"242",261653808001,95,680
"243",261653808003,95,1170
"244",260555514003,13,860
"245",260555513004,13,520
"246",260555511002,13,970
"247",260555511003,45,840
"248",260099606001,56,660
"249",260099604003,44,805
"250",260959601002,12,485
"251",260339900000,12,0
"252",260250027004,51,1010
"253",260250029002,51,830
"254",260239501001,96,945
"255",260239508002,51,840
"256",260590504002,51,570
"257",260250009002,3,815
"258",260250006001,3,1395
"259",260250007002,3,370
"260",260250023003,3,865
"261",260250023001,3,1070
"262",260250021001,3,935
"263",260250020001,3,795
"264",260250019003,51,2560
"265",260450208002,35,1175
"266",260250040001,51,610
"267",260250040004,51,485
"268",260250033003,51,620
"269",260250034002,51,740
"270",260670312003,76,1085
"271",260670312004,23,1025
"272",260670314001,76,1665
"273",260450209023,67,295
"274",260450204041,76,1715
"275",260450204031,76,780
"276",260450205003,91,1370
"277",260450204023,91,895
"278",260450210023,67,625
"279",260670317001,76,995
"280",260670321003,76,660
"281",260670316002,23,1575
"282",260670317003,76,970
"283",260670317004,76,980
"284",261179710004,32,1125
"285",261179709003,82,830
"286",260670301003,100,1045
"287",260730002001,24,955
"288",260730003001,24,785
"289",261179702001,24,855
"290",260730002003,19,1635
"291",260350003002,24,1280
"292",260350007003,29,905
"293",260730005001,24,935
"294",260739401003,19,780
"295",260799503001,56,995
"296",260399602003,56,850
"297",260290010001,44,685
"298",261379502002,44,1805
"299",260479703001,44,1160
"300",260479704001,44,760
"301",260479705003,44,795
"302",260339706003,12,1720
"303",260590511002,51,775
"304",260750064021,25,955
"305",260750054002,25,1180
"306",260750054004,25,805
"307",260590502002,51,1075
"308",260750053022,25,1575
"309",260750053021,25,1560
"310",260750050003,25,515
"311",260750052002,36,1185
"312",260750051002,36,1050
"313",260590501002,70,1580
"314",260750062002,36,1235
"315",260750062003,36,1075
"316",260650064022,67,1120
"317",260750057003,25,1070
"318",260750010002,25,510
"319",260750050001,25,595
"320",260750004001,36,295
"321",260750004002,36,1135
"322",260650062002,67,845
"323",260450214013,11,680
"324",260450201041,91,1325
"325",260650036011,11,710
"326",260650017032,11,1235
"327",260650034002,91,615
"328",260650052012,11,840
"329",260650052013,11,620
"330",260370102041,91,1295
"331",260650007001,91,600
"332",260650027001,11,845
"333",260650023002,11,715
"334",260650066003,76,1245
"335",260650054011,11,1505
"336",260650031034,91,890
"337",260650053041,67,1290
"338",260370112002,5,710
"339",260650053024,67,1320
"340",260650055023,67,2150
"341",260650044911,11,1135
"342",260650041002,76,1030
