"","GEOID10","GEOID","District","total_population"
"1",260539506004,260539506004,46,776
"2",260539505003,260539505003,46,516
"3",260539504002,260539504002,46,454
"4",260539502001,260539502001,38,234
"5",261319701001,261319701001,38,1137
"6",260610010002,260610010002,38,329
"7",260710003002,260710003002,46,1365
"8",260710001001,260710001001,46,1018
"9",260610006002,260610006002,46,1496
"10",260610008003,260610008003,46,2259
"11",260610004003,260610004003,46,1093
"12",260439507003,260439507003,46,679
"13",260439505001,260439505001,26,1250
"14",260710005002,260710005002,46,1191
"15",261030023002,261030023002,46,1377
"16",261099606002,261099606002,26,1428
"17",261099605001,261099605001,26,930
"18",261099603002,261099603002,26,1289
"19",261030022002,261030022002,38,904
"20",261030017002,261030017002,38,1134
"21",261030013003,261030013003,46,846
"22",261030015002,261030015002,38,2019
"23",261399900000,261399900000,60,0
"24",260419711001,260419711001,26,1542
"25",260419711002,260419711002,26,1631
"26",260419703002,260419703002,26,1411
"27",260419704003,260419704003,26,484
"28",261030012004,261030012004,26,1103
"29",261030004002,261030004002,38,658
"30",261030002003,261030002003,38,608
"31",260210114002,260210114002,16,1097
"32",260199900000,260199900000,52,0
"33",260210202004,260210202004,16,759
"34",260210202003,260210202003,16,1197
"35",260210211002,260210211002,97,1233
"36",260210210002,260210210002,97,2364
"37",260210210001,260210210001,97,826
"38",260210209004,260210209004,97,680
"39",260270015001,260270015001,4,702
"40",260270022004,260270022004,97,1044
"41",260210009002,260210009002,4,712
"42",260210010002,260210010002,16,762
"43",260210008001,260210008001,16,1746
"44",260210007002,260210007002,16,662
"45",260210004001,260210004001,16,1140
"46",260210021003,260210021003,16,1225
"47",260210022003,260210022003,4,776
"48",260210102005,260210102005,4,931
"49",260210102004,260210102004,4,701
"50",260270022003,260270022003,97,770
"51",260270019003,260270019003,101,2048
"52",261590104004,261590104004,4,827
"53",261590102001,261590102001,4,1982
"54",261390221053,261390221053,60,1907
"55",260050326001,260050326001,60,1452
"56",260050302002,260050302002,60,1042
"57",261390257003,261390257003,60,974
"58",260050322003,260050322003,74,1342
"59",261390249001,261390249001,60,2526
"60",261390220022,261390220022,60,856
"61",261390222036,261390222036,60,3452
"62",260050307042,260050307042,74,2224
"63",260050307041,260050307041,44,2797
"64",261210008004,261210008004,24,721
"65",261210025003,261210025003,66,787
"66",261210024002,261210024002,66,2201
"67",261210022002,261210022002,66,2369
"68",261210043001,261210043001,66,633
"69",261210025001,261210025001,66,1799
"70",261390213042,261390213042,66,899
"71",261390206002,261390206002,60,824
"72",261210004013,261210004013,24,1196
"73",261390206001,261390206001,24,1311
"74",261210027003,261210027003,66,442
"75",261210004021,261210004021,24,0
"76",261390212021,261390212021,60,3489
"77",261210028003,261210028003,66,1879
"78",261210031002,261210031002,24,2635
"79",261210038002,261210038002,49,933
"80",261210037001,261210037001,49,1565
"81",261210039002,261210039002,49,1061
"82",261210003001,261210003001,24,631
"83",261210001004,261210001004,24,851
"84",261210001002,261210001002,24,1877
"85",261210032003,261210032003,66,995
"86",261270110002,261270110002,52,1244
"87",261270103002,261270103002,49,1132
"88",261059508003,261059508003,49,764
"89",261059503002,261059503002,52,779
"90",261059505002,261059505002,52,661
"91",261059504001,261059504001,52,1069
"92",261059506003,261059506003,52,1656
"93",261010006001,261010006001,89,514
"94",261010009001,261010009001,52,618
"95",261010007003,261010007003,52,647
"96",261010002002,261010002002,52,794
"97",260190005002,260190005002,52,537
"98",260270018004,260270018004,97,868
"99",260270012001,260270012001,97,1583
"100",260270010004,260270010004,97,1528
"101",261490411012,261490411012,83,930
"102",261490414002,261490414002,32,1384
"103",261590113003,261590113003,4,997
"104",261590113005,261590113005,101,470
"105",261590110022,261590110022,101,1846
"106",261490409002,261490409002,97,1296
"107",261590120006,261590120006,4,932
"108",260050311001,260050311001,59,1245
"109",261590101003,261590101003,4,1649
"110",260770029041,260770029041,59,1760
"111",260770029011,260770029011,105,1365
