"","GEOID10","District","total_population"
"1",260539506004,30,595
"2",260539505003,30,485
"3",260539504002,30,365
"4",260539502001,30,190
"5",261319701001,9,925
"6",260610010002,9,275
"7",260710003002,30,1010
"8",260710001001,9,840
"9",260610006002,9,1215
"10",260610008003,30,1945
"11",260610004003,9,860
"12",260439507003,30,605
"13",260439505001,30,980
"14",260710005002,30,900
"15",261030023002,9,1150
"16",261099606002,30,1175
"17",261099605001,30,830
"18",261099603002,30,1000
"19",261030022002,9,730
"20",261030017002,9,765
"21",261030013003,9,680
"22",261030015002,30,1445
"23",261399900000,16,0
"24",260419711001,30,1280
"25",260419711002,9,1295
"26",260419703002,9,1130
"27",260419704003,30,400
"28",261030012004,30,960
"29",261030004002,9,560
"30",261030002003,30,515
"31",260210114002,16,860
"32",260199900000,29,0
"33",260210202004,16,535
"34",260210202003,32,870
"35",260210211002,32,975
"36",260210210002,32,1770
"37",260210210001,32,525
"38",260210209004,32,570
"39",260270015001,32,590
"40",260270022004,32,645
"41",260210009002,32,605
"42",260210010002,16,605
"43",260210008001,16,1605
"44",260210007002,16,545
"45",260210004001,16,690
"46",260210021003,16,920
"47",260210022003,32,340
"48",260210102005,16,785
"49",260210102004,16,520
"50",260270022003,32,630
"51",260270019003,32,1305
"52",261590104004,16,620
"53",261590102001,16,1485
"54",261390221053,16,1110
"55",260050326001,16,1265
"56",260050302002,16,760
"57",261390257003,16,735
"58",260050322003,16,1080
"59",261390249001,16,1530
"60",261390220022,16,575
"61",261390222036,15,2465
"62",260050307042,16,1470
"63",260050307041,16,1965
"64",261210008004,17,550
"65",261210025003,22,700
"66",261210024002,22,1790
"67",261210022002,22,1795
"68",261210043001,22,435
"69",261210025001,22,1345
"70",261390213042,16,760
"71",261390206002,16,735
"72",261210004013,17,770
"73",261390206001,16,1055
"74",261210027003,22,330
"75",261210004021,22,0
"76",261390212021,16,2580
"77",261210028003,22,1325
"78",261210031002,17,1820
"79",261210038002,17,670
"80",261210037001,17,1105
"81",261210039002,29,790
"82",261210003001,17,415
"83",261210001004,17,570
"84",261210001002,29,1520
"85",261210032003,17,770
"86",261270110002,29,1060
"87",261270103002,29,755
"88",261059508003,17,565
"89",261059503002,29,650
"90",261059505002,17,535
"91",261059504001,17,730
"92",261059506003,17,1245
"93",261010006001,17,435
"94",261010009001,29,530
"95",261010007003,29,445
"96",261010002002,17,610
"97",260190005002,29,405
"98",260270018004,32,690
"99",260270012001,32,1355
"100",260270010004,32,1225
"101",261490411012,32,735
"102",261490414002,32,1010
"103",261590113003,16,705
"104",261590113005,32,365
"105",261590110022,15,1330
"106",261490409002,32,1025
"107",261590120006,32,695
"108",260050311001,15,935
"109",261590101003,15,1305
"110",260770029041,32,1590
"111",260770029011,32,1070
"112",260050318003,15,1120
"113",260050319004,15,1065
"114",260770029013,32,1175
"115",260050313002,3,1640
"116",261390257004,16,775
"117",261390236001,15,1665
"118",261390218012,15,740
"119",260050303003,15,1780
"120",261390230012,15,2740
"121",260810131002,34,1570
"122",260810131003,34,1905
"123",260050306002,15,1310
"124",260810132004,34,1555
"125",260810145014,34,560
"126",260810145021,34,2500
"127",260810145022,34,1040
"128",260810146023,15,1120
"129",260810147012,15,820
"130",260810129011,34,1525
"131",261390244001,15,2825
"132",261210029003,22,1285
"133",261390202001,16,1545
"134",261390216043,22,755
"135",261390214003,22,1130
"136",260810114031,38,1050
"137",260810018003,22,1330
"138",260810117021,22,1725
"139",260810104011,22,920
"140",260810138022,34,870
"141",260810134001,22,2135
"142",260810133003,22,1255
"143",260810135002,34,1780
"144",260810140003,34,810
"145",260810027003,22,1090
"146",260810026002,34,550
"147",260810015003,38,985
"148",260810040002,34,490
"149",260810104023,22,990
"150",260810021002,38,1380
"151",260810036001,34,635
"152",260810004002,38,855
"153",260810111011,38,2235
"154",261239705003,17,665
"155",261239706003,17,720
"156",261239703002,17,1385
"157",261239706004,17,1030
"158",261239711002,17,1340
"159",261239701003,17,1295
"160",261010006002,17,755
"161",260555504002,17,1575
"162",260555508003,29,1305
"163",260555507001,29,1165
"164",260555508002,29,815
"165",260555505001,17,575
"166",260555507004,29,1995
"167",260899706003,29,1625
"168",260899706001,29,1175
"169",260899702004,29,1520
"170",260899703001,29,865
"171",260899701002,29,890
"172",261490401003,37,625
"173",261490402001,32,780
"174",260770021013,37,2480
"175",260770061032,37,1715
"176",260770033022,37,1090
"177",260770033023,37,1830
"178",261490413001,32,700
"179",261490413004,32,775
"180",260239503001,32,600
"181",260770015021,15,790
"182",260770015011,15,680
"183",260770015071,15,1335
"184",260770016011,15,605
"185",260770015031,15,630
"186",260770005002,15,425
"187",260770017013,37,815
"188",260770003003,15,360
"189",260770011003,15,485
"190",260770017022,15,400
"191",260770010002,37,480
"192",260770035005,37,930
"193",260770028024,3,1630
"194",260770055023,3,970
"195",260770022023,3,945
"196",260770026013,3,930
"197",260250011001,37,1710
"198",260250025003,37,790
"199",260250015003,37,1510
"200",260250016001,37,570
"201",260250016003,37,915
"202",260250005002,37,1460
"203",260810127023,34,700
"204",260050305003,3,1420
"205",260810148072,34,1555
"206",260810148071,34,2265
"207",260150104023,3,1305
"208",260810122023,34,1990
"209",260150113002,3,580
"210",260670313002,3,1480
"211",260810012002,38,360
"212",260810022002,38,1010
"213",260810032004,34,265
"214",260810035003,34,835
"215",260810042001,34,1205
"216",260810035002,34,1195
"217",260810024002,34,750
"218",260810033001,34,1185
"219",260810011012,34,1275
"220",260810034001,3,2080
"221",260810043001,34,545
"222",260810011021,34,1685
"223",260810103022,38,1665
"224",260810126051,3,1195
"225",260810108011,38,1870
"226",260810109034,38,1240
"227",260810109041,38,3085
"228",260810122013,34,990
"229",260810108022,38,1520
"230",260670303001,38,840
"231",261179711004,33,990
"232",261179707002,38,1175
"233",261079608002,38,1075
"234",261079605004,38,815
"235",261079606004,38,825
"236",261079605001,38,1035
"237",261339705005,38,785
"238",261079602001,38,880
"239",261653805003,17,950
"240",261339703002,17,550
"241",261139603002,17,1260
"242",261653808001,17,680
"243",261653808003,17,1170
"244",260555514003,29,860
"245",260555513004,29,520
"246",260555511002,29,970
"247",260555511003,29,840
