"","GEOID10","GEOID","District","total_population"
"1",260539506004,260539506004,20,776
"2",260539505003,260539505003,20,516
"3",260539504002,260539504002,20,454
"4",260539502001,260539502001,20,234
"5",261319701001,261319701001,20,1137
"6",260610010002,260610010002,20,329
"7",260710003002,260710003002,20,1365
"8",260710001001,260710001001,20,1018
"9",260610006002,260610006002,20,1496
"10",260610008003,260610008003,20,2259
"11",260610004003,260610004003,20,1093
"12",260439507003,260439507003,20,679
"13",260439505001,260439505001,20,1250
"14",260710005002,260710005002,20,1191
"15",261030023002,261030023002,20,1377
"16",261099606002,261099606002,20,1428
"17",261099605001,261099605001,20,930
"18",261099603002,261099603002,20,1289
"19",261030022002,261030022002,20,904
"20",261030017002,261030017002,20,1134
"21",261030013003,261030013003,20,846
"22",261030015002,261030015002,20,2019
"23",261399900000,261399900000,28,0
"24",260419711001,260419711001,20,1542
"25",260419711002,260419711002,20,1631
"26",260419703002,260419703002,20,1411
"27",260419704003,260419704003,20,484
"28",261030012004,261030012004,20,1103
"29",261030004002,261030004002,20,658
"30",261030002003,261030002003,20,608
"31",260210114002,260210114002,17,1097
"32",260199900000,260199900000,29,0
"33",260210202004,260210202004,17,759
"34",260210202003,260210202003,17,1197
"35",260210211002,260210211002,17,1233
"36",260210210002,260210210002,17,2364
"37",260210210001,260210210001,17,826
"38",260210209004,260210209004,17,680
"39",260270015001,260270015001,17,702
"40",260270022004,260270022004,17,1044
"41",260210009002,260210009002,17,712
"42",260210010002,260210010002,17,762
"43",260210008001,260210008001,17,1746
"44",260210007002,260210007002,17,662
"45",260210004001,260210004001,17,1140
"46",260210021003,260210021003,17,1225
"47",260210022003,260210022003,17,776
"48",260210102005,260210102005,17,931
"49",260210102004,260210102004,17,701
"50",260270022003,260270022003,17,770
"51",260270019003,260270019003,17,2048
"52",261590104004,261590104004,17,827
"53",261590102001,261590102001,17,1982
"54",261390221053,261390221053,28,1907
"55",260050326001,260050326001,18,1452
"56",260050302002,260050302002,18,1042
"57",261390257003,261390257003,28,974
"58",260050322003,260050322003,18,1342
"59",261390249001,261390249001,28,2526
"60",261390220022,261390220022,28,856
"61",261390222036,261390222036,28,3452
"62",260050307042,260050307042,18,2224
"63",260050307041,260050307041,17,2797
"64",261210008004,261210008004,7,721
"65",261210025003,261210025003,7,787
"66",261210024002,261210024002,7,2201
"67",261210022002,261210022002,7,2369
"68",261210043001,261210043001,15,633
"69",261210025001,261210025001,15,1799
"70",261390213042,261390213042,28,899
"71",261390206002,261390206002,7,824
"72",261210004013,261210004013,7,1196
"73",261390206001,261390206001,7,1311
"74",261210027003,261210027003,7,442
"75",261210004021,261210004021,7,0
"76",261390212021,261390212021,28,3489
"77",261210028003,261210028003,7,1879
"78",261210031002,261210031002,7,2635
"79",261210038002,261210038002,7,933
"80",261210037001,261210037001,7,1565
"81",261210039002,261210039002,15,1061
"82",261210003001,261210003001,7,631
"83",261210001004,261210001004,7,851
"84",261210001002,261210001002,7,1877
"85",261210032003,261210032003,7,995
"86",261270110002,261270110002,15,1244
"87",261270103002,261270103002,15,1132
"88",261059508003,261059508003,15,764
"89",261059503002,261059503002,15,779
"90",261059505002,261059505002,15,661
"91",261059504001,261059504001,15,1069
"92",261059506003,261059506003,15,1656
"93",261010006001,261010006001,15,514
"94",261010009001,261010009001,15,618
"95",261010007003,261010007003,15,647
"96",261010002002,261010002002,29,794
"97",260190005002,260190005002,29,537
"98",260270018004,260270018004,17,868
"99",260270012001,260270012001,18,1583
"100",260270010004,260270010004,18,1528
"101",261490411012,261490411012,18,930
"102",261490414002,261490414002,18,1384
"103",261590113003,261590113003,17,997
"104",261590113005,261590113005,17,470
"105",261590110022,261590110022,18,1846
"106",261490409002,261490409002,17,1296
"107",261590120006,261590120006,17,932
"108",260050311001,260050311001,17,1245
"109",261590101003,261590101003,18,1649
"110",260770029041,260770029041,18,1760
"111",260770029011,260770029011,28,1365
"112",260050318003,260050318003,18,1386
"113",260050319004,260050319004,27,1401
"114",260770029013,260770029013,28,1438
"115",260050313002,260050313002,27,2220
"116",261390257004,261390257004,18,966
"117",261390236001,261390236001,19,2382
"118",261390218012,261390218012,28,950
"119",260050303003,260050303003,18,2349
"120",261390230012,261390230012,19,4457
"121",260810131002,260810131002,37,2537
"122",260810131003,260810131003,37,2338
"123",260050306002,260050306002,28,1900
"124",260810132004,260810132004,19,2035
"125",260810145014,260810145014,19,844
"126",260810145021,260810145021,19,3133
"127",260810145022,260810145022,19,1331
"128",260810146023,260810146023,28,1415
"129",260810147012,260810147012,19,1160
"130",260810129011,260810129011,19,2590
"131",261390244001,261390244001,28,4731
"132",261210029003,261210029003,7,1781
"133",261390202001,261390202001,7,2342
"134",261390216043,261390216043,19,1095
"135",261390214003,261390214003,37,1612
"136",260810114031,260810114031,7,1434
"137",260810018003,260810018003,37,1499
