"","GEOID10","District","total_population"
"1",270690902001,42,465
"2",270270203002,25,670
"3",270270202021,25,790
"4",270270204002,25,1110
"5",270270206004,25,1125
"6",270270201004,93,475
"7",271190201003,100,370
"8",271335703002,13,965
"9",271335701002,13,635
"10",271174603003,13,545
"11",270812010011,83,470
"12",271739702003,36,405
"13",270119503003,36,460
"14",271554601001,36,445
"15",271119617001,101,675
"16",271679502004,101,515
"17",270270302022,93,865
"18",271079603002,93,635
"19",270833606004,13,545
"20",270833603001,83,790
"21",270833603003,83,555
"22",270833603002,83,1315
"23",270239506001,19,795
"24",271519603001,87,850
"25",270239505001,36,730
"26",271519604003,87,495
"27",271494803002,36,580
"28",271119616002,101,835
"29",271119610002,101,440
"30",271119611001,101,675
"31",271119610004,101,975
"32",271119608002,101,1120
"33",271119611004,101,740
"34",270054509004,15,685
"35",271119603003,15,720
"36",271119601032,15,540
"37",271119604001,15,1045
"38",270054503002,15,530
"39",270054505003,15,1140
"40",270054505002,93,1570
"41",271130901003,41,410
"42",271130902003,41,465
"43",270890801001,42,495
"44",271051055003,83,375
"45",271051051004,83,525
"46",270833607002,83,455
"47",271739701001,83,555
"48",271297903002,19,455
"49",271519601001,87,545
"50",271219701003,132,505
"51",271219702001,132,575
"52",271219701002,132,575
"53",270414507011,82,1430
"54",271119606004,134,1000
"55",271119613004,134,950
"56",270054502002,15,540
"57",270290002003,100,380
"58",270074505001,42,650
"59",271359704001,42,875
"60",270634803003,128,815
"61",270634804004,81,655
"62",270634804001,81,350
"63",270917902002,81,435
"64",270917901001,16,825
"65",270332701003,128,780
"66",271659503001,81,425
"67",271277503001,128,880
"68",271297905003,19,460
"69",270677807001,87,690
"70",270677807002,87,1450
"71",271537903002,101,610
"72",271594803002,134,390
"73",271594803005,134,440
"74",271537902002,62,680
"75",271537901002,62,1150
"76",271594801002,134,760
"77",270570706003,134,1310
"78",270570706002,118,465
"79",270570705002,118,1020
"80",270570703002,118,855
"81",270570704002,118,810
"82",270074507023,118,2125
"83",270074503001,127,1005
"84",270079400013,42,740
"85",270917906003,70,950
"86",270159607002,81,605
"87",270159605002,81,645
"88",270159605001,81,1200
"89",270159603001,81,555
"90",270159603003,81,600
"91",271431702001,19,365
"92",271431702005,116,435
"93",270935606001,116,815
"94",270935603002,116,840
"95",270859504002,69,1705
"96",270859504003,69,2185
"97",270859503004,69,1020
"98",271450105003,87,805
"99",271450113012,92,1765
"100",270219608023,62,955
"101",270219608012,62,1940
"102",270219400011,127,815
"103",270219603022,127,505
"104",270219602003,127,495
"105",270219400021,10,510
"106",270074503004,10,775
"107",270434605001,16,450
"108",270131708001,120,820
"109",270131708004,120,835
"110",271034805021,61,2420
"111",270131715003,120,625
"112",271034806003,61,575
"113",270131713003,16,660
"114",270131706003,61,490
"115",270131712023,120,610
"116",270131711012,120,2005
"117",270131704003,120,1030
"118",270131714003,120,875
"119",270131702001,61,2485
"120",270131713002,120,1265
"121",271034803003,61,1215
"122",271431704003,69,655
"123",270859507002,44,860
"124",270859507004,44,1145
"125",271711012001,69,1000
"126",271711012003,14,955
"127",271711011004,14,815
"128",271450112004,116,1105
"129",271711003001,33,1640
"130",271410303005,94,1210
"131",271450005001,130,1040
"132",271450101012,88,1290
"133",271450102001,88,1920
"134",270090211014,88,680
