"","GEOID10","District","total_population"
"1",270690902001,110,647
"2",270270203002,23,749
"3",270270202021,23,989
"4",270270204002,23,1276
"5",270270206004,23,1589
"6",270270201004,23,632
"7",271190201003,110,473
"8",271335703002,65,1295
"9",271335701002,65,760
"10",271174603003,65,778
"11",270812010011,91,680
"12",271739702003,102,603
"13",270119503003,102,554
"14",271554601001,102,558
"15",271119617001,102,871
"16",271679502004,102,584
"17",270270302022,96,1233
"18",271079603002,10,929
"19",270833606004,11,692
"20",270833603001,91,1075
"21",270833603003,91,935
"22",270833603002,91,1738
"23",270239506001,91,1197
"24",271519603001,78,1142
"25",270239505001,91,1013
"26",271519604003,78,735
"27",271494803002,78,643
"28",271119616002,96,1081
"29",271119610002,102,531
"30",271119611001,102,1054
"31",271119610004,102,1296
"32",271119608002,102,1480
"33",271119611004,96,994
"34",270054509004,96,832
"35",271119603003,102,1062
"36",271119601032,101,587
"37",271119604001,96,1280
"38",270054503002,10,747
"39",270054505003,101,1782
"40",270054505002,10,2171
"41",271130901003,4,553
"42",271130902003,4,550
"43",270890801001,110,638
"44",271051055003,120,1024
"45",271051051004,120,704
"46",270833607002,11,613
"47",271739701001,91,729
"48",271297903002,11,581
"49",271519601001,78,676
"50",271219701003,78,633
"51",271219702001,127,768
"52",271219701002,78,786
"53",270414507011,127,1715
"54",271119606004,101,1463
"55",271119613004,101,1318
"56",270054502002,101,626
"57",270290002003,101,486
"58",270074505001,4,792
"59",271359704001,4,1155
"60",270634803003,11,1119
"61",270634804004,120,813
"62",270634804001,120,360
"63",270917902002,120,542
"64",270917901001,120,1067
"65",270332701003,120,1287
"66",271659503001,120,736
"67",271277503001,11,1236
"68",271297905003,26,685
"69",270677807001,78,1069
"70",270677807002,78,1968
"71",271537903002,128,724
"72",271594803002,101,483
"73",271594803005,88,580
"74",271537902002,128,954
"75",271537901002,88,1323
"76",271594801002,30,1069
"77",270570706003,30,1811
"78",270570706002,30,751
"79",270570705002,30,1316
"80",270570703002,98,959
"81",270570704002,30,1052
"82",270074507023,98,2668
"83",270074503001,4,1289
"84",270079400013,4,1189
"85",270917906003,120,1216
"86",270159607002,114,784
"87",270159605002,62,911
"88",270159605001,11,1655
"89",270159603001,62,700
"90",270159603003,129,832
"91",271431702001,62,486
"92",271431702005,129,577
"93",270935606001,62,1134
"94",270935603002,104,1037
"95",270859504002,104,2088
"96",270859504003,104,2945
"97",270859503004,104,1257
"98",271450105003,128,1046
"99",271450113012,117,2766
"100",270219608023,30,1258
"101",270219608012,88,2436
"102",270219400011,30,1036
"103",270219603022,98,548
"104",270219602003,98,526
"105",270219400021,98,739
"106",270074503004,90,1062
"107",270434605001,37,588
"108",270131708001,114,1121
"109",270131708004,114,1261
"110",271034805021,129,3210
"111",270131715003,92,818
"112",271034806003,114,752
"113",270131713003,114,853
"114",270131706003,114,501
"115",270131712023,84,761
"116",270131711012,84,2200
"117",270131704003,114,1202
"118",270131714003,37,1178
"119",270131702001,84,3494
"120",270131713002,84,1681
"121",271034803003,71,1884
"122",271431704003,71,938
"123",270859507002,94,1412
"124",270859507004,94,1680
"125",271711012001,94,1280
"126",271711012003,94,1261
"127",271711011004,111,1152
"128",271450112004,94,1418
"129",271711003001,83,2231
"130",271410303005,56,1649
"131",271450005001,62,1623
"132",271450101012,126,1861
"133",271450102001,126,2658
"134",270090211014,126,990
"135",271450004013,83,1913
"136",270090202051,126,1810
"137",271450009011,59,1404
"138",270090211015,59,1626
"139",271450116003,83,690
"140",270090211012,126,844
"141",270359509003,88,1476
"142",270359513023,119,3279
"143",270359512003,88,926
"144",270359517002,30,868
"145",270359504001,30,2508
"146",270219603011,98,524
"147",270434606003,92,782
"148",271617904004,92,1438
"149",270799503002,92,1081
"150",271310703003,92,998
"151",271310701003,134,3553
"152",270190903011,111,1331
"153",270190903012,111,2264
"154",271390813002,71,942
"155",270190904022,7,4234
"156",270190908001,7,2005
"157",270190905011,7,2452
"158",270190909003,18,1228
"159",271390804003,18,883
"160",270530260221,13,4337
"161",271390803022,48,1565
"162",270530260062,18,723
"163",271390809051,48,3554
"164",271711007013,93,979
"165",270190901003,45,918
"166",271711007023,93,2222
"167",271711010001,45,3597
"168",271711010003,45,1816
"169",271711009003,93,1893
"170",271711008013,93,2125
"171",270530270022,75,1171
"172",270530276024,7,935
"173",270530276022,7,831
"174",270530272022,6,1121
"175",270530275041,6,947
"176",270530272016,75,1192
"177",270530271023,67,1311
"178",270530271022,93,2315
"179",270530269092,93,6862
"180",270190906022,95,1429
"181",270530274001,6,668
"182",270530263024,6,752
"183",270530263021,6,730
"184",270530262053,95,1292
"185",270530266132,38,6950
"186",270530266112,75,1045
"187",270530262051,95,802
"188",270530266091,112,1131
"189",270530266113,75,1124
"190",270530267084,67,966
"191",270530266092,112,954
"192",270530265142,38,869
"193",270530267102,67,881
"194",270530264043,6,1748
"195",270530267122,85,1882
"196",270530261032,112,1747
"197",270530264032,112,1456
"198",270530267104,67,4773
"199",271410304022,20,1404
"200",271711002043,20,4811
"201",271711002021,83,1367
"202",271711008014,49,4982
"203",271711008011,49,4748
"204",271410305031,49,3039
"205",271410305034,3,754
"206",271711001002,49,1187
"207",271410301014,60,2370
"208",270591306003,56,1473
"209",270951705001,124,1201
"210",271410301021,56,2114
"211",270017701002,98,767
"212",270614807002,41,718
"213",270614803003,51,932
"214",270614807001,98,967
"215",270471804002,37,996
"216",270471806003,37,1092
"217",270990003003,131,593
"218",270990003002,131,1128
"219",271479606003,69,1219
"220",271479604001,69,1047
"221",271479607002,69,956
"222",271479602003,69,1105
"223",271310704004,69,819
"224",271479601001,69,1918
"225",271310708006,74,935
"226",271310709012,74,1081
"227",271310705012,74,1422
"228",270370615012,134,1433
"229",270530260182,5,2430
"230",271390809061,133,2118
"231",270530259074,5,864
"232",270530239021,5,866
"233",270530259052,5,1121
