"","GEOID10","District","total_population"
"1",270690902001,24,465
"2",270270203002,13,670
"3",270270202021,13,790
"4",270270204002,13,1110
"5",270270206004,13,1125
"6",270270201004,13,475
"7",271190201003,48,370
"8",271335703002,18,965
"9",271335701002,18,635
"10",271174603003,18,545
"11",270812010011,18,470
"12",271739702003,49,405
"13",270119503003,49,460
"14",271554601001,14,445
"15",271119617001,13,675
"16",271679502004,13,515
"17",270270302022,13,865
"18",271079603002,13,635
"19",270833606004,18,545
"20",270833603001,49,790
"21",270833603003,49,555
"22",270833603002,49,1315
"23",270239506001,49,795
"24",271519603001,49,850
"25",270239505001,52,730
"26",271519604003,49,495
"27",271494803002,49,580
"28",271119616002,14,835
"29",271119610002,14,440
"30",271119611001,11,675
"31",271119610004,14,975
"32",271119608002,11,1120
"33",271119611004,14,740
"34",270054509004,11,685
"35",271119603003,11,720
"36",271119601032,11,540
"37",271119604001,11,1045
"38",270054503002,11,530
"39",270054505003,11,1140
"40",270054505002,32,1570
"41",271130901003,48,410
"42",271130902003,48,465
"43",270890801001,48,495
"44",271051055003,18,375
"45",271051051004,18,525
"46",270833607002,39,455
"47",271739701001,49,555
"48",271297903002,35,455
"49",271519601001,49,545
"50",271219701003,49,505
"51",271219702001,14,575
"52",271219701002,14,575
"53",270414507011,14,1430
"54",271119606004,11,1000
"55",271119613004,14,950
"56",270054502002,11,540
"57",270290002003,32,380
"58",270074505001,48,650
"59",271359704001,48,875
"60",270634803003,39,815
"61",270634804004,18,655
"62",270634804001,18,350
"63",270917902002,38,435
"64",270917901001,38,825
"65",270332701003,18,780
"66",271659503001,39,425
"67",271277503001,39,880
"68",271297905003,35,460
"69",270677807001,52,690
"70",270677807002,52,1450
"71",271537903002,57,610
"72",271594803002,14,390
"73",271594803005,14,440
"74",271537902002,14,680
"75",271537901002,57,1150
"76",271594801002,11,760
"77",270570706003,30,1310
"78",270570706002,30,465
"79",270570705002,32,1020
"80",270570703002,32,855
"81",270570704002,32,810
"82",270074507023,24,2125
"83",270074503001,24,1005
"84",270079400013,48,740
"85",270917906003,38,950
"86",270159607002,39,605
"87",270159605002,39,645
"88",270159605001,39,1200
"89",270159603001,39,555
"90",270159603003,39,600
"91",271431702001,35,365
"92",271431702005,35,435
"93",270935606001,52,815
"94",270935603002,52,840
"95",270859504002,12,1705
"96",270859504003,12,2185
"97",270859503004,12,1020
"98",271450105003,57,805
"99",271450113012,2,1765
"100",270219608023,57,955
"101",270219608012,30,1940
"102",270219400011,32,815
"103",270219603022,30,505
"104",270219602003,30,495
"105",270219400021,32,510
"106",270074503004,24,775
"107",270434605001,31,450
"108",270131708001,39,820
"109",270131708004,39,835
"110",271034805021,53,2420
"111",270131715003,38,625
"112",271034806003,38,575
"113",270131713003,39,660
"114",270131706003,38,490
"115",270131712023,38,610
"116",270131711012,38,2005
"117",270131704003,38,1030
"118",270131714003,38,875
"119",270131702001,38,2485
"120",270131713002,38,1265
"121",271034803003,35,1215
"122",271431704003,35,655
"123",270859507002,35,860
"124",270859507004,35,1145
"125",271711012001,12,1000
"126",271711012003,52,955
"127",271711011004,12,815
"128",271450112004,52,1105
"129",271711003001,2,1640
"130",271410303005,10,1210
"131",271450005001,2,1040
"132",271450101012,45,1290
"133",271450102001,2,1920
"134",270090211014,45,680
"135",271450004013,2,1375
"136",270090202051,2,1340
"137",271450009011,10,1175
"138",270090211015,10,1220
"139",271450116003,10,560
"140",270090211012,45,470
"141",270359509003,30,1215
"142",270359513023,30,2385
"143",270359512003,30,545
"144",270359517002,30,675
"145",270359504001,30,1830
"146",270219603011,32,495
"147",270434606003,31,530
"148",271617904004,53,1035
"149",270799503002,35,775
"150",271310703003,53,800
"151",271310701003,53,2295
"152",270190903011,12,915
"153",270190903012,5,1705
"154",271390813002,22,745
"155",270190904022,5,2900
"156",270190908001,5,1310
"157",270190905011,9,1705
"158",270190909003,22,915
"159",271390804003,22,685
"160",270530260221,22,2680
"161",271390803022,22,1080
"162",270530260062,9,525
"163",271390809051,1,2505
"164",271711007013,12,750
"165",270190901003,63,585
"166",271711007023,12,1490
"167",271711010001,5,2340
"168",271711010003,5,1290
"169",271711009003,3,1125
"170",271711008013,3,1325
"171",270530270022,5,865
"172",270530276024,5,810
"173",270530276022,5,780
"174",270530272022,5,870
"175",270530275041,9,705
"176",270530272016,5,850
"177",270530271023,20,915
"178",270530271022,3,1505
"179",270530269092,3,4705
"180",270190906022,5,980
"181",270530274001,9,510
"182",270530263024,3,600
"183",270530263021,3,560
"184",270530262053,3,985
"185",270530266132,20,3870
"186",270530266112,65,870
"187",270530262051,3,670
"188",270530266091,65,930
"189",270530266113,65,660
"190",270530267084,20,650
"191",270530266092,65,615
"192",270530265142,65,640
"193",270530267102,20,675
"194",270530264043,65,1470
"195",270530267122,20,1495
"196",270530261032,9,1405
"197",270530264032,65,1065
"198",270530267104,3,3265
"199",271410304022,23,1115
"200",271711002043,10,3175
"201",271711002021,2,1035
"202",271711008014,3,2840
"203",271711008011,63,3440
"204",271410305031,63,2110
"205",271410305034,63,420
"206",271711001002,10,880
"207",271410301014,23,1510
"208",270591306003,23,1165
"209",270951705001,45,880
"210",271410301021,23,1400
"211",270017701002,30,630
"212",270614807002,25,570
"213",270614803003,32,695
"214",270614807001,32,830
"215",270471804002,31,845
"216",270471806003,31,925
"217",270990003003,31,435
"218",270990003002,31,710
"219",271479606003,15,845
"220",271479604001,53,755
"221",271479607002,15,735
"222",271479602003,15,830
"223",271310704004,53,670
"224",271479601001,15,1275
"225",271310708006,53,655
"226",271310709012,53,845
"227",271310705012,15,1100
"228",270370615012,27,1115
"229",270530260182,1,1760
"230",271390809061,1,1570
"231",270530259074,1,690
"232",270530239021,1,630
"233",270530259052,1,1005
"234",271390802041,1,1665
"235",270530256052,33,705
"236",270530257015,33,930
"237",271390802052,27,870
"238",270370607092,27,1565
"239",270530246003,40,890
"240",270531255001,40,915
"241",270530253022,56,835
"242",270530254031,56,665
"243",270370608151,7,1505
"244",270370608203,27,2215
"245",270530249031,17,645
"246",270530252013,56,1020
"247",270530251002,17,790
"248",270370607472,56,1130
"249",270370608123,46,1415
"250",270370608122,7,1780
"251",270370608192,7,2075
"252",270370607441,56,1165
"253",270370608173,7,1545
"254",270370607342,21,2085
"255",270370607162,21,1440
"256",270370608174,7,2340
"257",270370608263,7,2405
"258",270370608261,43,2020
"259",270370607262,21,1635
"260",270370609042,7,1080
"261",270370610042,56,2480
"262",270370607311,56,1510
"263",270370610092,56,2015
"264",270370605062,43,2265
"265",270370605091,43,1245
"266",270530265091,20,1830
"267",270530265121,65,1025
"268",270530264024,33,895
"269",270530265124,65,650
"270",270530265111,65,755
"271",270530265126,65,595
"272",270530232002,33,715
"273",270530215043,65,645
"274",270530269031,44,680
"275",270530235013,9,740
"276",270530215023,65,745
"277",270530223011,33,890
"278",270530268074,20,795
"279",270530223021,8,875
"280",270530234001,8,735
"281",270530268163,44,1240
"282",270531225002,33,1340
"283",270530224003,33,810
"284",270531225001,8,640
"285",270530216024,8,715
"286",270530224001,8,495
"287",270530239012,9,595
"288",270530268121,44,1965
"289",270530268122,37,1370
"290",270530237003,33,865
"291",270530268181,44,750
"292",270530235012,33,1035
"293",270530268104,44,360
"294",270530227003,8,600
"295",270530209032,28,400
"296",270530268105,44,355
"297",270530213003,28,625
"298",270530217005,28,800
"299",270530213004,28,795
"300",270530269062,44,1295
"301",270530211001,28,505
"302",270530217001,8,565
"303",270530229011,8,1115
"304",270530228022,8,990
"305",270530213001,28,1475
"306",270530203032,44,925
"307",270530204003,44,955
"308",270531098002,33,805
"309",270530240052,33,880
