"","GEOID10","District","total_population"
"1",270690902001,13,647
"2",270270203002,25,749
"3",270270202021,25,989
"4",270270204002,25,1276
"5",270270206004,25,1589
"6",270270201004,37,632
"7",271190201003,13,473
"8",271335703002,2,1295
"9",271335701002,2,760
"10",271174603003,3,778
"11",270812010011,3,680
"12",271739702003,3,603
"13",270119503003,3,554
"14",271554601001,3,558
"15",271119617001,56,871
"16",271679502004,54,584
"17",270270302022,25,1233
"18",271079603002,37,929
"19",270833606004,3,692
"20",270833603001,3,1075
"21",270833603003,3,935
"22",270833603002,3,1738
"23",270239506001,3,1197
"24",271519603001,38,1142
"25",270239505001,38,1013
"26",271519604003,3,735
"27",271494803002,38,643
"28",271119616002,56,1081
"29",271119610002,56,531
"30",271119611001,54,1054
"31",271119610004,14,1296
"32",271119608002,54,1480
"33",271119611004,14,994
"34",270054509004,25,832
"35",271119603003,25,1062
"36",271119601032,25,587
"37",271119604001,25,1280
"38",270054503002,37,747
"39",270054505003,25,1782
"40",270054505002,25,2171
"41",271130901003,37,553
"42",271130902003,13,550
"43",270890801001,13,638
"44",271051055003,2,1024
"45",271051051004,2,704
"46",270833607002,3,613
"47",271739701001,3,729
"48",271297903002,38,581
"49",271519601001,38,676
"50",271219701003,56,633
"51",271219702001,38,768
"52",271219701002,56,786
"53",270414507011,56,1715
"54",271119606004,54,1463
"55",271119613004,14,1318
"56",270054502002,37,626
"57",270290002003,37,486
"58",270074505001,13,792
"59",271359704001,63,1155
"60",270634803003,2,1119
"61",270634804004,2,813
"62",270634804001,2,360
"63",270917902002,2,542
"64",270917901001,2,1067
"65",270332701003,2,1287
"66",271659503001,2,736
"67",271277503001,11,1236
"68",271297905003,38,685
"69",270677807001,38,1069
"70",270677807002,38,1968
"71",271537903002,14,724
"72",271594803002,14,483
"73",271594803005,14,580
"74",271537902002,14,954
"75",271537901002,14,1323
"76",271594801002,54,1069
"77",270570706003,12,1811
"78",270570706002,12,751
"79",270570705002,12,1316
"80",270570703002,12,959
"81",270570704002,12,1052
"82",270074507023,12,2668
"83",270074503001,13,1289
"84",270079400013,13,1189
