"","GEOID10","District","total_population"
"1",291650305004,53,1240
"2",290210021003,20,495
"3",290210023003,53,1095
"4",290210009002,161,920
"5",290210018002,53,465
"6",290879602002,119,920
"7",290879603002,161,800
"8",290210002003,161,995
"9",290210002001,161,1550
"10",290030104001,119,765
"11",290030101003,161,1115
"12",291474705004,67,1420
"13",291474703005,119,450
"14",291474703003,119,2880
"15",291474704004,119,610
"16",291474705002,119,385
"17",291450206022,55,750
"18",291450203001,55,1095
"19",291450203003,55,775
"20",290970112004,25,1310
"21",290970108003,75,990
"22",290970110005,25,460
"23",290970101002,163,380
"24",290970114004,75,1225
"25",291450205011,55,1325
"26",291450206012,55,880
"27",290119602003,77,560
"28",292179506002,77,675
"29",290119602004,77,940
"30",292179503002,77,620
"31",290130702003,5,825
"32",290130702002,5,1170
"33",290130703003,35,705
"34",290370610012,96,1385
"35",290370608001,35,735
"36",290370614001,96,1500
"37",290950092003,12,760
"38",290950093002,23,565
"39",290950100011,39,490
"40",290950093001,23,820
"41",290950085003,12,1705
"42",290950085001,12,445
"43",290950101051,153,1555
"44",290950101052,153,565
"45",290950074003,50,905
"46",290950167003,12,605
"47",290950173004,39,715
"48",290950100022,153,830
"49",290950073002,50,1390
"50",290950098004,23,500
"51",290950098001,23,665
"52",290950074001,50,1245
"53",290950095004,23,210
"54",290950063001,108,445
"55",290950075002,108,520
"56",290950052002,108,440
"57",290950087001,23,1465
"58",290950054001,50,625
"59",290950161002,58,505
"60",290950056011,50,540
"61",290950061001,50,905
"62",290950038001,138,460
"63",290950061003,50,680
"64",290950102033,153,1055
"65",290950160002,58,595
"66",290950060001,50,315
"67",290370602023,99,2105
"68",290950078023,50,785
"69",290370613003,99,530
"70",290950171002,108,460
"71",290950058013,138,620
"72",290950131003,15,795
"73",290950133072,15,1520
"74",290370600031,99,765
"75",290950129062,153,555
"76",290950134101,15,2630
"77",290950105001,108,595
"78",290950128041,39,815
"79",290370603013,99,2240
"80",290950126002,137,735
"81",290950156001,138,220
"82",290950128032,39,1150
"83",290950128042,39,1725
"84",290370603012,99,2455
"85",290950107022,108,1790
"86",290950127014,39,655
"87",290950106001,137,715
"88",290950176002,39,1175
"89",290950117002,147,470
"90",290950124001,137,1340
"91",290950122003,137,985
"92",290950122004,147,1440
"93",290950145011,137,1535
"94",290950115004,147,485
"95",290950146013,147,715
"96",290950180002,136,1385
"97",290950180001,136,690
"98",290950181002,15,885
"99",290950145021,137,1965
"100",290950146042,137,2095
"101",290950138021,159,1610
"102",290950145022,94,1765
"103",290950185001,94,2785
"104",290950147021,149,1095
"105",290370604001,99,1490
"106",291650303062,14,555
"107",291650303052,14,965
"108",291650301032,14,1175
"109",291650301033,58,1425
"110",291650301021,58,2710
"111",291650300012,58,970
"112",291650302051,59,2900
"113",291650300021,58,750
"114",291650300011,58,1530
"115",290470212072,13,770
"116",290470211014,13,455
"117",290470202013,13,750
"118",290470213062,70,2370
"119",290470213054,70,1710
"120",290470211031,150,920
"121",290470205002,88,585
"122",290470212052,150,1980
"123",290950160001,138,390
"124",290950009004,58,540
"125",290470206045,88,825
"126",290470206044,150,770
"127",290470209015,150,890
"128",290950007001,138,825
"129",290950006002,138,565
"130",290470206024,88,825
"131",290470208011,78,1975
"132",290950111002,110,510
"133",290470223012,88,975
"134",290950115003,147,605
"135",290470216002,110,600
"136",290950114011,149,990
"137",290470218043,140,2245
"138",290470218051,78,960
"139",290950151001,110,1000
"140",290470216004,110,1200
"141",290499603002,30,885
"142",290499602005,140,1395
"143",290630802005,119,495
"144",291450210002,44,1645
"145",290099603003,44,720
"146",290099602004,17,505
"147",290970116005,163,600
"148",290970116003,163,385
"149",291094704002,155,745
"150",291094704004,44,1480
"151",291094704001,44,1230
"152",290119601001,77,850
"153",290574801004,24,920
"154",290398702004,77,1130
"155",290398701002,5,950
"156",291854801001,130,540
"157",291019602004,33,555
"158",290950148063,143,635
"159",290959891001,136,10
"160",290950139011,125,1725
"161",290950177001,143,85
"162",290950140072,125,905
"163",290950139012,125,2585
"164",290950140052,143,2180
"165",290950140041,143,965
"166",291070901003,143,935
"167",291070906013,143,1160
"168",290499602004,140,730
"169",290259502006,140,540
"170",290819501003,18,710
"171",290099601005,102,935
"172",292090901006,17,600
"173",292090902003,126,900
"174",292090905001,102,1595
"175",290770049003,9,1445
"176",290770048023,17,1040
"177",290770048031,17,2060
"178",290574801002,24,605
"179",290398703001,5,510
"180",290574801005,5,720
"181",291679604002,24,1105
"182",291854801003,5,675
"183",290839502003,54,980
"184",290154607002,54,1340
"185",290154602001,60,925
"186",291019603001,33,610
"187",291070902005,71,1130
"188",291019601004,146,810
"189",291070904002,71,660
"190",291770801002,71,615
"191",290339603001,40,555
"192",290339602001,40,455
"193",290339601001,40,410
"194",291174803002,40,755
"195",290799601001,18,565
"196",292134801051,102,1060
"197",292134801061,102,1275
"198",292134805023,126,340
"199",292134805021,126,1925
"200",292134803012,126,1195
"201",292134802013,126,3255
"202",292134802024,126,1030
"203",290770042022,111,1465
"204",290770030023,111,1405
"205",290770017003,9,650
"206",290770058002,9,2965
"207",290770013011,127,950
"208",290770007002,101,745
"209",290770040011,31,2905
"210",290430202041,47,3260
"211",290770009001,127,700
"212",290770008001,101,1285
"213",290770057002,127,520
"214",290770023004,127,1225
"215",290430203052,47,1665
"216",290430203053,31,1495
"217",290770025021,101,1820
"218",290770037003,101,1625
"219",290770037002,101,1180
"220",290770037001,101,1640
"221",290430203061,116,4445
"222",291679603004,51,875
"223",290154608001,54,750
