"","GEOID10","District","total_population"
"1",291650305004,61,1753
"2",290210021003,108,685
"3",290210023003,108,1492
"4",290210009002,156,1235
"5",290210018002,107,607
"6",290879602002,13,1110
"7",290879603002,13,1070
"8",290210002003,107,1376
"9",290210002001,107,2003
"10",290030104001,10,1005
"11",290030101003,13,1523
"12",291474705004,10,1787
"13",291474703005,10,589
"14",291474703003,10,3030
"15",291474704004,10,806
"16",291474705002,10,466
"17",291450206022,67,819
"18",291450203001,67,1695
"19",291450203003,152,992
"20",290970112004,78,1590
"21",290970108003,78,1546
"22",290970110005,112,550
"23",290970101002,78,581
"24",290970114004,102,1681
"25",291450205011,67,1714
"26",291450206012,67,1143
"27",290119602003,102,722
"28",292179506002,123,841
"29",290119602004,102,1304
"30",292179503002,123,928
"31",290130702003,75,1029
"32",290130702002,102,1562
"33",290130703003,75,1023
"34",290370610012,93,1860
"35",290370608001,93,850
"36",290370614001,75,2317
"37",290950092003,129,957
"38",290950093002,129,733
"39",290950100011,129,526
"40",290950093001,129,918
"41",290950085003,129,2378
"42",290950085001,129,673
"43",290950101051,42,1909
"44",290950101052,42,591
"45",290950074003,137,977
"46",290950167003,26,697
"47",290950173004,42,812
"48",290950100022,42,987
"49",290950073002,137,1445
"50",290950098004,129,586
"51",290950098001,129,842
"52",290950074001,143,1387
"53",290950095004,129,333
"54",290950063001,143,781
"55",290950075002,137,767
"56",290950052002,143,491
"57",290950087001,160,1967
"58",290950054001,143,785
"59",290950161002,143,714
"60",290950056011,143,692
"61",290950061001,143,1239
"62",290950038001,32,680
"63",290950061003,143,953
"64",290950102033,42,1365
"65",290950160002,32,858
"66",290950060001,32,374
"67",290370602023,93,2743
"68",290950078023,160,1118
"69",290370613003,93,684
"70",290950171002,160,624
"71",290950058013,32,933
"72",290950131003,42,1284
"73",290950133072,70,1995
"74",290370600031,154,1181
"75",290950129062,70,636
"76",290950134101,154,3639
"77",290950105001,30,775
"78",290950128041,74,1556
"79",290370603013,154,3365
"80",290950126002,74,876
"81",290950156001,30,292
"82",290950128032,74,1488
"83",290950128042,74,2409
"84",290370603012,154,2955
"85",290950107022,30,2631
"86",290950127014,76,793
"87",290950106001,45,1061
"88",290950176002,76,1279
"89",290950117002,45,678
"90",290950124001,76,1607
"91",290950122003,45,1133
"92",290950122004,45,1955
"93",290950145011,76,1781
"94",290950115004,77,629
"95",290950146013,76,774
"96",290950180002,51,1984
"97",290950180001,22,858
"98",290950181002,139,1185
"99",290950145021,74,2161
"100",290950146042,98,2652
"101",290950138021,51,2113
"102",290950145022,74,2140
"103",290950185001,22,3819
"104",290950147021,98,1304
"105",290370604001,139,1936
"106",291650303062,61,780
"107",291650303052,61,1326
"108",291650301032,61,1507
"109",291650301033,46,1723
"110",291650301021,83,3536
"111",291650300012,83,1210
"112",291650302051,46,3505
"113",291650300021,83,956
"114",291650300011,83,2846
"115",290470212072,46,1075
"116",290470211014,39,508
"117",290470202013,26,780
"118",290470213062,145,3136
"119",290470213054,46,2383
"120",290470211031,145,1225
"121",290470205002,26,740
"122",290470212052,39,2541
"123",290950160001,32,600
"124",290950009004,126,816
"125",290470206045,126,1138
"126",290470206044,157,1085
"127",290470209015,157,1021
"128",290950007001,126,1475
"129",290950006002,126,1379
"130",290470206024,126,1064
"131",290470208011,157,2477
"132",290950111002,126,675
"133",290470223012,157,1233
"134",290950115003,45,761
"135",290470216002,77,864
"136",290950114011,77,1175
"137",290470218043,33,2787
"138",290470218051,118,1320
"139",290950151001,77,1205
"140",290470216004,118,1301
"141",290499603002,108,1013
"142",290499602005,33,1688
"143",290630802005,124,602
"144",291450210002,152,2120
"145",290099603003,62,855
"146",290099602004,35,666
"147",290970116005,62,1214
"148",290970116003,62,596
"149",291094704002,62,1077
"150",291094704004,152,2698
"151",291094704001,152,1692
"152",290119601001,53,1105
"153",290574801004,53,1008
"154",290398702004,123,1349
"155",290398701002,123,1390
"156",291854801001,102,695
"157",291019602004,110,851
"158",290950148063,98,1008
"159",290959891001,22,21
"160",290950139011,86,2117
"161",290950177001,77,174
"162",290950140072,162,1137
"163",290950139012,9,3386
"164",290950140052,162,3247
"165",290950140041,148,1541
"166",291070901003,148,1263
"167",291070906013,148,1584
"168",290499602004,33,918
"169",290259502006,124,685
"170",290819501003,128,983
"171",290099601005,3,1102
"172",292090901006,35,714
"173",292090902003,3,1039
"174",292090905001,3,1887
"175",290770049003,35,1775
"176",290770048023,134,1448
"177",290770048031,35,3009
"178",290574801002,14,814
"179",290398703001,123,620
"180",290574801005,53,919
"181",291679604002,14,1397
"182",291854801003,55,874
"183",290839502003,110,1175
"184",290154607002,55,1433
"185",290154602001,2,1312
"186",291019603001,139,1059
"187",291070902005,119,1570
"188",291019601004,9,1149
"189",291070904002,119,900
"190",291770801002,118,925
"191",290339603001,119,704
"192",290339602001,124,564
"193",290339601001,119,490
"194",291174803002,124,852
"195",290799601001,128,735
"196",292134801051,20,1482
"197",292134801061,20,1979
"198",292134805023,163,620
"199",292134805021,163,2373
"200",292134803012,163,1625
"201",292134802013,163,4590
"202",292134802024,135,1456
"203",290770042022,134,1993
"204",290770030023,66,1847
"205",290770017003,105,820
"206",290770058002,96,3478
"207",290770013011,66,1185
"208",290770007002,96,985
"209",290770040011,27,3539
"210",290430202041,27,5094
"211",290770009001,115,942
"212",290770008001,81,1525
"213",290770057002,115,627
"214",290770023004,115,1696
"215",290430203052,142,2572
"216",290430203053,142,2019
"217",290770025021,115,2406
"218",290770037003,81,2017
"219",290770037002,142,1611
"220",290770037001,81,2016
"221",290430203061,142,6264
"222",291679603004,53,1324
