"","GEOID10","District","total_population"
"1",291650305004,24,1240
"2",290210021003,24,495
"3",290210023003,24,1095
"4",290210009002,24,920
"5",290210018002,24,465
"6",290879602002,24,920
"7",290879603002,24,800
"8",290210002003,24,995
"9",290210002001,24,1550
"10",290030104001,19,765
"11",290030101003,24,1115
"12",291474705004,10,1420
"13",291474703005,10,450
"14",291474703003,10,2880
"15",291474704004,10,610
"16",291474705002,10,385
"17",291450206022,15,750
"18",291450203001,15,1095
"19",291450203003,15,775
"20",290970112004,1,1310
"21",290970108003,15,990
"22",290970110005,1,460
"23",290970101002,1,380
"24",290970114004,1,1225
"25",291450205011,15,1325
"26",291450206012,15,880
"27",290119602003,1,560
"28",292179506002,1,675
"29",290119602004,1,940
"30",292179503002,1,620
"31",290130702003,16,825
"32",290130702002,1,1170
"33",290130703003,16,705
"34",290370610012,16,1385
"35",290370608001,16,735
"36",290370614001,16,1500
"37",290950092003,16,760
"38",290950093002,16,565
"39",290950100011,16,490
"40",290950093001,16,820
"41",290950085003,16,1705
"42",290950085001,16,445
"43",290950101051,16,1555
"44",290950101052,16,565
"45",290950074003,16,905
"46",290950167003,3,605
"47",290950173004,12,715
"48",290950100022,16,830
"49",290950073002,16,1390
"50",290950098004,12,500
"51",290950098001,16,665
"52",290950074001,16,1245
"53",290950095004,16,210
"54",290950063001,12,445
"55",290950075002,16,520
"56",290950052002,3,440
"57",290950087001,16,1465
"58",290950054001,16,625
"59",290950161002,3,505
"60",290950056011,16,540
"61",290950061001,12,905
"62",290950038001,3,460
"63",290950061003,12,680
"64",290950102033,12,1055
"65",290950160002,12,595
"66",290950060001,12,315
"67",290370602023,23,2105
"68",290950078023,12,785
"69",290370613003,23,530
"70",290950171002,12,460
"71",290950058013,12,620
"72",290950131003,12,795
"73",290950133072,12,1520
"74",290370600031,23,765
"75",290950129062,12,555
"76",290950134101,16,2630
"77",290950105001,23,595
"78",290950128041,12,815
"79",290370603013,23,2240
"80",290950126002,23,735
"81",290950156001,23,220
"82",290950128032,23,1150
"83",290950128042,12,1725
"84",290370603012,16,2455
"85",290950107022,12,1790
"86",290950127014,12,655
"87",290950106001,23,715
"88",290950176002,23,1175
"89",290950117002,23,470
"90",290950124001,23,1340
"91",290950122003,23,985
"92",290950122004,23,1440
"93",290950145011,23,1535
"94",290950115004,23,485
"95",290950146013,23,715
"96",290950180002,23,1385
"97",290950180001,23,690
"98",290950181002,23,885
"99",290950145021,23,1965
"100",290950146042,4,2095
"101",290950138021,23,1610
"102",290950145022,4,1765
"103",290950185001,23,2785
"104",290950147021,4,1095
"105",290370604001,23,1490
"106",291650303062,3,555
"107",291650303052,3,965
"108",291650301032,3,1175
"109",291650301033,3,1425
"110",291650301021,3,2710
"111",291650300012,3,970
"112",291650302051,33,2900
"113",291650300021,3,750
"114",291650300011,3,1530
"115",290470212072,33,770
"116",290470211014,3,455
"117",290470202013,3,750
"118",290470213062,33,2370
"119",290470213054,33,1710
"120",290470211031,33,920
"121",290470205002,3,585
"122",290470212052,33,1980
"123",290950160001,12,390
"124",290950009004,3,540
"125",290470206045,3,825
"126",290470206044,3,770
"127",290470209015,33,890
"128",290950007001,3,825
"129",290950006002,12,565
"130",290470206024,3,825
"131",290470208011,33,1975
"132",290950111002,23,510
"133",290470223012,3,975
"134",290950115003,23,605
"135",290470216002,3,600
"136",290950114011,4,990
"137",290470218043,33,2245
"138",290470218051,33,960
"139",290950151001,33,1000
"140",290470216004,33,1200
"141",290499603002,24,885
"142",290499602005,24,1395
"143",290630802005,24,495
"144",291450210002,15,1645
"145",290099603003,1,720
"146",290099602004,1,505
"147",290970116005,1,600
"148",290970116003,1,385
"149",291094704002,1,745
"150",291094704004,1,1480
"151",291094704001,1,1230
"152",290119601001,1,850
"153",290574801004,9,920
"154",290398702004,9,1130
"155",290398701002,9,950
"156",291854801001,9,540
"157",291019602004,1,555
"158",290950148063,4,635
"159",290959891001,4,10
"160",290950139011,23,1725
"161",290950177001,4,85
"162",290950140072,4,905
"163",290950139012,1,2585
"164",290950140052,4,2180
"165",290950140041,4,965
"166",291070901003,4,935
"167",291070906013,4,1160
"168",290499602004,24,730
"169",290259502006,19,540
"170",290819501003,10,710
"171",290099601005,15,935
"172",292090901006,1,600
"173",292090902003,15,900
"174",292090905001,15,1595
"175",290770049003,9,1445
"176",290770048023,9,1040
"177",290770048031,9,2060
"178",290574801002,9,605
"179",290398703001,9,510
"180",290574801005,9,720
"181",291679604002,9,1105
"182",291854801003,9,675
"183",290839502003,9,980
"184",290154607002,25,1340
"185",290154602001,9,925
"186",291019603001,19,610
"187",291070902005,19,1130
"188",291019601004,19,810
"189",291070904002,19,660
"190",291770801002,4,615
"191",290339603001,10,555
"192",290339602001,10,455
"193",290339601001,10,410
"194",291174803002,10,755
"195",290799601001,10,565
"196",292134801051,28,1060
"197",292134801061,28,1275
"198",292134805023,28,340
"199",292134805021,28,1925
"200",292134803012,28,1195
"201",292134802013,28,3255
"202",292134802024,28,1030
"203",290770042022,29,1465
"204",290770030023,29,1405
"205",290770017003,29,650
"206",290770058002,29,2965
"207",290770013011,29,950
"208",290770007002,29,745
"209",290770040011,29,2905
"210",290430202041,17,3260
"211",290770009001,29,700
"212",290770008001,17,1285
"213",290770057002,29,520
"214",290770023004,29,1225
"215",290430203052,17,1665
"216",290430203053,17,1495
"217",290770025021,17,1820
"218",290770037003,29,1625
"219",290770037002,29,1180
"220",290770037001,17,1640
"221",290430203061,17,4445
"222",291679603004,9,875
"223",290154608001,9,750
"224",291594805003,19,520
"225",291594805002,9,955
"226",291594805001,19,960
"227",291594804003,25,1405
"228",291414701004,25,855
"229",291950903001,19,515
"230",291950901003,10,540
"231",290414702002,10,575
"232",291154902002,10,720
"233",291154905001,10,775
"234",292114802001,10,570
"235",291154902003,10,335
"236",292114803001,19,655
"237",291719602002,10,640
"238",292114801001,10,270
"239",291534701003,28,695
"240",290679505001,28,1080
"241",291534701001,28,700
"242",292294903003,17,530
"243",291059601004,9,1060
"244",290299505001,32,1600
"245",291059606002,9,420
"246",291059604003,9,455
"247",290299508005,32,2435
"248",291059601001,32,1460
"249",291414705003,25,1495
"250",290299501001,32,1640
"251",291319629003,32,520
"252",291319629006,32,885
"253",291319629005,32,1190
"254",291319628001,32,1670
"255",291353854003,25,1500
"256",291353852002,32,615
"257",290539501002,25,1505
"258",290539504001,32,745
"259",290190018032,25,1020
"260",290414703003,10,760
"261",291754906003,26,365
"262",291754906002,26,910
"263",291219602001,26,995
"264",291719601003,10,475
"265",290019505005,10,1465
"266",290019509002,10,810
"267",290019505001,26,1410
"268",292154803003,6,885
"269",292154804002,6,1280
"270",291059602984,17,525
"271",292154803001,13,925
"272",291694702861,17,1045
"273",291694701023,13,475
