"","GEOID10","District","total_population"
"1",291650305004,23,1753
"2",290210021003,19,685
"3",290210023003,19,1492
"4",290210009002,19,1235
"5",290210018002,19,607
"6",290879602002,19,1110
"7",290879603002,19,1070
"8",290210002003,19,1376
"9",290210002001,19,2003
"10",290030104001,19,1005
"11",290030101003,19,1523
"12",291474705004,19,1787
"13",291474703005,19,589
"14",291474703003,19,3030
"15",291474704004,19,806
"16",291474705002,19,466
"17",291450206022,29,819
"18",291450203001,29,1695
"19",291450203003,29,992
"20",290970112004,10,1590
"21",290970108003,10,1546
"22",290970110005,10,550
"23",290970101002,29,581
"24",290970114004,10,1681
"25",291450205011,29,1714
"26",291450206012,29,1143
"27",290119602003,32,722
"28",292179506002,10,841
"29",290119602004,32,1304
"30",292179503002,32,928
"31",290130702003,32,1029
"32",290130702002,32,1562
"33",290130703003,32,1023
"34",290370610012,32,1860
"35",290370608001,32,850
"36",290370614001,32,2317
"37",290950092003,6,957
"38",290950093002,6,733
"39",290950100011,6,526
"40",290950093001,6,918
"41",290950085003,6,2378
"42",290950085001,6,673
"43",290950101051,6,1909
"44",290950101052,32,591
"45",290950074003,6,977
"46",290950167003,26,697
"47",290950173004,6,812
"48",290950100022,6,987
"49",290950073002,6,1445
"50",290950098004,6,586
"51",290950098001,6,842
"52",290950074001,6,1387
"53",290950095004,6,333
"54",290950063001,6,781
"55",290950075002,6,767
"56",290950052002,26,491
"57",290950087001,6,1967
"58",290950054001,26,785
"59",290950161002,26,714
"60",290950056011,26,692
"61",290950061001,31,1239
"62",290950038001,31,680
"63",290950061003,6,953
"64",290950102033,32,1365
"65",290950160002,26,858
"66",290950060001,6,374
"67",290370602023,32,2743
"68",290950078023,6,1118
"69",290370613003,32,684
"70",290950171002,6,624
"71",290950058013,31,933
"72",290950131003,31,1284
"73",290950133072,6,1995
"74",290370600031,17,1181
"75",290950129062,31,636
"76",290950134101,32,3639
"77",290950105001,31,775
"78",290950128041,31,1556
"79",290370603013,17,3365
"80",290950126002,31,876
"81",290950156001,31,292
"82",290950128032,31,1488
"83",290950128042,31,2409
"84",290370603012,17,2955
"85",290950107022,31,2631
"86",290950127014,31,793
"87",290950106001,31,1061
"88",290950176002,31,1279
