"","GEOID10","District","total_population"
"1",281579502002,55,1016
"2",281579502005,55,515
"3",280010007002,61,884
"4",280010007001,61,690
"5",280010008003,55,1374
"6",280010004003,61,1469
"7",280010005001,61,900
"8",280010001003,55,1641
"9",280559501001,85,282
"10",280059502002,55,1135
"11",280639501001,62,832
"12",280859502002,117,1134
"13",280219502001,62,769
"14",280219503004,62,888
"15",280299503002,117,1390
"16",281499511021,35,2440
"17",281499503001,96,478
"18",281499502003,96,983
"19",281499505002,35,643
"20",281259501002,91,663
"21",281510006004,85,897
"22",281510007023,85,796
"23",281510009001,85,820
"24",281510007011,46,1639
"25",281510017003,85,1137
"26",281510021001,85,1180
"27",281339503003,82,665
"28",281339506002,85,1264
"29",281339502001,82,865
"30",280119504005,82,772
"31",280119507021,113,1975
"32",281139505001,88,810
"33",281139506004,88,1561
"34",281139504002,88,1462
"35",281139503004,88,794
"36",280859506002,122,638
"37",280859505003,122,1641
"38",280859503003,22,861
"39",280779602002,51,1486
"40",280299501004,76,2168
"41",280299501001,76,1102
"42",280490112012,117,1444
"43",280490105006,53,813
"44",280490103052,101,2076
"45",280490108081,97,1344
"46",280490108012,101,800
"47",280490112023,117,1648
"48",280490109023,101,452
"49",280490007004,101,1448
"50",280490110021,97,1554
"51",280490111023,90,1745
"52",280490111012,97,1612
"53",280490036001,90,1626
"54",280490022002,54,1143
"55",280490037003,90,1181
"56",281210204011,6,2062
"57",280539501003,94,625
"58",281639503002,94,1953
"59",281639503004,91,1139
"60",280519503002,91,632
"61",281339504013,94,698
"62",280839503001,107,2153
"63",280839506004,40,643
"64",280839502001,107,322
"65",281339502002,82,1272
"66",281339501004,15,943
"67",281359503003,56,778
"68",280279505002,15,1276
"69",280279507002,113,715
"70",280279507001,15,1383
"71",281199503004,56,730
"72",281439501001,113,745
"73",281099504014,60,1719
"74",281479503004,22,1446
"75",280919502002,103,1748
"76",280919506003,22,1144
"77",280919505001,98,1446
"78",280779602003,51,1333
"79",280659501003,51,1227
"80",280919501002,102,775
"81",281279504005,51,1127
"82",281279504002,51,1233
"83",280490006001,1,954
"84",280490038001,84,2212
"85",280490008002,54,805
"86",280490115001,54,1327
"87",280490020002,54,190
"88",280490006003,1,711
"89",280490114002,41,337
"90",280490012002,54,1080
"91",280490005001,1,710
"92",280490016003,1,1147
"93",280490102023,1,1350
"94",280490027002,41,577
"95",280490101023,10,897
"96",280490101024,10,476
"97",280490002001,10,984
"98",280490002003,10,1386
"99",281210207044,41,1492
"100",280490014002,27,1364
"101",281210206003,36,2716
"102",281210210022,6,3443
"103",281210202085,44,1019
"104",281210202082,44,2827
"105",281210208022,36,3737
"106",281210202061,119,1840
"107",281210208021,105,2655
"108",281210201012,24,2426
"109",281210209001,119,2322
"110",281210201021,119,1984
"111",280890303012,25,2593
"112",280890305001,53,3439
"113",280890309001,86,1528
"114",280519505004,64,944
"115",280519501005,64,344
"116",280839508004,40,595
"117",281359502003,56,801
"118",281079501003,56,1694
"119",280330703242,69,2119
"120",280330702211,95,1607
"121",280330703231,17,4100
"122",280330704222,69,1387
"123",280330702221,70,4179
"124",280330711101,95,2443
"125",280330705201,63,8122
"126",280330710003,93,6217
"127",280330706201,63,7781
"128",280330707221,70,3696
"129",281379502004,93,1544
"130",280330708212,29,2919
"131",280330709001,93,1597
"132",280450302002,81,2068
"133",280450302006,81,283
"134",280450306021,13,1158
"135",280450301005,28,920
"136",280450301001,28,1501
"137",281099505013,60,1544
"138",281099505014,81,2223
"139",281099505022,13,3517
"140",280450306013,81,2708
"141",280470035022,13,2588
"142",281310202022,52,1597
"143",280730205003,98,1209
"144",281099501003,52,1431
"145",280350105002,78,1671
"146",280319504003,102,1555
"147",280350102003,33,261
"148",280730203014,78,2976
"149",280350008001,33,325
"150",280350010001,33,906
"151",280350102001,33,2391
"152",280319503003,105,781
"153",281299502006,51,663
"154",281299503005,105,1174
"155",281299503001,105,675
"156",280619501003,49,1483
"157",281230203002,19,1196
"158",280790407001,86,1284
"159",280790407003,86,1051
"160",281230202001,19,1319
"161",281010502003,23,979
"162",280999401002,110,2083
"163",280990102003,110,1331
"164",280070604003,86,924
"165",281559502001,43,830
"166",281619502003,75,848
"167",280719505012,7,1148
"168",280139502001,43,885
"169",280139501002,75,831
"170",280139501001,111,1605
"171",280719503012,7,2392
"172",280719502021,7,3301
"173",280719504011,32,3451
"174",280939505003,3,1559
"175",280939504012,3,1034
"176",280939504011,3,1808
"177",280939503001,3,1181
"178",280470024003,4,907
"179",280470020002,89,742
"180",280470016004,89,794
"181",280470017005,89,1402
"182",280470017001,16,1503
"183",280470015022,100,1935
"184",280470034031,87,2142
"185",280470012012,100,1395
"186",280470006003,28,216
"187",280470033012,30,1010
"188",280470001001,30,218
"189",280470032052,26,1126
"190",280590402043,30,1354
"191",280399503013,39,594
"192",280350101012,20,2858
"193",280350106004,39,2133
"194",280350002003,33,944
"195",280350107002,20,608
"196",280619502002,49,776
"197",280679506001,34,1395
"198",280679504023,49,2068
"199",280679501004,49,662
"200",280619504003,49,820
"201",280619504001,49,1356
"202",280619504004,49,1375
"203",281010503005,8,998
"204",280990107001,110,1778
"205",280990104001,110,586
"206",280990106003,110,1163
"207",280990101002,110,1918
"208",281010501001,73,1156
"209",280690302005,73,283
"210",281599502001,110,1671
"211",281599503001,2,627
"212",281599504004,2,733
"213",280199502003,9,834
"214",281059507001,65,2087
"215",281059506021,65,2899
"216",280179503002,111,896
"217",280179503004,43,1494
"218",281159505003,111,1432
"219",281159504002,75,784
"220",281459503002,57,777
"221",281459506001,21,1613
"222",281459503003,21,1865
"223",281459504002,57,1592
"224",281459505002,57,1649
"225",281399503001,106,787
"226",281399501002,79,1005
"227",280590405002,74,979
"228",280590407005,74,1524
"229",280590402031,14,2741
"230",280590409001,77,4722
"231",280590411004,14,1950
"232",280590410004,77,963
"233",280590410002,14,2309
"234",280590422001,45,817
"235",280590422004,45,1227
"236",280590426003,45,553
"237",280590421002,77,605
"238",280590416002,45,758
"239",280590421001,77,881
"240",280590417001,45,479
"241",280590402011,14,1980
