"","GEOID10","District","total_population"
"1",281579502002,43,915
"2",281579502005,43,505
"3",280010007002,40,800
"4",280010007001,40,515
"5",280010008003,40,1070
"6",280010004003,40,865
"7",280010005001,40,720
"8",280010001003,40,1280
"9",280559501001,36,255
"10",280059502002,43,825
"11",280639501001,43,685
"12",280859502002,43,870
"13",280219502001,40,630
"14",280219503004,43,685
"15",280299503002,43,1200
"16",281499511021,43,1665
"17",281499503001,14,395
"18",281499502003,14,615
"19",281499505002,14,520
"20",281259501002,36,540
"21",281510006004,25,545
"22",281510007023,25,615
"23",281510009001,25,605
"24",281510007011,25,1205
"25",281510017003,25,625
"26",281510021001,7,905
"27",281339503003,7,425
"28",281339506002,7,995
"29",281339502001,7,795
"30",280119504005,7,575
"31",280119507021,7,1605
"32",281139505001,48,600
"33",281139506004,48,1205
"34",281139504002,48,1250
"35",281139503004,48,645
"36",280859506002,41,480
"37",280859505003,41,1195
"38",280859503003,48,780
"39",280779602002,41,1110
"40",280299501004,41,1255
"41",280299501001,41,865
"42",280490112012,45,1120
"43",280490105006,1,700
"44",280490103052,1,1110
"45",280490108081,29,1060
"46",280490108012,10,465
"47",280490112023,45,1190
"48",280490109023,36,375
"49",280490007004,36,1160
"50",280490110021,29,1075
"51",280490111023,29,1360
"52",280490111012,29,965
"53",280490036001,29,915
"54",280490022002,6,950
"55",280490037003,29,795
"56",281210204011,10,1580
"57",280539501003,25,420
"58",281639503002,26,1280
"59",281639503004,26,750
"60",280519503002,37,505
"61",281339504013,7,565
"62",280839503001,26,1540
"63",280839506004,26,550
"64",280839502001,44,260
"65",281339502002,7,990
"66",281339501004,7,595
"67",281359503003,26,580
"68",280279505002,12,855
"69",280279507002,12,485
"70",280279507001,7,1010
"71",281199503004,12,615
"72",281439501001,12,590
"73",281099504014,19,1375
"74",281479503004,48,1130
"75",280919502002,47,1300
"76",280919506003,19,810
"77",280919505001,30,1050
"78",280779602003,47,945
"79",280659501003,41,930
"80",280919501002,47,680
"81",281279504005,41,900
"82",281279504002,41,920
"83",280490006001,6,670
"84",280490038001,29,1320
"85",280490008002,6,620
"86",280490115001,10,1015
"87",280490020002,10,170
"88",280490006003,36,625
"89",280490114002,6,290
"90",280490012002,6,850
"91",280490005001,6,620
"92",280490016003,6,1020
"93",280490102023,36,1095
"94",280490027002,6,565
"95",280490101023,37,855
"96",280490101024,37,325
"97",280490002001,10,760
"98",280490002003,6,955
"99",281210207044,33,990
"100",280490014002,10,1090
"101",281210206003,33,1695
"102",281210210022,45,2550
"103",281210202085,33,730
"104",281210202082,33,2430
"105",281210208022,33,2535
"106",281210202061,33,1395
"107",281210208021,45,1840
"108",281210201012,28,1760
"109",281210209001,45,1705
"110",281210201021,28,1500
"111",280890303012,1,1795
"112",280890305001,37,2300
"113",280890309001,37,1095
"114",280519505004,37,660
"115",280519501005,44,200
"116",280839508004,44,390
"117",281359502003,38,555
"118",281079501003,12,1180
"119",280330703242,5,1465
"120",280330702211,24,1390
"121",280330703231,5,2710
"122",280330704222,5,990
"123",280330702221,24,3255
"124",280330711101,27,1930
"125",280330705201,5,5635
"126",280330710003,27,4685
"127",280330706201,5,5245
"128",280330707221,27,2575
"129",281379502004,27,940
"130",280330708212,27,2120
"131",280330709001,27,1025
"132",280450302002,31,1420
"133",280450302006,31,220
"134",280450306021,31,895
"135",280450301005,15,695
"136",280450301001,21,1250
"137",281099505013,31,1235
"138",281099505014,31,1750
"139",281099505022,19,2760
"140",280450306013,31,2215
"141",280470035022,21,1855
"142",281310202022,34,1280
"143",280730205003,30,885
"144",281099501003,19,1155
"145",280350105002,30,1320
"146",280319504003,47,1145
"147",280350102003,17,220
"148",280730203014,30,1900
"149",280350008001,30,270
"150",280350010001,17,770
"151",280350102001,39,1835
"152",280319503003,41,730
"153",281299502006,2,550
"154",281299503005,17,980
"155",281299503001,17,595
"156",280619501003,17,940
"157",281230203002,28,1040
"158",280790407001,18,1035
"159",280790407003,18,770
"160",281230202001,18,915
"161",281010502003,18,775
"162",280999401002,18,1410
"163",280990102003,16,935
"164",280070604003,44,615
"165",281559502001,46,730
"166",281619502003,38,720
"167",280719505012,32,920
"168",280139502001,4,700
"169",280139501002,38,655
"170",280139501001,4,1175
"171",280719503012,32,2370
"172",280719502021,38,2810
"173",280719504011,32,2635
"174",280939505003,52,1320
"175",280939504012,52,740
"176",280939504011,52,1195
"177",280939503001,52,800
"178",280470024003,21,690
"179",280470020002,42,585
"180",280470016004,42,515
"181",280470017005,42,1120
"182",280470017001,42,1085
"183",280470015022,13,1385
"184",280470034031,13,1660
"185",280470012012,42,825
"186",280470006003,42,210
"187",280470033012,23,650
"188",280470001001,15,130
"189",280470032052,13,1030
"190",280590402043,23,970
"191",280399503013,34,460
"192",280350101012,23,1930
"193",280350106004,30,1745
"194",280350002003,39,700
"195",280350107002,39,525
"196",280619502002,17,600
"197",280679506001,39,690
"198",280679504023,2,1580
"199",280679501004,11,455
"200",280619504003,2,695
"201",280619504001,11,980
"202",280619504004,2,1095
"203",281010503005,2,810
"204",280990107001,18,1275
"205",280990104001,16,445
"206",280990106003,22,840
"207",280990101002,22,1475
"208",281010501001,22,865
"209",280690302005,16,245
"210",281599502001,16,1250
"211",281599503001,16,360
"212",281599504004,16,540
"213",280199502003,18,725
"214",281059507001,18,1465
"215",281059506021,46,1995
"216",280179503002,4,750
"217",280179503004,4,795
"218",281159505003,4,1025
"219",281159504002,4,670
"220",281459503002,9,565
"221",281459506001,4,1085
"222",281459503003,9,1540
"223",281459504002,9,960
"224",281459505002,9,1330
"225",281399503001,35,525
"226",281399501002,35,795
"227",280590405002,42,770
"228",280590407005,15,1185
"229",280590402031,15,2035
"230",280590409001,20,3615
"231",280590411004,20,1455
"232",280590410004,20,860
"233",280590410002,15,1835
"234",280590422001,15,775
"235",280590422004,20,905
"236",280590426003,20,440
"237",280590421002,20,415
"238",280590416002,20,605
"239",280590421001,20,560
"240",280590417001,20,400
"241",280590402011,23,1545
"242",280590413003,20,720
"243",280590401014,20,1980
"244",280399501022,23,705
"245",281539503002,3,560
"246",281539502004,11,390
"247",281539501002,3,1575
"248",280750007004,3,960
"249",280750011013,3,345
"250",280750107002,3,690
"251",280750106005,22,1095
"252",280750103013,22,1450
"253",280750010001,22,1030
"254",281039501002,16,575
"255",281059505004,46,625
"256",280259505003,46,1280
"257",280870008004,51,585
"258",280870011001,16,585
"259",280959502005,8,655
"260",280259505001,51,770
"261",280870001022,46,535
"262",280959501004,8,1190
"263",280959505021,8,1570
"264",280819509012,9,1260
"265",280819504012,50,1125
"266",280819509023,50,795
"267",280819504021,9,2285
"268",280819508001,50,605
"269",280819506023,50,625
"270",280819511004,8,510
"271",280579502004,50,965
"272",280579503002,50,1110
"273",280579503001,50,525
"274",280579504002,8,1715
"275",280819502014,9,1140
"276",280819501023,9,770
"277",280819501022,49,560
"278",281179503001,49,815
"279",281179502004,49,1110
"280",281179501004,49,605
"281",280579502001,49,865
"282",280039507002,9,1025
"283",280039505004,35,1190
"284",280039503001,35,1100
"285",280039502002,35,1235
"286",280039502005,35,1105
"287",280039502006,35,755
"288",280039501001,35,1055
"289",280870005001,51,1215
"290",280870004041,16,925
"291",280870004012,8,1455
"292",280870001013,8,1760
"293",281419501003,49,1070
"294",281579501001,40,890
"295",280010004001,40,490
"296",280010009002,40,1040
"297",280010006001,40,345
"298",280010002002,40,1090
"299",280010001004,40,880
"300",280059502004,43,325
"301",280059503002,43,790
"302",280059503003,48,690
"303",280379501005,43,675
"304",280639502001,40,1200
"305",281499501003,14,1035
"306",281499509022,14,1580
"307",281259501001,25,100
"308",281510007013,25,300
"309",281510007024,25,415
"310",281510011001,25,475
"311",281339503002,26,550
"312",280119506005,7,1395
"313",280119507022,7,810
"314",280119507013,7,1210
"315",280119507011,7,1045
"316",280279502002,25,680
"317",280059501001,43,450
"318",281139501022,43,585
"319",281139505006,48,475
"320",281139507004,48,650
"321",280859502003,43,965
"322",281139505004,48,640
"323",281139504001,48,1255
"324",280859504003,41,1425
"325",281139503003,48,530
"326",281139503002,48,690
"327",280779603001,47,1020
"328",280299503001,45,1080
"329",280299505003,41,490
"330",280490104004,1,195
"331",280490108051,1,885
"332",280490103013,36,1170
"333",280490109011,6,1045
"334",280490037002,29,625
"335",280490032002,10,395
"336",280890303022,1,1005
"337",280890304002,14,8670
"338",281639505001,26,1135
"339",281639501003,25,3405
"340",281339504023,7,1340
"341",281339505003,26,435
"342",280839501001,44,370
"343",280279505003,12,645
"344",280279507004,12,535
"345",280279503002,12,645
"346",281359503002,12,3520
"347",281199502001,12,620
"348",281199501002,7,470
"349",281199501001,12,1055
"350",281379503021,12,1305
"351",281439502002,12,470
"352",280330701011,24,1005
"353",281099502002,19,1625
"354",281479502001,48,785
"355",281479501006,19,475
"356",280919506001,47,1200
"357",280919504003,47,610
"358",280659502023,47,825
"359",280659501004,47,740
"360",281279504008,41,445
"361",280659501002,41,975
"362",281279501002,45,815
"363",280490021002,10,795
"364",280490034002,10,470
"365",280490008003,36,650
"366",280490025002,10,1105
