"","GEOID10","District","total_population"
"1",281579502002,47,1016
"2",281579502005,47,515
"3",280010007002,47,884
"4",280010007001,47,690
"5",280010008003,47,1374
"6",280010004003,47,1469
"7",280010005001,47,900
"8",280010001003,47,1641
"9",280559501001,44,282
"10",280059502002,31,1135
"11",280639501001,4,832
"12",280859502002,3,1134
"13",280219502001,3,769
"14",280219503004,3,888
"15",280299503002,4,1390
"16",281499511021,3,2440
"17",281499503001,44,478
"18",281499502003,44,983
"19",281499505002,3,643
"20",281259501002,27,663
"21",281510006004,44,897
"22",281510007023,44,796
"23",281510009001,44,820
"24",281510007011,44,1639
"25",281510017003,44,1137
"26",281510021001,44,1180
"27",281339503003,35,665
"28",281339506002,49,1264
"29",281339502001,35,865
"30",280119504005,35,772
"31",280119507021,35,1975
"32",281139505001,47,810
"33",281139506004,31,1561
"34",281139504002,31,1462
"35",281139503004,31,794
"36",280859506002,31,638
"37",280859505003,4,1641
"38",280859503003,3,861
"39",280779602002,5,1486
"40",280299501004,5,2168
"41",280299501001,5,1102
"42",280490112012,4,1444
"43",280490105006,7,813
"44",280490103052,27,2076
"45",280490108081,5,1344
"46",280490108012,27,800
"47",280490112023,7,1648
"48",280490109023,27,452
"49",280490007004,27,1448
"50",280490110021,29,1554
"51",280490111023,5,1745
"52",280490111012,5,1612
"53",280490036001,29,1626
"54",280490022002,29,1143
"55",280490037003,29,1181
"56",281210204011,18,2062
"57",280539501003,49,625
"58",281639503002,49,1953
"59",281639503004,49,1139
"60",280519503002,39,632
"61",281339504013,49,698
"62",280839503001,39,2153
"63",280839506004,49,643
"64",280839502001,49,322
"65",281339502002,35,1272
"66",281339501004,26,943
"67",281359503003,35,778
"68",280279505002,26,1276
"69",280279507002,26,715
"70",280279507001,26,1383
"71",281199503004,26,730
"72",281439501001,35,745
"73",281099504014,33,1719
"74",281479503004,47,1446
"75",280919502002,16,1748
"76",280919506003,47,1144
"77",280919505001,11,1446
"78",280779602003,31,1333
"79",280659501003,5,1227
"80",280919501002,16,775
"81",281279504005,50,1127
"82",281279504002,50,1233
"83",280490006001,27,954
"84",280490038001,29,2212
"85",280490008002,27,805
"86",280490115001,29,1327
"87",280490020002,29,190
"88",280490006003,27,711
"89",280490114002,29,337
"90",280490012002,27,1080
"91",280490005001,27,710
"92",280490016003,29,1147
"93",280490102023,41,1350
"94",280490027002,18,577
"95",280490101023,41,897
"96",280490101024,41,476
"97",280490002001,41,984
"98",280490002003,41,1386
"99",281210207044,20,1492
"100",280490014002,18,1364
"101",281210206003,18,2716
"102",281210210022,18,3443
"103",281210202085,20,1019
"104",281210202082,20,2827
"105",281210208022,18,3737
"106",281210202061,52,1840
"107",281210208021,20,2655
"108",281210201012,52,2426
"109",281210209001,52,2322
"110",281210201021,52,1984
"111",280890303012,41,2593
"112",280890305001,39,3439
"113",280890309001,40,1528
"114",280519505004,39,944
"115",280519501005,40,344
"116",280839508004,49,595
"117",281359502003,35,801
"118",281079501003,26,1694
"119",280330703242,6,2119
"120",280330702211,6,1607
"121",280330703231,6,4100
"122",280330704222,6,1387
"123",280330702221,6,4179
"124",280330711101,6,2443
"125",280330705201,46,8122
"126",280330710003,46,6217
"127",280330706201,46,7781
"128",280330707221,21,3696
"129",281379502004,12,1544
"130",280330708212,46,2919
"131",280330709001,21,1597
"132",280450302002,33,2068
"133",280450302006,30,283
"134",280450306021,33,1158
"135",280450301005,30,920
"136",280450301001,30,1501
"137",281099505013,15,1544
"138",281099505014,33,2223
"139",281099505022,15,3517
"140",280450306013,15,2708
"141",280470035022,30,2588
"142",281310202022,38,1597
"143",280730205003,16,1209
"144",281099501003,16,1431
"145",280350105002,43,1671
"146",280319504003,24,1555
"147",280350102003,11,261
"148",280730203014,38,2976
"149",280350008001,38,325
"150",280350010001,11,906
"151",280350102001,11,2391
"152",280319503003,50,781
"153",281299502006,28,663
"154",281299503005,28,1174
"155",281299503001,28,675
"156",280619501003,28,1483
"157",281230203002,52,1196
"158",280790407001,40,1284
"159",280790407003,40,1051
"160",281230202001,17,1319
"161",281010502003,17,979
"162",280999401002,17,2083
"163",280990102003,32,1331
"164",280070604003,40,924
"165",281559502001,37,830
"166",281619502003,42,848
"167",280719505012,42,1148
"168",280139502001,42,885
"169",280139501002,45,831
"170",280139501001,45,1605
"171",280719503012,23,2392
"172",280719502021,42,3301
"173",280719504011,23,3451
"174",280939505003,12,1559
"175",280939504012,21,1034
"176",280939504011,12,1808
"177",280939503001,9,1181
"178",280470024003,13,907
"179",280470020002,13,742
"180",280470016004,10,794
"181",280470017005,10,1402
"182",280470017001,10,1503
"183",280470015022,14,1935
"184",280470034031,30,2142
"185",280470012012,10,1395
"186",280470006003,13,216
"187",280470033012,14,1010
"188",280470001001,13,218
"189",280470032052,30,1126
"190",280590402043,2,1354
"191",280399503013,38,594
"192",280350101012,43,2858
"193",280350106004,38,2133
"194",280350002003,38,944
"195",280350107002,38,608
"196",280619502002,28,776
"197",280679506001,28,1395
"198",280679504023,28,2068
"199",280679501004,36,662
"200",280619504003,36,820
"201",280619504001,28,1356
"202",280619504004,36,1375
"203",281010503005,17,998
"204",280990107001,19,1778
"205",280990104001,32,586
"206",280990106003,17,1163
"207",280990101002,32,1918
"208",281010501001,19,1156
"209",280690302005,48,283
"210",281599502001,32,1671
"211",281599503001,32,627
"212",281599504004,32,733
"213",280199502003,8,834
"214",281059507001,8,2087
"215",281059506021,8,2899
"216",280179503002,45,896
"217",280179503004,45,1494
"218",281159505003,45,1432
"219",281159504002,42,784
"220",281459503002,9,777
"221",281459506001,9,1613
"222",281459503003,9,1865
"223",281459504002,22,1592
"224",281459505002,22,1649
"225",281399503001,22,787
"226",281399501002,1,1005
"227",280590405002,14,979
"228",280590407005,13,1524
"229",280590402031,2,2741
"230",280590409001,13,4722
"231",280590411004,13,1950
"232",280590410004,14,963
"233",280590410002,43,2309
"234",280590422001,43,817
"235",280590422004,43,1227
"236",280590426003,2,553
"237",280590421002,43,605
"238",280590416002,2,758
"239",280590421001,13,881
"240",280590417001,43,479
"241",280590402011,2,1980
"242",280590413003,2,718
"243",280590401014,2,2447
"244",280399501022,24,846
"245",281539503002,36,704
"246",281539502004,36,561
"247",281539501002,36,1920
"248",280750007004,36,1307
"249",280750011013,19,432
"250",280750107002,19,817
"251",280750106005,19,1393
"252",280750103013,48,1924
"253",280750010001,19,1246
"254",281039501002,48,947
"255",281059505004,8,677
"256",280259505003,37,1576
"257",280870008004,37,899
"258",280870011001,48,781
"259",280959502005,45,736
"260",280259505001,37,1033
"261",280870001022,37,771
"262",280959501004,34,1439
"263",280959505021,34,2039
"264",280819509012,25,1930
"265",280819504012,45,1829
"266",280819509023,25,1089
"267",280819504021,25,3370
"268",280819508001,25,1115
"269",280819506023,25,794
"270",280819511004,45,742
"271",280579502004,25,1209
"272",280579503002,34,1205
"273",280579503001,34,742
"274",280579504002,34,2399
"275",280819502014,22,1454
"276",280819501023,22,976
"277",280819501022,22,654
"278",281179503001,22,898
"279",281179502004,22,1726
"280",281179501004,34,753
"281",280579502001,25,1249
"282",280039507002,1,1305
"283",280039505004,1,1564
"284",280039503001,1,1476
"285",280039502002,1,1602
"286",280039502005,1,1517
"287",280039502006,1,765
"288",280039501001,1,1237
"289",280870005001,37,1469
"290",280870004041,48,1194
"291",280870004012,37,1940
"292",280870001013,34,2404
"293",281419501003,1,1399
"294",281579501001,47,1203
"295",280010004001,47,525
"296",280010009002,47,1111
"297",280010006001,3,658
"298",280010002002,47,1292
"299",280010001004,3,1258
"300",280059502004,31,424
"301",280059503002,47,1093
"302",280059503003,47,800
"303",280379501005,3,1020
"304",280639502001,3,1489
"305",281499501003,44,1312
"306",281499509022,4,1978
"307",281259501001,49,101
"308",281510007013,44,400
"309",281510007024,44,498
"310",281510011001,44,682
"311",281339503002,49,873
"312",280119506005,35,1498
"313",280119507022,35,1045
"314",280119507013,35,1602
"315",280119507011,35,1456
"316",280279502002,35,791
"317",280059501001,47,484
"318",281139501022,31,636
"319",281139505006,47,973
"320",281139507004,47,831
"321",280859502003,3,1298
"322",281139505004,31,819
"323",281139504001,31,1980
"324",280859504003,3,1723
"325",281139503003,31,1042
"326",281139503002,31,1009
"327",280779603001,31,1264
"328",280299503001,4,1539
"329",280299505003,5,701
"330",280490104004,7,289
"331",280490108051,27,1180
"332",280490103013,7,1667
"333",280490109011,27,1165
"334",280490037002,29,1013
"335",280490032002,29,534
"336",280890303022,41,1348
"337",280890304002,39,12444
"338",281639505001,49,1651
"339",281639501003,49,4454
"340",281339504023,49,1920
"341",281339505003,49,531
"342",280839501001,35,540
"343",280279505003,26,856
"344",280279507004,26,803
"345",280279503002,26,723
"346",281359503002,26,4420
"347",281199502001,26,817
"348",281199501002,26,514
"349",281199501001,26,1569
"350",281379503021,26,1987
"351",281439502002,35,844
"352",280330701011,21,1347
"353",281099502002,16,1912
"354",281479502001,47,976
"355",281479501006,16,837
"356",280919506001,16,1580
"357",280919504003,16,839
"358",280659502023,5,1005
"359",280659501004,5,963
"360",281279504008,5,499
"361",280659501002,50,1190
"362",281279501002,50,947
"363",280490021002,27,1134
"364",280490034002,18,710
"365",280490008003,29,1377
"366",280490025002,29,1495
"367",280490030001,29,508
"368",280490013001,29,1787
"369",280490005004,27,1695
"370",280490005003,41,1492
"371",280490015001,18,862
"372",280490004002,41,879
"373",280490003023,41,1230
"374",280490003022,41,806
"375",280490001003,41,1681
"376",281210203013,20,1214
"377",280890301071,52,608
"378",281210203021,18,1647
"379",281210205001,18,1520
"380",281210204023,50,2426
"381",281219800001,20,73
"382",281210202072,20,2227
"383",281210202103,20,2176
"384",281210210021,50,617
"385",281210201022,20,3507
"386",280890302051,41,985
"387",280890301051,52,776
"388",280890302012,40,2597
"389",280890306002,40,2659
"390",280519504002,49,1077
"391",280519502002,39,1128
"392",280519505001,39,1581
"393",280519505002,39,1234
"394",280839507001,51,989
"395",280839504003,51,2723
"396",280159502003,51,1297
"397",280159502004,51,1032
"398",281359501002,23,1220
"399",280439501003,51,2545
"400",280439501002,37,2028
"401",281619501002,42,996
"402",281619503002,42,1002
"403",281079503001,26,2106
"404",281379502003,9,2061
"405",280330712001,6,1312
"406",280330711203,21,2063
"407",280330711102,6,4340
"408",280330708301,12,6992
"409",280450306024,33,1334
"410",280450306023,33,601
"411",280450304001,33,871
"412",280450303007,30,411
"413",280450302004,30,984
"414",280450305003,33,4695
"415",280470035021,33,1052
"416",281099506003,33,696
"417",281099504023,33,1937
"418",281099504021,33,3254
"419",280450306012,33,1482
"420",281310202021,15,3289
"421",280730203011,38,3644
"422",280319502001,24,1648
"423",280730202023,11,5031
"424",280350009003,38,947
"425",280350102002,11,1305
"426",280319503002,50,1017
"427",281299502003,28,985
"428",281299502001,50,1105
"429",281230204002,52,1013
"430",281230204001,52,1353
"431",281299501003,28,1706
"432",280790407002,17,1331
"433",280790406004,17,1762
"434",280790401003,40,661
"435",280070605004,39,1164
"436",280070604002,39,1491
"437",281599502002,51,391
"438",280719505022,42,1182
"439",281619501001,42,1176
"440",280719503013,42,1732
"441",280719502013,23,1042
"442",280939505002,12,1205
"443",280939502001,12,1718
"444",280939502002,21,2136
"445",280939501004,12,1346
"446",280470024002,30,2300
"447",280470025001,13,2166
"448",280470038001,13,635
"449",280470032053,10,2520
"450",280470019002,10,844
"451",280470032072,10,2063
"452",280470032083,14,656
"453",280470032071,30,1412
"454",280470032082,30,1468
"455",280470015011,10,1553
"456",280470033042,10,2428
"457",280470033041,14,1764
"458",280470006002,13,338
"459",280470039003,13,795
"460",280470033033,10,2429
"461",280470033015,13,276
"462",280470003003,13,451
"463",280470035012,15,4055
"464",280470034041,15,714
"465",280470034042,15,795
"466",280470032061,15,3749
"467",280590402042,2,3107
"468",280590402041,2,2858
"469",281310201002,38,1371
"470",281119501023,24,1145
"471",280350003001,38,1040
"472",280350104002,11,1157
"473",280679503022,50,1405
"474",280350101011,24,3814
"475",280350101022,24,2232
"476",281119501013,36,1894
"477",280679505003,28,1193
"478",280679505002,28,485
"479",280679507002,28,1081
"480",280679508002,36,1118
"481",280679501001,36,817
"482",281010505002,17,752
"483",280619501001,28,1431
"484",281010503001,17,1479
"485",281599502004,51,1176
"486",281599503002,32,1064
"487",281599501001,32,821
"488",281599505001,32,1617
"489",281559503001,51,459
"490",280199501001,32,930
"491",281559501003,32,1244
"492",281059507003,32,1559
"493",280179504003,45,888
"494",280259502001,37,1201
"495",280259501001,45,1348
"496",280099502001,9,1296
"497",281459504003,22,1358
"498",281399504003,22,2386
"499",281459501003,22,1049
"500",280099501004,9,1729
"501",281399503003,22,527
"502",281399502001,1,2550
"503",280590405003,13,407
"504",280590406003,14,1467
"505",280590404001,14,2605
"506",280590410001,43,521
"507",280590411002,13,992
"508",280590414003,2,552
"509",280590421004,43,923
"510",280590419001,43,2079
"511",280590420004,13,573
"512",280590401022,43,2895
"513",280419501004,24,3817
"514",281539504003,24,1382
"515",281539504002,36,2075
"516",280419501001,24,1496
"517",280239503003,36,411
"518",280750010004,36,662
"519",280750002002,19,979
"520",280750010002,19,1231
"521",280750105002,36,1158
"522",280750102014,19,1566
"523",280239501002,19,1438
"524",280750102022,8,1317
"525",280750102012,48,1647
"526",281039503001,8,925
"527",281039501003,8,752
"528",281059505002,8,1774
"529",281059506023,32,1265
"530",281059505001,8,669
"531",281059506012,32,2008
"532",281059501001,8,1679
"533",280870010001,8,1386
"534",280870009004,48,654
"535",280870004032,48,1956
"536",280259501002,37,1202
"537",280259504001,37,901
"538",280959508002,45,1394
"539",280870002001,37,1673
"540",280819504023,25,2698
"541",280819506022,25,2199
"542",280819506011,25,2030
"543",280819510011,45,1864
"544",280819505005,25,966
"545",280819505003,25,1296
"546",280819505001,25,1999
"547",280819511005,34,773
"548",280579501003,25,1283
"549",280819502023,22,1482
"550",280819501012,22,1500
"551",281179505001,22,1933
"552",281179502002,22,1654
"553",281179503004,34,893
"554",280039504004,1,1969
"555",280039506001,1,1786
"556",280870005002,48,1403
"557",281419504004,34,953
"558",281419501002,1,1058
"559",280010009004,47,929
"560",280010005005,3,569
"561",280639501004,3,335
"562",280639501003,3,383
"563",280219501003,3,642
"564",281499511022,3,921
"565",281579501003,47,1742
"566",280059503004,31,443
"567",280059501002,31,1210
"568",280379501004,31,1072
"569",280639501002,3,1044
"570",280219503003,3,1813
"571",281499502002,44,698
"572",281499501004,44,1793
"573",281499509012,44,3039
"574",281499501001,44,822
"575",280490106003,4,1468
"576",281499501002,7,824
"577",281259501004,7,963
"578",281259502002,7,990
"579",281510020001,44,424
"580",281510004004,44,341
"581",281510009002,44,1044
"582",281510007012,44,1641
"583",281510003002,44,1102
"584",281510013001,44,1402
"585",281510016002,44,721
"586",280119506001,35,1129
"587",280119505002,35,2380
"588",280119503002,35,1103
"589",281139506001,47,1482
"590",281139507003,47,718
"591",281479501004,31,1381
"592",280859502004,3,1580
