"","GEOID10","District","total_population"
"1",350319438002,33,900
"2",350319436002,10,900
"3",350319452002,45,440
"4",350319452004,45,635
"5",350319454002,45,655
"6",350319437004,45,995
"7",350319438001,33,695
"8",350459428032,11,680
"9",350459428031,11,605
"10",350459428033,11,605
"11",350179648001,64,880
"12",350179643004,40,745
"13",350179646002,7,705
"14",350319460003,47,1100
"15",350319435002,47,845
"16",350450005053,22,580
"17",350450005054,22,495
"18",350450003012,22,750
"19",350450002023,4,1025
"20",350459433001,22,1560
"21",350450006132,4,1155
"22",350069744001,47,965
"23",350069742023,47,930
"24",350069742011,25,1095
"25",350450006131,58,895
"26",350459432011,33,640
"27",350450007021,33,1055
"28",350069461002,25,750
"29",350399410002,33,840
"30",350619708003,53,620
"31",350619708005,53,295
"32",350619708001,53,1215
"33",350619709021,42,1425
"34",350619709011,53,1095
"35",350019406004,2,20
"36",350010047361,19,570
"37",350010047391,1,1260
"38",350010047401,19,1040
"39",350010047421,69,0
"40",350010047501,18,1600
"41",350010047471,69,3145
"42",350010047351,23,715
"43",350010046043,23,1990
"44",350010044022,23,1290
"45",350010040011,2,840
"46",350619701023,46,1850
"47",350619703013,46,1465
"48",350010011021,29,525
"49",350010011014,29,990
"50",350010009034,29,1280
"51",350619703012,42,550
"52",350010009041,13,280
"53",350010009042,29,855
"54",350010007075,12,1140
"55",350010007141,29,1325
"56",350010007142,13,565
"57",350010007113,12,760
"58",350619703014,42,1500
"59",350619701013,42,565
"60",350010038071,13,475
"61",350430107123,68,590
"62",350430107211,54,1580
"63",350010047221,30,1335
"64",350430107051,68,1590
"65",350010030022,32,1415
"66",350010025002,32,965
"67",350010031002,18,530
"68",350430107193,70,1315
"69",350010027004,32,800
"70",350430107141,70,2645
"71",350010014002,34,650
"72",350010027005,32,665
"73",350010027001,32,475
"74",350430107034,70,3035
"75",350010015001,55,825
"76",350010032011,27,965
"77",350010017005,29,680
"78",350010002042,27,1360
"79",350430107021,56,1355
"80",350010002051,31,620
"81",350010004022,36,640
"82",350430107181,68,4565
"83",350010002072,31,520
"84",350010037251,26,1255
"85",350010002031,26,795
"86",350010006013,36,750
"87",350010037071,26,1225
"88",350010006011,36,905
"89",350010037121,37,1080
"90",350010037174,26,675
"91",350430105032,48,945
"92",350010001231,12,595
"93",350010007072,36,520
"94",350010007074,12,650
"95",350010001141,16,1290
"96",350010001152,36,760
"97",350010001282,12,1035
"98",350010001102,60,995
"99",350010001284,12,485
"100",350010007043,12,1295
"101",350010037291,37,715
"102",350010001132,16,1330
"103",350010037192,16,1575
"104",350010001161,12,1165
"105",350010037292,17,1010
"106",350010037312,17,1895
"107",350010001251,13,985
"108",350010037211,17,885
"109",350010038032,8,945
"110",350390003003,50,1075
"111",350350009021,6,360
"112",350350002002,9,660
"113",350350003062,9,505
"114",350350007001,24,335
"115",350490012051,52,1520
"116",350490011021,43,1705
"117",350490010011,20,595
"118",350490001011,20,1755
"119",350280005005,62,775
"120",350399408002,61,1950
"121",350399441005,50,1075
"122",350279604001,24,935
"123",350279608001,63,1030
"124",350279606002,63,1075
"125",350279606001,63,1980
"126",350279604004,24,1100
"127",350479576003,20,1520
"128",350559401002,41,3305
"129",350559526003,44,1760
"130",350559521004,44,550
"131",350199616001,65,880
"132",350479575001,57,400
"133",350479573002,57,660
"134",350150007002,51,1090
"135",350150009003,51,1350
"136",350050008001,21,1320
"137",350050003005,66,805
"138",350050010021,66,2100
"139",350050011013,21,345
"140",350199616002,65,1125
"141",350150006004,39,745
"142",350150006003,39,1225
"143",350150004013,51,760
"144",350150003005,39,580
"145",350150002003,39,1515
"146",350150011001,51,770
"147",350090006011,15,480
"148",350250002003,49,750
"149",350250005031,49,925
"150",350250002002,49,780
"151",350250005026,38,695
"152",350250004002,49,395
"153",350250003001,49,470
"154",350250010034,38,530
"155",350250010031,38,800
"156",350250010041,49,640
"157",350410002001,67,690
"158",350410004022,65,985
"159",350090009001,15,1015
"160",350090002011,15,935
"161",350039764001,25,1255
"162",350319405001,10,1085
"163",350319457001,10,1015
"164",350239702002,64,1295
"165",350319403001,10,2015
"166",350319403003,10,2085
"167",350319731001,47,885
"168",350319453002,10,1000
"169",350319454001,45,1180
"170",350459428023,11,690
"171",350459428011,11,680
"172",350290005002,64,820
"173",350290005003,64,625
"174",350179647003,40,1680
"175",350179641002,40,995
"176",350319436006,47,830
"177",350319460004,47,870
"178",350319440001,47,635
"179",350450004023,11,1145
"180",350450003024,58,675
"181",350450001003,58,730
"182",350450006133,4,750
"183",350290004002,64,555
"184",350290001002,64,1405
"185",350450006103,58,1160
"186",350450007071,4,980
"187",350450007061,33,1430
"188",350619703021,42,795
"189",350619704052,53,1440
"190",350010047131,19,875
"191",350010047402,1,1875
"192",350619704013,46,1155
"193",350619714002,53,1410
"194",350430107131,54,1635
"195",350010047483,54,3405
"196",350010047442,1,2880
"197",350430107134,28,1030
"198",350010047423,69,2110
"199",350010047422,30,1845
"200",350430112002,68,605
"201",350350006011,6,700
"202",350279602002,24,915
"203",350010045021,23,890
"204",350619701022,46,835
"205",350010045023,2,1115
"206",350619703032,46,1345
"207",350010045012,2,940
"208",350619701025,46,1235
"209",350619703011,46,495
"210",350010011023,29,675
"211",350010011013,13,595
"212",350010009016,29,185
"213",350010008011,29,1950
"214",350010047502,18,1650
"215",350010024022,34,765
"216",350010047272,30,945
"217",350010024024,34,630
"218",350010047292,18,970
"219",350430107052,70,910
"220",350010047451,54,1510
"221",350010024011,34,1455
"222",350010031003,14,610
"223",350010026001,34,920
"224",350010047171,28,1460
"225",350430107192,70,1095
"226",350430107191,70,820
"227",350010030011,18,830
"228",350010031001,18,1170
"229",350430107142,70,990
"230",350010015002,55,760
"231",350010035021,14,1025
"232",350010017003,55,990
"233",350010037352,27,910
"234",350010017002,29,760
"235",350010017001,55,605
"236",350010002081,31,515
"237",350010002052,31,530
"238",350010004024,32,840
"239",350010002054,31,770
"240",350010004012,32,720
"241",350010037252,27,1180
"242",350010037361,27,1400
"243",350010002061,60,1200
"244",350010037144,26,1905
"245",350010001241,32,505
"246",350430107024,56,1255
"247",350010001222,36,490
"248",350010001221,36,455
"249",350010037151,37,550
"250",350010037322,17,1475
"251",350010037172,26,1790
"252",350010037303,37,1100
"253",350010001292,59,1145
"254",350010007042,12,695
"255",350010037193,16,925
"256",350010001081,16,940
"257",350010001071,13,1275
"258",350439407001,48,2445
"259",350430111004,8,955
"260",350430111002,35,550
"261",350280002002,62,680
"262",350390004002,33,475
"263",350350003053,9,610
"264",350350002001,9,760
"265",350350004021,9,1885
"266",350579637001,24,330
"267",350579636001,35,1035
"268",350490109001,62,2335
"269",350490103081,52,965
"270",350490013034,52,450
"271",350490103152,5,605
"272",350490011072,5,960
"273",350490103161,52,705
"274",350490009001,61,1380
"275",350490103162,43,510
"276",350490011031,43,865
"277",350490010012,43,1230
"278",350490003001,5,1450
"279",350490006002,43,940
"280",350490001013,61,560
"281",350490001012,20,495
"282",350490102032,20,955
"283",350399441003,41,1115
"284",350399407003,50,885
"285",350279608002,63,515
"286",350279603002,24,1130
"287",350339552003,20,1065
"288",350559526004,44,1395
"289",350079507003,44,1245
"290",350559521001,41,205
"291",350479574004,20,1140
"292",350479573004,57,500
"293",350339552005,57,690
"294",350150010005,51,1020
"295",350150010006,51,810
"296",350050012002,65,385
"297",350050008004,66,1005
"298",350050002014,66,380
"299",350050002012,66,665
"300",350050003004,21,560
"301",350050004003,21,245
"302",350050010013,66,1030
"303",350050010011,21,1075
"304",350050011011,21,430
"305",350079506004,57,655
"306",350079505002,44,310
"307",350150006002,39,1290
"308",350150004023,39,1140
"309",350150002001,39,1165
"310",350150002002,39,670
"311",350150010002,51,650
"312",350050014002,21,705
"313",350599502003,57,1285
"314",350410004021,67,695
"315",350379586012,65,425
"316",350379586013,65,685
"317",350379586021,57,760
"318",350250007022,38,2315
"319",350250007031,49,1780
"320",350250005041,38,965
"321",350250005042,38,1120
"322",350250005032,49,685
"323",350250005025,38,1255
"324",350250005022,49,825
"325",350250003002,38,310
"326",350410003002,15,780
"327",350410002003,65,675
"328",350410003004,67,680
"329",350410003001,67,1150
"330",350410001003,67,665
"331",350090001001,15,575
"332",350090002013,15,1195
"333",350090001005,15,395
"334",350090003014,15,1060
"335",350090004003,15,660
"336",350090003013,65,290
"337",350090004002,15,1105
"338",350459429005,11,715
"339",350179641001,40,1005
"340",350319438004,45,545
"341",350319439021,45,1385
"342",350459430003,11,645
"343",350459430002,22,1245
"344",350459428021,22,1915
"345",350179643005,40,1000
"346",350179647004,40,585
"347",350179645003,7,560
"348",350179645002,7,545
"349",350319460002,47,755
"350",350319460001,47,550
"351",350319436004,47,400
"352",350319435001,47,800
"353",350450005031,11,1025
"354",350450003023,58,340
"355",350450002052,22,375
"356",350450006071,33,975
"357",350290004001,64,750
"358",350290004004,64,1435
"359",350519624022,7,790
"360",350069742022,47,685
"361",350450007072,33,415
"362",350450007052,33,1090
"363",350450006102,4,1545
"364",350519623001,40,1415
"365",350539781001,24,1715
"366",350619713001,42,1395
"367",350439409002,47,1040
"368",350619708002,53,1465
"369",350619703031,46,1270
"370",350010047343,19,920
"371",350019406001,69,5480
"372",350019407001,2,2140
"373",350010047482,69,1440
"374",350430107133,28,850
"375",350010047424,1,920
"376",350430109001,25,840
"377",350390005001,50,1055
"378",350619701024,46,520
"379",350010046022,2,1460
"380",350010046033,23,1815
"381",350010046031,23,400
"382",350010013004,2,1135
"383",350010012001,29,840
"384",350010011022,29,755
"385",350010009032,13,1290
"386",350010007143,13,1560
"387",350010007081,12,1420
"388",350010047503,18,1045
"389",350010024012,34,700
"390",350010047282,18,1200
"391",350010023004,19,1925
"392",350010030014,18,865
"393",350010022003,34,795
"394",350010014003,2,485
"395",350010021001,55,1290
"396",350010029002,31,610
"397",350430107161,56,1855
"398",350010029003,31,945
"399",350010017004,55,650
"400",350430106022,56,1540
"401",350430107031,56,2385
"402",350010003001,31,1170
"403",350010034001,31,930
"404",350010034004,31,310
"405",350010002053,27,735
"406",350010005022,55,1825
"407",350010037143,27,1740
"408",350010037235,27,785
"409",350430107173,48,1430
"410",350430107171,48,2220
"411",350010006014,32,780
"412",350010037073,26,1610
"413",350010001224,31,1370
"414",350010037123,37,1030
"415",350010001235,36,980
"416",350010037191,60,1875
"417",350010001111,16,1315
"418",350010001291,59,1370
"419",350010037372,17,1205
"420",350010037262,17,1140
"421",350430111003,8,1505
"422",350439402001,35,1665
"423",350280004002,62,765
"424",350280004001,62,830
"425",350350004023,6,540
"426",350350004011,9,770
"427",350350009013,24,1120
