"","GEOID10","District","total_population"
"1",350319438002,38,1114
"2",350319436002,3,1292
"3",350319452002,29,442
"4",350319452004,3,859
"5",350319454002,29,919
"6",350319437004,38,1367
"7",350319438001,38,1101
"8",350459428032,53,1115
"9",350459428031,53,834
"10",350459428033,53,796
"11",350179648001,44,1139
"12",350179643004,44,873
"13",350179646002,25,992
"14",350319460003,3,1545
"15",350319435002,3,1130
"16",350450005053,53,646
"17",350450005054,38,881
"18",350450003012,64,1136
"19",350450002023,64,1762
"20",350459433001,53,2137
"21",350450006132,53,1438
"22",350069744001,47,1303
"23",350069742023,47,1229
"24",350069742011,7,1821
"25",350450006131,53,1215
"26",350459432011,28,856
"27",350450007021,38,1370
"28",350130014004,44,879
"29",350069461002,7,958
"30",350399410002,28,1349
"31",350130015002,56,620
"32",350130013031,44,993
"33",350130013032,44,914
"34",350130001041,15,2650
"35",350130004013,58,645
"36",350130001022,15,602
"37",350130011031,41,2478
"38",350130001021,15,1390
"39",350130007002,58,978
"40",350130013062,15,5352
"41",350130011041,41,2602
"42",350130018011,41,772
"43",350130016002,41,1193
"44",350619708003,17,692
"45",350619708005,4,334
"46",350619708001,17,1982
"47",350619709021,4,1856
"48",350619709011,17,1435
"49",350019406004,7,19
"50",350010047361,55,1529
"51",350010047391,19,2802
"52",350010047401,54,2021
"53",350010047421,19,0
"54",350010047501,2,2563
"55",350010047471,40,4173
"56",350130017032,56,1426
"57",350130017073,21,1480
"58",350130017061,21,2270
"59",350130017051,21,929
"60",350130018013,41,699
"61",350130018041,24,2053
"62",350130018043,24,2322
"63",350010047351,54,1266
"64",350010046043,55,3135
"65",350010044022,55,1942
"66",350010040011,7,1095
"67",350619701023,4,2239
"68",350619703013,4,2063
"69",350010011021,16,709
"70",350010011014,16,1318
"71",350010009034,16,1799
"72",350619703012,17,1493
"73",350010009041,16,299
"74",350010009042,16,1667
"75",350010007075,39,2524
"76",350010007141,39,1781
"77",350010007142,39,733
"78",350010007113,9,994
"79",350619703014,4,2270
"80",350619701013,69,852
"81",350010038071,59,538
"82",350430107123,5,745
"83",350430107211,66,2093
"84",350010047221,40,1936
"85",350430107051,51,1944
"86",350010030022,60,1885
"87",350010025002,60,1695
"88",350010031002,62,629
"89",350430107193,66,1613
"90",350010027004,60,887
"91",350430107141,51,3368
"92",350010014002,60,859
"93",350010027005,60,813
"94",350010027001,60,834
"95",350430107034,51,4165
"96",350010015001,60,918
"97",350010032011,61,1434
"98",350010017005,57,903
"99",350010002042,65,1665
"100",350430107021,5,1719
"101",350010002051,65,666
"102",350010004022,57,727
"103",350430107181,5,6990
"104",350010002072,65,593
"105",350010037251,35,1426
"106",350010002031,35,882
"107",350010006013,57,945
"108",350010037071,22,1382
"109",350010006011,9,1041
"110",350010037121,18,1293
"111",350010037174,18,745
"112",350430105032,33,1083
"113",350010001231,65,728
"114",350010007072,39,859
"115",350010007074,39,1127
"116",350010001141,46,1589
"117",350010001152,59,1077
"118",350010001282,42,1208
"119",350010001102,46,1236
"120",350010001284,59,715
"121",350010007043,59,1653
"122",350010037291,18,962
"123",350010001132,46,1778
"124",350010037192,46,2162
"125",350010001161,42,1491
"126",350010037292,18,1228
"127",350010037312,11,2494
"128",350010001251,59,1267
"129",350010037211,42,976
"130",350010038032,42,1068
"131",350390003003,49,1718
"132",350350009021,12,431
"133",350350002002,26,801
"134",350350003062,26,681
"135",350350007001,12,471
"136",350490012051,43,3503
"137",350490011021,1,2180
"138",350490010011,30,698
"139",350490001011,6,1856
"140",350280005005,10,1220
"141",350399408002,10,2398
"142",350399441005,49,1385
"143",350279604001,12,1299
"144",350279608001,12,1193
"145",350279606002,12,1363
"146",350279606001,12,2366
"147",350279604004,12,2207
"148",350479576003,6,2330
"149",350559401002,20,4364
"150",350559526003,20,2053
"151",350559521004,27,579
"152",350199616001,34,1004
"153",350479575001,69,464
"154",350479573002,6,789
"155",350150007002,45,1214
"156",350150009003,36,2107
"157",350050008001,13,1607
"158",350050003005,50,1235
"159",350050010021,50,3111
"160",350050011013,50,798
"161",350199616002,34,1637
"162",350150006004,37,1145
"163",350150006003,37,1729
"164",350150004013,37,989
"165",350150003005,36,641
"166",350150002003,36,2043
"167",350150011001,36,969
"168",350090006011,50,612
"169",350250002003,67,1627
"170",350250005031,52,1554
"171",350250002002,67,1759
"172",350250005026,67,1020
"173",350250004002,67,1130
"174",350250003001,52,1122
"175",350250010034,52,954
"176",350250010031,52,1462
"177",350250010041,23,1487
"178",350410002001,23,1102
"179",350410004022,23,1555
"180",350090009001,70,1334
"181",350090002011,70,1278
"182",350039764001,47,1507
"183",350319405001,29,1768
"184",350319457001,29,1467
"185",350239702002,25,1696
"186",350319403001,29,2790
"187",350319403003,29,2736
"188",350319731001,47,970
"189",350319453002,29,1418
"190",350319454001,29,1512
"191",350459428023,53,922
"192",350459428011,38,888
"193",350290005002,25,1052
"194",350290005003,44,1405
"195",350179647003,25,1943
"196",350179641002,44,1069
"197",350319436006,3,1147
"198",350319460004,47,1131
"199",350319440001,8,852
"200",350450004023,64,1785
"201",350450003024,64,940
"202",350450001003,64,1018
"203",350450006133,14,859
"204",350290004002,21,994
"205",350290001002,25,2180
"206",350450006103,14,1594
"207",350450007071,14,1523
"208",350450007061,28,2150
"209",350130017021,56,1566
"210",350130011021,41,980
"211",350130013071,15,1270
"212",350130004012,58,1034
"213",350130004024,68,1355
"214",350130008001,68,613
"215",350130011032,41,1782
"216",350130012031,68,823
"217",350130012032,68,1099
"218",350130012033,68,2166
"219",350130012051,41,2528
"220",350130019001,24,1137
"221",350619703021,4,1110
"222",350619704052,17,2617
"223",350010047131,19,1327
"224",350010047402,54,3799
"225",350619704013,17,1787
"226",350619714002,17,2144
"227",350430107131,66,2427
"228",350010047483,8,5097
"229",350010047442,2,4174
"230",350430107134,5,1315
"231",350010047423,19,2533
"232",350010047422,19,2274
"233",350430112002,8,934
"234",350130018062,56,3010
"235",350130017071,21,3299
"236",350130018052,48,1944
"237",350130018022,48,3428
"238",350350006011,12,817
"239",350279602002,45,1181
"240",350010045021,55,1459
"241",350619701022,17,869
"242",350010045023,55,1458
"243",350619703032,4,1783
"244",350010045012,31,1574
"245",350619701025,69,1597
"246",350619703011,4,1246
"247",350010011023,16,1259
"248",350010011013,16,801
"249",350010009016,16,693
"250",350010008011,39,3393
"251",350010047502,62,2232
"252",350010024022,54,950
"253",350010047272,40,1159
"254",350010024024,2,1090
"255",350010047292,62,1282
"256",350430107052,5,1277
"257",350010047451,66,2324
"258",350010024011,62,2008
"259",350010031003,62,717
"260",350010026001,60,1047
"261",350010047171,63,1896
"262",350430107192,63,1279
"263",350430107191,63,1178
"264",350010030011,61,976
"265",350010031001,62,1353
"266",350430107142,51,1369
"267",350010015002,57,1206
"268",350010035021,61,1222
"269",350010017003,57,1235
"270",350010037352,11,982
"271",350010017002,57,899
"272",350010017001,57,729
"273",350010002081,65,739
"274",350010002052,35,796
"275",350010004024,65,1051
"276",350010002054,65,863
"277",350010004012,57,925
"278",350010037252,35,1651
"279",350010037361,11,2178
"280",350010002061,65,1543
"281",350010037144,35,2184
"282",350010001241,65,573
"283",350430107024,51,1535
"284",350010001222,35,779
"285",350010001221,65,550
"286",350010037151,18,686
"287",350010037322,22,2328
"288",350010037172,22,2123
"289",350010037303,18,1693
"290",350010001292,42,1585
"291",350010007042,59,851
"292",350010037193,46,1252
"293",350010001081,42,1159
"294",350010001071,42,1532
"295",350439407001,33,3544
"296",350430111004,42,1013
"297",350430111002,33,718
"298",350280002002,10,1100
"299",350390004002,28,636
"300",350350003053,26,926
"301",350350002001,26,1145
"302",350350004021,26,2957
"303",350579637001,69,418
"304",350579636001,69,1169
"305",350490109001,33,3196
"306",350490103081,43,1562
"307",350490013034,43,597
"308",350490103152,1,808
"309",350490011072,1,1344
"310",350490103161,1,836
"311",350490009001,32,1731
"312",350490103162,1,642
"313",350490011031,32,1158
"314",350490010012,32,1352
"315",350490003001,32,1643
"316",350490006002,30,1174
"317",350490001013,6,616
"318",350490001012,20,560
"319",350490102032,6,1023
"320",350399441003,49,1445
"321",350399407003,10,1222
"322",350279608002,12,741
"323",350279603002,45,1452
"324",350339552003,6,1220
"325",350559526004,20,2522
"326",350079507003,27,1468
"327",350559521001,27,223
"328",350479574004,6,1289
"329",350479573004,6,670
"330",350339552005,27,816
"331",350150010005,36,1601
"332",350150010006,36,1428
"333",350050012002,50,549
"334",350050008004,45,1430
"335",350050002014,13,592
"336",350050002012,50,776
"337",350050003004,13,820
"338",350050004003,50,381
"339",350050010013,50,1407
"340",350050010011,50,1491
"341",350050011011,13,737
"342",350079506004,27,881
"343",350079505002,27,338
"344",350150006002,37,1765
"345",350150004023,37,1475
"346",350150002001,36,1516
"347",350150002002,37,910
"348",350150010002,36,1210
"349",350050014002,23,1065
"350",350599502003,27,1630
"351",350410004021,23,1000
"352",350379586012,34,731
"353",350379586013,34,990
"354",350379586021,34,940
"355",350250007022,52,3056
"356",350250007031,52,2597
"357",350250005041,52,1387
"358",350250005042,52,1678
"359",350250005032,67,933
"360",350250005025,67,1846
"361",350250005022,67,1338
"362",350250003002,52,596
"363",350410003002,23,1145
"364",350410002003,23,815
"365",350410003004,23,807
"366",350410003001,23,1382
"367",350410001003,23,867
"368",350090001001,34,1124
"369",350090002013,34,1590
"370",350090001005,70,692
"371",350090003014,70,1476
"372",350090004003,70,906
"373",350090003013,70,515
"374",350090004002,70,2044
"375",350459429005,38,986
"376",350179641001,25,1240
"377",350319438004,38,752
"378",350319439021,3,2103
"379",350459430003,38,960
"380",350459430002,38,1758
"381",350459428021,53,2778
"382",350179643005,25,1135
"383",350179647004,44,697
"384",350179645003,25,748
"385",350179645002,25,817
"386",350319460002,3,1033
"387",350319460001,8,786
"388",350319436004,3,529
"389",350319435001,3,1013
"390",350450005031,38,1801
"391",350450003023,14,483
"392",350450002052,14,422
"393",350450006071,28,1411
"394",350290004001,21,1247
"395",350290004004,21,2165
"396",350519624022,44,1096
"397",350069742022,47,893
"398",350450007072,28,611
"399",350450007052,28,1727
"400",350450006102,53,2009
"401",350130017011,21,7193
"402",350519623001,44,1739
