"","GEOID10","District","total_population"
"1",350319438002,14,900
"2",350319436002,20,900
"3",350319452002,14,440
"4",350319452004,20,635
"5",350319454002,14,655
"6",350319437004,14,995
"7",350319438001,12,695
"8",350459428032,14,680
"9",350459428031,14,605
"10",350459428033,38,605
"11",350179648001,18,880
"12",350179643004,18,745
"13",350179646002,32,705
"14",350319460003,17,1100
"15",350319435002,12,845
"16",350450005053,38,580
"17",350450005054,38,495
"18",350450003012,13,750
"19",350450002023,13,1025
"20",350459433001,38,1560
"21",350450006132,13,1155
"22",350069744001,14,965
"23",350069742023,14,930
"24",350069742011,17,1095
"25",350450006131,38,895
"26",350459432011,38,640
"27",350450007021,12,1055
"28",350069461002,17,750
"29",350399410002,12,840
"30",350619708003,28,620
"31",350619708005,24,295
"32",350619708001,28,1215
"33",350619709021,28,1425
"34",350619709011,28,1095
"35",350019406004,24,20
"36",350010047361,9,570
"37",350010047391,33,1260
"38",350010047401,33,1040
"39",350010047421,9,0
"40",350010047501,9,1600
"41",350010047471,4,3145
"42",350010047351,33,715
"43",350010046043,15,1990
"44",350010044022,15,1290
"45",350010040011,24,840
"46",350619701023,24,1850
"47",350619703013,24,1465
"48",350010011021,30,525
"49",350010011014,3,990
"50",350010009034,3,1280
"51",350619703012,28,550
"52",350010009041,3,280
"53",350010009042,8,855
"54",350010007075,8,1140
"55",350010007141,8,1325
"56",350010007142,3,565
"57",350010007113,3,760
"58",350619703014,28,1500
"59",350619701013,24,565
"60",350010038071,16,475
"61",350430107123,1,590
"62",350430107211,20,1580
"63",350010047221,10,1335
"64",350430107051,20,1590
"65",350010030022,30,1415
"66",350010025002,33,965
"67",350010031002,33,530
"68",350430107193,4,1315
"69",350010027004,30,800
"70",350430107141,4,2645
"71",350010014002,15,650
"72",350010027005,30,665
"73",350010027001,30,475
"74",350430107034,20,3035
"75",350010015001,30,825
"76",350010032011,21,965
"77",350010017005,3,680
"78",350010002042,35,1360
"79",350430107021,40,1355
"80",350010002051,41,620
"81",350010004022,8,640
"82",350430107181,20,4565
"83",350010002072,41,520
"84",350010037251,23,1255
"85",350010002031,41,795
"86",350010006013,35,750
"87",350010037071,41,1225
"88",350010006011,8,905
"89",350010037121,23,1080
"90",350010037174,25,675
"91",350430105032,40,945
"92",350010001231,8,595
"93",350010007072,34,520
"94",350010007074,34,650
"95",350010001141,34,1290
"96",350010001152,35,760
"97",350010001282,34,1035
"98",350010001102,35,995
"99",350010001284,8,485
"100",350010007043,34,1295
"101",350010037291,25,715
"102",350010001132,34,1330
"103",350010037192,25,1575
"104",350010001161,34,1165
"105",350010037292,25,1010
"106",350010037312,25,1895
"107",350010001251,34,985
"108",350010037211,25,885
"109",350010038032,25,945
"110",350390003003,42,1075
"111",350350009021,5,360
"112",350350002002,26,660
"113",350350003062,26,505
"114",350350007001,31,335
"115",350490012051,27,1520
"116",350490011021,29,1705
"117",350490010011,29,595
"118",350490001011,6,1755
"119",350280005005,40,775
"120",350399408002,6,1950
"121",350399441005,39,1075
"122",350279604001,36,935
"123",350279608001,5,1030
"124",350279606002,5,1075
"125",350279606001,5,1980
"126",350279604004,5,1100
"127",350479576003,2,1520
"128",350559401002,39,3305
"129",350559526003,39,1760
"130",350559521004,6,550
"131",350199616001,31,880
"132",350479575001,31,400
"133",350479573002,31,660
"134",350150007002,36,1090
"135",350150009003,36,1350
"136",350050008001,11,1320
"137",350050003005,11,805
"138",350050010021,31,2100
"139",350050011013,11,345
"140",350199616002,31,1125
"141",350150006004,36,745
"142",350150006003,7,1225
"143",350150004013,7,760
"144",350150003005,7,580
"145",350150002003,7,1515
"146",350150011001,7,770
"147",350090006011,31,480
"148",350250002003,36,750
"149",350250005031,37,925
"150",350250002002,36,780
"151",350250005026,37,695
"152",350250004002,36,395
"153",350250003001,37,470
"154",350250010034,37,530
"155",350250010031,37,800
"156",350250010041,37,640
"157",350410002001,22,690
"158",350410004022,31,985
"159",350090009001,2,1015
"160",350090002011,22,935
"161",350039764001,18,1255
"162",350319405001,18,1085
"163",350319457001,18,1015
"164",350239702002,18,1295
"165",350319403001,18,2015
"166",350319403003,18,2085
"167",350319731001,14,885
"168",350319453002,20,1000
"169",350319454001,14,1180
"170",350459428023,38,690
"171",350459428011,12,680
"172",350290005002,18,820
"173",350290005003,32,625
"174",350179647003,32,1680
"175",350179641002,18,995
"176",350319436006,20,830
"177",350319460004,14,870
"178",350319440001,20,635
"179",350450004023,38,1145
"180",350450003024,13,675
"181",350450001003,13,730
"182",350450006133,38,750
"183",350290004002,18,555
"184",350290001002,32,1405
"185",350450006103,12,1160
"186",350450007071,13,980
"187",350450007061,13,1430
"188",350619703021,28,795
"189",350619704052,24,1440
"190",350010047131,33,875
"191",350010047402,15,1875
"192",350619704013,28,1155
"193",350619714002,28,1410
"194",350430107131,4,1635
"195",350010047483,17,3405
"196",350010047442,9,2880
"197",350430107134,1,1030
"198",350010047423,9,2110
"199",350010047422,21,1845
"200",350430112002,42,605
"201",350350006011,5,700
"202",350279602002,31,915
"203",350010045021,15,890
"204",350619701022,28,835
"205",350010045023,15,1115
"206",350619703032,28,1345
"207",350010045012,15,940
"208",350619701025,24,1235
"209",350619703011,24,495
"210",350010011023,30,675
"211",350010011013,30,595
"212",350010009016,8,185
"213",350010008011,8,1950
"214",350010047502,9,1650
"215",350010024022,33,765
"216",350010047272,10,945
"217",350010024024,33,630
"218",350010047292,33,970
"219",350430107052,1,910
"220",350010047451,1,1510
"221",350010024011,33,1455
"222",350010031003,21,610
"223",350010026001,30,920
"224",350010047171,4,1460
"225",350430107192,4,1095
"226",350430107191,4,820
"227",350010030011,33,830
"228",350010031001,21,1170
"229",350430107142,1,990
"230",350010015002,30,760
"231",350010035021,21,1025
"232",350010017003,30,990
"233",350010037352,21,910
"234",350010017002,30,760
"235",350010017001,30,605
"236",350010002081,41,515
"237",350010002052,41,530
"238",350010004024,8,840
"239",350010002054,35,770
"240",350010004012,8,720
"241",350010037252,41,1180
"242",350010037361,41,1400
"243",350010002061,35,1200
"244",350010037144,41,1905
"245",350010001241,41,505
"246",350430107024,40,1255
"247",350010001222,41,490
"248",350010001221,35,455
"249",350010037151,25,550
"250",350010037322,23,1475
"251",350010037172,25,1790
"252",350010037303,25,1100
"253",350010001292,34,1145
"254",350010007042,34,695
"255",350010037193,25,925
"256",350010001081,34,940
"257",350010001071,25,1275
"258",350439407001,27,2445
"259",350430111004,27,955
"260",350430111002,27,550
"261",350280002002,42,680
"262",350390004002,12,475
"263",350350003053,5,610
"264",350350002001,26,760
"265",350350004021,26,1885
"266",350579637001,16,330
"267",350579636001,16,1035
"268",350490109001,40,2335
"269",350490103081,27,965
"270",350490013034,27,450
"271",350490103152,19,605
"272",350490011072,19,960
"273",350490103161,19,705
"274",350490009001,29,1380
"275",350490103162,29,510
"276",350490011031,29,865
"277",350490010012,29,1230
"278",350490003001,19,1450
"279",350490006002,29,940
"280",350490001013,6,560
"281",350490001012,6,495
"282",350490102032,6,955
"283",350399441003,12,1115
"284",350399407003,40,885
"285",350279608002,5,515
"286",350279603002,31,1130
"287",350339552003,2,1065
"288",350559526004,6,1395
"289",350079507003,39,1245
"290",350559521001,39,205
"291",350479574004,2,1140
"292",350479573004,2,500
"293",350339552005,2,690
"294",350150010005,36,1020
"295",350150010006,36,810
"296",350050012002,31,385
"297",350050008004,11,1005
"298",350050002014,11,380
"299",350050002012,11,665
"300",350050003004,11,560
"301",350050004003,31,245
"302",350050010013,11,1030
"303",350050010011,31,1075
"304",350050011011,11,430
"305",350079506004,39,655
"306",350079505002,39,310
"307",350150006002,36,1290
"308",350150004023,7,1140
"309",350150002001,7,1165
"310",350150002002,7,670
"311",350150010002,36,650
"312",350050014002,11,705
"313",350599502003,39,1285
"314",350410004021,37,695
"315",350379586012,31,425
"316",350379586013,31,685
"317",350379586021,31,760
"318",350250007022,37,2315
"319",350250007031,37,1780
"320",350250005041,37,965
"321",350250005042,37,1120
"322",350250005032,37,685
"323",350250005025,37,1255
"324",350250005022,36,825
"325",350250003002,37,310
"326",350410003002,22,780
"327",350410002003,22,675
"328",350410003004,31,680
"329",350410003001,22,1150
"330",350410001003,31,665
"331",350090001001,22,575
"332",350090002013,22,1195
"333",350090001005,22,395
"334",350090003014,22,1060
"335",350090004003,2,660
"336",350090003013,22,290
"337",350090004002,2,1105
"338",350459429005,14,715
"339",350179641001,32,1005
"340",350319438004,14,545
"341",350319439021,20,1385
"342",350459430003,12,645
"343",350459430002,12,1245
"344",350459428021,12,1915
"345",350179643005,32,1000
"346",350179647004,32,585
"347",350179645003,32,560
"348",350179645002,32,545
"349",350319460002,20,755
"350",350319460001,17,550
"351",350319436004,20,400
"352",350319435001,12,800
"353",350450005031,38,1025
"354",350450003023,13,340
"355",350450002052,13,375
"356",350450006071,38,975
"357",350290004001,18,750
"358",350290004004,32,1435
"359",350519624022,32,790
"360",350069742022,14,685
"361",350450007072,13,415
"362",350450007052,13,1090
"363",350450006102,12,1545
"364",350519623001,32,1415
"365",350539781001,26,1715
"366",350619713001,24,1395
"367",350439409002,20,1040
"368",350619708002,28,1465
"369",350619703031,24,1270
"370",350010047343,33,920
"371",350019406001,17,5480
"372",350019407001,24,2140
"373",350010047482,17,1440
"374",350430107133,1,850
"375",350010047424,9,920
"376",350430109001,20,840
"377",350390005001,39,1055
"378",350619701024,24,520
"379",350010046022,15,1460
"380",350010046033,15,1815
"381",350010046031,15,400
"382",350010013004,24,1135
"383",350010012001,3,840
"384",350010011022,30,755
"385",350010009032,3,1290
"386",350010007143,8,1560
"387",350010007081,34,1420
"388",350010047503,9,1045
"389",350010024012,33,700
"390",350010047282,10,1200
"391",350010023004,15,1925
"392",350010030014,30,865
"393",350010022003,15,795
"394",350010014003,15,485
"395",350010021001,30,1290
"396",350010029002,30,610
"397",350430107161,1,1855
"398",350010029003,21,945
"399",350010017004,30,650
"400",350430106022,1,1540
"401",350430107031,20,2385
"402",350010003001,8,1170
"403",350010034001,41,930
"404",350010034004,35,310
"405",350010002053,35,735
"406",350010005022,30,1825
"407",350010037143,35,1740
"408",350010037235,41,785
"409",350430107173,40,1430
"410",350430107171,40,2220
"411",350010006014,41,780
"412",350010037073,35,1610
"413",350010001224,35,1370
"414",350010037123,25,1030
"415",350010001235,8,980
"416",350010037191,25,1875
"417",350010001111,34,1315
"418",350010001291,3,1370
"419",350010037372,23,1205
"420",350010037262,25,1140
"421",350430111003,40,1505
"422",350439402001,40,1665
"423",350280004002,42,765
"424",350280004001,42,830
"425",350350004023,26,540
"426",350350004011,26,770
"427",350350009013,36,1120
"428",350490013032,19,770
"429",350490012021,19,840
"430",350490103151,19,1445
"431",350490012032,19,1100
"432",350490011032,29,415
"433",350490002002,19,650
"434",350490010023,29,695
"435",350490008002,19,675
"436",350490006001,29,800
"437",350490011022,29,930
"438",350280005006,42,890
"439",350499403002,6,855
"440",350399408001,40,1340
"441",350399407001,42,765
"442",350390002002,42,1215
"443",350499405001,29,780
"444",350279606003,5,850
"445",350479577002,2,1085
"446",350479576002,2,2035
"447",350339552001,2,1040
"448",350559521003,39,1360
"449",350559521002,6,575
"450",350050011021,36,865
"451",350479578004,2,435
"452",350479578001,2,1070
"453",350479572003,31,560
"454",350479573001,2,515
"455",350479572002,31,405
"456",350079506005,39,685
"457",350150009001,7,955
"458",350050002022,11,715
"459",350050008002,11,595
"460",350050008003,11,890
"461",350050007001,36,535
"462",350050006003,11,440
"463",350050010012,11,1775
"464",350050004004,11,970
"465",350150007001,36,1165
"466",350150006001,7,1255
"467",350150007003,36,825
"468",350150008002,7,865
"469",350150001001,7,1210
"470",350150010004,36,425
"471",350119601001,31,715
"472",350379589003,31,390
"473",350250009001,7,410
"474",350379586022,31,300
"475",350250009003,7,510
"476",350250006007,37,825
"477",350250003004,37,290
"478",350250005023,36,495
"479",350250011002,37,505
"480",350410002002,22,1055
"481",350090002024,22,715
"482",350090003032,22,1800
"483",350319439022,14,1470
"484",350459431002,14,835
"485",350239702001,18,530
"486",350039764003,18,920
"487",350319453001,20,730
"488",350319456001,20,1160
"489",350459431001,12,560
"490",350459428024,38,1085
"491",350459428012,38,440
"492",350179643003,18,1090
"493",350179644001,18,520
"494",350179647001,32,1795
"495",350179646004,32,355
"496",350179645001,18,1025
"497",350319460005,14,480
"498",350319436005,20,525
"499",350450005041,38,615
"500",350450005052,12,790
"501",350450004012,38,1075
"502",350450003021,38,785
"503",350450002012,13,2095
"504",350290001001,32,1060
"505",350519624021,32,1065
"506",350539400001,18,915
"507",350069744002,17,1795
"508",350069742012,14,870
"509",350450006134,13,415
"510",350450006121,12,515
"511",350450007073,13,1360
"512",350450007062,12,675
"513",350519622001,32,1050
"514",350539782002,18,390
"515",350069461001,17,1020
"516",350439409001,12,805
"517",350539783031,26,1410
"518",350619709012,28,405
"519",350619707001,28,850
"520",350619704051,24,945
"521",350010047121,9,2640
"522",350010047371,9,1955
"523",350619704012,28,930
"524",350010047151,15,1365
"525",350010047152,17,1490
"526",350010047432,33,905
"527",350010047431,9,1845
"528",350010047412,33,2365
"529",350019406003,17,1575
"530",350010047461,4,1930
"531",350010047511,10,2710
"532",350430107233,42,3490
"533",350390004003,42,425
"534",350399410001,39,780
"535",350350007004,26,2320
"536",350579636005,24,915
"537",350010046032,15,650
"538",350010023002,15,1625
"539",350010043003,24,940
"540",350010045011,15,740
"541",350010023001,15,1075
"542",350010013001,24,435
"543",350010013003,30,600
"544",350010013002,30,370
"545",350619701011,28,925
"546",350619701012,24,905
"547",350010007082,34,1275
"548",350010007132,34,790
"549",350010007103,3,2770
"550",350010007134,3,1780
"551",350010007101,3,995
"552",350010007102,3,2060
"553",350010047271,10,520
"554",350430107121,1,1315
"555",350010024021,33,715
"556",350010047242,10,1360
"557",350010024013,33,1665
"558",350010047222,10,745
"559",350010030021,33,1930
"560",350010047234,10,1275
"561",350010047523,10,700
"562",350010022001,15,1175
"563",350430107152,4,835
"564",350010014001,15,280
"565",350430107163,4,685
"566",350010047161,1,1735
"567",350010032012,30,965
"568",350430107162,4,710
"569",350010019001,21,850
"570",350010016001,30,940
"571",350010018001,8,445
"572",350010003004,8,750
"573",350010034002,41,960
"574",350010036004,10,1525
"575",350430106012,1,1835
"576",350010002073,41,1010
"577",350010004021,8,695
"578",350010005012,3,610
"579",350010005011,8,1840
"580",350010037242,41,775
"581",350010001191,35,990
"582",350010006044,8,960
"583",350010001242,35,765
"584",350010001181,41,1500
"585",350010001192,35,525
"586",350010037171,41,1160
"587",350010007073,8,325
"588",350010001171,41,1095
"589",350010001214,35,730
"590",350010001215,8,480
"591",350439405003,40,885
"592",350010001172,35,855
"593",350010001211,35,985
"594",350010001103,35,680
"595",350010037321,23,2110
"596",350010037281,23,610
"597",350010037283,25,895
"598",350010001091,25,875
"599",350010001072,34,720
"600",350430111001,27,2470
"601",350010037213,25,1575
"602",350010038041,16,1955
"603",350430110002,40,695
"604",350280005004,40,805
"605",350280004004,42,450
"606",350399408003,40,880
"607",350350005003,26,410
"608",350350005001,26,1060
"609",350350003054,26,1130
"610",350350001002,26,795
"611",350350003063,26,640
"612",350350003041,5,1955
"613",350350004024,26,1505
"614",350350006032,5,1135
"615",350350006031,5,905
"616",350359400001,5,985
"617",350579632021,16,985
"618",350490103092,27,995
"619",350490013041,19,590
"620",350490012043,27,1115
"621",350490103041,27,2105
"622",350490011061,19,1560
"623",350490011052,19,695
"624",350490007001,29,1645
"625",350490108002,29,1545
"626",350490102031,29,0
"627",350399441004,42,1045
"628",350399441001,42,1050
"629",350499406002,6,615
"630",350490101023,6,1110
"631",350390003001,12,960
"632",350479576001,2,1555
"633",350479575002,2,995
"634",350559400001,6,1025
"635",350559526002,39,1930
"636",350559401005,6,575
"637",350559521005,6,1250
"638",350050014001,36,855
"639",350050003002,11,1175
"640",350050006005,36,545
"641",350050006004,36,635
"642",350050011014,11,765
"643",350050006001,36,900
"644",350050012001,11,725
"645",350079506001,39,590
"646",350079506003,39,275
"647",350079505005,39,760
"648",350150004022,7,430
"649",350150011004,7,1170
"650",350150011003,7,740
"651",350150010001,36,660
"652",350150011002,36,655
"653",350250011001,37,320
"654",350250005043,37,400
"655",350250005033,37,820
"656",350250006002,37,780
"657",350250004003,37,375
"658",350250007011,37,410
"659",350250010033,37,555
"660",350250010053,37,940
"661",350410004012,31,555
"662",350090009002,31,595
"663",350090001002,22,750
"664",350090003012,22,425
"665",350090003015,22,1635
"666",350090006022,2,1085
"667",350090003031,2,1310
"668",350090006033,22,670
"669",350090006023,22,1820
"670",350599502001,39,1115
"671",350179642001,18,780
"672",350319439013,14,700
"673",350319438005,14,1065
"674",350459429001,14,455
"675",350459428013,14,945
"676",350319455003,14,875
"677",350319456003,14,520
"678",350319456002,14,1245
"679",350319437003,12,740
"680",350319437002,12,630
"681",350179647002,18,390
"682",350179646003,32,555
"683",350069747003,18,325
"684",350450005055,12,580
"685",350450005032,38,880
"686",350450003011,13,1090
"687",350450004021,13,735
"688",350450003022,13,585
"689",350450003014,38,1265
"690",350450001001,13,440
"691",350450002041,38,725
"692",350450002042,13,630
"693",350450006072,13,2230
"694",350450006112,38,1045
"695",350290003003,32,720
"696",350290003001,32,415
"697",350290006002,32,975
"698",350290006001,32,705
"699",350290005001,32,1205
