"","GEOID10","District","total_population"
"1",350319438002,28,1114
"2",350319436002,30,1292
"3",350319452002,30,442
"4",350319452004,30,859
"5",350319454002,30,919
"6",350319437004,28,1367
"7",350319438001,28,1101
"8",350459428032,20,1115
"9",350459428031,20,834
"10",350459428033,20,796
"11",350179648001,27,1139
"12",350179643004,27,873
"13",350179646002,27,992
"14",350319460003,30,1545
"15",350319435002,28,1130
"16",350450005053,20,646
"17",350450005054,20,881
"18",350450003012,20,1136
"19",350450002023,17,1762
"20",350459433001,20,2137
"21",350450006132,20,1438
"22",350069744001,42,1303
"23",350069742023,42,1229
"24",350069742011,42,1821
"25",350450006131,17,1215
"26",350459432011,17,856
"27",350450007021,28,1370
"28",350130014004,37,879
"29",350069461002,28,958
"30",350399410002,34,1349
"31",350130015002,37,620
"32",350130013031,37,993
"33",350130013032,4,914
"34",350130001041,4,2650
"35",350130004013,37,645
"36",350130001022,5,602
"37",350130011031,5,2478
"38",350130001021,5,1390
"39",350130007002,36,978
"40",350130013062,4,5352
"41",350130011041,5,2602
"42",350130018011,36,772
"43",350130016002,36,1193
"44",350619708003,42,692
"45",350619708005,39,334
"46",350619708001,39,1982
"47",350619709021,42,1856
"48",350619709011,42,1435
"49",350019406004,28,19
"50",350010047361,25,1529
"51",350010047391,2,2802
"52",350010047401,16,2021
"53",350010047421,16,0
"54",350010047501,2,2563
"55",350010047471,14,4173
"56",350130017032,33,1426
"57",350130017073,36,1480
"58",350130017061,36,2270
"59",350130017051,36,929
"60",350130018013,33,699
"61",350130018041,33,2053
"62",350130018043,4,2322
"63",350010047351,16,1266
"64",350010046043,6,3135
"65",350010044022,6,1942
"66",350010040011,6,1095
"67",350619701023,39,2239
"68",350619703013,39,2063
"69",350010011021,6,709
"70",350010011014,6,1318
"71",350010009034,24,1799
"72",350619703012,39,1493
"73",350010009041,24,299
"74",350010009042,24,1667
"75",350010007075,38,2524
"76",350010007141,24,1781
"77",350010007142,38,733
"78",350010007113,31,994
"79",350619703014,39,2270
"80",350619701013,39,852
"81",350010038071,6,538
"82",350430107123,18,745
"83",350430107211,41,2093
"84",350010047221,26,1936
"85",350430107051,18,1944
"86",350010030022,2,1885
"87",350010025002,2,1695
"88",350010031002,2,629
"89",350430107193,14,1613
"90",350010027004,15,887
"91",350430107141,18,3368
"92",350010014002,15,859
"93",350010027005,15,813
"94",350010027001,15,834
"95",350430107034,18,4165
"96",350010015001,15,918
"97",350010032011,32,1434
"98",350010017005,6,903
"99",350010002042,32,1665
"100",350430107021,41,1719
"101",350010002051,40,666
"102",350010004022,40,727
"103",350430107181,41,6990
"104",350010002072,24,593
"105",350010037251,32,1426
"106",350010002031,40,882
"107",350010006013,40,945
"108",350010037071,9,1382
"109",350010006011,38,1041
"110",350010037121,19,1293
"111",350010037174,9,745
"112",350430105032,41,1083
"113",350010001231,38,728
"114",350010007072,38,859
"115",350010007074,38,1127
"116",350010001141,31,1589
"117",350010001152,31,1077
"118",350010001282,38,1208
"119",350010001102,9,1236
"120",350010001284,38,715
"121",350010007043,38,1653
"122",350010037291,19,962
"123",350010001132,31,1778
"124",350010037192,31,2162
"125",350010001161,31,1491
"126",350010037292,19,1228
"127",350010037312,19,2494
"128",350010001251,31,1267
"129",350010037211,19,976
"130",350010038032,41,1068
"131",350390003003,34,1718
"132",350350009021,33,431
"133",350350002002,21,801
"134",350350003062,21,681
"135",350350007001,21,471
"136",350490012051,12,3503
"137",350490011021,12,2180
"138",350490010011,23,698
"139",350490001011,23,1856
"140",350280005005,11,1220
"141",350399408002,7,2398
"142",350399441005,29,1385
"143",350279604001,13,1299
"144",350279608001,33,1193
"145",350279606002,21,1363
"146",350279606001,33,2366
