"","GEOID10","District","total_population"
"1",410159503023,38,1165
"2",410159503013,38,1165
"3",410159502003,17,1770
"4",410110003004,17,735
"5",410110006003,17,830
"6",410110006001,17,715
"7",410110004001,49,880
"8",410110007004,17,560
"9",410110003001,49,720
"10",410110001002,17,540
"11",410192100005,49,560
"12",410390007053,48,940
"13",410419511002,48,645
"14",410419506022,48,1635
"15",410419506013,48,910
"16",410419503043,48,1110
"17",410579603002,60,1355
"18",410079505003,39,1950
"19",410079509003,39,635
"20",410079505002,39,555
"21",410079511001,60,1615
"22",410079506001,39,1235
"23",410079504003,39,645
"24",410333616003,38,1310
"25",410333611004,38,1850
"26",410333611002,38,1885
"27",410333607011,38,1730
"28",410333607021,38,2070
"29",410333606004,15,500
"30",410333605001,37,755
"31",410333607023,15,1530
"32",410290030021,37,1285
"33",410290030014,15,610
"34",410192100003,49,505
"35",410192100004,37,1320
"36",410191500003,49,1405
"37",410191400002,49,1315
"38",410191400001,49,825
"39",410191300005,44,355
"40",410190400003,30,570
"41",410190500014,46,610
"42",410190900001,44,990
"43",410190400001,30,560
"44",410430306003,13,1010
"45",410030102003,27,985
"46",410030109002,27,2100
"47",410030002021,32,1015
"48",410030009004,27,870
"49",410030009005,27,550
"50",410030102002,27,920
"51",410030106003,13,610
"52",410030010022,13,1190
"53",410030011022,13,1355
"54",410030106001,13,1115
"55",410030010011,32,810
"56",410030006002,32,800
"57",410530202021,32,1785
"58",410099711001,39,625
"59",410079512002,39,1020
"60",410099702001,39,625
"61",410099702005,39,1485
"62",410290017003,52,560
"63",410290029003,37,1255
"64",410290030011,15,850
"65",410290015002,12,1605
"66",410290010014,12,1170
"67",410290007002,15,1735
"68",410290002033,12,850
"69",410290003002,15,2295
"70",410290028001,37,1530
"71",410290006013,12,1355
"72",410290013013,37,715
"73",410290004032,12,735
"74",410290006014,52,1360
"75",410290014003,37,3495
"76",410390013011,46,845
"77",410390017004,46,1400
"78",410390025041,46,490
"79",410390024011,30,590
"80",410390044013,46,535
"81",410390043004,30,1265
"82",410390044053,46,1370
"83",410390044052,57,1060
"84",410390044041,46,800
"85",410390053002,57,1350
"86",410390047002,57,710
"87",410390047003,57,795
"88",410390048003,57,820
"89",410390038002,57,545
"90",410390050003,57,910
"91",410390021023,18,1575
"92",410390011012,46,1110
"93",410390033013,40,615
"94",410390020012,18,1090
"95",410390019041,18,1665
"96",410390018011,40,1710
"97",410030101004,11,1280
"98",410430204003,11,885
"99",410430205001,59,1105
"100",410430206002,11,1115
"101",410430201004,59,1680
"102",410470027002,29,815
"103",410470108011,29,870
"104",410470107011,7,555
"105",410470105014,7,975
"106",410530053005,1,2280
"107",410530052011,1,435
"108",410470013002,59,1090
"109",410470021011,29,1010
"110",410470009007,29,700
"111",410470015032,4,1275
"112",410470009005,29,415
"113",410470015031,4,845
"114",410470010002,29,1085
"115",410470015012,1,1615
"116",410470006002,29,1365
"117",410470005011,4,925
"118",410710309002,1,1300
"119",410470007012,4,2005
"120",410470005023,4,1390
"121",410470018013,29,925
"122",410470017021,29,1110
"123",410470016023,4,960
"124",410470018031,29,1675
"125",410470016043,7,1230
"126",410470016012,4,1870
"127",410470016034,4,940
"128",410470103041,7,865
"129",410470103032,33,1515
"130",410470102012,7,1150
"131",410470102024,33,1845
"132",410470105033,7,1880
"133",410470105013,7,1155
"134",410710302014,1,2010
"135",410710302012,3,1130
"136",410670324041,36,600
"137",410710301011,3,2175
"138",410670317046,54,1965
"139",410670316132,54,510
"140",410670316121,36,2595
"141",410670318054,54,1130
"142",410670318052,5,2165
"143",410670319092,54,1435
"144",410670314022,5,1095
"145",410670312003,25,2325
"146",410670310041,25,1360
"147",410670319072,54,680
"148",410670313003,25,740
"149",410670313001,5,930
"150",410670311001,25,1275
"151",410670308052,54,485
"152",410470102011,33,860
"153",410670308053,54,1435
"154",410670308034,24,720
"155",410670313004,25,1235
"156",410670321092,33,1560
"157",410670304013,24,1345
"158",410670303003,25,650
"159",410670306002,24,1305
"160",410670305023,24,990
"161",410670301012,8,765
"162",410670320051,24,230
"163",410670307001,24,495
"164",410670305021,24,1370
"165",410670333011,55,2745
"166",410670328001,55,840
"167",410670327002,55,1645
"168",410670326091,55,1495
"169",410670326081,36,1505
"170",410670324082,47,3535
"171",410670315044,47,2120
"172",410670315042,58,795
"173",410670316092,47,3855
"174",410670316102,36,895
"175",410670315092,47,490
"176",410670315141,58,855
"177",410470106001,31,235
"178",410510064033,24,505
"179",410050204014,33,1320
"180",410510064042,24,1510
"181",410050203033,51,1750
"182",410050227024,31,615
"183",410050238001,31,1250
"184",410050204041,35,1445
"185",410510106003,26,860
"186",410050205031,35,910
"187",410510059001,51,4065
"188",410050207002,31,1510
"189",410510011012,26,1550
"190",410510002003,51,1260
"191",410510009023,16,1135
"192",410510009022,16,970
"193",410510003021,16,930
"194",410050205052,35,945
"195",410510014004,41,640
"196",410050206002,35,2230
"197",410510008023,41,1005
"198",410050224004,42,380
"199",410510007023,41,1140
"200",410050225002,31,1330
"201",410510088001,10,1125
"202",410510005011,16,625
"203",410510016014,41,1115
"204",410050216023,10,1730
"205",410510016012,41,555
"206",410510006024,16,795
"207",410050222013,34,1630
"208",410510016022,41,970
"209",410050230022,42,1845
"210",410510085002,16,1005
"211",410510083022,10,1645
"212",410510082021,41,1820
"213",410050222062,10,3630
"214",410050222072,34,1205
"215",410050237002,42,510
"216",410510091023,56,545
"217",410510097022,22,1240
"218",410050232011,56,1680
"219",410510104054,22,650
"220",410510104112,22,1240
"221",410050234013,42,890
"222",410510105003,9,595
"223",410510041021,58,980
"224",410510047002,21,1175
"225",410510048002,8,975
"226",410510049001,21,1610
"227",410510049002,8,1130
"228",410510038012,58,560
"229",410510038021,21,1175
"230",410510038011,21,845
"231",410510034013,2,505
"232",410510037014,21,815
"233",410510033013,2,915
"234",410510025024,2,935
"235",410510025012,2,650
"236",410510031002,6,1050
"237",410510025022,2,950
"238",410510020001,2,835
"239",410510030002,6,1085
"240",410510027013,2,660
"241",410510028023,6,930
"242",410510074001,6,825
"243",410510017015,26,835
"244",410510017017,6,925
"245",410510029033,6,745
"246",410510078001,6,560
"247",410510079001,50,960
"248",410510080022,50,990
"249",410510095012,50,1155
"250",410510094001,50,1285
"251",410510096042,22,1280
"252",410510096031,22,1335
"253",410510103042,22,775
"254",410510103032,22,1735
"255",410359709001,44,1675
"256",410359701001,44,560
"257",410390001005,46,615
"258",410170002001,44,1740
"259",410170005002,46,215
"260",410050234044,9,1040
"261",410279501002,9,825
"262",410359714002,44,750
"263",410359705002,19,470
"264",410359718001,44,720
"265",410359719002,44,570
"266",410359717004,44,315
"267",410170003004,44,1880
"268",410170002004,44,635
"269",410170002002,44,780
"270",410659707001,43,420
"271",410279502003,9,915
"272",410279504002,9,730
"273",410279502004,9,1580
"274",410170013005,20,500
"275",410170016001,20,660
"276",410170020003,53,2410
"277",410170020001,53,965
"278",410170019023,28,625
