"","GEOID10","District","total_population"
"1",410159503023,33,1164
"2",410159503013,33,1426
"3",410159502003,2,2416
"4",410110003004,5,1013
"5",410110006003,5,1171
"6",410110006001,5,875
"7",410110004001,7,1046
"8",410110007004,5,660
"9",410110003001,7,1029
"10",410110001002,7,580
"11",410192100005,2,646
"12",410390007053,4,1295
"13",410419511002,4,923
"14",410419506022,4,1772
"15",410419506013,4,1054
"16",410419503043,4,1492
"17",410579603002,53,1782
"18",410079505003,15,2759
"19",410079509003,15,846
"20",410079505002,4,619
"21",410079511001,15,2241
"22",410079506001,15,1606
"23",410079504003,15,1067
"24",410333616003,7,1423
"25",410333611004,33,2610
"26",410333611002,33,2589
"27",410333607011,33,2542
"28",410333607021,33,2725
"29",410333606004,2,600
"30",410333605001,33,1562
"31",410333607023,2,1960
"32",410290030021,12,1496
"33",410290030014,7,767
"34",410192100003,2,648
"35",410192100004,12,1402
"36",410191500003,2,1834
"37",410191400002,5,1819
"38",410191400001,2,1087
"39",410191300005,18,373
"40",410190400003,5,621
"41",410190500014,5,872
"42",410190900001,21,1303
"43",410190400001,5,668
"44",410430306003,32,1335
"45",410030102003,35,1153
"46",410030109002,35,2890
"47",410030002021,31,1343
"48",410030009004,35,949
"49",410030009005,35,604
"50",410030102002,35,1095
"51",410030106003,51,1038
"52",410030010022,35,1459
"53",410030011022,51,1636
"54",410030106001,51,1232
"55",410030010011,51,1173
"56",410030006002,35,1063
"57",410530202021,46,2286
"58",410099711001,15,859
"59",410079512002,15,1389
"60",410099702001,15,924
"61",410099702005,15,1935
"62",410290017003,34,673
"63",410290029003,12,1625
"64",410290030011,7,1026
"65",410290015002,7,1956
"66",410290010014,12,1296
"67",410290007002,7,2704
"68",410290002033,34,1418
"69",410290003002,12,3212
"70",410290028001,12,1969
"71",410290006013,34,1710
"72",410290013013,34,1155
"73",410290004032,12,878
"74",410290006014,34,1644
"75",410290014003,34,4716
"76",410390013011,21,945
"77",410390017004,14,1947
"78",410390025041,50,908
"79",410390024011,8,862
"80",410390044013,50,776
"81",410390043004,31,1690
"82",410390044053,50,1771
"83",410390044052,50,1329
"84",410390044041,50,1078
"85",410390053002,31,1710
"86",410390047002,31,836
"87",410390047003,21,1061
"88",410390048003,50,1410
"89",410390038002,31,622
"90",410390050003,31,1173
"91",410390021023,14,1769
"92",410390011012,21,1610
"93",410390033013,14,999
"94",410390020012,14,1452
"95",410390019041,14,2512
"96",410390018011,58,2337
"97",410030101004,35,1601
"98",410430204003,51,1154
"99",410430205001,45,1541
"100",410430206002,45,1425
"101",410430201004,51,2153
"102",410470027002,45,1057
"103",410470108011,45,1244
"104",410470107011,11,909
"105",410470105014,49,1465
"106",410530053005,46,2922
"107",410530052011,60,675
"108",410470013002,60,1294
"109",410470021011,46,1169
"110",410470009007,46,789
"111",410470015032,13,2135
"112",410470009005,60,547
"113",410470015031,13,1404
"114",410470010002,60,1599
"115",410470015012,46,2077
"116",410470006002,60,1848
"117",410470005011,11,1697
"118",410710309002,3,1640
"119",410470007012,11,2916
"120",410470005023,13,2810
"121",410470018013,60,1283
"122",410470017021,45,2011
"123",410470016023,13,2367
"124",410470018031,11,2519
"125",410470016043,45,1905
"126",410470016012,13,2607
"127",410470016034,45,1469
"128",410470103041,38,1429
"129",410470103032,26,1973
"130",410470102012,38,1505
"131",410470102024,38,2973
"132",410470105033,49,2669
"133",410470105013,49,1624
"134",410710302014,3,2687
"135",410710302012,3,1717
"136",410670324041,40,728
"137",410710301011,3,3311
"138",410670317046,30,3080
"139",410670316132,30,888
"140",410670316121,28,4147
"141",410670318054,56,1519
"142",410670318052,30,2912
"143",410670319092,56,2137
"144",410670314022,30,1680
