"","GEOID10","District","total_population"
"1",410159503023,8,1164
"2",410159503013,8,1426
"3",410159502003,8,2416
"4",410110003004,5,1013
"5",410110006003,12,1171
"6",410110006001,12,875
"7",410110004001,12,1046
"8",410110007004,12,660
"9",410110003001,5,1029
"10",410110001002,11,580
"11",410192100005,12,646
"12",410390007053,11,1295
"13",410419511002,11,923
"14",410419506022,11,1772
"15",410419506013,11,1054
"16",410419503043,11,1492
"17",410579603002,29,1782
"18",410079505003,29,2759
"19",410079509003,29,846
"20",410079505002,29,619
"21",410079511001,29,2241
"22",410079506001,29,1606
"23",410079504003,11,1067
"24",410333616003,21,1423
"25",410333611004,8,2610
"26",410333611002,8,2589
"27",410333607011,8,2542
"28",410333607021,8,2725
"29",410333606004,8,600
"30",410333605001,8,1562
"31",410333607023,21,1960
"32",410290030021,21,1496
"33",410290030014,21,767
"34",410192100003,12,648
"35",410192100004,15,1402
"36",410191500003,12,1834
"37",410191400002,12,1819
"38",410191400001,12,1087
"39",410191300005,5,373
"40",410190400003,11,621
"41",410190500014,15,872
"42",410190900001,15,1303
"43",410190400001,5,668
"44",410430306003,26,1335
"45",410030102003,16,1153
"46",410030109002,19,2890
"47",410030002021,19,1343
"48",410030009004,16,949
"49",410030009005,16,604
"50",410030102002,16,1095
"51",410030106003,19,1038
"52",410030010022,19,1459
"53",410030011022,19,1636
"54",410030106001,19,1232
"55",410030010011,19,1173
"56",410030006002,19,1063
"57",410530202021,16,2286
"58",410099711001,17,859
"59",410079512002,29,1389
"60",410099702001,29,924
"61",410099702005,17,1935
"62",410290017003,12,673
"63",410290029003,8,1625
"64",410290030011,8,1026
"65",410290015002,21,1956
"66",410290010014,12,1296
"67",410290007002,8,2704
"68",410290002033,8,1418
"69",410290003002,12,3212
"70",410290028001,15,1969
"71",410290006013,12,1710
"72",410290013013,15,1155
"73",410290004032,21,878
"74",410290006014,21,1644
"75",410290014003,15,4716
"76",410390013011,14,945
"77",410390017004,14,1947
"78",410390025041,5,908
"79",410390024011,16,862
"80",410390044013,5,776
"81",410390043004,26,1690
"82",410390044053,5,1771
"83",410390044052,26,1329
"84",410390044041,26,1078
"85",410390053002,26,1710
"86",410390047002,5,836
"87",410390047003,26,1061
"88",410390048003,5,1410
"89",410390038002,26,622
"90",410390050003,26,1173
"91",410390021023,5,1769
"92",410390011012,14,1610
"93",410390033013,5,999
"94",410390020012,26,1452
"95",410390019041,26,2512
"96",410390018011,14,2337
"97",410030101004,19,1601
"98",410430204003,2,1154
"99",410430205001,2,1541
"100",410430206002,2,1425
"101",410430201004,2,2153
"102",410470027002,2,1057
"103",410470108011,23,1244
"104",410470107011,23,909
"105",410470105014,24,1465
"106",410530053005,25,2922
"107",410530052011,25,675
"108",410470013002,25,1294
"109",410470021011,25,1169
"110",410470009007,19,789
"111",410470015032,19,2135
