"","GEOID10","District","total_population"
"1",481410104072,107,1095
"2",481410102161,7,1725
"3",481410012011,7,1300
"4",481410102202,7,1045
"5",481410013024,7,2275
"6",481410012021,114,1580
"7",481410011123,7,865
"8",481410011133,7,1280
"9",481410102132,7,1390
"10",481410011151,7,660
"11",481410015021,7,400
"12",481410019002,114,85
"13",481410020002,114,410
"14",481410022012,114,1095
"15",481410008003,114,655
"16",481410106002,114,280
"17",481410025005,114,350
"18",481410025003,7,520
"19",481410033005,7,215
"20",481410003013,100,685
"21",481410001061,100,570
"22",481410030001,114,355
"23",481410106001,114,1280
"24",481410033002,7,495
"25",481410036013,114,510
"26",481410001092,100,1500
"27",481410002063,100,1290
"28",481410002041,100,750
"29",481410036022,114,385
"30",481410042012,114,485
"31",481410042021,114,945
"32",481410038033,114,885
"33",481410038042,114,495
"34",481410043122,114,735
"35",481410103076,114,1525
"36",481410043104,114,1155
"37",481410102071,107,2230
"38",481410043131,30,515
"39",481410039021,30,690
"40",481410043092,30,1030
"41",481410040033,30,955
"42",481410040032,30,820
"43",481410043163,30,910
"44",481410103221,100,1410
"45",481410043201,30,670
"46",481410103462,30,360
"47",481410103471,30,1375
"48",481410103451,30,1220
"49",481410103313,100,1570
"50",481410103431,30,1085
"51",481410103342,107,730
"52",481410103391,107,525
"53",481410103332,30,435
"54",481410103191,107,140
"55",481099503004,107,630
"56",480439505004,107,700
"57",480439503001,107,1360
"58",483719505003,107,2175
"59",483719501001,107,435
"60",483899504003,107,925
"61",483899502002,107,495
"62",484959502003,94,635
"63",484959502002,94,290
"64",481039501001,87,290
"65",485019502003,110,460
"66",482799503001,110,785
"67",483699503002,9,265
"68",483699502002,9,685
"69",481119501002,9,470
"70",481350028022,94,1475
"71",481350028023,94,1150
"72",481350028021,94,1420
"73",481350010003,94,1155
"74",481350005002,142,645
"75",481350003001,94,725
"76",481350005004,94,630
"77",481350006002,94,295
"78",481350015002,94,650
"79",481350004003,94,865
"80",481350019005,94,810
"81",481350019002,94,605
"82",481350016002,94,540
"83",481350025033,94,580
"84",481350017001,94,570
"85",481350030001,142,800
"86",483290101051,142,1270
"87",483290101063,142,1000
"88",483290101095,94,1340
"89",480039503003,110,215
"90",483290101044,142,1040
"91",483290101042,142,3355
"92",484459504006,110,615
"93",484459501003,110,335
"94",482799506002,9,570
"95",482799502001,9,775
"96",480699502001,9,760
"97",483419502002,9,1995
"98",481119503003,9,425
"99",483839501001,87,435
