"","GEOID10","District","total_population"
"1",481410104072,95,1913
"2",481410102161,142,3155
"3",481410012011,142,2392
"4",481410102202,24,2281
"5",481410013024,142,3190
"6",481410012021,142,2536
"7",481410011123,142,1562
"8",481410011133,24,1686
"9",481410102132,24,2647
"10",481410011151,142,918
"11",481410015021,24,499
"12",481410019002,95,496
"13",481410020002,142,930
"14",481410022012,142,1651
"15",481410008003,24,1170
"16",481410106002,142,507
"17",481410025005,142,711
"18",481410025003,53,858
"19",481410033005,95,324
"20",481410003013,142,1461
"21",481410001061,24,716
"22",481410030001,95,711
"23",481410106001,142,2003
"24",481410033002,142,751
"25",481410036013,95,887
"26",481410001092,24,2128
"27",481410002063,53,1891
"28",481410002041,142,1290
"29",481410036022,95,659
"30",481410042012,95,714
"31",481410042021,95,1345
"32",481410038033,95,1433
"33",481410038042,95,733
"34",481410043122,95,1188
"35",481410103076,95,2370
"36",481410043104,142,1556
"37",481410102071,24,4085
"38",481410043131,53,683
"39",481410039021,95,920
"40",481410043092,53,1810
"41",481410040033,53,1932
"42",481410040032,53,1227
"43",481410043163,53,1433
"44",481410103221,53,2655
"45",481410043201,53,1080
"46",481410103462,146,731
"47",481410103471,95,2347
"48",481410103451,146,2538
"49",481410103313,24,2951
"50",481410103431,146,1595
"51",481410103342,95,2058
"52",481410103391,146,1015
"53",481410103332,146,809
"54",481410103191,24,254
"55",481099503004,146,716
"56",480439505004,44,834
"57",480439503001,146,1729
"58",483719505003,146,3120
"59",483719501001,146,703
"60",483899504003,146,1447
"61",483899502002,146,686
"62",484959502003,146,1117
"63",484959502002,146,464
"64",481039501001,146,464
"65",485019502003,75,693
"66",482799503001,96,1279
"67",483699503002,75,533
"68",483699502002,75,1284
"69",481119501002,75,658
"70",481350028022,146,2448
"71",481350028023,70,2360
"72",481350028021,146,2508
"73",481350010003,146,1691
"74",481350005002,130,745
"75",481350003001,130,972
"76",481350005004,130,1617
"77",481350006002,130,607
"78",481350015002,130,1336
"79",481350004003,130,1319
"80",481350019005,70,1387
"81",481350019002,130,960
"82",481350016002,70,846
"83",481350025033,70,856
"84",481350017001,70,585
"85",481350030001,70,1092
"86",483290101051,130,2022
"87",483290101063,130,1255
"88",483290101095,70,2345
"89",480039503003,70,869
"90",483290101044,70,1407
"91",483290101042,70,5147
"92",484459504006,32,772
"93",484459501003,32,503
"94",482799506002,149,717
"95",482799502001,75,1164
"96",480699502001,52,895
"97",483419502002,75,2867
"98",481119503003,75,1106
"99",483839501001,44,555
"100",483290003025,130,1850
"101",483290013003,130,2068
"102",483290004024,130,1724
"103",483290012004,130,616
"104",483290014003,130,1191
"105",483290101092,70,2337
"106",483290101133,130,1237
"107",483290003042,130,1079
"108",483290001002,70,630
"109",483290001003,70,3326
"110",483290017001,130,1224
"111",483179502001,70,885
"112",481159504023,32,613
"113",481159504021,32,2101
"114",481159506002,32,847
"115",480339501001,32,665
"116",483059506001,32,1216
"117",483030104042,32,579
"118",483030017023,149,949
"119",483030104031,149,1543
"120",483030017082,149,707
"121",483030104081,149,7364
"122",483030018011,149,1030
"123",483030018044,32,1198
"124",483030019033,32,1323
"125",483030105042,32,1470
"126",483030105101,32,2713
"127",483030021022,32,1445
"128",483030021014,149,1317
"129",483030023003,149,990
"130",483030105111,32,5500
"131",483030105083,32,2134
"132",483030105062,32,875
"133",483030104052,32,1405
"134",483030103021,149,628
"135",483030103023,149,1006
"136",483030004043,32,2484
"137",483030004041,32,700
"138",483030016011,149,1076
"139",483030016023,149,934
"140",483030006072,149,1395
"141",483030014003,32,1192
"142",483030014004,32,1079
"143",483030002021,149,553
"144",483030002012,149,1280
"145",483030009004,32,805
"146",483030009003,32,2245
"147",483030010002,32,1344
"148",481899505001,75,696
"149",481899502001,75,807
"150",481899502002,75,781
"151",481899505003,75,1814
"152",481899501002,75,652
"153",484379504001,75,466
"154",483810216063,52,1463
"155",483810216022,17,1110
"156",483750117001,52,1868
"157",483750117002,52,1304
"158",483810216023,17,195
"159",483750133001,52,1005
"160",483750118003,52,843
"161",483810213002,17,711
"162",483750102001,52,1194
"163",483750132002,75,837
"164",483750118002,52,1060
"165",483750102002,52,1000
"166",483810211021,52,1574
"167",483750153003,52,1505
"168",483810209001,52,687
"169",483810209003,17,1331
"170",483750115004,52,1304
"171",483810205002,17,994
"172",483750134001,17,1985
"173",483750148002,17,1250
"174",483750148003,52,908
"175",483750122001,52,413
"176",483750139003,52,1641
"177",483750128003,52,1381
"178",483750154001,52,334
"179",483810206001,17,1079
"180",483750110002,17,1291
"181",483810220022,17,4987
"182",483750149001,52,1364
"183",483750141001,52,1628
"184",483419503006,75,1430
"185",481059501003,44,393
"186",484510017043,70,3289
"187",482279508022,30,5005
"188",482279508014,30,701
"189",482279507001,30,1407
"190",482279501001,30,761
"191",482279502001,30,1591
"192",483030106002,96,596
"193",481699501002,96,2665
"194",480659502001,17,1983
"195",482339505001,17,568
"196",484659503012,44,1486
"197",484659503023,44,553
"198",483359502005,30,1514
"199",484159502001,32,1303
"200",484159506004,32,919
"201",484159506002,32,1019
"202",481299503001,75,824
"203",481799504005,17,588
"204",481799508002,17,1125
"205",483579501002,17,631
"206",483579504002,17,750
"207",483579503001,17,928
"208",483239505003,50,777
"209",483239503002,44,1710
"210",483239506024,50,1278
"211",483239502053,50,2830
"212",482719501002,44,904
"213",484359503004,105,940
"214",484510017081,44,3622
"215",484510017044,70,2434
"216",484510016004,44,1940
"217",484510013032,70,928
"218",484510013035,70,841
"219",484510013017,44,897
"220",484510013044,44,1342
"221",484510017062,70,1669
"222",484510012003,70,876
"223",484510011024,44,708
"224",484510010004,70,890
"225",484510018002,70,612
"226",484510017082,70,2389
"227",484510010002,44,532
"228",484510010001,70,1009
"229",484510009002,44,781
"230",484510014001,44,1470
"231",484510015001,44,2782
"232",484510016003,105,1100
"233",484510016002,30,871
"234",483539505001,30,689
"235",483539503002,96,1365
"236",483539502002,96,981
"237",480879503001,75,824
"238",484839501001,17,1773
"239",482959503001,17,1364
"240",484790017101,50,2294
"241",484639502004,44,1292
"242",483859501001,105,1075
"243",482679501002,30,1287
"244",483999505002,30,1404
"245",483999506005,105,831
"246",484410135004,30,633
"247",482530205003,96,1640
"248",484339503001,96,569
"249",484790019002,134,2198
"250",484790017161,50,1115
"251",484790009031,134,1259
"252",484790018073,134,2803
"253",484790018072,134,3266
"254",484790018061,134,2667
"255",484790001011,134,1814
"256",484790011041,134,1697
"257",484790016013,50,2022
"258",484790001072,134,592
"259",484790018082,42,1854
"260",484790001014,134,722
"261",484790010031,42,2975
"262",484790016021,50,3694
"263",484790018062,134,3681
"264",484790016022,50,2267
"265",484790018161,42,4082
"266",484790018131,42,698
"267",481279504002,50,688
"268",481639502002,50,3077
"269",484639504001,44,1602
"270",482679502002,30,608
"271",483079504002,30,677
"272",480839503006,140,1497
"273",480839503002,140,202
"274",480839503001,140,524
"275",484410122001,30,1275
"276",480590302003,9,1140
"277",484410129001,96,771
"278",484410134011,96,818
"279",484410106003,96,847
"280",484410114002,96,1125
"281",484410115001,96,1176
"282",484410106001,96,1599
"283",484410107003,96,1750
"284",484410123002,96,1473
"285",484410107002,96,550
"286",484410124001,96,1471
"287",484410112002,96,689
"288",484410122003,96,538
"289",484410119001,96,1025
"290",484410101004,96,808
"291",482079503003,9,824
"292",484479503002,139,818
"293",481979501002,9,480
"294",484879503001,9,590
"295",485059503012,134,1159
"296",482659604021,30,1336
"297",482659605003,105,1755
"298",482659606002,30,555
"299",482659606001,105,1189
"300",482659608003,30,1450
"301",483339501002,105,534
"302",480499505002,9,661
"303",480499502002,9,1579
"304",480499513001,140,992
"305",480499508001,140,773
"306",480499509002,9,1230
"307",480499510001,140,712
"308",480590302004,9,1027
"309",484299505003,9,817
"310",484850138001,9,1556
"311",484879505002,9,817
"312",484279501042,128,1546
"313",484279505004,134,1299
"314",484279501062,128,1137
"315",484279501081,134,1421
"316",482150242011,128,1869
"317",483250004021,59,1118
"318",480291619022,59,3580
"319",480139602024,59,3327
"320",480139602021,59,3243
"321",480139604021,108,358
"322",480139601001,150,1889
"323",480291619021,43,1454
"324",480291719211,131,2752
"325",480291817154,43,2399
"326",480291817183,71,1783
"327",480291719143,71,2031
"328",480291817222,43,1513
"329",480291817211,43,2202
"330",480291817302,43,2803
"331",480291817202,43,790
"332",480291817181,82,2172
"333",480291817121,43,2822
"334",480291719253,71,3803
"335",480291719254,106,3135
"336",480291817113,43,3456
"337",480291717005,71,1040
"338",480291817131,43,2301
"339",480291618022,131,3950
