"","GEOID10","District","total_population"
"1",481410104072,30,1095
"2",481410102161,30,1725
"3",481410012011,30,1300
"4",481410102202,30,1045
"5",481410013024,30,2275
"6",481410012021,30,1580
"7",481410011123,30,865
"8",481410011133,30,1280
"9",481410102132,30,1390
"10",481410011151,30,660
"11",481410015021,30,400
"12",481410019002,30,85
"13",481410020002,30,410
"14",481410022012,30,1095
"15",481410008003,30,655
"16",481410106002,30,280
"17",481410025005,30,350
"18",481410025003,30,520
"19",481410033005,30,215
"20",481410003013,30,685
"21",481410001061,30,570
"22",481410030001,30,355
"23",481410106001,30,1280
"24",481410033002,30,495
"25",481410036013,30,510
"26",481410001092,30,1500
"27",481410002063,30,1290
"28",481410002041,30,750
"29",481410036022,30,385
"30",481410042012,30,485
"31",481410042021,30,945
"32",481410038033,30,885
"33",481410038042,30,495
"34",481410043122,30,735
"35",481410103076,30,1525
"36",481410043104,30,1155
"37",481410102071,30,2230
"38",481410043131,30,515
"39",481410039021,30,690
"40",481410043092,30,1030
"41",481410040033,30,955
"42",481410040032,30,820
"43",481410043163,30,910
"44",481410103221,30,1410
"45",481410043201,30,670
"46",481410103462,30,360
"47",481410103471,30,1375
"48",481410103451,30,1220
"49",481410103313,30,1570
"50",481410103431,30,1085
"51",481410103342,30,730
"52",481410103391,30,525
"53",481410103332,30,435
"54",481410103191,30,140
"55",481099503004,30,630
"56",480439505004,3,700
"57",480439503001,30,1360
"58",483719505003,30,2175
"59",483719501001,30,435
"60",483899504003,3,925
"61",483899502002,3,495
"62",484959502003,3,635
"63",484959502002,3,290
"64",481039501001,3,290
"65",485019502003,3,460
"66",482799503001,2,785
"67",483699503002,2,265
"68",483699502002,2,685
"69",481119501002,2,470
"70",481350028022,30,1475
"71",481350028023,30,1150
"72",481350028021,30,1420
"73",481350010003,30,1155
"74",481350005002,3,645
"75",481350003001,3,725
"76",481350005004,3,630
"77",481350006002,3,295
"78",481350015002,30,650
"79",481350004003,3,865
"80",481350019005,30,810
"81",481350019002,30,605
"82",481350016002,30,540
"83",481350025033,30,580
"84",481350017001,30,570
"85",481350030001,30,800
"86",483290101051,3,1270
"87",483290101063,3,1000
"88",483290101095,3,1340
"89",480039503003,30,215
"90",483290101044,3,1040
"91",483290101042,3,3355
"92",484459504006,3,615
"93",484459501003,2,335
"94",482799506002,3,570
"95",482799502001,2,775
"96",480699502001,2,760
"97",483419502002,2,1995
"98",481119503003,2,425
"99",483839501001,3,435
"100",483290003025,3,1395
"101",483290013003,3,1285
"102",483290004024,3,1075
"103",483290012004,3,520
"104",483290014003,30,360
"105",483290101092,3,1265
"106",483290101133,30,605
"107",483290003042,3,900
"108",483290001002,3,435
"109",483290001003,3,1895
"110",483290017001,30,755
"111",483179502001,3,550
"112",481159504023,3,425
"113",481159504021,3,1925
"114",481159506002,3,540
"115",480339501001,3,495
"116",483059506001,3,760
"117",483030104042,3,455
"118",483030017023,3,715
"119",483030104031,3,1035
"120",483030017082,2,675
"121",483030104081,3,4910
"122",483030018011,2,725
"123",483030018044,2,900
"124",483030019033,2,935
"125",483030105042,2,1100
"126",483030105101,2,1955
"127",483030021022,3,1115
"128",483030021014,2,1100
"129",483030023003,2,765
"130",483030105111,2,3395
"131",483030105083,3,1435
"132",483030105062,3,720
"133",483030104052,3,825
"134",483030103021,2,455
"135",483030103023,2,650
"136",483030004043,2,1905
"137",483030004041,2,450
"138",483030016011,2,865
"139",483030016023,2,805
"140",483030006072,2,1120
"141",483030014003,2,920
"142",483030014004,2,805
"143",483030002021,3,400
"144",483030002012,2,925
"145",483030009004,3,640
"146",483030009003,3,1265
"147",483030010002,3,870
"148",481899505001,2,505
"149",481899502001,2,415
"150",481899502002,2,485
"151",481899505003,2,1080
"152",481899501002,2,435
"153",484379504001,2,390
"154",483810216063,2,1110
"155",483810216022,2,755
"156",483750117001,2,1320
"157",483750117002,2,745
"158",483810216023,2,115
"159",483750133001,2,705
"160",483750118003,2,590
"161",483810213002,2,480
"162",483750102001,2,775
"163",483750132002,2,705
"164",483750118002,2,735
"165",483750102002,2,725
"166",483810211021,2,1265
"167",483750153003,2,950
"168",483810209001,2,375
"169",483810209003,2,770
"170",483750115004,2,790
"171",483810205002,2,710
"172",483750134001,2,1420
"173",483750148002,2,660
"174",483750148003,2,470
"175",483750122001,2,225
"176",483750139003,2,770
"177",483750128003,2,670
"178",483750154001,2,245
"179",483810206001,2,690
"180",483750110002,2,780
"181",483810220022,2,3355
"182",483750149001,2,590
"183",483750141001,2,710
"184",483419503006,2,945
"185",481059501003,3,370
"186",484510017043,15,2385
"187",482279508022,3,2020
"188",482279508014,3,445
"189",482279507001,3,955
"190",482279501001,3,695
"191",482279502001,3,1250
"192",483030106002,2,550
"193",481699501002,2,535
"194",480659502001,2,1430
"195",482339505001,2,505
"196",484659503012,3,895
"197",484659503023,3,315
"198",483359502005,2,1035
"199",484159502001,3,945
"200",484159506004,3,620
"201",484159506002,3,800
"202",481299503001,2,670
"203",481799504005,2,405
"204",481799508002,2,605
"205",483579501002,2,495
"206",483579504002,2,525
"207",483579503001,2,535
"208",483239505003,3,355
"209",483239503002,3,1060
"210",483239506024,3,710
"211",483239502053,3,985
"212",482719501002,3,685
"213",484359503004,3,660
"214",484510017081,15,2400
"215",484510017044,15,1920
"216",484510016004,15,1240
"217",484510013032,15,645
"218",484510013035,15,630
"219",484510013017,3,765
"220",484510013044,15,940
"221",484510017062,15,1305
"222",484510012003,15,660
"223",484510011024,3,505
"224",484510010004,3,770
"225",484510018002,15,355
"226",484510017082,15,1915
"227",484510010002,15,485
"228",484510010001,15,855
"229",484510009002,3,540
"230",484510014001,15,1165
"231",484510015001,15,2670
"232",484510016003,15,810
"233",484510016002,15,660
"234",483539505001,2,425
"235",483539503002,3,875
"236",483539502002,3,710
"237",480879503001,2,565
"238",484839501001,2,950
"239",482959503001,2,900
"240",484790017101,3,1305
"241",484639502004,20,950
"242",483859501001,20,825
"243",482679501002,20,1110
"244",483999505002,15,900
"245",483999506005,3,685
"246",484410135004,3,515
"247",482530205003,2,1255
"248",484339503001,2,465
"249",484790019002,26,1215
"250",484790017161,3,590
"251",484790009031,26,525
"252",484790018073,26,1355
"253",484790018072,26,1175
"254",484790018061,26,900
"255",484790001011,26,760
"256",484790011041,26,1025
"257",484790016013,26,1240
"258",484790001072,26,250
"259",484790018082,26,860
"260",484790001014,26,415
"261",484790010031,26,1610
"262",484790016021,3,2040
"263",484790018062,26,1470
"264",484790016022,26,1290
"265",484790018161,26,1880
"266",484790018131,26,350
"267",481279504002,3,585
"268",481639502002,20,1160
"269",484639504001,20,885
"270",482679502002,20,350
"271",483079504002,20,555
"272",480839503006,3,1045
"273",480839503002,3,200
"274",480839503001,3,455
"275",484410122001,3,1135
"276",480590302003,28,845
"277",484410129001,3,420
"278",484410134011,3,735
"279",484410106003,2,655
"280",484410114002,3,810
"281",484410115001,3,830
"282",484410106001,3,870
"283",484410107003,3,945
"284",484410123002,3,1185
"285",484410107002,3,395
"286",484410124001,3,915
"287",484410112002,3,485
"288",484410122003,3,415
"289",484410119001,3,670
"290",484410101004,3,715
"291",482079503003,2,675
"292",484479503002,2,650
"293",481979501002,2,390
"294",484879503001,2,390
"295",485059503012,26,550
"296",482659604021,20,1125
"297",482659605003,20,1320
"298",482659606002,20,425
"299",482659606001,20,845
"300",482659608003,20,975
"301",483339501002,28,400
"302",480499505002,28,565
"303",480499502002,28,1170
"304",480499513001,28,645
"305",480499508001,28,545
"306",480499509002,28,940
"307",480499510001,28,495
"308",480590302004,28,810
"309",484299505003,28,705
"310",484850138001,2,1280
"311",484879505002,2,740
"312",484279501042,26,665
"313",484279505004,26,815
"314",484279501062,26,545
"315",484279501081,26,915
"316",482150242011,26,1150
"317",483250004021,20,1015
"318",480291619022,19,2325
"319",480139602024,19,1770
"320",480139602021,19,1850
"321",480139604021,19,265
"322",480139601001,19,1330
"323",480291619021,19,850
"324",480291719211,19,1760
"325",480291817154,20,1680
"326",480291817183,20,1250
"327",480291719143,20,1375
"328",480291817222,20,1215
"329",480291817211,20,1640
"330",480291817302,20,1805
"331",480291817202,20,485
"332",480291817181,20,1665
"333",480291817121,20,2020
"334",480291719253,20,2740
"335",480291719254,20,1945
"336",480291817113,20,2170
"337",480291717005,19,765
"338",480291817131,20,1605
"339",480291618022,19,1925
"340",480291717003,19,545
"341",480291818241,14,980
"342",480291718023,19,1000
"343",480291615032,19,880
"344",480291817043,14,1700
"345",480291818182,20,1285
"346",480291613031,19,1505
"347",480291818191,14,495
"348",480291815053,14,865
"349",480291814042,14,1065
"350",480291818141,14,2875
"351",480291816011,14,635
"352",480291715012,19,810
"353",480291805012,19,485
"354",480291607011,19,1065
"355",480291807022,19,1035
"356",480291804001,19,1275
"357",480291707002,19,620
"358",480291810033,14,2255
"359",480291606001,19,760
"360",480291609012,19,655
"361",480291607023,19,785
"362",480291914054,14,955
"363",480291801013,19,480
"364",480291810012,14,1305
"365",480291512005,19,2995
"366",480291703002,19,185
"367",480291703001,19,1105
"368",480291704023,19,575
"369",480291809024,14,905
"370",480291914053,14,1145
"371",480291603003,19,480
"372",480291702002,19,560
"373",480291910033,14,870
"374",480291702004,19,505
"375",480291602003,19,690
"376",480291513013,19,820
"377",480291513012,19,510
"378",480291910031,14,1105
"379",480291910035,14,440
"380",480291701022,19,595
"381",480291504001,19,270
"382",480291914111,14,1265
"383",480291910065,14,600
"384",480291514001,19,800
"385",480291912024,14,1145
"386",480291503002,19,1020
"387",480291905031,19,925
"388",480291910052,19,775
"389",480291909014,14,435
"390",480291507006,19,195
"391",480291107001,19,730
"392",480291918131,14,3270
"393",480291517002,19,1270
"394",480291918132,14,1365
"395",480291908002,19,775
"396",480291909022,14,1145
"397",480291509002,19,590
"398",480291918121,14,1725
"399",480291519001,19,1165
"400",482599703012,20,1945
"401",482599704012,20,1560
"402",482599704022,14,510
"403",480291821021,14,1120
"404",480291821013,14,2395
"405",480913107041,14,1560
"406",480291918091,14,3115
"407",482599701002,14,1640
"408",481719504002,20,1475
"409",480319501001,20,1335
"410",482999705004,15,1235
"411",480939503001,28,415
"412",480939503004,28,605
"413",484299502001,28,380
"414",484299503003,28,330
"415",481339501003,28,555
"416",485039504004,28,375
"417",480090202003,18,515
"418",484850123002,18,725
"419",484850124003,2,1425
"420",484850126002,18,1055
"421",484850128002,18,900
"422",484850119001,18,1005
"423",484850135023,18,905
"424",484850131001,2,610
"425",484850132004,18,825
"426",484850134011,18,350
"427",482150241083,26,150
"428",482150241081,26,1425
"429",482150241102,1,1895
