"","GEOID10","District","total_population"
"1",481410104072,5,1913
"2",481410102161,5,3155
"3",481410012011,5,2392
"4",481410102202,5,2281
"5",481410013024,5,3190
"6",481410012021,5,2536
"7",481410011123,5,1562
"8",481410011133,5,1686
"9",481410102132,5,2647
"10",481410011151,5,918
"11",481410015021,5,499
"12",481410019002,5,496
"13",481410020002,5,930
"14",481410022012,5,1651
"15",481410008003,5,1170
"16",481410106002,5,507
"17",481410025005,5,711
"18",481410025003,5,858
"19",481410033005,5,324
"20",481410003013,5,1461
"21",481410001061,5,716
"22",481410030001,5,711
"23",481410106001,5,2003
"24",481410033002,5,751
"25",481410036013,5,887
"26",481410001092,5,2128
"27",481410002063,5,1891
"28",481410002041,5,1290
"29",481410036022,5,659
"30",481410042012,5,714
"31",481410042021,5,1345
"32",481410038033,5,1433
"33",481410038042,5,733
"34",481410043122,5,1188
"35",481410103076,5,2370
"36",481410043104,5,1556
"37",481410102071,5,4085
"38",481410043131,5,683
"39",481410039021,5,920
"40",481410043092,5,1810
"41",481410040033,5,1932
"42",481410040032,5,1227
"43",481410043163,5,1433
"44",481410103221,5,2655
"45",481410043201,5,1080
"46",481410103462,5,731
"47",481410103471,5,2347
"48",481410103451,5,2538
"49",481410103313,5,2951
"50",481410103431,5,1595
"51",481410103342,5,2058
"52",481410103391,5,1015
"53",481410103332,5,809
"54",481410103191,5,254
"55",481099503004,5,716
"56",480439505004,5,834
"57",480439503001,5,1729
"58",483719505003,5,3120
"59",483719501001,5,703
"60",483899504003,5,1447
"61",483899502002,5,686
"62",484959502003,5,1117
"63",484959502002,5,464
"64",481039501001,5,464
"65",485019502003,30,693
"66",482799503001,30,1279
"67",483699503002,30,533
"68",483699502002,30,1284
"69",481119501002,30,658
"70",481350028022,30,2448
"71",481350028023,15,2360
"72",481350028021,15,2508
"73",481350010003,30,1691
"74",481350005002,30,745
"75",481350003001,30,972
"76",481350005004,30,1617
"77",481350006002,30,607
"78",481350015002,30,1336
"79",481350004003,15,1319
"80",481350019005,30,1387
"81",481350019002,30,960
"82",481350016002,30,846
"83",481350025033,30,856
"84",481350017001,30,585
"85",481350030001,15,1092
"86",483290101051,30,2022
"87",483290101063,30,1255
"88",483290101095,30,2345
"89",480039503003,30,869
"90",483290101044,30,1407
"91",483290101042,30,5147
"92",484459504006,30,772
"93",484459501003,30,503
"94",482799506002,30,717
"95",482799502001,30,1164
"96",480699502001,30,895
"97",483419502002,30,2867
"98",481119503003,30,1106
"99",483839501001,15,555
"100",483290003025,30,1850
"101",483290013003,30,2068
"102",483290004024,30,1724
"103",483290012004,30,616
"104",483290014003,30,1191
"105",483290101092,30,2337
"106",483290101133,30,1237
"107",483290003042,30,1079
"108",483290001002,30,630
"109",483290001003,30,3326
"110",483290017001,30,1224
"111",483179502001,15,885
"112",481159504023,11,613
"113",481159504021,11,2101
"114",481159506002,11,847
"115",480339501001,30,665
"116",483059506001,11,1216
"117",483030104042,30,579
"118",483030017023,30,949
"119",483030104031,11,1543
"120",483030017082,30,707
"121",483030104081,30,7364
"122",483030018011,11,1030
"123",483030018044,11,1198
"124",483030019033,11,1323
"125",483030105042,11,1470
"126",483030105101,11,2713
"127",483030021022,11,1445
"128",483030021014,11,1317
"129",483030023003,11,990
"130",483030105111,30,5500
"131",483030105083,30,2134
"132",483030105062,30,875
"133",483030104052,30,1405
"134",483030103021,30,628
"135",483030103023,30,1006
"136",483030004043,30,2484
"137",483030004041,11,700
"138",483030016011,11,1076
"139",483030016023,11,934
"140",483030006072,11,1395
"141",483030014003,11,1192
"142",483030014004,11,1079
"143",483030002021,11,553
"144",483030002012,30,1280
"145",483030009004,11,805
"146",483030009003,11,2245
"147",483030010002,11,1344
"148",481899505001,11,696
"149",481899502001,11,807
"150",481899502002,11,781
"151",481899505003,11,1814
"152",481899501002,11,652
"153",484379504001,11,466
"154",483810216063,30,1463
"155",483810216022,30,1110
"156",483750117001,30,1868
"157",483750117002,30,1304
"158",483810216023,30,195
"159",483750133001,30,1005
"160",483750118003,30,843
"161",483810213002,30,711
"162",483750102001,30,1194
"163",483750132002,30,837
"164",483750118002,30,1060
"165",483750102002,30,1000
"166",483810211021,30,1574
"167",483750153003,30,1505
"168",483810209001,30,687
"169",483810209003,30,1331
"170",483750115004,30,1304
"171",483810205002,30,994
"172",483750134001,30,1985
"173",483750148002,30,1250
"174",483750148003,30,908
"175",483750122001,30,413
"176",483750139003,30,1641
"177",483750128003,30,1381
"178",483750154001,30,334
"179",483810206001,30,1079
"180",483750110002,30,1291
"181",483810220022,30,4987
"182",483750149001,30,1364
"183",483750141001,30,1628
"184",483419503006,30,1430
"185",481059501003,15,393
"186",484510017043,11,3289
"187",482279508022,30,5005
"188",482279508014,30,701
"189",482279507001,30,1407
"190",482279501001,30,761
"191",482279502001,15,1591
"192",483030106002,11,596
"193",481699501002,11,2665
"194",480659502001,30,1983
"195",482339505001,30,568
"196",484659503012,15,1486
"197",484659503023,5,553
"198",483359502005,11,1514
"199",484159502001,30,1303
"200",484159506004,11,919
"201",484159506002,11,1019
"202",481299503001,11,824
"203",481799504005,30,588
"204",481799508002,30,1125
"205",483579501002,11,631
"206",483579504002,11,750
"207",483579503001,11,928
"208",483239505003,15,777
"209",483239503002,15,1710
"210",483239506024,15,1278
"211",483239502053,15,2830
"212",482719501002,15,904
"213",484359503004,15,940
"214",484510017081,15,3622
"215",484510017044,11,2434
"216",484510016004,15,1940
"217",484510013032,11,928
"218",484510013035,15,841
"219",484510013017,11,897
"220",484510013044,15,1342
"221",484510017062,11,1669
"222",484510012003,11,876
"223",484510011024,15,708
"224",484510010004,15,890
"225",484510018002,11,612
"226",484510017082,11,2389
"227",484510010002,11,532
"228",484510010001,11,1009
"229",484510009002,11,781
"230",484510014001,11,1470
"231",484510015001,15,2782
"232",484510016003,11,1100
"233",484510016002,11,871
"234",483539505001,11,689
"235",483539503002,11,1365
"236",483539502002,11,981
"237",480879503001,11,824
"238",484839501001,11,1773
"239",482959503001,11,1364
"240",484790017101,15,2294
"241",484639502004,31,1292
"242",483859501001,15,1075
"243",482679501002,15,1287
"244",483999505002,11,1404
"245",483999506005,15,831
"246",484410135004,11,633
"247",482530205003,11,1640
"248",484339503001,11,569
"249",484790019002,3,2198
"250",484790017161,15,1115
"251",484790009031,15,1259
"252",484790018073,3,2803
"253",484790018072,3,3266
"254",484790018061,3,2667
"255",484790001011,3,1814
"256",484790011041,3,1697
"257",484790016013,15,2022
"258",484790001072,3,592
"259",484790018082,3,1854
"260",484790001014,3,722
"261",484790010031,15,2975
"262",484790016021,15,3694
"263",484790018062,3,3681
"264",484790016022,3,2267
"265",484790018161,15,4082
"266",484790018131,3,698
"267",481279504002,15,688
"268",481639502002,31,3077
"269",484639504001,15,1602
"270",482679502002,15,608
"271",483079504002,15,677
"272",480839503006,15,1497
"273",480839503002,15,202
"274",480839503001,15,524
"275",484410122001,11,1275
"276",480590302003,11,1140
"277",484410129001,11,771
"278",484410134011,11,818
"279",484410106003,11,847
"280",484410114002,11,1125
"281",484410115001,11,1176
"282",484410106001,11,1599
"283",484410107003,11,1750
"284",484410123002,11,1473
"285",484410107002,11,550
"286",484410124001,11,1471
"287",484410112002,11,689
"288",484410122003,11,538
"289",484410119001,11,1025
"290",484410101004,11,808
"291",482079503003,11,824
"292",484479503002,11,818
"293",481979501002,11,480
"294",484879503001,11,590
"295",485059503012,3,1159
"296",482659604021,15,1336
"297",482659605003,31,1755
"298",482659606002,15,555
"299",482659606001,15,1189
"300",482659608003,31,1450
"301",483339501002,12,534
"302",480499505002,11,661
"303",480499502002,11,1579
"304",480499513001,15,992
"305",480499508001,12,773
"306",480499509002,12,1230
"307",480499510001,12,712
"308",480590302004,11,1027
"309",484299505003,11,817
"310",484850138001,11,1556
"311",484879505002,11,817
"312",484279501042,3,1546
"313",484279505004,31,1299
"314",484279501062,3,1137
"315",484279501081,31,1421
"316",482150242011,3,1869
"317",483250004021,31,1118
"318",480291619022,15,3580
"319",480139602024,31,3327
"320",480139602021,31,3243
"321",480139604021,31,358
"322",480139601001,31,1889
"323",480291619021,31,1454
"324",480291719211,31,2752
"325",480291817154,18,2399
"326",480291817183,15,1783
"327",480291719143,15,2031
"328",480291817222,15,1513
"329",480291817211,15,2202
"330",480291817302,15,2803
"331",480291817202,18,790
"332",480291817181,15,2172
"333",480291817121,18,2822
"334",480291719253,15,3803
"335",480291719254,15,3135
"336",480291817113,15,3456
"337",480291717005,18,1040
"338",480291817131,18,2301
"339",480291618022,15,3950
"340",480291717003,18,897
"341",480291818241,15,1307
"342",480291718023,18,1551
"343",480291615032,18,1520
"344",480291817043,15,2161
"345",480291818182,18,1977
"346",480291613031,15,2430
"347",480291818191,15,821
"348",480291815053,18,1067
"349",480291814042,18,1525
"350",480291818141,18,3727
"351",480291816011,18,989
"352",480291715012,18,1237
"353",480291805012,18,513
"354",480291607011,15,1538
"355",480291807022,18,1236
"356",480291804001,18,1929
"357",480291707002,18,1127
