"","GEOID10","District","total_population"
"1",551091209012,75,1545
"2",550939604001,75,955
"3",550939606002,75,1240
"4",551091203002,95,615
"5",551091203004,95,2055
"6",551091203001,95,1115
"7",551091204003,95,1925
"8",551091205012,95,1335
"9",551091205021,95,1675
"10",550959607001,14,1040
"11",550139709002,14,1140
"12",550939608003,60,580
"13",550119603001,60,630
"14",550939601002,75,795
"15",551091207004,75,595
"16",551091210001,75,1480
"17",551091208004,75,1010
"18",551091208003,75,960
"19",550339702001,91,740
"20",550959610001,99,860
"21",550959610004,99,780
"22",550139704003,97,1265
"23",550139704002,97,1155
"24",550310207002,97,995
"25",550310211002,97,620
"26",550310203002,97,605
"27",550310204003,97,840
"28",550310210002,97,660
"29",550119605001,60,860
"30",550119604001,57,620
"31",550919501003,60,585
"32",550339704003,60,975
"33",550170104002,91,880
"34",550350016002,57,1165
"35",550339703002,99,1675
"36",550339701001,99,745
"37",550050006002,50,445
"38",550050006004,50,1420
"39",550050010023,50,1460
"40",551299505001,50,1285
"41",551299503001,50,950
"42",550310209002,97,1125
"43",550630003002,41,855
"44",550630004003,41,655
"45",550630010001,41,735
"46",550630010003,41,805
"47",550630010004,41,655
"48",550630007001,41,1105
"49",551239607002,1,945
"50",550630102014,60,1420
"51",550630104023,1,1325
"52",551211005003,60,780
"53",551211005001,85,610
"54",550350012003,77,855
"55",550350012006,77,1495
"56",550350012005,77,1220
"57",550170101001,91,1060
"58",550350005023,77,1920
"59",550170112002,99,1430
"60",550170103003,99,565
"61",550170110003,58,845
"62",550170111002,99,665
"63",551131005002,30,650
"64",550079604004,30,1475
"65",550239601003,76,655
"66",550630101021,85,850
"67",550819504001,57,750
"68",550539605003,85,1125
"69",550539602001,85,765
"70",550199504001,58,475
"71",550170109004,58,1335
"72",550199503002,29,835
"73",551079601001,52,525
"74",551079601004,52,845
"75",550079604003,30,695
"76",550039504002,30,440
"77",550039504001,30,805
"78",550079601002,30,1690
"79",550439612001,42,640
"80",550439611003,42,885
"81",550659704001,42,665
"82",550499506002,42,640
"83",550499502003,76,1120
"84",550499502002,76,890
"85",551039705002,4,605
"86",551039701003,80,545
"87",551039704001,76,645
"88",551039702004,80,965
"89",551239602004,80,660
"90",550819508001,25,935
"91",551239601003,83,895
"92",550819507004,83,780
"93",550571006003,25,680
"94",550571006001,83,835
"95",550819506002,57,1080
"96",550199505004,58,745
"97",550199506003,58,715
"98",550199502002,29,635
"99",550199502003,29,745
"100",551199604001,29,910
"101",550199501001,52,845
"102",550459607004,42,660
"103",550659705001,69,935
"104",550499504002,42,1300
"105",551110011003,80,1390
"106",550250131002,80,640
"107",551110010022,80,1030
"108",551110002002,80,760
"109",551110005003,80,815
"110",551110006002,80,2570
"111",550571007003,80,1205
"112",550019507003,83,1190
"113",551410111003,81,490
"114",551410114002,81,640
"115",551410114003,81,1125
"116",551410115001,81,555
"117",551410105003,29,1100
"118",551410106005,29,785
"119",551410106004,29,580
"120",551410104003,58,1325
"121",551410104001,29,745
"122",551410102001,29,1555
"123",551410101004,29,580
"124",550730018001,29,700
"125",550730012024,52,1555
"126",550730023002,52,645
"127",550730023003,52,950
"128",550730023001,45,890
"129",550730014003,45,1150
"130",550859710022,71,475
"131",551050027001,44,1060
"132",550459605002,69,405
"133",550459603003,44,1105
"134",550250109011,89,4955
"135",550250109044,10,1870
"136",550250111013,89,850
"137",550250005032,49,1060
"138",550250004073,49,1085
"139",550250005034,49,510
"140",550250001001,89,685
"141",550250107011,10,2330
"142",550250007001,9,560
"143",550250010002,9,870
"144",550250111027,10,645
"145",550250014023,9,1325
"146",550250012004,9,1960
"147",550250016063,53,1125
"148",550250018022,82,1415
"149",550250125011,69,1705
"150",550250018021,56,1420
"151",550250102001,82,1055
"152",550250132002,10,1180
"153",550250022001,56,945
"154",550250022002,82,1275
"155",550250019005,82,1110
"156",550250125015,69,675
"157",550250021002,53,1020
"158",550250133023,10,1535
"159",550250021001,53,1105
"160",550250015022,53,675
"161",550250106002,69,845
"162",551110001002,80,1125
"163",550219704003,83,790
"164",550219705004,83,440
"165",550219707003,79,780
"166",550779605003,25,610
"167",550779601001,34,1240
"168",551379604001,34,1160
"169",550979611001,81,2065
"170",550979608001,32,1645
"171",550730018005,52,670
"172",550730017002,51,965
"173",550699609001,45,760
"174",550730006011,45,605
"175",550730005001,45,480
"176",550730003005,66,350
"177",550730001003,45,850
"178",550730003002,66,770
"179",550730011034,66,670
"180",550699605001,52,815
"181",550679601001,13,705
"182",550859714003,71,500
"183",550859714004,71,490
