"","GEOID10","District","total_population"
"1",551091209012,50,1944
"2",550939604001,50,1041
"3",550939606002,98,1654
"4",551091203002,98,872
"5",551091203004,50,2683
"6",551091203001,50,1338
"7",551091204003,98,2767
"8",551091205012,50,1887
"9",551091205021,84,2368
"10",550959607001,84,1175
"11",550139709002,84,1516
"12",550939608003,98,747
"13",550119603001,98,785
"14",550939601002,84,1050
"15",551091207004,84,771
"16",551091210001,98,2054
"17",551091208004,50,1479
"18",551091208003,50,1338
"19",550339702001,84,936
"20",550959610001,84,1118
"21",550959610004,84,1003
"22",550139704003,27,1524
"23",550139704002,27,1288
"24",550310207002,27,1214
"25",550310211002,27,680
"26",550310203002,27,919
"27",550310204003,27,1013
"28",550310210002,27,813
"29",550119605001,58,1107
"30",550119604001,92,780
"31",550919501003,92,737
"32",550339704003,92,1236
"33",550170104002,26,1161
"34",550350016002,35,1437
"35",550339703002,76,2078
"36",550339701001,10,995
"37",550050006002,10,572
"38",550050006004,10,1994
"39",550050010023,10,1738
"40",551299505001,76,1453
"41",551299503001,76,1173
"42",550310209002,27,1371
"43",550630003002,25,1060
"44",550630004003,96,717
"45",550630010001,25,865
"46",550630010003,25,1183
"47",550630010004,25,975
"48",550630007001,96,1347
"49",551239607002,25,1189
"50",550630102014,58,2023
"51",550630104023,58,1690
"52",551211005003,58,967
"53",551211005001,58,900
"54",550350012003,35,868
"55",550350012006,35,1496
"56",550350012005,35,1221
"57",550170101001,26,1492
"58",550350005023,92,2566
"59",550170112002,26,1726
"60",550170103003,35,729
"61",550170110003,26,991
"62",550170111002,10,859
"63",551131005002,79,703
"64",550079604004,27,1741
"65",550239601003,25,828
"66",550630101021,96,1020
"67",550819504001,99,990
"68",550539605003,99,1513
"69",550539602001,99,1190
"70",550199504001,3,785
"71",550170109004,48,1995
"72",550199503002,26,1422
"73",551079601001,21,691
"74",551079601004,21,1083
"75",550079604003,79,942
"76",550039504002,79,701
"77",550039504001,79,960
"78",550079601002,79,2144
"79",550439612001,13,820
"80",550439611003,13,1238
"81",550659704001,13,885
"82",550499506002,13,848
"83",550499502003,70,1521
"84",550499502002,70,1155
"85",551039705002,32,741
"86",551039701003,96,763
"87",551039704001,70,922
"88",551039702004,70,1185
"89",551239602004,96,887
"90",550819508001,99,1320
"91",551239601003,15,1318
"92",550819507004,15,1248
"93",550571006003,15,816
"94",550571006001,15,1073
"95",550819506002,59,1551
"96",550199505004,3,991
"97",550199506003,3,1052
"98",550199502002,3,839
"99",550199502003,3,1384
"100",551199604001,48,1125
"101",550199501001,48,1253
"102",550459607004,28,840
"103",550659705001,32,1197
"104",550499504002,32,1840
"105",551110011003,70,1766
"106",550250131002,70,858
"107",551110010022,70,1576
"108",551110002002,15,974
"109",551110005003,15,1229
"110",551110006002,70,3492
"111",550571007003,15,1574
"112",550019507003,15,1532
"113",551410111003,71,674
"114",551410114002,99,908
"115",551410114003,46,1431
"116",551410115001,71,750
"117",551410105003,52,1359
"118",551410106005,52,862
"119",551410106004,52,775
"120",551410104003,52,1725
"121",551410104001,52,969
"122",551410102001,52,1989
"123",551410101004,52,788
"124",550730018001,80,977
"125",550730012024,80,2007
"126",550730023002,3,887
"127",550730023003,3,1235
"128",550730023001,3,1381
"129",550730014003,54,1601
"130",550859710022,21,513
"131",551050027001,29,1258
"132",550459605002,28,533
"133",550459603003,28,1370
"134",550250109011,37,6936
"135",550250109044,32,2633
"136",550250111013,93,1006
"137",550250005032,74,1530
"138",550250004073,37,1463
"139",550250005034,74,743
"140",550250001001,37,810
"141",550250107011,83,3076
"142",550250007001,63,786
"143",550250010002,63,1058
"144",550250111027,82,898
"145",550250014023,37,2768
"146",550250012004,63,2129
"147",550250016063,63,1207
"148",550250018022,93,1500
"149",550250125011,83,2200
"150",550250018021,93,1619
"151",550250102001,87,1358
"152",550250132002,82,1561
"153",550250022001,87,1229
"154",550250022002,87,1596
"155",550250019005,87,1284
"156",550250125015,28,836
"157",550250021002,87,1213
"158",550250133023,82,2209
"159",550250021001,93,1470
"160",550250015022,38,768
"161",550250106002,83,945
"162",551110001002,15,1366
"163",550219704003,24,1067
"164",550219705004,24,679
"165",550219707003,38,962
"166",550779605003,24,790
"167",550779601001,24,1406
"168",551379604001,59,1501
"169",550979611001,71,3117
"170",550979608001,71,2347
"171",550730018005,80,851
"172",550730017002,80,1400
"173",550699609001,48,911
"174",550730006011,54,680
"175",550730005001,54,681
"176",550730003005,54,449
"177",550730001003,54,936
"178",550730003002,54,952
"179",550730011034,80,923
"180",550699605001,21,1038
"181",550679601001,21,859
"182",550859714003,21,664
"183",550859714004,21,621
"184",550859704001,21,884
"185",550859714001,21,1712
"186",550859704002,21,623
"187",550859706022,79,807
"188",550859713002,79,682
"189",551259507001,79,991
"190",551259502001,21,897
"191",551050021003,29,1410
"192",551050015001,29,1767
"193",551050018002,29,1504
"194",551050024001,29,1380
"195",551050026011,29,1326
"196",551050033001,29,727
"197",551050030024,42,2318
"198",551050005003,81,818
"199",551050011003,81,909
"200",551050011004,39,682
"201",551050003003,39,906
"202",551050006001,81,1979
"203",551050002001,39,1005
"204",551050013042,81,1806
"205",551050031001,81,2419
"206",550250026021,82,2039
"207",550250105011,38,1760
"208",550250106004,83,1230
"209",550250105021,38,1715
"210",550250115041,82,1771
"211",550250122022,28,938
"212",550250116001,38,809
"213",550250117002,66,2353
"214",550551006022,69,1932
"215",550219701001,17,949
"216",550219711001,17,1433
"217",550219711002,66,2220
"218",550471004003,24,659
"219",550471004001,24,758
"220",550390416004,17,839
"221",551379606002,59,928
"222",551379602002,97,1511
"223",550471001002,59,1249
"224",550979606003,46,1383
"225",551351003001,46,853
"226",551351008001,46,943
"227",551351012003,46,848
"228",551351002002,52,857
"229",551151008003,86,875
"230",551351001002,52,766
"231",550679606001,33,1033
"232",550419504003,33,392
"233",550859701011,21,514
"234",551270006004,29,1545
"235",551270017022,51,815
"236",550551012021,69,1536
"237",551270005021,69,1773
"238",551270005023,81,1540
"239",551270004003,81,772
"240",550551016001,69,3148
"241",551270006001,39,992
"242",551270007011,69,560
"243",551270003021,81,296
"244",551270003022,69,688
"245",551270015025,6,830
"246",550551014001,69,937
"247",550551002001,9,972
"248",550279619001,9,1149
"249",550279620001,9,801
"250",551332044001,44,811
"251",551332040031,44,429
"252",551332043023,44,906
"253",551332043021,44,1948
"254",551332043022,44,1187
"255",551332041002,44,543
"256",551332040041,2,745
"257",551332038031,2,2685
"258",551332038032,2,1308
"259",550279609003,66,1778
"260",550279611002,66,1308
"261",550279602002,17,874
"262",550279615002,9,1461
"263",550279601003,14,1956
"264",550390415003,17,1049
"265",550279603003,17,1624
"266",550279603002,17,711
"267",550390417003,17,917
"268",550390414002,36,1559
"269",550390419002,17,912
"270",550390413003,36,1276
"271",550390404001,36,907
"272",550390402002,36,929
"273",550390405003,36,948
"274",550390408002,36,731
"275",550390409001,36,972
"276",550390401004,36,578
"277",550390410002,36,1088
"278",550390411004,36,2674
"279",550390411001,36,2249
"280",551390017001,97,1332
"281",551390014004,7,586
"282",551390012002,7,1115
"283",551390008003,7,984
"284",551390005005,7,1191
"285",551390005003,7,1630
"286",551390004001,7,1074
"287",551390023002,77,1850
"288",551390024005,77,3306
"289",551390037011,77,1619
"290",551390034003,77,1276
"291",551390024003,77,1993
"292",551390030001,47,704
"293",551390026023,72,1924
"294",551390016001,7,2494
"295",551390036002,56,1875
"296",551390028001,77,1321
"297",551390016002,57,2357
"298",551390019003,97,1442
"299",550150204001,7,1035
