"","GEOID10","District","total_population"
"1",551091209012,3,1545
"2",550939604001,3,955
"3",550939606002,3,1240
"4",551091203002,3,615
"5",551091203004,3,2055
"6",551091203001,3,1115
"7",551091204003,3,1925
"8",551091205012,3,1335
"9",551091205021,3,1675
"10",550959607001,3,1040
"11",550139709002,19,1140
"12",550939608003,3,580
"13",550119603001,3,630
"14",550939601002,3,795
"15",551091207004,3,595
"16",551091210001,3,1480
"17",551091208004,3,1010
"18",551091208003,18,960
"19",550339702001,18,740
"20",550959610001,3,860
"21",550959610004,18,780
"22",550139704003,19,1265
"23",550139704002,19,1155
"24",550310207002,19,995
"25",550310211002,19,620
"26",550310203002,19,605
"27",550310204003,19,840
"28",550310210002,19,660
"29",550119605001,3,860
"30",550119604001,9,620
"31",550919501003,9,585
"32",550339704003,18,975
"33",550170104002,18,880
"34",550350016002,9,1165
"35",550339703002,18,1675
"36",550339701001,18,745
"37",550050006002,19,445
"38",550050006004,19,1420
"39",550050010023,18,1460
"40",551299505001,19,1285
"41",551299503001,19,950
"42",550310209002,19,1125
"43",550630003002,9,855
"44",550630004003,13,655
"45",550630010001,9,735
"46",550630010003,13,805
"47",550630010004,13,655
"48",550630007001,13,1105
"49",551239607002,13,945
"50",550630102014,3,1420
"51",550630104023,9,1325
"52",551211005003,3,780
"53",551211005001,9,610
"54",550350012003,9,855
"55",550350012006,9,1495
"56",550350012005,18,1220
"57",550170101001,18,1060
"58",550350005023,18,1920
"59",550170112002,18,1430
"60",550170103003,18,565
"61",550170110003,18,845
"62",550170111002,18,665
"63",551131005002,19,650
"64",550079604004,19,1475
"65",550239601003,13,655
"66",550630101021,13,850
"67",550819504001,13,750
"68",550539605003,9,1125
"69",550539602001,9,765
"70",550199504001,22,475
"71",550170109004,18,1335
"72",550199503002,22,835
"73",551079601001,19,525
"74",551079601004,22,845
"75",550079604003,22,695
"76",550039504002,19,440
"77",550039504001,19,805
"78",550079601002,22,1690
"79",550439612001,2,640
"80",550439611003,2,885
"81",550659704001,2,665
"82",550499506002,2,640
"83",550499502003,2,1120
"84",550499502002,25,890
"85",551039705002,25,605
"86",551039701003,13,545
"87",551039704001,13,645
"88",551039702004,25,965
"89",551239602004,13,660
"90",550819508001,13,935
"91",551239601003,13,895
"92",550819507004,13,780
"93",550571006003,13,680
"94",550571006001,13,835
"95",550819506002,13,1080
"96",550199505004,18,745
"97",550199506003,18,715
"98",550199502002,18,635
"99",550199502003,22,745
"100",551199604001,22,910
"101",550199501001,22,845
"102",550459607004,2,660
"103",550659705001,2,935
"104",550499504002,2,1300
"105",551110011003,13,1390
"106",550250131002,2,640
"107",551110010022,25,1030
"108",551110002002,25,760
"109",551110005003,25,815
"110",551110006002,25,2570
"111",550571007003,13,1205
"112",550019507003,25,1190
"113",551410111003,33,490
"114",551410114002,33,640
"115",551410114003,33,1125
"116",551410115001,33,555
"117",551410105003,33,1100
"118",551410106005,33,785
"119",551410106004,33,580
"120",551410104003,22,1325
"121",551410104001,33,745
"122",551410102001,33,1555
"123",551410101004,22,580
"124",550730018001,22,700
"125",550730012024,33,1555
"126",550730023002,22,645
"127",550730023003,22,950
"128",550730023001,33,890
"129",550730014003,22,1150
"130",550859710022,22,475
"131",551050027001,1,1060
"132",550459605002,2,405
"133",550459603003,1,1105
"134",550250109011,25,4955
"135",550250109044,25,1870
"136",550250111013,25,850
"137",550250005032,28,1060
"138",550250004073,28,1085
"139",550250005034,28,510
"140",550250001001,24,685
"141",550250107011,32,2330
"142",550250007001,28,560
"143",550250010002,28,870
"144",550250111027,24,645
"145",550250014023,32,1325
"146",550250012004,28,1960
"147",550250016063,28,1125
"148",550250018022,28,1415
"149",550250125011,28,1705
"150",550250018021,24,1420
"151",550250102001,24,1055
"152",550250132002,25,1180
"153",550250022001,24,945
"154",550250022002,24,1275
"155",550250019005,24,1110
"156",550250125015,32,675
"157",550250021002,24,1020
