"","GEOID10","District","total_population"
"1",551091209012,18,1944
"2",550939604001,18,1041
"3",550939606002,18,1654
"4",551091203002,3,872
"5",551091203004,3,2683
"6",551091203001,3,1338
"7",551091204003,3,2767
"8",551091205012,3,1887
"9",551091205021,3,2368
"10",550959607001,3,1175
"11",550139709002,3,1516
"12",550939608003,18,747
"13",550119603001,18,785
"14",550939601002,3,1050
"15",551091207004,3,771
"16",551091210001,3,2054
"17",551091208004,3,1479
"18",551091208003,3,1338
"19",550339702001,3,936
"20",550959610001,3,1118
"21",550959610004,3,1003
"22",550139704003,8,1524
"23",550139704002,8,1288
"24",550310207002,8,1214
"25",550310211002,8,680
"26",550310203002,8,919
"27",550310204003,8,1013
"28",550310210002,8,813
"29",550119605001,10,1107
"30",550119604001,18,780
"31",550919501003,18,737
"32",550339704003,18,1236
"33",550170104002,18,1161
"34",550350016002,18,1437
"35",550339703002,3,2078
"36",550339701001,8,995
"37",550050006002,8,572
"38",550050006004,8,1994
"39",550050010023,8,1738
"40",551299505001,8,1453
"41",551299503001,8,1173
"42",550310209002,8,1371
"43",550630003002,10,1060
"44",550630004003,10,717
"45",550630010001,10,865
"46",550630010003,10,1183
"47",550630010004,10,975
"48",550630007001,10,1347
"49",551239607002,10,1189
"50",550630102014,10,2023
"51",550630104023,10,1690
"52",551211005003,10,967
"53",551211005001,18,900
"54",550350012003,18,868
"55",550350012006,18,1496
"56",550350012005,18,1221
"57",550170101001,18,1492
"58",550350005023,19,2566
"59",550170112002,24,1726
"60",550170103003,24,729
"61",550170110003,24,991
"62",550170111002,24,859
"63",551131005002,8,703
"64",550079604004,8,1741
"65",550239601003,20,828
"66",550630101021,10,1020
"67",550819504001,19,990
"68",550539605003,10,1513
"69",550539602001,19,1190
"70",550199504001,13,785
"71",550170109004,24,1995
"72",550199503002,13,1422
"73",551079601001,24,691
"74",551079601004,24,1083
"75",550079604003,8,942
"76",550039504002,8,701
"77",550039504001,8,960
"78",550079601002,8,2144
"79",550439612001,17,820
"80",550439611003,20,1238
"81",550659704001,17,885
"82",550499506002,17,848
"83",550499502003,20,1521
"84",550499502002,20,1155
"85",551039705002,20,741
"86",551039701003,20,763
"87",551039704001,20,922
"88",551039702004,20,1185
"89",551239602004,20,887
"90",550819508001,19,1320
"91",551239601003,19,1318
"92",550819507004,19,1248
"93",550571006003,19,816
"94",550571006001,19,1073
"95",550819506002,19,1551
"96",550199505004,13,991
"97",550199506003,13,1052
"98",550199502002,13,839
"99",550199502003,13,1384
"100",551199604001,13,1125
"101",550199501001,13,1253
"102",550459607004,17,840
"103",550659705001,17,1197
"104",550499504002,20,1840
"105",551110011003,20,1766
"106",550250131002,20,858
"107",551110010022,20,1576
"108",551110002002,19,974
"109",551110005003,19,1229
"110",551110006002,20,3492
"111",550571007003,19,1574
"112",550019507003,9,1532
"113",551410111003,1,674
"114",551410114002,1,908
"115",551410114003,1,1431
"116",551410115001,1,750
"117",551410105003,1,1359
"118",551410106005,1,862
"119",551410106004,1,775
"120",551410104003,1,1725
"121",551410104001,1,969
"122",551410102001,1,1989
"123",551410101004,1,788
"124",550730018001,1,977
"125",550730012024,13,2007
"126",550730023002,13,887
"127",550730023003,13,1235
"128",550730023001,13,1381
"129",550730014003,13,1601
"130",550859710022,24,513
"131",551050027001,17,1258
"132",550459605002,17,533
"133",550459603003,17,1370
"134",550250109011,17,6936
"135",550250109044,17,2633
"136",550250111013,32,1006
"137",550250005032,32,1530
"138",550250004073,32,1463
"139",550250005034,32,743
"140",550250001001,17,810
"141",550250107011,32,3076
"142",550250007001,32,786
"143",550250010002,32,1058
"144",550250111027,6,898
"145",550250014023,32,2768
"146",550250012004,6,2129
"147",550250016063,6,1207
"148",550250018022,32,1500
"149",550250125011,17,2200
"150",550250018021,32,1619
"151",550250102001,32,1358
"152",550250132002,9,1561
"153",550250022001,6,1229
"154",550250022002,9,1596
"155",550250019005,6,1284
"156",550250125015,31,836
"157",550250021002,9,1213
"158",550250133023,9,2209
"159",550250021001,6,1470
"160",550250015022,6,768
"161",550250106002,31,945
"162",551110001002,19,1366
"163",550219704003,19,1067
"164",550219705004,19,679
"165",550219707003,20,962
"166",550779605003,19,790
"167",550779601001,16,1406
"168",551379604001,16,1501
"169",550979611001,1,3117
"170",550979608001,1,2347
"171",550730018005,13,851
"172",550730017002,13,1400
"173",550699609001,24,911
"174",550730006011,13,680
"175",550730005001,13,681
"176",550730003005,13,449
"177",550730001003,24,936
"178",550730003002,24,952
"179",550730011034,24,923
"180",550699605001,24,1038
"181",550679601001,24,859
"182",550859714003,24,664
"183",550859714004,26,621
"184",550859704001,26,884
"185",550859714001,26,1712
"186",550859704002,26,623
"187",550859706022,26,807
"188",550859713002,26,682
"189",551259507001,8,991
"190",551259502001,26,897
"191",551050021003,31,1410
"192",551050015001,7,1767
"193",551050018002,7,1504
"194",551050024001,31,1380
"195",551050026011,31,1326
"196",551050033001,7,727
"197",551050030024,17,2318
"198",551050005003,31,818
"199",551050011003,31,909
"200",551050011004,7,682
"201",551050003003,31,906
"202",551050006001,31,1979
"203",551050002001,31,1005
"204",551050013042,7,1806
"205",551050031001,31,2419
"206",550250026021,9,2039
"207",550250105011,31,1760
"208",550250106004,31,1230
"209",550250105021,31,1715
"210",550250115041,9,1771
"211",550250122022,31,938
"212",550250116001,6,809
"213",550250117002,31,2353
"214",550551006022,31,1932
"215",550219701001,9,949
"216",550219711001,9,1433
"217",550219711002,9,2220
"218",550471004003,16,659
"219",550471004001,16,758
"220",550390416004,9,839
"221",551379606002,16,928
"222",551379602002,1,1511
"223",550471001002,16,1249
"224",550979606003,1,1383
"225",551351003001,16,853
"226",551351008001,16,943
"227",551351012003,16,848
"228",551351002002,16,857
"229",551151008003,24,875
"230",551351001002,16,766
"231",550679606001,24,1033
"232",550419504003,26,392
"233",550859701011,26,514
"234",551270006004,7,1545
"235",551270017022,7,815
"236",550551012021,6,1536
"237",551270005021,23,1773
"238",551270005023,7,1540
"239",551270004003,7,772
"240",550551016001,23,3148
"241",551270006001,7,992
"242",551270007011,7,560
"243",551270003021,7,296
"244",551270003022,7,688
"245",551270015025,7,830
"246",550551014001,6,937
"247",550551002001,23,972
"248",550279619001,9,1149
"249",550279620001,9,801
"250",551332044001,23,811
"251",551332040031,23,429
"252",551332043023,23,906
"253",551332043021,23,1948
"254",551332043022,23,1187
"255",551332041002,2,543
"256",551332040041,23,745
"257",551332038031,23,2685
"258",551332038032,2,1308
"259",550279609003,9,1778
"260",550279611002,9,1308
"261",550279602002,21,874
"262",550279615002,23,1461
"263",550279601003,23,1956
"264",550390415003,21,1049
"265",550279603003,23,1624
"266",550279603002,21,711
"267",550390417003,9,917
"268",550390414002,9,1559
"269",550390419002,21,912
"270",550390413003,21,1276
"271",550390404001,9,907
"272",550390402002,21,929
"273",550390405003,21,948
"274",550390408002,21,731
"275",550390409001,21,972
"276",550390401004,21,578
"277",550390410002,21,1088
"278",550390411004,21,2674
"279",550390411001,21,2249
"280",551390017001,29,1332
"281",551390014004,29,586
"282",551390012002,29,1115
"283",551390008003,29,984
"284",551390005005,29,1191
"285",551390005003,21,1630
"286",551390004001,29,1074
"287",551390023002,16,1850
"288",551390024005,16,3306
"289",551390037011,16,1619
"290",551390034003,29,1276
"291",551390024003,16,1993
"292",551390030001,29,704
"293",551390026023,29,1924
"294",551390016001,16,2494
"295",551390036002,29,1875
"296",551390028001,4,1321
"297",551390016002,29,2357
"298",551390019003,21,1442
"299",550150204001,16,1035
"300",550870126014,16,3020
