FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,CA,620,L6,00,000,0059044,620L600US06001,06001,4,9,06,01779778,001,64122762656,2001748404,1,Assembly District 1,N,468669,238696,+40.8261089,-121.3636117,L3,06001,468669,420599,370493,5780,10966,10190,1034,22136,48070,44831,2728,15452,4380,744,19935,201,92,31,181,102,58,341,348,168,70,2765,507,114,32,142,343,124,823,322,167,42,32,6,32,8,18,9,9,15,0,20,391,74,14,72,62,30,8,42,23,15,15,13,11,0,4,8,72,16,22,11,19,4,0,11,11,468669,56445,412224,383311,355309,5493,8953,9898,934,2724,28913,27381,2476,13760,4027,672,5571,143,78,9,76,79,43,53,323,45,26,1332,383,96,22,35,277,95,43,256,44,17,21,4,18,3,3,2,3,0,0,10,183,40,8,26,37,16,5,8,7,1,14,11,5,0,3,2,15,7,1,0,6,1,0,2,2,378619,346342,307182,4871,8079,8182,777,17251,32277,30486,1266,11141,2322,435,14182,91,51,13,122,88,37,256,312,126,44,1576,271,49,13,53,169,67,580,186,83,23,16,2,19,3,3,7,6,14,0,12,179,34,3,31,23,16,7,17,15,7,12,6,2,0,0,6,29,15,9,2,2,1,0,7,7,378619,39327,339292,319453,297189,4727,6718,7991,723,2105,19839,18989,1191,10267,2174,395,4295,72,48,5,59,68,31,28,295,40,21,735,211,44,7,14,138,52,35,155,28,9,13,2,10,1,3,2,3,0,0,8,103,22,3,20,15,11,5,5,3,1,11,5,0,0,0,2,10,7,0,0,2,1,0,2,2,238696,190230,48466,16075,12726,9824,201,2488,213,3349,483,0,2866
PLST,CA,620,L6,00,000,0059045,620L600US06002,06002,4,9,06,01779778,002,32091925865,3321153365,2,Assembly District 2,N,466671,210334,+40.2170990,-123.5172929,L3,06002,466671,408517,314516,6196,19554,16323,1415,50513,58154,53869,2982,13393,5135,796,28959,331,164,38,323,234,74,865,316,191,68,3837,695,197,34,264,404,117,1207,387,293,45,34,4,29,20,11,14,35,15,13,19,373,65,14,90,16,20,2,56,38,6,25,10,12,9,5,5,65,25,35,2,3,0,0,10,10,466671,100075,366596,338268,297310,5794,14926,15913,1276,3049,28328,26327,2642,11510,4724,725,5548,244,147,33,79,179,66,64,287,58,21,1797,547,162,23,83,310,85,77,337,61,12,22,3,9,16,3,2,24,9,3,9,175,48,9,30,11,8,0,47,0,0,5,8,4,1,0,4,23,8,13,1,1,0,0,6,6,376269,336843,266855,5214,13822,13120,1109,36723,39426,36902,1531,9483,2978,505,20612,211,100,27,216,127,38,654,252,120,48,2251,429,73,19,135,215,56,821,235,147,24,14,2,21,5,3,13,15,10,2,12,228,47,13,56,9,2,0,34,22,3,13,9,6,9,1,4,40,13,24,0,3,0,0,5,5,376269,69388,306881,287293,255380,4957,10685,12844,1015,2412,19588,18431,1410,8499,2801,469,4413,173,91,27,53,102,36,56,234,47,20,1020,346,56,13,58,171,37,48,206,31,2,8,1,9,4,3,2,8,7,2,8,115,37,8,15,5,2,0,29,0,0,4,7,4,1,0,3,21,8,12,0,1,0,0,1,1,210334,186102,24232,12362,5717,4371,146,1090,110,6645,1881,26,4738
PLST,CA,620,L6,00,000,0059046,620L600US06003,06003,4,9,06,01779778,003,18059972046,160886357,3,Assembly District 3,N,481581,188231,+39.7197429,-122.0670316,L3,06003,481581,420677,295364,9237,11107,36064,1504,67401,60904,56489,3840,13862,5208,770,29566,352,284,58,402,208,61,1084,372,376,46,3847,799,237,54,262,382,123,1144,356,209,48,33,3,67,26,16,11,16,25,6,30,480,88,34,92,15,33,12,55,69,11,44,4,18,1,3,1,75,26,26,9,11,0,3,13,13,481581,129428,352153,323649,269285,8417,6618,35385,1322,2622,28504,26502,3338,11829,4665,674,4616,252,250,51,114,156,46,31,341,129,10,1784,615,204,44,75,273,76,56,298,33,7,16,0,36,11,10,1,12,1,0,16,183,55,14,27,13,11,0,29,14,2,8,2,6,1,1,0,35,10,11,3,11,0,0,0,0,367932,328246,237197,6985,8024,27351,1153,47536,39686,37255,1746,9894,2878,483,20129,230,154,33,244,129,39,742,289,230,35,2128,425,100,8,133,185,52,758,201,102,16,19,0,36,23,4,11,12,16,5,22,243,37,20,41,3,15,11,30,41,5,23,1,15,0,1,0,51,24,22,5,0,0,0,9,9,367932,86248,281684,262559,221144,6585,4920,26932,1045,1933,19125,18034,1596,8855,2659,443,3536,174,134,26,90,95,33,19,267,97,10,982,344,88,8,57,148,41,42,173,15,3,7,0,20,10,0,1,9,1,0,15,91,24,9,16,1,5,0,12,11,0,6,0,6,0,1,0,18,8,8,2,0,0,0,0,0,188231,175383,12848,9422,3349,1523,82,1634,110,6073,2234,705,3134
PLST,CA,620,L6,00,000,0059047,620L600US06004,06004,4,9,06,01779778,004,10367378531,319255151,4,Assembly District 4,N,486474,194880,+38.7812830,-122.2802390,L3,06004,486474,413531,270206,9281,8495,41141,1409,82999,72943,68267,2966,7765,7761,768,45462,247,331,47,402,187,48,1236,499,443,105,4137,475,309,25,306,341,59,1611,348,424,58,19,6,32,23,31,2,19,15,16,18,476,79,38,130,27,33,18,31,33,13,23,12,21,5,7,6,56,27,22,3,4,0,0,7,7,486474,162676,323798,299912,243222,8710,3443,40341,1252,2944,23886,22320,2579,6104,7066,678,4475,192,299,42,137,109,20,6,454,119,40,1397,342,254,19,64,201,26,31,290,61,10,7,6,13,20,16,2,18,5,9,3,140,43,12,21,13,5,1,11,0,2,7,8,9,3,2,3,28,15,8,1,4,0,0,1,1,388304,338146,227596,7471,6400,34970,1187,60522,50158,47358,1538,5851,4703,468,32348,174,196,33,248,134,15,947,378,252,73,2497,304,170,6,179,163,29,1136,173,200,36,6,4,25,10,14,0,13,9,12,8,258,48,17,74,18,17,2,14,14,9,15,7,9,2,6,6,44,26,13,1,4,0,0,1,1,388304,114498,273806,257233,209580,7163,2662,34429,1081,2318,16573,15611,1388,4884,4384,433,3495,144,186,28,113,91,11,3,352,74,25,851,241,147,2,55,107,12,17,160,36,5,5,4,13,10,10,0,12,4,8,3,87,28,2,12,8,3,1,5,0,1,7,7,8,0,2,3,24,15,4,1,4,0,0,0,0,194880,176470,18410,17519,3794,703,59,2844,188,13725,10169,0,3556
PLST,CA,620,L6,00,000,0059048,620L600US06005,06005,4,9,06,01779778,005,33243798995,703492300,5,Assembly District 5,N,470437,228341,+38.0727975,-119.7261657,L3,06005,470437,411031,311748,8222,12921,9615,711,67814,59406,56191,1940,11340,3870,663,35372,168,108,28,339,121,49,1411,464,259,59,2823,314,106,40,202,271,102,1050,266,234,39,23,12,18,16,40,17,8,25,8,32,301,53,17,65,15,21,3,21,26,11,34,11,11,5,2,6,67,23,27,9,3,5,0,24,24,470437,138204,332233,309663,284099,7607,5615,9069,585,2688,22570,21384,1670,9558,3455,575,5238,117,83,20,67,62,32,20,420,55,12,1047,237,87,26,66,189,65,43,232,21,9,6,6,7,14,16,3,6,5,2,7,118,24,14,17,13,5,1,13,10,0,8,5,6,0,2,0,15,8,4,1,2,0,0,6,6,372074,331255,258892,7028,9229,7892,569,47645,40819,38897,1042,8409,2188,409,24816,120,47,10,196,90,33,953,421,135,28,1672,188,61,14,105,148,56,712,171,111,17,11,0,4,8,15,6,4,15,5,21,188,36,6,44,6,6,3,16,20,4,20,9,11,5,2,0,43,16,15,8,1,3,0,19,19,372074,92977,279097,262786,241513,6710,4450,7561,482,2070,16311,15566,953,7364,2017,376,4149,91,43,10,50,51,21,16,388,30,7,647,159,52,6,51,107,39,36,146,8,2,5,0,3,6,9,3,3,3,2,7,83,20,6,9,4,3,1,12,9,0,8,3,6,0,2,0,9,5,2,1,1,0,0,6,6,228341,174633,53708,17694,15114,13748,161,1189,16,2580,91,96,2393
PLST,CA,620,L6,00,000,0059049,620L600US06006,06006,4,9,06,01779778,006,1354535063,49696612,6,Assembly District 6,N,543584,207140,+38.7987708,-121.2191578,L3,06006,543584,477666,375528,12077,3994,59582,1480,25005,65918,60728,4079,9343,13423,1242,29674,216,425,67,402,165,43,316,722,498,113,4664,585,439,66,294,520,87,1129,656,645,86,23,10,33,22,20,1,5,21,11,11,473,116,15,126,27,44,1,53,59,4,22,2,3,0,1,0,52,14,19,11,3,4,1,1,1,543584,77752,465832,431011,354496,11449,2194,58572,1283,3017,34821,32552,3545,7653,12141,1078,6324,185,370,35,161,112,24,17,649,187,71,2079,430,377,52,81,341,62,48,564,40,7,16,9,11,20,8,0,3,3,0,7,174,68,13,9,21,18,0,39,2,1,2,1,0,0,0,0,16,11,3,1,1,0,0,0,0,418695,377528,299452,9879,3145,44803,1190,19059,41167,38434,1930,6666,6514,728,20655,150,241,36,256,93,24,235,564,260,82,2478,341,154,29,145,241,38,761,329,303,46,14,8,20,13,12,0,3,13,5,3,237,60,10,56,11,24,1,28,26,3,14,1,3,0,0,0,17,5,1,10,0,0,1,1,1,418695,52673,366022,344722,286061,9528,1751,44135,1049,2198,21300,20090,1761,5720,6078,668,4598,135,211,21,128,62,14,16,518,109,51,1104,262,143,28,53,160,30,42,302,23,5,10,8,11,12,6,0,3,3,0,3,104,40,9,6,11,10,0,23,1,1,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,207140,199866,7274,9957,7371,5894,92,1284,101,2586,457,0,2129
PLST,CA,620,L6,00,000,0059050,620L600US06007,06007,4,9,06,01779778,007,423835575,9225479,7,Assembly District 7,N,523927,198472,+38.6300012,-121.4899019,L3,06007,523927,450189,223379,53214,7912,80852,6384,78448,73738,66585,7620,7278,9858,977,32406,1289,1326,261,1458,375,104,1091,1240,853,449,6295,1290,673,113,641,483,75,1533,401,516,78,84,29,85,103,50,25,35,14,1,66,786,217,28,216,59,54,6,73,63,6,43,9,8,2,0,2,66,40,15,3,7,1,0,6,6,523927,151629,372298,339744,197883,50444,2888,78996,6025,3508,32554,29386,6580,5188,8677,804,3208,1068,1184,236,462,215,65,24,1105,231,339,2818,959,542,83,160,268,48,41,324,73,19,66,24,33,95,18,20,12,0,0,33,317,137,17,50,48,8,0,45,4,0,1,5,2,0,0,0,31,27,3,1,0,0,0,2,2,404196,355440,184899,40104,6140,62882,4837,56578,48756,44775,3896,5489,5719,581,23636,860,691,133,879,258,53,807,932,493,348,3537,778,243,29,314,218,41,1105,234,255,48,37,21,58,53,19,16,21,5,1,41,399,99,11,134,19,29,5,29,41,5,20,4,1,0,0,2,41,21,11,3,5,1,0,4,4,404196,106034,298162,277128,167207,38649,2337,61788,4594,2553,21034,19273,3505,4215,5213,503,2500,732,636,122,326,153,36,23,865,165,279,1591,624,216,19,106,139,31,33,194,42,9,32,17,25,52,7,15,7,0,0,23,154,66,6,39,16,3,0,15,3,0,1,4,1,0,0,0,15,11,3,1,0,0,0,1,1,198472,189187,9285,17108,4294,2949,89,994,262,12814,3759,0,9055
PLST,CA,620,L6,00,000,0059051,620L600US06008,06008,4,9,06,01779778,008,1140158128,5529152,8,Assembly District 8,N,522832,203472,+38.4753148,-121.2053318,L3,06008,522832,452794,289972,41896,5823,63623,4284,47196,70038,63256,7644,8678,12300,929,27099,930,1293,291,1197,273,62,676,968,687,229,6079,1214,728,107,610,532,71,1259,612,513,80,77,14,59,80,46,12,13,12,0,40,644,178,39,172,58,45,7,45,54,0,35,8,2,0,1,0,56,24,23,3,3,3,0,3,3,522832,104012,418820,381404,269242,39894,2630,62255,4034,3349,37416,34075,6625,6924,11213,798,4441,747,1147,259,380,167,38,29,874,271,162,3033,921,585,88,194,346,58,45,499,55,17,72,10,17,68,19,9,9,1,0,20,287,103,27,48,47,18,0,28,6,0,6,2,1,0,1,0,19,13,4,2,0,0,0,2,2,403191,358190,237901,31081,4553,47682,3192,33781,45001,41361,3689,6649,6818,551,19468,670,721,125,728,161,42,488,732,345,174,3315,713,282,36,249,291,42,919,347,217,39,36,9,35,39,13,5,8,9,0,26,283,80,19,100,10,7,6,18,27,0,13,3,0,0,0,0,41,14,21,1,3,2,0,1,1,403191,70378,332813,308755,224208,30100,2158,46795,3037,2457,24058,22212,3387,5592,6367,487,3631,570,670,116,294,100,26,25,673,151,123,1704,588,251,30,107,196,35,42,295,33,3,35,5,12,37,11,4,4,1,0,15,130,54,13,30,10,3,0,11,4,0,3,2,0,0,0,0,12,8,4,0,0,0,0,0,0,203472,195917,7555,6024,2396,0,151,2189,56,3628,0,0,3628
PLST,CA,620,L6,00,000,0059052,620L600US06009,06009,4,9,06,01779778,009,750672942,11941601,9,Assembly District 9,N,514251,174017,+38.3441028,-121.3755259,L3,06009,514251,444681,165454,56456,5766,132341,8687,75977,69570,62625,5979,5536,10242,794,30324,1133,1704,286,1516,406,74,936,1770,1174,751,6097,1069,698,108,604,488,63,1285,520,716,71,101,26,52,92,52,15,25,40,3,69,760,208,38,209,35,64,5,62,57,7,62,7,2,1,0,3,78,32,31,6,1,8,0,10,10,514251,143980,370271,340346,143095,54066,1861,129934,8371,3019,29925,26890,5106,3963,8926,653,2243,914,1514,250,406,259,54,28,1637,302,635,2695,768,574,95,140,275,44,39,409,70,11,78,20,22,66,17,9,12,1,0,45,315,149,24,42,21,20,3,39,4,0,7,5,0,1,0,0,23,16,4,2,1,0,0,2,2,385787,341590,134811,42199,4342,100596,6571,53071,44197,40515,3038,4042,5244,483,21512,836,808,106,810,268,57,724,1398,588,601,3210,635,251,41,278,256,28,880,265,291,31,55,8,38,45,21,5,16,23,3,40,423,127,18,126,9,33,5,32,32,0,32,5,0,1,0,3,41,19,16,4,0,2,0,8,8,385787,96656,289131,270419,120282,41003,1420,99239,6421,2054,18712,17002,2751,3130,4794,439,1705,732,746,97,306,189,45,17,1316,194,541,1487,508,214,38,92,161,24,30,217,41,7,40,7,20,40,7,3,10,1,0,27,208,107,14,28,9,12,3,22,4,0,3,5,0,1,0,0,15,11,4,0,0,0,0,0,0,174017,168548,5469,5607,2764,1146,67,1517,34,2843,0,0,2843
PLST,CA,620,L6,00,000,0059053,620L600US06010,06010,4,9,06,01779778,010,2196915960,841106858,10,Assembly District 10,N,481331,198629,+38.1155604,-122.7102561,L3,06010,481331,421586,314867,9938,8154,26446,1347,60834,59745,55807,3179,5679,9756,752,33308,211,263,60,406,97,27,1267,400,339,63,3580,459,210,27,313,304,62,1249,393,404,29,38,2,28,4,12,0,17,18,7,4,315,46,12,105,10,33,2,45,33,8,12,3,1,0,4,1,39,12,22,1,4,0,0,4,4,481331,115016,366315,340891,299087,9481,1831,25908,1260,3324,25424,23878,2904,4500,9100,674,5509,163,252,54,140,61,15,16,372,102,16,1423,367,181,19,81,203,50,46,353,62,0,31,2,1,4,5,0,17,0,0,1,103,32,11,10,10,2,2,27,0,0,6,3,0,0,0,0,16,11,5,0,0,0,0,4,4,383661,344044,262899,8296,6043,22385,1110,43311,39617,37243,1819,4285,4825,505,23615,155,134,40,289,76,13,885,350,196,56,2146,284,79,17,165,137,38,920,230,192,20,17,0,13,1,4,0,13,11,5,0,191,40,5,71,5,9,2,24,20,2,6,3,1,0,2,1,33,10,18,1,4,0,0,4,4,383661,79968,303693,287417,252365,8022,1459,22045,1051,2475,16276,15340,1710,3546,4576,467,4153,130,129,37,112,43,4,7,338,72,16,846,245,74,12,61,106,34,37,212,33,0,14,0,0,1,4,0,13,0,0,0,71,30,4,8,5,1,2,15,0,0,3,3,0,0,0,0,15,10,5,0,0,0,0,4,4,198629,186808,11821,10530,6021,4148,186,1604,83,4509,628,278,3603
