FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,CA,610,U6,00,000,0054960,610U600US06001,06001,4,9,06,01779778,001,69226776948,2177755741,1,State Senate District 1,N,987782,457799,+40.6343548,-121.2643298,LU,06001,987782,878916,745669,14840,15237,54166,2129,46875,108866,101188,6047,25220,15423,1798,48771,374,368,94,511,230,107,643,948,514,140,6777,982,453,93,405,749,232,1870,877,683,124,54,11,61,28,48,12,16,29,17,33,764,177,27,155,80,64,11,87,59,21,39,16,13,0,7,8,118,31,40,16,22,9,0,19,19,987782,128249,859533,798631,711981,14065,11706,53168,1902,5809,60902,57414,5403,21960,14068,1587,12149,298,306,51,208,168,66,59,852,172,67,3128,735,382,69,123,547,177,97,740,80,30,35,10,31,20,16,3,7,4,2,20,333,96,19,36,51,30,5,40,12,2,17,13,5,0,5,2,25,15,1,1,7,1,0,2,2,785780,714220,611340,12401,11402,41491,1644,35942,71560,67362,2893,18271,7853,1044,34586,202,200,43,339,169,68,497,801,296,100,3757,545,185,38,192,351,113,1295,456,338,63,33,7,40,13,19,8,10,24,9,18,379,92,8,71,31,40,10,33,33,9,32,8,4,0,2,6,47,25,12,7,2,1,0,15,15,785780,88402,697378,657095,589494,11975,8885,40827,1498,4416,40283,38376,2718,16517,7332,962,9221,172,169,25,158,124,48,33,739,107,51,1693,420,169,25,73,268,92,85,400,46,14,22,7,22,9,12,3,7,3,2,14,199,63,7,26,23,21,5,21,6,2,14,7,0,0,2,2,13,10,0,0,2,1,0,2,2,457799,387019,70780,25963,20212,15832,337,3747,296,5751,940,0,4811
PLST,CA,610,U6,00,000,0054961,610U600US06002,06002,4,9,06,01779778,002,37294880460,4308049025,2,State Senate District 2,N,947691,413964,+39.9922995,-123.3923402,LU,06002,947691,828987,625080,16414,29392,40504,2694,114903,118704,110406,6195,20024,13908,1543,62939,542,419,95,740,356,126,2182,699,509,129,7433,1217,396,65,589,704,190,2485,731,644,73,66,9,58,23,26,15,57,40,22,23,747,116,36,216,31,59,10,95,72,12,38,16,18,13,10,5,104,38,56,3,7,0,0,14,14,947691,219985,727706,673740,591518,15579,18327,39551,2467,6298,53966,50386,5584,16834,12914,1396,11262,420,385,83,233,259,95,79,643,159,40,3247,974,341,49,159,497,140,127,651,124,13,49,8,10,19,10,3,46,13,4,10,285,82,17,43,26,11,2,69,0,0,12,11,4,4,0,4,38,21,15,1,1,0,0,10,10,758288,678662,526163,13735,20948,33518,2178,82120,79626,74695,3330,14452,7313,1003,44570,369,226,62,512,231,58,1576,585,304,104,4408,765,150,36,305,339,103,1742,438,314,46,28,5,34,6,9,13,33,23,7,12,442,88,18,140,19,16,2,55,44,4,20,12,7,10,3,4,72,25,39,1,7,0,0,9,9,758288,151809,606479,570208,503945,13228,13242,32911,2021,4861,36271,34124,3103,12701,6899,923,8754,311,211,55,179,166,49,63,557,114,39,1915,642,129,27,116,265,74,92,400,71,3,21,4,9,5,9,2,26,10,2,8,192,69,8,28,15,3,2,41,0,0,8,10,4,1,0,3,35,20,14,0,1,0,0,5,5,413964,372453,41511,22943,11774,8813,334,2423,204,11169,2509,304,8356
PLST,CA,610,U6,00,000,0054962,610U600US06003,06003,4,9,06,01779778,003,7793966142,448259302,3,State Senate District 3,N,989149,374844,+38.4568123,-122.0418415,LU,06003,989149,845077,485177,73532,12350,125193,5778,143047,144072,131530,9550,13252,20781,2024,73298,1303,2450,429,1879,416,103,2056,2217,1440,332,11083,1448,1229,194,941,935,165,2848,1405,1101,145,87,28,79,192,104,26,45,20,11,80,1281,286,62,302,122,117,26,99,96,17,85,22,22,2,14,9,161,59,74,6,13,9,0,17,17,989149,283939,705210,646470,438114,70728,3616,122452,5250,6310,58740,53276,8269,10059,18569,1705,7604,1060,2204,354,617,243,52,39,1994,346,161,4892,1034,1007,163,240,607,108,82,1155,109,11,63,15,24,166,46,7,18,1,2,34,512,181,43,62,77,29,6,59,0,2,23,10,11,1,5,3,53,19,26,2,6,0,0,7,7,786305,690169,407559,58676,9683,104640,4628,104983,96136,89028,4908,10120,11818,1259,52746,972,1300,203,1135,302,61,1570,1612,784,238,6340,919,545,73,498,461,75,2067,749,507,73,61,15,57,82,50,12,21,19,7,49,660,160,37,184,43,46,10,49,39,10,37,7,13,2,14,9,102,39,53,2,8,0,0,6,6,786305,199714,586591,548071,375934,57198,3053,102881,4264,4741,38520,35408,4465,8132,10924,1152,5906,844,1217,187,475,199,37,27,1478,239,126,2778,711,467,58,162,342,54,52,643,67,6,46,9,23,69,24,2,11,1,2,29,281,107,25,43,21,13,3,30,0,1,12,7,10,1,5,3,47,17,22,2,6,0,0,6,6,374844,354674,20170,31266,13789,9028,119,4465,177,17477,10992,917,5568
PLST,CA,610,U6,00,000,0054963,610U600US06004,06004,4,9,06,01779778,004,22146516449,236745413,4,State Senate District 4,N,1000539,385896,+39.6508126,-121.9892275,LU,06004,1000539,871977,620750,35272,17012,81864,4639,112440,128562,117980,10241,23639,15737,1868,58432,940,1081,207,1221,424,120,1761,1130,924,255,9348,1789,862,143,703,953,202,2392,950,704,145,94,16,105,82,38,19,31,47,15,58,1091,257,71,253,56,70,17,102,132,12,76,12,25,1,6,1,127,45,44,16,15,3,4,16,16,1000539,233797,766742,703980,571803,32998,9387,79984,4170,5638,62762,57874,8876,19692,14098,1603,9463,732,952,173,380,288,89,61,1016,303,148,4401,1357,720,113,200,638,130,106,787,73,19,60,9,51,53,16,9,23,2,6,29,429,153,39,61,44,25,0,58,17,2,11,5,9,1,4,0,57,23,18,4,12,0,0,1,1,765937,683061,498270,26522,12643,62800,3510,79316,82876,77191,4662,17158,8596,1104,40445,627,616,95,740,248,81,1240,849,540,190,5077,990,340,41,296,497,84,1634,543,299,67,39,9,59,49,10,16,21,30,13,40,515,115,45,117,11,19,14,61,67,6,34,4,19,0,3,0,82,35,34,10,1,1,1,11,11,765937,155942,609995,569040,467557,25413,7180,61574,3224,4092,40955,38288,4232,14999,7938,984,7295,526,557,81,293,173,64,45,780,206,115,2426,802,300,36,119,356,67,84,462,41,5,26,7,32,32,4,6,14,2,6,25,211,73,24,34,9,6,0,31,14,0,6,3,8,0,3,0,30,16,12,2,0,0,0,0,0,385896,364977,20919,13807,5260,1842,162,3112,144,8547,2234,705,5608
PLST,CA,610,U6,00,000,0054964,610U600US06005,06005,4,9,06,01779778,005,3903629367,90474433,5,State Senate District 5,N,1051930,346685,+37.9297470,-121.2587048,LU,06005,1051930,896435,401870,70204,16961,159222,8401,239777,155495,143160,8298,14368,15671,1768,87565,1343,2125,360,2298,887,99,2908,2171,2536,763,10985,1385,894,116,978,1000,142,3122,1061,1345,199,123,53,103,126,86,34,52,65,6,95,1168,264,57,259,99,82,11,91,169,22,96,1,10,0,0,7,177,78,73,2,0,18,6,5,5,1051930,438882,613048,565673,328703,65831,4550,153555,7462,5572,47375,43190,6820,10225,12699,1346,5218,1020,1734,314,491,470,44,69,1820,505,415,3687,947,623,83,154,503,87,63,797,72,19,88,36,30,99,26,14,21,1,0,24,437,188,40,58,61,20,0,49,8,0,12,1,0,0,0,0,59,44,15,0,0,0,0,2,2,778710,677904,321619,52019,12627,119177,6348,166114,100806,94269,3892,10671,8303,1100,60917,932,874,148,1172,559,75,2176,1590,1318,542,5869,805,295,23,396,490,78,2154,593,565,90,73,19,54,45,29,12,33,48,6,61,583,113,22,164,27,39,9,56,84,10,51,1,0,0,0,7,82,48,26,1,0,4,3,3,3,778710,293943,484767,454112,274642,49977,3658,116052,5820,3963,30655,28316,3434,8266,7155,920,4046,771,755,135,347,327,38,52,1399,332,339,2076,608,230,20,102,288,55,49,488,43,11,59,15,21,36,9,9,13,0,0,20,233,89,21,37,27,17,0,29,6,0,6,1,0,0,0,0,30,23,7,0,0,0,0,0,0,346685,333393,13292,20870,11280,6148,624,4458,50,9590,2040,0,7550
PLST,CA,610,U6,00,000,0054965,610U600US06006,06006,4,9,06,01779778,006,719162831,12365334,6,State Senate District 6,N,1059153,390181,+38.5543409,-121.4478909,LU,06006,1059153,913071,385256,123844,13445,232020,16135,142371,146082,131429,15065,12384,23205,1680,59618,2747,3446,643,3265,787,186,1881,3197,2111,1214,12921,2617,1449,245,1374,979,143,2763,956,1252,141,192,57,157,199,115,42,54,40,3,143,1571,430,72,436,104,126,14,137,112,11,99,15,9,3,0,3,148,76,48,10,8,6,0,13,13,1059153,277568,781585,713200,340036,118242,4795,227748,15460,6919,68385,61671,12954,8813,20647,1405,5766,2248,3085,572,973,486,119,48,2943,621,991,6005,1931,1185,202,352,575,98,79,775,159,32,158,45,55,174,48,30,19,1,0,87,650,287,46,90,78,32,3,87,7,0,9,8,2,1,0,0,56,45,6,4,1,0,0,3,3,809362,714729,320948,92575,10324,176496,12217,102169,94633,86596,7846,9359,12565,1011,43375,1953,1718,291,1894,515,116,1431,2488,1062,972,7124,1575,513,80,660,487,84,2013,516,565,79,100,31,107,102,46,21,34,21,3,87,817,218,31,270,31,59,12,60,69,5,49,8,1,1,0,3,86,39,32,7,6,2,0,10,10,809362,191781,617581,574237,289941,89698,3798,174043,11810,4947,43344,39604,7101,7162,11617,897,4553,1681,1591,266,720,334,80,44,2335,387,836,3354,1262,453,67,230,311,65,65,438,89,16,80,24,44,99,21,17,15,1,0,57,357,164,23,67,28,14,3,37,5,0,7,7,1,1,0,0,28,21,6,1,0,0,0,1,1,390181,374151,16030,23119,6589,2949,204,3123,313,16530,3759,0,12771
PLST,CA,610,U6,00,000,0054966,610U600US06007,06007,4,9,06,01779778,007,2566849132,106671293,7,State Senate District 7,N,1055826,381478,+37.7974951,-121.8054023,LU,06007,1055826,923061,493748,65338,8558,235895,5182,114340,132765,121280,7914,10209,28301,1865,61821,1059,2092,317,1916,345,67,1477,1898,1691,308,10157,1238,1018,133,876,815,115,2449,1299,1513,156,99,14,100,95,94,15,27,23,10,68,1199,256,32,363,94,119,10,91,119,17,75,14,8,0,1,0,117,53,45,11,2,6,0,12,12,1055826,234281,821545,761246,451992,62642,2462,233013,4710,6427,60299,55697,6823,7522,25874,1557,7558,848,1856,296,655,210,24,50,1707,590,127,4101,855,806,106,235,533,74,53,1018,150,19,65,9,30,81,28,2,15,1,0,21,448,156,22,82,53,41,8,59,2,4,8,11,1,0,1,0,43,28,9,3,2,1,0,10,10,807765,722959,404409,48823,6500,176898,3928,82401,84806,78585,4114,7756,13854,1211,44716,790,1024,171,1175,227,37,1106,1375,814,215,5526,748,385,51,434,406,73,1767,674,623,78,47,11,75,43,42,4,17,11,2,35,608,124,16,228,31,53,3,49,54,8,27,8,6,0,1,0,78,35,28,9,2,4,0,9,9,807765,163112,644653,608473,375847,47414,1955,175200,3652,4405,36180,33661,3746,6089,12994,1070,5564,662,934,167,509,144,19,41,1271,349,102,2230,565,320,44,120,268,45,41,583,72,11,35,8,30,40,19,2,11,0,0,16,252,91,12,54,19,25,2,36,2,2,3,5,0,0,1,0,30,18,6,3,2,1,0,7,7,381478,367087,14391,11928,5939,3229,280,2406,24,5989,1419,210,4360
PLST,CA,610,U6,00,000,0054967,610U600US06008,06008,4,9,06,01779778,008,66722633806,753312303,8,State Senate District 8,N,1025135,416221,+37.1007082,-118.6839019,LU,06008,1025135,881903,551175,40735,21634,107822,2568,157969,143232,134182,6602,18887,12029,1253,86133,843,971,172,1744,518,79,2099,1045,1533,274,8135,1066,507,68,715,648,141,2958,596,908,99,57,23,73,91,52,21,23,30,9,50,784,171,19,234,39,49,11,35,118,19,64,11,4,6,0,4,119,42,47,10,5,14,1,12,12,1025135,337514,687621,641329,480728,37341,10786,104472,2109,5893,46292,43317,5440,15007,10296,1073,7826,621,842,129,373,292,49,46,892,337,94,2684,755,384,50,155,420,84,78,497,52,11,34,19,17,78,16,0,13,3,0,18,250,101,13,35,27,11,2,16,19,1,13,8,4,0,0,0,41,24,12,1,3,1,0,0,0,779242,684620,446089,29375,15819,80233,1949,111155,94622,89639,3161,13885,6261,770,60076,532,419,85,869,313,49,1522,795,741,161,4476,642,186,25,321,293,88,1943,357,389,49,23,9,28,40,19,5,8,19,7,25,413,91,11,139,16,16,1,20,50,13,37,9,4,5,0,1,88,30,33,8,3,13,1,6,6,779242,226930,552312,521311,400699,27835,8257,78586,1695,4239,31001,29251,2803,11647,5652,700,6017,436,393,76,272,197,28,40,710,212,68,1577,515,149,17,100,203,61,62,318,34,7,19,9,9,39,12,0,6,3,0,14,144,52,8,25,9,5,1,12,12,1,9,6,4,0,0,0,29,20,6,1,1,1,0,0,0,416221,363863,52358,17682,10688,7400,309,2876,103,6994,2176,96,4722
PLST,CA,610,U6,00,000,0054968,610U600US06009,06009,4,9,06,01779778,009,512974498,252852057,9,State Senate District 9,N,1042389,408931,+37.8695634,-122.2625626,LU,06009,1042389,915481,341567,159578,15274,219359,5702,174001,126908,113458,11388,6450,24341,1171,52782,2556,3390,470,3602,437,98,3108,1525,1799,341,11708,2062,1274,124,1194,673,105,3311,925,1131,121,142,17,177,134,139,17,38,50,11,63,1528,289,38,613,106,126,14,77,150,27,65,15,4,0,1,3,190,62,94,15,6,13,0,24,24,1042389,283686,758703,697882,309760,155352,2597,216764,5248,8161,60821,55180,10204,4132,22917,964,7497,2179,3132,429,1294,272,61,57,1369,515,158,5026,1527,1091,94,321,490,68,49,780,202,17,96,6,47,115,69,9,16,4,0,25,544,222,15,78,85,53,6,55,3,2,12,7,4,0,0,2,63,36,15,7,3,2,0,8,8,845108,758049,295661,130940,11469,188187,4311,127481,87059,78700,7165,5150,13731,800,40262,1980,1849,241,2513,271,82,2334,1189,886,247,7324,1536,490,55,650,356,71,2501,615,532,67,81,10,120,74,65,3,30,30,5,33,900,176,17,435,44,50,4,44,59,16,33,15,3,0,1,3,113,31,63,7,3,9,0,22,22,845108,205881,639227,599069,271822,128391,2131,186476,4031,6218,40158,36581,6651,3527,13069,684,6034,1762,1765,230,1062,175,58,49,1091,303,121,3192,1220,422,49,228,269,49,34,545,115,8,60,3,42,69,43,2,16,4,0,14,337,145,13,55,39,25,2,35,3,2,6,7,3,0,0,2,41,21,13,2,3,2,0,7,7,408931,385610,23321,42630,4882,697,124,4036,25,37748,16097,211,21440
PLST,CA,610,U6,00,000,0054969,610U600US06010,06010,4,9,06,01779778,010,789868771,77871491,10,State Senate District 10,N,1024682,350094,+37.5579868,-122.0118811,LU,06010,1024682,921296,215351,46903,10134,501788,10664,136456,103386,93777,4658,5446,19965,1290,49109,748,1863,314,1696,510,77,2002,2929,2440,730,8477,830,734,79,688,596,63,2482,1026,1294,129,74,11,108,95,83,16,31,43,10,85,989,196,16,317,58,52,12,79,164,9,67,8,4,0,6,1,134,54,59,7,4,10,0,9,9,1024682,238107,786575,745911,185593,44675,1912,498235,9997,5499,40664,37203,3924,3305,18215,1052,3339,587,1683,273,443,346,48,23,2676,832,457,3074,555,598,55,182,366,36,44,866,136,5,45,9,29,67,22,5,14,3,3,34,339,135,11,58,42,19,1,43,7,0,15,5,0,0,2,1,47,29,10,2,2,4,0,1,1,810635,739737,185491,37520,7717,399750,8401,100858,70898,65127,2862,4262,10876,870,37445,582,960,182,1052,313,54,1553,2325,1253,538,5150,576,307,36,373,315,35,1940,610,572,68,49,6,77,40,40,1,20,27,4,54,532,92,10,208,21,32,2,43,77,4,26,8,4,0,4,1,82,31,36,5,2,8,0,7,7,810635,173167,637468,611157,163944,36147,1463,397610,7982,4011,26311,24231,2542,2810,10139,771,2693,498,904,160,340,215,39,18,2164,539,399,1849,408,260,29,123,223,21,41,524,76,1,31,4,26,29,11,0,14,3,0,25,201,67,9,46,19,14,1,30,4,0,3,5,0,0,2,1,29,15,8,0,2,4,0,1,1,350094,336160,13934,16164,4853,1489,179,3101,84,11311,4662,0,6649
