FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,FL,620,L6,00,000,0031214,620L600US12001,12001,3,5,12,00294478,001,1435964602,38187009,1,State House District 1,N,173738,72897,+30.7542751,-087.3941640,LL,12001,173738,160303,111151,37787,1493,5560,246,4066,13435,12582,2179,3525,1752,129,3976,274,217,39,312,10,3,47,70,37,12,766,190,113,15,107,98,10,113,49,34,6,6,2,3,9,4,0,0,5,0,2,76,18,2,17,11,7,3,11,0,0,6,0,1,0,0,0,8,1,7,0,0,0,0,3,3,173738,10416,163322,153639,108317,37345,1285,5482,232,978,9683,9130,2072,3375,1677,121,1135,266,203,39,147,10,3,3,69,10,0,511,158,101,14,45,84,10,15,44,15,2,4,2,3,9,4,0,0,0,0,1,39,13,0,3,9,0,1,11,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,1,1,137788,128981,92287,27611,1248,4598,190,3047,8807,8336,821,2800,1043,73,2919,200,141,18,193,10,2,27,55,24,10,413,105,33,7,46,49,5,89,35,16,5,2,2,3,9,2,0,0,3,0,2,48,7,1,13,4,4,2,10,0,0,6,0,1,0,0,0,7,1,6,0,0,0,0,3,3,137788,7363,130425,124143,90297,27329,1094,4550,183,690,6282,5984,795,2710,1012,70,883,192,132,18,96,10,2,1,54,9,0,273,98,29,6,23,42,5,15,30,6,2,0,2,3,9,2,0,0,0,0,1,23,5,0,2,4,0,0,10,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,72897,66762,6135,9007,4391,2244,22,2125,0,4616,4134,0,482
PLST,FL,620,L6,00,000,0031215,620L600US12002,12002,3,5,12,00294478,002,287012916,1235372759,2,State House District 2,N,164247,79467,+30.3218570,-087.2333900,LL,12002,164247,150765,109886,31310,939,4818,205,3607,13482,12484,2135,2775,1905,154,4604,245,174,27,267,13,2,35,75,59,14,890,203,125,26,114,75,9,149,77,68,16,7,2,4,6,5,0,0,4,0,0,97,21,0,35,10,7,2,6,1,6,7,2,0,0,0,0,9,6,3,0,0,0,0,2,2,164247,11232,153015,143916,106469,30916,779,4719,189,844,9099,8465,1999,2621,1816,136,1225,230,161,27,132,10,2,5,72,23,6,577,170,118,26,59,69,9,15,72,15,4,5,2,4,6,3,0,0,0,0,0,50,14,0,11,6,3,0,6,0,6,2,2,0,0,0,0,7,6,1,0,0,0,0,0,0,132828,123902,93105,22945,810,4114,163,2765,8926,8350,908,2223,1058,101,3448,186,105,12,171,12,1,21,63,31,10,508,124,63,7,56,50,4,92,47,31,12,3,2,4,6,3,0,0,4,0,0,59,4,0,29,0,6,2,5,1,3,7,2,0,0,0,0,8,6,2,0,0,0,0,1,1,132828,8129,124699,118824,90649,22694,689,4040,152,600,5875,5499,849,2137,1020,87,940,171,99,12,87,10,1,0,60,20,6,342,106,62,7,31,49,4,13,43,7,4,1,2,4,6,3,0,0,0,0,0,28,2,0,11,0,3,0,5,0,3,2,2,0,0,0,0,6,6,0,0,0,0,0,0,0,79467,67921,11546,9714,2171,1038,78,1055,0,7543,0,5937,1606
PLST,FL,620,L6,00,000,0031216,620L600US12003,12003,3,5,12,00294478,003,3690596018,496375406,3,State House District 3,N,200554,80557,+30.7472027,-086.9225378,LL,12003,200554,182744,160731,12309,1405,3901,430,3968,17810,16611,2263,5171,2536,202,5610,92,187,24,299,12,6,28,116,63,2,1130,223,145,14,151,138,30,151,116,93,12,19,1,5,8,9,9,3,2,1,0,63,21,1,26,3,2,0,2,1,3,4,0,0,0,0,0,5,0,4,0,1,0,0,1,1,200554,12698,187856,175048,156799,11926,1208,3786,396,933,12808,12089,2089,4945,2394,184,1916,83,175,22,138,9,1,5,100,28,0,682,194,132,7,32,125,30,10,97,15,4,19,1,0,8,4,1,3,0,0,0,35,21,1,7,2,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,154497,143515,126139,9823,1133,3242,291,2887,10982,10426,740,3884,1297,101,3868,78,107,14,176,7,6,26,75,46,1,524,111,35,0,68,63,19,103,66,27,11,8,0,5,1,0,1,3,2,1,0,29,13,0,9,0,2,0,1,1,3,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,154497,8371,146126,138229,123545,9601,1005,3166,278,634,7897,7573,695,3769,1255,101,1384,69,107,13,82,5,1,5,69,18,0,307,96,32,0,14,53,19,9,62,6,3,8,0,0,1,0,1,3,0,0,0,17,13,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80557,73570,6987,6268,6126,5520,38,462,106,142,0,43,99
PLST,FL,620,L6,00,000,0031217,620L600US12004,12004,3,5,12,00294478,004,1319329069,807049967,4,State House District 4,N,183034,89520,+30.5088920,-086.5814740,LL,12004,183034,161925,128208,18267,1033,6490,437,7490,21109,19145,2880,3564,3341,213,7611,215,318,47,515,32,5,113,175,105,11,1777,322,306,27,215,133,9,444,139,87,16,18,0,27,6,14,6,5,0,0,3,163,19,0,103,8,7,4,2,8,5,2,1,3,0,1,0,23,10,11,1,1,0,0,1,1,183034,20915,162119,149097,123166,17547,637,6275,403,1069,13022,12053,2619,3289,3153,197,1752,193,296,33,248,28,0,23,158,62,2,912,269,276,18,45,118,9,15,114,6,4,18,0,7,0,2,6,5,0,0,0,48,12,0,21,6,0,1,2,0,0,2,0,3,0,1,0,8,5,2,1,0,0,0,1,1,142681,129491,103871,13686,812,5585,320,5217,13190,12237,1102,2691,1897,127,5381,161,194,26,347,14,4,79,146,63,5,851,180,59,9,99,52,1,297,60,43,2,18,0,11,2,4,6,5,0,0,3,83,13,0,52,0,2,3,0,7,3,0,0,3,0,0,0,19,8,10,1,0,0,0,0,0,142681,13878,128803,120757,100509,13280,523,5441,299,705,8046,7615,1010,2549,1827,119,1356,152,192,18,185,13,0,20,133,41,0,402,160,55,0,29,49,1,15,57,5,0,18,0,0,0,2,6,5,0,0,0,23,6,0,13,0,0,1,0,0,0,0,0,3,0,0,0,6,3,2,1,0,0,0,0,0,89520,73318,16202,4306,2680,1715,106,859,0,1626,0,1363,263
PLST,FL,620,L6,00,000,0031218,620L600US12005,12005,3,5,12,00294478,005,8592941993,1178570053,5,State House District 5,N,178785,100112,+30.6561224,-085.7534567,LL,12005,178785,167522,139948,20130,1230,1509,110,4595,11263,10574,1630,3758,814,102,3851,154,34,6,100,14,11,52,23,24,1,556,154,35,9,42,62,11,144,26,9,8,7,0,9,15,8,1,5,1,1,9,114,9,5,46,7,22,5,9,1,0,9,0,0,1,0,0,13,10,2,1,0,0,0,6,6,178785,10559,168226,160324,137221,19894,1047,1476,102,584,7902,7508,1577,3635,772,100,1140,146,32,5,43,14,11,9,14,9,1,319,131,25,9,12,50,11,14,25,6,3,4,0,4,11,5,1,5,1,0,2,65,7,1,18,7,8,5,9,1,0,8,0,0,1,0,0,5,5,0,0,0,0,0,5,5,142574,135335,113307,16465,1021,1236,81,3225,7239,6880,509,2906,435,58,2679,106,25,4,61,11,11,42,20,13,0,288,79,17,3,16,21,0,99,10,3,7,4,0,5,8,6,0,2,0,1,7,52,4,1,23,1,9,5,7,1,0,0,0,0,1,0,0,13,10,2,1,0,0,0,6,6,142574,7220,135354,130316,111444,16323,886,1219,73,371,5038,4852,495,2825,414,57,866,101,24,4,22,11,11,8,11,3,0,152,71,16,3,7,14,0,8,9,3,2,4,0,4,4,5,0,2,0,0,0,24,2,0,7,1,0,5,7,1,0,0,0,0,1,0,0,5,5,0,0,0,0,0,5,5,100112,67454,32658,13178,12834,11023,113,1470,228,344,122,0,222
PLST,FL,620,L6,00,000,0031219,620L600US12006,12006,3,5,12,00294478,006,1193728277,1818253555,6,State House District 6,N,164026,98406,+29.9667686,-085.4836917,LL,12006,164026,149584,121469,17735,917,4073,203,5187,14442,13613,2094,3287,1658,155,5596,161,171,12,291,8,6,42,90,40,2,736,177,91,9,99,64,3,122,72,46,7,8,8,16,4,10,0,0,0,0,0,86,13,0,39,2,6,1,2,10,0,2,6,0,0,3,2,7,2,3,0,2,0,0,0,0,164026,13301,150725,141683,118650,17438,701,4004,189,701,9042,8579,1952,3162,1577,151,1207,140,165,7,101,8,6,0,87,16,0,437,147,88,9,16,59,3,10,65,11,4,8,8,2,4,3,0,0,0,0,0,24,9,0,2,0,0,0,2,0,0,0,6,0,0,3,2,2,2,0,0,0,0,0,0,0,131083,121724,100430,13284,735,3360,152,3763,9359,8926,744,2605,900,76,4062,126,103,5,170,8,6,35,63,21,2,378,100,31,2,36,31,3,80,44,24,5,2,0,15,0,5,0,0,0,0,0,50,7,0,23,2,6,1,0,3,0,0,6,0,0,0,2,5,0,3,0,2,0,0,0,0,131083,9206,121877,116152,98533,13096,576,3313,138,496,5725,5487,702,2537,878,74,943,112,99,3,56,8,6,0,62,7,0,224,86,31,2,5,31,3,8,37,11,4,2,0,1,0,3,0,0,0,0,0,14,4,0,2,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,98406,66150,32256,3065,2725,1744,34,901,46,340,38,114,188
PLST,FL,620,L6,00,000,0031220,620L600US12007,12007,3,5,12,00294478,007,15983015267,5216534643,7,State House District 7,N,153589,73145,+30.0977651,-084.3155941,LL,12007,153589,145764,112827,28011,764,717,43,3402,7825,7243,1288,2841,333,56,2378,97,33,14,95,24,10,14,18,28,14,399,94,28,11,42,22,29,49,31,25,8,3,3,12,12,16,3,3,5,0,3,119,12,7,27,15,18,1,2,5,2,8,6,12,3,0,1,46,9,15,6,4,2,10,18,18,153589,8227,145362,139643,109981,27826,659,704,29,444,5719,5393,1243,2770,316,41,768,83,27,13,59,23,9,5,15,15,6,222,73,15,11,18,9,19,9,24,12,1,3,3,7,5,7,0,3,0,0,3,70,7,6,10,13,7,0,2,2,1,4,4,11,3,0,0,26,9,8,0,0,2,7,8,8,124555,119404,92677,22909,640,572,38,2568,5151,4805,393,2247,191,22,1736,63,18,7,58,21,6,4,14,16,9,223,86,9,5,17,15,14,17,12,16,4,3,3,8,4,1,0,3,5,0,1,71,7,5,20,8,8,1,2,2,1,2,0,11,3,0,1,35,4,11,4,4,2,10,17,17,124555,6106,118449,114681,90459,22758,575,569,26,294,3768,3547,376,2207,182,22,599,55,13,7,36,20,6,2,11,6,5,146,69,4,5,12,4,11,7,11,6,0,3,3,7,0,0,0,3,0,0,1,46,4,5,5,8,4,0,2,1,1,2,0,11,3,0,0,21,4,8,0,0,2,7,8,8,73145,57019,16126,16554,16342,15040,66,1236,0,212,0,0,212
PLST,FL,620,L6,00,000,0031221,620L600US12008,12008,3,5,12,00294478,008,1541541106,36283066,8,State House District 8,N,158775,74541,+30.5573197,-084.5743013,LL,12008,158775,148628,55657,83494,561,2960,79,5877,10147,9494,1984,1125,715,35,4346,393,122,32,570,7,10,61,28,39,27,565,207,57,2,120,47,5,63,20,24,2,0,0,7,2,5,1,0,0,0,3,81,4,0,57,0,8,0,7,1,0,3,0,0,0,1,0,6,1,4,1,0,0,0,1,1,158775,15030,143745,138465,52056,82482,336,2915,59,617,5280,4908,1855,1042,685,31,460,381,116,31,246,5,10,3,19,19,5,345,178,52,2,32,37,4,8,20,4,2,0,0,0,1,1,1,0,0,0,3,23,2,0,7,0,6,0,6,0,0,1,0,0,0,1,0,4,1,3,0,0,0,0,0,0,127309,119752,49240,63158,453,2613,63,4225,7557,7133,1142,958,578,28,3484,309,85,19,390,6,10,52,20,33,19,372,130,38,2,82,20,4,46,15,21,2,0,0,7,0,1,1,0,0,0,3,46,3,0,28,0,6,0,6,1,0,1,0,0,0,1,0,5,0,4,1,0,0,0,1,1,127309,11241,116068,112236,46432,62454,284,2572,47,447,3832,3587,1069,897,563,24,398,297,79,19,189,4,10,1,18,14,5,223,114,33,2,20,19,4,5,15,4,2,0,0,0,0,1,1,0,0,0,3,19,1,0,6,0,4,0,6,0,0,1,0,0,0,1,0,3,0,3,0,0,0,0,0,0,74541,65617,8924,6858,2584,2094,73,417,0,4274,2526,0,1748
PLST,FL,620,L6,00,000,0031222,620L600US12009,12009,3,5,12,00294478,009,1055619506,69801466,9,State House District 9,N,168189,73698,+30.5106536,-084.1864854,LL,12009,168189,155132,116801,27391,414,7730,102,2694,13057,12331,1645,2107,1559,80,6173,153,98,8,378,13,0,35,44,26,12,628,155,68,0,116,86,0,101,40,51,0,2,0,5,2,1,1,0,0,0,0,88,17,1,57,0,6,1,1,0,0,0,0,1,0,4,0,9,4,3,2,0,0,0,1,1,168189,12084,156105,149044,113295,26940,320,7655,97,737,7061,6701,1562,2008,1486,73,1056,144,93,8,193,8,0,0,44,20,6,337,111,61,0,23,79,0,10,39,8,0,2,0,0,2,1,1,0,0,0,0,19,12,0,0,0,3,1,1,0,0,0,0,0,0,2,0,4,4,0,0,0,0,0,0,0,136748,127634,97707,21509,341,5934,82,2061,9114,8673,808,1605,903,48,4725,115,60,6,287,12,0,30,41,22,11,373,89,42,0,71,29,0,73,23,38,0,1,0,5,0,1,1,0,0,0,0,62,15,0,39,0,2,1,1,0,0,0,0,0,0,4,0,6,3,3,0,0,0,0,0,0,136748,9230,127518,122898,94969,21200,268,5876,81,504,4620,4421,756,1542,870,45,810,106,57,6,159,7,0,0,41,16,6,182,62,35,0,14,29,0,9,22,8,0,1,0,0,0,1,1,0,0,0,0,14,10,0,0,0,0,1,1,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,73698,68576,5122,10155,2026,841,22,1058,105,8129,7704,0,425
PLST,FL,620,L6,00,000,0031223,620L600US12010,12010,3,5,12,00294478,010,6837821870,42620795,10,State House District 10,N,161371,66582,+30.2926978,-082.7108549,LL,12010,161371,151427,118855,25698,700,1410,75,4689,9944,9512,1538,2408,440,56,4598,107,23,15,232,11,10,38,4,17,15,345,70,28,8,49,27,7,61,14,34,8,2,8,6,8,12,2,0,1,0,0,79,10,13,17,2,15,0,7,2,3,6,0,2,1,0,1,7,1,6,0,0,0,0,1,1,161371,12783,148588,142886,114923,25365,571,1385,58,584,5702,5476,1473,2331,428,44,955,103,14,14,87,8,4,5,4,6,0,169,46,24,8,7,18,6,9,7,16,3,1,4,0,8,10,2,0,0,0,0,51,10,13,10,2,4,0,4,1,3,1,0,2,0,0,1,5,1,4,0,0,0,0,1,1,126715,120166,95293,19822,572,1118,67,3294,6549,6308,511,1887,261,46,3275,86,18,15,148,5,10,21,2,12,11,193,40,5,6,25,16,4,39,10,18,4,1,2,3,8,10,1,0,1,0,0,42,6,4,10,0,10,0,2,2,2,2,0,2,1,0,1,5,1,4,0,0,0,0,1,1,126715,8826,117889,114236,92628,19628,460,1104,55,361,3653,3530,492,1839,258,35,733,83,13,14,46,4,4,5,2,2,0,90,30,1,6,3,12,3,5,3,6,0,1,2,0,8,9,1,0,0,0,0,27,6,4,6,0,4,0,0,1,2,1,0,2,0,0,1,5,1,4,0,0,0,0,1,1,66582,58956,7626,11752,11469,9516,100,1459,394,283,0,0,283
