FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,GA,620,L6,00,000,0020363,620L600US13001,13001,3,5,13,01705317,001,1050724994,750108,1,State House District 1,N,52750,23402,+34.8060340,-085.4359464,LL,13001,52750,49960,47085,1812,201,256,26,580,2790,2698,419,1368,138,4,697,34,0,3,18,0,0,6,9,2,0,80,31,7,1,11,0,0,9,5,5,4,0,0,1,2,1,0,0,2,0,1,12,3,0,2,1,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,52750,1382,51368,49052,46681,1790,150,253,21,157,2316,2258,414,1334,138,4,317,30,0,0,10,0,0,0,9,2,0,54,26,7,0,7,0,0,2,5,0,0,0,0,1,2,1,0,0,2,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,41428,39634,37545,1307,154,211,20,397,1794,1751,131,1034,68,0,481,22,0,0,4,0,0,6,3,2,0,39,14,1,0,6,0,0,3,5,0,4,0,0,1,2,0,0,0,2,0,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41428,870,40558,39049,37296,1297,126,210,20,100,1509,1482,131,1020,68,0,240,18,0,0,0,0,0,0,3,2,0,26,11,1,0,3,0,0,0,5,0,0,0,0,1,2,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23402,20657,2745,1042,228,44,0,184,0,814,717,0,97
PLST,GA,620,L6,00,000,0020364,620L600US13002,13002,3,5,13,01705317,002,856854108,1819114,2,State House District 2,N,53650,22054,+34.7495444,-085.1769836,LL,13002,53650,50719,47799,1599,173,318,15,815,2931,2840,416,1204,134,10,986,14,5,1,39,0,1,19,5,6,0,75,13,6,2,19,0,1,23,4,2,0,0,0,3,1,1,0,0,0,0,0,12,0,0,5,2,0,0,0,1,0,0,2,0,0,2,0,2,0,0,1,0,0,1,2,2,53650,2200,51450,49392,47254,1574,118,309,10,127,2058,2017,410,1144,133,9,280,14,1,0,17,0,1,0,5,3,0,33,8,5,2,8,0,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,41669,39803,37517,1294,144,252,12,584,1866,1822,149,895,69,1,665,13,2,1,11,0,1,9,3,3,0,36,8,0,0,7,0,0,18,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,41669,1449,40220,38879,37190,1273,98,243,8,67,1341,1324,149,862,68,1,219,13,1,0,4,0,1,0,3,3,0,13,3,0,0,5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,22054,20249,1805,1068,986,777,11,198,0,82,39,0,43
PLST,GA,620,L6,00,000,0020365,620L600US13003,13003,3,5,13,01705317,003,247154670,647378,3,State House District 3,N,56969,23771,+34.9459933,-085.1341092,LL,13003,56969,53729,49959,1712,207,976,84,791,3240,3128,587,1365,183,24,897,14,6,0,30,7,1,8,6,0,0,99,31,3,6,6,0,10,18,7,13,0,0,0,0,0,0,0,2,3,0,0,10,1,2,0,0,0,0,7,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,56969,2043,54926,52382,49409,1669,149,966,83,106,2544,2469,567,1341,175,22,322,14,0,0,14,7,1,0,6,0,0,65,29,2,6,0,0,10,7,7,2,0,0,0,0,0,0,0,2,0,0,0,9,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,44216,42141,39398,1265,163,724,63,528,2075,2027,212,1051,94,17,603,13,1,0,18,4,0,8,6,0,0,46,19,0,0,0,0,1,15,1,5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,44216,1295,42921,41264,39063,1241,118,718,63,61,1657,1626,203,1039,91,17,242,13,0,0,11,4,0,0,6,0,0,31,19,0,0,0,0,1,7,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23771,22381,1390,380,377,142,0,235,0,3,0,0,3
PLST,GA,620,L6,00,000,0020366,620L600US13004,13004,3,5,13,01705317,004,281771757,483866,4,State House District 4,N,54825,20472,+34.7083816,-084.9805516,LL,13004,54825,47332,29305,2616,1542,981,27,12861,7493,7245,401,630,103,5,5675,32,2,4,80,1,0,288,8,12,4,215,43,9,0,37,4,0,106,2,4,0,0,1,6,2,1,0,0,0,0,0,28,0,0,24,1,2,0,0,0,0,0,0,1,0,0,0,4,1,2,1,0,0,0,1,1,54825,25043,29782,28502,24784,2466,108,957,14,173,1280,1219,387,499,100,5,170,30,1,3,9,1,0,0,7,7,0,53,32,9,0,1,0,0,4,1,4,0,0,0,0,2,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,3,1,2,0,0,0,0,1,1,40064,35117,23056,2002,973,733,18,8335,4947,4802,141,498,62,3,3811,28,1,4,46,1,0,187,7,9,4,126,25,3,0,20,0,0,71,1,4,0,0,0,0,2,0,0,0,0,0,0,15,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,1,0,0,0,1,1,40064,16046,24018,23163,20316,1928,91,724,12,92,855,819,141,430,61,3,134,28,1,3,6,1,0,0,7,4,0,31,16,3,0,1,0,0,4,1,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,1,1,20472,18946,1526,968,805,394,18,393,0,163,0,0,163
PLST,GA,620,L6,00,000,0020367,620L600US13005,13005,3,5,13,01705317,005,779621107,4863024,5,State House District 5,N,55351,21719,+34.5391849,-084.9268746,LL,13005,55351,50764,42949,2059,354,691,21,4690,4587,4377,493,1234,116,14,2329,27,27,3,64,3,0,56,4,5,2,174,33,7,3,54,12,0,48,7,3,0,0,0,2,0,0,0,0,0,0,5,36,2,3,24,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55351,9098,46253,44060,41142,1988,105,688,15,122,2193,2093,473,1194,110,14,221,17,17,2,29,3,0,2,4,5,2,79,33,7,3,7,12,0,5,7,0,0,0,0,0,0,0,0,0,0,0,5,21,2,0,12,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41677,38697,33302,1570,254,537,21,3013,2980,2867,161,977,50,11,1551,17,11,2,30,3,0,48,4,2,0,96,12,3,3,30,5,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41677,5710,35967,34531,32271,1535,84,536,15,90,1436,1394,160,953,50,11,167,15,11,1,15,3,0,2,4,2,0,32,12,3,3,3,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21719,20360,1359,491,476,218,0,258,0,15,0,0,15
PLST,GA,620,L6,00,000,0020368,620L600US13006,13006,3,5,13,01705317,006,818641434,996808,6,State House District 6,N,53436,20470,+34.8750303,-084.8043627,LL,13006,53436,48535,40474,1024,634,392,10,6001,4901,4768,397,784,113,6,3263,12,1,1,44,2,1,117,0,19,8,117,27,10,0,17,2,0,51,1,1,0,0,0,4,0,4,0,0,0,0,0,14,2,0,8,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,53436,12927,40509,39035,37455,966,88,387,6,133,1474,1425,375,716,105,6,189,12,0,1,12,2,0,1,0,6,0,43,21,10,0,5,1,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39985,36807,31489,753,426,279,9,3851,3178,3096,150,608,52,4,2151,9,0,1,22,2,1,81,0,9,6,76,13,7,0,6,1,0,43,1,1,0,0,0,2,0,2,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39985,8180,31805,30856,29687,727,76,279,5,82,949,923,145,573,48,4,130,9,0,1,5,2,0,0,0,6,0,22,10,7,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20470,18959,1511,111,45,0,11,34,0,66,0,0,66
PLST,GA,620,L6,00,000,0020369,620L600US13007,13007,3,5,13,01705317,007,2259384954,26285287,7,State House District 7,N,59081,37056,+34.7586192,-084.3776921,LL,13007,59081,56074,52784,239,362,275,11,2403,3007,2914,161,1309,128,1,1171,13,2,5,27,7,1,82,4,3,0,80,18,8,1,13,6,0,17,1,0,2,2,0,8,2,1,0,0,1,0,0,13,3,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59081,4392,54689,52758,51975,220,154,263,3,143,1931,1893,159,1280,118,1,292,13,2,2,15,5,0,0,4,2,0,35,15,7,1,1,0,0,0,1,0,0,2,0,7,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48771,46571,44450,172,249,237,9,1454,2200,2141,71,1060,64,1,868,7,2,2,15,2,1,41,4,3,0,49,12,6,1,3,6,0,17,0,0,2,0,0,0,0,1,0,0,1,0,0,10,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48771,2698,46073,44601,43969,167,134,225,3,103,1472,1448,69,1043,59,1,253,7,2,2,6,0,0,0,4,2,0,21,12,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37056,25145,11911,333,278,106,0,172,0,55,0,0,55
PLST,GA,620,L6,00,000,0020370,620L600US13008,13008,3,5,13,01705317,008,2514986400,51005647,8,State House District 8,N,59872,38801,+34.8498937,-083.6793568,LL,13008,59872,56834,54857,436,219,296,4,1022,3038,2896,150,1293,119,16,1257,4,8,4,19,5,3,12,3,1,2,119,21,2,7,23,11,0,33,3,8,1,1,2,3,2,2,0,0,0,0,0,18,1,0,7,0,4,0,0,1,0,0,0,0,0,5,0,5,3,1,1,0,0,0,0,0,59872,2814,57058,55105,54078,422,151,286,4,164,1953,1867,146,1261,119,11,299,4,5,2,5,5,3,5,0,0,2,71,20,2,7,12,11,0,9,3,4,1,0,2,0,0,0,0,0,0,0,0,11,1,0,1,0,4,0,0,0,0,0,0,0,0,5,0,4,3,0,1,0,0,0,0,0,50372,48179,46703,353,165,254,2,702,2193,2116,52,1003,73,16,937,4,1,1,16,0,0,8,3,0,2,65,14,1,6,17,4,0,12,1,4,1,0,0,3,2,0,0,0,0,0,0,8,1,0,1,0,0,0,0,1,0,0,0,0,0,5,0,4,3,0,1,0,0,0,0,0,50372,1910,48462,47026,46189,350,122,245,2,118,1436,1377,50,989,73,11,240,4,1,1,5,0,0,1,0,0,2,48,13,1,6,12,4,0,6,1,4,1,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,1,0,0,0,0,0,38801,25901,12900,1503,746,354,0,392,0,757,711,0,46
PLST,GA,620,L6,00,000,0020371,620L600US13009,13009,3,5,13,01705317,009,1163768598,12644281,9,State House District 9,N,62470,24779,+34.5132033,-084.0489473,LL,13009,62470,58298,55234,723,279,548,38,1476,4172,4037,341,1577,290,19,1717,7,11,2,32,3,0,25,3,8,2,93,14,13,0,5,19,0,23,2,2,1,0,0,1,4,5,3,0,1,0,0,41,15,2,1,1,0,1,17,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,62470,3707,58763,56080,54364,694,216,547,37,222,2683,2583,334,1523,277,19,391,5,9,2,10,3,0,1,3,4,2,67,14,12,0,1,18,0,8,2,0,1,0,0,1,4,5,0,0,1,0,0,32,13,2,1,1,0,0,12,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,50156,47227,44906,580,235,467,33,1006,2929,2846,163,1184,184,11,1234,5,11,2,18,3,0,20,3,6,2,52,14,6,0,5,7,0,9,1,2,0,0,0,0,4,3,0,0,1,0,0,30,6,0,1,1,0,1,17,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,50156,2562,47594,45695,44272,569,195,467,33,159,1899,1841,159,1145,171,11,323,3,9,2,6,3,0,1,3,3,2,36,14,6,0,1,6,0,0,1,0,0,0,0,0,4,3,0,0,1,0,0,21,4,0,1,1,0,0,12,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,24779,22311,2468,4121,309,126,0,183,0,3812,3612,41,159
PLST,GA,620,L6,00,000,0020372,620L600US13010,13010,3,5,13,01705317,010,801216715,5939724,10,State House District 10,N,56520,23626,+34.6294535,-083.6243824,LL,13010,56520,52155,46250,2014,293,817,31,2750,4365,4206,372,1219,193,12,2321,22,7,2,21,0,0,24,0,7,6,131,36,10,4,12,2,2,46,4,0,0,3,1,2,4,1,0,0,4,0,0,28,11,0,11,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56520,6468,50052,47884,44749,1984,146,810,30,165,2168,2082,359,1189,184,12,287,22,7,1,7,0,0,8,0,2,4,70,29,10,4,5,1,2,4,4,0,0,2,1,2,2,0,0,0,4,0,0,16,9,0,2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44556,41767,37417,1702,221,665,15,1747,2789,2681,135,976,86,5,1417,16,2,1,14,0,0,20,0,5,4,87,26,4,3,9,2,0,28,4,0,0,0,1,2,4,0,0,0,4,0,0,21,9,0,7,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44556,3939,40617,39133,36531,1682,121,664,14,121,1484,1424,131,955,85,5,216,16,2,1,1,0,0,8,0,2,2,46,19,4,3,2,1,0,4,4,0,0,0,1,2,2,0,0,0,4,0,0,14,9,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23626,20596,3030,3505,2140,1836,0,304,0,1365,1324,0,41
