FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,GA,610,U6,00,000,0018112,610U600US13001,13001,3,5,13,01705317,001,3142411462,753150757,1,State Senate District 1,N,198887,85304,+31.9053225,-081.3285947,LU,13001,198887,183328,124395,44858,772,6252,500,6551,15559,14386,2941,2510,1660,174,5621,326,212,50,632,15,2,84,74,56,29,1060,316,120,21,200,82,5,104,88,46,0,10,0,47,9,1,3,4,0,0,4,105,32,1,47,1,12,1,0,2,0,0,2,2,0,4,1,2,1,0,0,0,0,1,6,6,198887,16998,181889,172369,120459,43818,496,6158,456,982,9520,8841,2673,2376,1571,160,1140,305,198,45,240,12,2,5,69,25,20,627,257,103,17,38,73,5,13,76,8,0,10,0,10,8,0,3,4,0,0,2,51,23,1,10,1,7,0,0,0,0,0,2,2,0,4,1,1,1,0,0,0,0,0,0,0,152297,142671,99279,32905,637,5000,333,4517,9626,9008,1294,1890,827,113,3900,239,111,26,414,11,2,71,66,22,22,555,188,68,3,100,27,4,59,42,19,0,8,0,29,4,1,0,3,0,0,0,59,20,0,30,0,1,0,0,2,0,0,2,2,0,2,0,1,0,0,0,0,0,1,3,3,152297,11102,141195,135436,96772,32349,418,4943,312,642,5759,5387,1207,1813,791,105,850,229,105,25,157,8,2,4,62,15,14,342,161,58,3,22,26,4,5,37,8,0,8,0,4,3,0,0,3,0,0,0,30,15,0,8,0,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,85304,76550,8754,3686,740,0,67,673,0,2946,17,2766,163
PLST,GA,610,U6,00,000,0018113,610U600US13002,13002,3,5,13,01705317,002,377963487,23321615,2,State Senate District 2,N,189492,85250,+32.0868051,-081.1546833,LU,13002,189492,178569,71630,91460,690,6500,328,7961,10923,10039,2301,1347,986,70,3871,501,211,42,533,10,3,81,46,27,10,796,298,100,19,110,40,4,119,30,38,0,8,0,21,7,0,2,0,0,0,0,81,20,2,45,6,0,0,0,2,0,0,3,0,0,3,0,7,6,1,0,0,0,0,0,0,189492,15612,173880,167280,68806,90482,393,6437,295,867,6600,6041,2141,1256,940,64,631,457,195,33,255,8,0,3,43,14,1,512,264,87,17,34,40,1,4,30,6,0,8,0,12,7,0,2,0,0,0,0,40,16,2,10,6,0,0,0,0,0,0,3,0,0,3,0,7,6,1,0,0,0,0,0,0,150134,142762,62167,68225,539,5700,245,5886,7372,6871,1201,1085,643,31,2872,380,122,28,386,10,0,48,42,19,4,448,178,30,14,57,17,0,82,19,30,0,8,0,8,3,0,2,0,0,0,0,50,9,0,30,3,0,0,0,2,0,0,3,0,0,3,0,3,2,1,0,0,0,0,0,0,150134,11106,139028,134627,60178,67620,332,5650,222,625,4401,4092,1142,1039,630,25,510,353,119,21,193,8,0,3,39,9,1,281,162,24,13,21,17,0,2,19,6,0,8,0,4,3,0,2,0,0,0,0,25,9,0,7,3,0,0,0,0,0,0,3,0,0,3,0,3,2,1,0,0,0,0,0,0,85250,74675,10575,13407,4643,3336,161,1009,137,8764,7259,597,908
PLST,GA,610,U6,00,000,0018114,610U600US13003,13003,3,5,13,01705317,003,5445402503,1203860920,3,State Senate District 3,N,177449,82558,+31.1544914,-081.6248890,LU,13003,177449,166751,121856,36683,760,2269,203,4980,10698,10032,2133,2640,841,77,3443,242,117,36,350,18,1,51,35,29,19,576,166,64,11,60,33,9,118,37,14,4,2,4,11,20,3,7,9,0,0,4,76,28,0,8,8,12,3,9,1,0,4,2,1,0,0,0,12,0,10,0,2,0,0,2,2,177449,12510,164939,157690,118059,36020,463,2212,163,773,7249,6841,2002,2509,798,77,863,228,109,36,152,8,0,6,31,16,6,347,140,63,11,16,27,6,8,31,0,1,2,4,6,19,3,0,9,0,0,1,48,26,0,3,4,3,1,9,0,0,0,2,0,0,0,0,11,0,10,0,1,0,0,2,2,138541,131939,98676,27172,579,1834,141,3537,6602,6228,769,1984,486,43,2373,173,48,26,211,17,1,39,23,18,17,317,108,30,7,21,14,1,68,25,3,3,0,2,11,5,3,6,9,0,0,1,43,17,0,4,3,5,2,8,0,0,1,2,1,0,0,0,12,0,10,0,2,0,0,2,2,138541,8862,129679,125225,95762,26698,364,1792,110,499,4454,4197,730,1922,479,43,621,172,48,26,105,8,0,6,20,11,6,211,100,29,7,7,14,1,8,19,0,1,0,2,6,5,3,0,9,0,0,0,33,17,0,1,3,2,0,8,0,0,0,2,0,0,0,0,11,0,10,0,1,0,0,2,2,82558,68993,13565,7047,4517,2727,70,1717,3,2530,68,2067,395
PLST,GA,610,U6,00,000,0018115,610U600US13004,13004,3,5,13,01705317,004,5514670129,89746001,4,State Senate District 4,N,193292,78112,+32.3647999,-081.8434538,LU,13004,193292,182678,128273,45352,628,2321,129,5975,10614,9967,2170,2622,727,96,3631,213,93,11,248,21,2,25,21,74,13,571,178,58,1,100,56,14,73,13,20,5,10,0,25,7,3,3,0,0,0,5,63,19,2,19,0,6,1,7,0,0,5,2,0,0,2,0,12,1,9,0,0,2,0,1,1,193292,12454,180838,173822,125483,44906,416,2289,107,621,7016,6640,2097,2518,701,89,706,206,86,11,127,20,2,1,17,58,1,323,145,42,1,21,52,13,9,13,3,2,7,0,10,5,0,0,0,0,0,0,45,18,2,13,0,1,0,7,0,0,0,2,0,0,2,0,7,1,5,0,0,1,0,1,1,147437,140857,100975,33543,487,1817,105,3930,6580,6223,921,1948,393,61,2395,167,48,4,148,20,2,20,16,67,13,322,111,23,1,60,23,6,49,7,2,5,8,0,19,3,0,0,0,0,0,5,30,11,1,13,0,5,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,1,0,0,0,147437,7978,139459,135098,99258,33229,341,1788,91,391,4361,4148,902,1900,385,57,507,166,46,4,86,19,2,0,16,57,1,185,88,17,1,17,22,6,9,7,2,2,7,0,6,1,0,0,0,0,0,0,24,10,1,13,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,78112,70731,7381,9172,4016,3018,47,951,0,5156,4944,0,212
PLST,GA,610,U6,00,000,0018116,610U600US13005,13005,3,5,13,01705317,005,135536059,971822,5,State Senate District 5,N,196143,68989,+33.9371631,-084.1012600,LU,13005,196143,169237,37025,55398,3141,21961,135,51577,26906,25634,1683,737,834,28,18941,356,377,38,1618,40,6,726,32,175,43,1112,272,88,7,244,28,2,297,20,63,6,17,3,32,8,16,3,0,0,0,6,158,38,3,86,6,8,2,6,4,1,1,0,2,0,1,0,0,0,0,0,0,0,0,2,2,196143,86307,109836,104830,27357,53996,298,21806,83,1290,5006,4504,1489,546,779,26,411,295,364,36,401,32,2,8,31,75,9,432,196,75,7,38,21,1,19,18,12,1,11,3,4,8,13,3,0,0,0,2,69,27,2,22,6,3,0,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,142732,124191,29099,40477,2133,17993,102,34387,18541,17750,935,563,550,20,13353,267,188,22,1141,25,4,519,25,103,35,689,191,31,3,142,12,0,227,17,16,3,8,3,18,3,10,3,0,0,0,2,101,18,1,64,0,7,2,2,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,142732,57463,85269,81964,23318,39674,203,17907,62,800,3305,3005,854,443,527,19,314,226,182,22,314,21,0,8,24,47,4,262,144,27,3,17,10,0,16,15,1,1,7,3,3,3,7,3,0,0,0,2,37,13,0,17,0,2,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,68989,65564,3425,427,358,0,0,358,0,69,0,0,69
PLST,GA,610,U6,00,000,0018117,610U600US13006,13006,3,5,13,01705317,006,169473729,2303085,6,State Senate District 6,N,210532,111480,+33.8824511,-084.4477781,LU,13006,210532,191775,112908,48799,882,15191,102,13893,18757,17636,2442,1242,1644,64,10297,424,329,32,895,24,0,140,26,68,9,1013,330,126,8,185,35,0,162,27,62,2,10,6,32,9,17,0,0,0,0,2,100,30,6,49,1,11,0,3,0,0,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,210532,27910,182622,173960,108759,47818,332,15104,74,1873,8662,8047,2247,1093,1602,62,1840,380,302,28,382,22,0,23,23,41,2,561,272,122,7,47,34,0,1,26,7,0,9,6,11,9,8,0,0,0,0,2,50,27,5,7,1,7,0,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,172356,158999,95736,39836,649,12775,75,9928,13357,12611,1616,999,959,43,7630,345,178,13,643,12,0,99,21,45,8,674,273,67,7,96,16,0,118,22,24,0,8,3,22,7,10,0,0,0,0,1,64,15,6,34,1,8,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,172356,19742,152614,146431,92734,39162,267,12708,59,1501,6183,5744,1505,883,941,41,1491,323,165,12,306,12,0,17,20,26,2,407,230,66,6,31,16,0,1,22,4,0,7,3,8,7,5,0,0,0,0,1,28,13,5,4,1,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,111480,101265,10215,2654,1059,8,0,891,160,1595,1009,0,586
PLST,GA,610,U6,00,000,0018118,610U600US13007,13007,3,5,13,01705317,007,11014777170,118624782,7,State Senate District 7,N,171471,73100,+31.2883606,-082.7047929,LU,13007,171471,163568,114582,39589,612,1113,65,7607,7903,7499,1764,1810,284,41,3149,195,35,12,129,8,0,39,8,12,13,322,104,17,10,43,17,5,55,13,19,6,13,1,10,6,1,1,0,0,0,1,56,7,3,27,5,7,1,0,4,0,1,0,0,1,0,0,26,21,2,0,3,0,0,0,0,171471,13932,157539,152685,111473,39320,322,1105,51,414,4854,4589,1698,1745,263,41,527,193,30,11,55,4,0,0,8,9,5,210,90,12,10,15,16,5,16,11,11,0,11,0,5,5,1,1,0,0,0,1,30,3,3,16,3,4,0,0,0,0,0,0,0,1,0,0,25,20,2,0,3,0,0,0,0,130540,125789,89926,29493,482,889,50,4949,4751,4510,595,1432,134,28,2012,148,18,9,79,3,0,22,8,11,11,199,79,6,2,13,16,3,38,5,14,0,13,0,7,1,1,1,0,0,0,0,32,4,0,16,3,5,1,0,1,0,1,0,0,1,0,0,10,6,1,0,3,0,0,0,0,130540,8736,121804,118873,88112,29353,263,888,40,217,2931,2750,573,1389,123,28,400,148,15,9,43,1,0,0,8,8,5,152,74,6,2,9,15,3,12,4,9,0,11,0,4,1,1,1,0,0,0,0,20,2,0,12,3,2,0,0,0,0,0,0,0,1,0,0,9,5,1,0,3,0,0,0,0,73100,64080,9020,8717,8179,7236,30,913,0,538,191,0,347
PLST,GA,610,U6,00,000,0018119,610U600US13008,13008,3,5,13,01705317,008,7331924753,96330436,8,State Senate District 8,N,179719,75295,+30.8655662,-083.1347005,LU,13008,179719,169896,100036,61389,782,2251,166,5272,9823,9156,2026,1876,715,69,3566,297,122,43,310,9,6,56,24,25,12,571,169,62,15,86,27,9,77,46,18,11,10,0,6,17,8,2,4,3,0,1,72,19,6,8,0,3,3,12,6,3,4,4,0,0,4,0,21,5,16,0,0,0,0,3,3,179719,12176,167543,161330,97080,60788,495,2202,131,634,6213,5809,1933,1780,683,65,670,271,114,43,176,9,5,16,19,13,12,350,155,53,13,16,24,9,15,34,1,3,9,0,3,8,3,0,4,0,0,0,40,7,6,0,0,1,3,11,0,0,4,4,0,0,4,0,13,2,11,0,0,0,0,1,1,135732,129613,78991,44557,594,1791,123,3557,6119,5753,873,1404,403,45,2431,205,62,28,197,4,2,46,22,22,9,309,112,23,13,30,14,6,35,23,12,10,4,0,3,12,4,0,4,3,0,1,43,8,6,3,0,2,0,8,3,3,4,4,0,0,2,0,13,5,8,0,0,0,0,1,1,135732,7908,127824,123968,77098,44209,400,1763,107,391,3856,3625,831,1354,389,45,542,193,62,28,123,4,2,14,19,10,9,196,100,21,11,2,14,6,7,17,1,2,3,0,2,4,2,0,4,0,0,0,27,3,6,0,0,0,0,8,0,0,4,4,0,0,2,0,7,2,5,0,0,0,0,1,1,75295,67505,7790,6546,2736,1904,19,793,20,3810,2541,683,586
PLST,GA,610,U6,00,000,0018120,610U600US13009,13009,3,5,13,01705317,009,321640375,2997195,9,State Senate District 9,N,208385,67202,+33.9278868,-083.9556318,LU,13009,208385,188811,91631,59124,1268,22650,90,14048,19574,18171,2549,1593,1458,53,9905,398,438,28,1271,54,2,182,46,174,20,1260,348,136,11,292,64,2,236,33,79,5,14,0,11,5,17,3,0,0,0,4,134,40,1,72,1,10,1,4,4,0,1,0,0,0,0,0,6,0,4,2,0,0,0,3,3,208385,30782,177603,169413,86888,58045,361,22542,59,1518,8190,7506,2365,1474,1395,46,736,349,409,27,496,50,0,5,42,108,4,634,292,115,11,82,55,1,4,28,17,3,11,0,0,5,8,2,0,0,0,0,50,31,1,10,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154183,141872,73338,41164,866,17082,60,9362,12311,11551,1039,1242,693,35,6906,293,195,18,826,38,2,117,38,96,13,677,211,53,2,146,28,1,160,13,32,4,4,0,4,5,9,3,0,0,0,2,80,19,0,47,0,8,1,3,2,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,154183,20275,133908,129218,70409,40578,249,17016,44,922,4690,4339,967,1164,671,31,536,268,181,18,356,34,0,5,34,71,3,324,175,44,2,43,25,0,1,11,4,2,4,0,0,5,6,2,0,0,0,0,27,17,0,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67202,65015,2187,2323,2041,1674,0,367,0,282,0,0,282
PLST,GA,610,U6,00,000,0018121,610U600US13010,13010,3,5,13,01705317,010,333240239,5537335,10,State Senate District 10,N,189350,72408,+33.5802982,-084.2164610,LU,13010,189350,179826,29355,138467,585,5946,74,5399,9524,8592,2184,694,374,21,2232,910,299,52,1609,12,4,114,19,58,10,823,383,85,7,138,30,4,72,6,19,1,19,5,27,11,9,4,0,0,0,3,100,30,3,55,0,2,1,5,3,0,1,0,0,0,0,0,9,2,7,0,0,0,0,0,0,189350,10560,178790,172597,28058,136998,331,5887,67,1256,6193,5537,2051,635,363,21,242,879,286,46,935,10,4,8,18,37,2,602,334,82,7,60,30,4,10,6,4,1,19,5,16,11,7,4,0,0,0,2,50,26,0,20,0,2,1,1,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,146159,139706,25073,105766,434,4603,64,3766,6453,5816,1160,561,201,13,1610,662,177,32,1260,7,1,72,17,34,9,559,273,44,2,81,22,4,52,6,13,0,12,5,24,5,9,4,0,0,0,3,73,23,0,45,0,0,0,4,1,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,146159,7073,139086,134909,24225,104884,280,4556,58,906,4177,3716,1119,533,196,13,182,644,170,29,776,6,1,4,17,24,2,417,241,43,2,39,22,4,7,6,2,0,12,5,16,5,7,4,0,0,0,2,41,22,0,18,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,72408,68201,4207,492,327,0,24,303,0,165,0,0,165
