FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,LA,620,L6,00,000,0012717,620L600US22001,22001,3,7,22,01629543,001,2614995930,119999556,1,State House District 1,N,40448,18387,+32.7494769,-093.8185109,LL,22001,40448,38187,28606,8547,234,176,17,607,2261,2158,367,874,91,18,682,50,10,4,49,1,1,7,1,3,0,87,21,6,0,19,6,2,24,3,0,1,0,0,1,1,3,0,0,0,0,0,16,2,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,40448,1404,39044,37291,28273,8487,202,166,17,146,1753,1693,353,831,89,18,298,45,9,3,42,1,1,2,1,0,0,53,20,6,0,10,6,2,3,3,0,0,0,0,1,0,2,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,31774,30345,22927,6686,190,135,17,390,1429,1367,136,636,39,10,463,36,5,2,33,1,1,2,1,2,0,49,17,2,0,6,3,0,14,2,0,1,0,0,1,1,2,0,0,0,0,0,13,2,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,31774,865,30909,29774,22699,6645,166,132,17,115,1135,1101,133,621,39,10,227,32,4,2,29,1,1,1,1,0,0,30,16,2,0,3,3,0,1,2,0,0,0,0,1,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18387,16110,2277,1087,1072,965,0,107,0,15,0,0,15
PLST,LA,620,L6,00,000,0012718,620L600US22002,22002,3,7,22,01629543,002,48548088,2246523,2,State House District 2,N,37287,19947,+32.5018110,-093.7511692,LL,22002,37287,35393,8686,24798,203,406,14,1286,1894,1701,472,259,90,12,518,142,60,7,104,6,0,21,4,4,2,183,79,20,1,33,11,0,16,8,2,0,0,1,2,7,3,0,0,0,0,0,9,3,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,37287,2339,34948,33665,8290,24668,138,404,14,151,1283,1137,459,229,82,11,77,142,55,7,64,4,0,2,3,1,1,140,69,20,1,20,8,0,1,8,1,0,0,1,2,7,2,0,0,0,0,0,6,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28665,27415,7512,18492,160,363,10,878,1250,1129,208,231,66,8,374,99,34,4,76,6,0,18,1,4,0,112,52,8,1,17,8,0,8,7,0,0,0,1,1,6,3,0,0,0,0,0,8,3,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,28665,1621,27044,26215,7243,18405,114,361,10,82,829,727,203,207,60,8,57,99,31,4,51,4,0,1,1,1,0,96,46,8,1,17,6,0,1,7,0,0,0,1,1,6,2,0,0,0,0,0,6,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19947,16252,3695,1136,715,0,56,659,0,421,130,0,291
PLST,LA,620,L6,00,000,0012719,620L600US22003,22003,3,7,22,01629543,003,53486765,266872,3,State House District 3,N,35887,16444,+32.4403279,-093.7990814,LL,22003,35887,34806,2606,31536,99,125,9,431,1081,981,419,82,22,5,159,133,23,3,124,1,1,5,3,1,0,98,57,11,0,13,4,0,5,1,1,0,0,0,0,6,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35887,770,35117,34211,2508,31400,70,124,6,103,906,825,407,81,21,5,63,131,23,1,86,1,1,3,2,0,0,79,51,11,0,9,1,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26086,25442,2252,22764,68,83,6,269,644,580,225,71,8,2,97,91,9,1,68,1,1,4,2,0,0,63,39,7,0,8,2,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26086,481,25605,25043,2181,22676,48,82,3,53,562,511,218,70,7,2,50,89,9,1,58,1,1,3,2,0,0,50,35,7,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16444,14034,2410,287,269,0,0,269,0,18,0,0,18
PLST,LA,620,L6,00,000,0012720,620L600US22004,22004,3,7,22,01629543,004,157755731,27752215,4,State House District 4,N,38713,17717,+32.5180147,-093.8221949,LL,22004,38713,37442,8386,27925,132,194,13,792,1271,1163,348,239,34,3,299,111,20,4,87,2,0,8,7,1,0,97,44,6,1,23,6,0,12,0,1,0,0,0,1,1,2,0,0,0,0,0,11,4,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,38713,1226,37487,36515,8223,27832,104,191,12,153,972,891,341,217,32,3,94,108,19,3,67,2,0,1,4,0,0,75,44,6,1,14,5,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29356,28533,7278,20442,112,162,10,529,823,758,184,166,23,1,227,75,13,2,56,2,0,4,4,1,0,58,28,0,0,15,4,0,8,0,1,0,0,0,1,0,1,0,0,0,0,0,7,1,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29356,817,28539,27914,7162,20381,91,160,9,111,625,576,179,159,23,1,74,72,12,2,48,2,0,0,4,0,0,46,28,0,0,11,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17717,15734,1983,1441,1299,1214,0,85,0,142,118,0,24
PLST,LA,620,L6,00,000,0012721,620L600US22005,22005,3,7,22,01629543,005,111217024,9059601,5,State House District 5,N,45407,20020,+32.3776183,-093.7301234,LL,22005,45407,43307,25505,15322,207,1580,40,653,2100,1984,319,464,262,10,728,68,40,3,72,0,0,6,6,4,2,105,31,7,0,18,14,0,27,0,0,0,0,0,5,2,0,0,0,1,0,0,10,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,45407,1639,43768,42334,25131,15249,169,1574,39,172,1434,1359,307,436,260,10,183,65,38,3,49,0,0,2,5,1,0,66,29,7,0,6,14,0,3,0,0,0,0,0,5,2,0,0,0,0,0,0,8,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,34399,33023,20608,10575,174,1186,29,451,1376,1299,141,354,141,5,521,53,10,3,59,0,0,3,5,4,0,68,25,3,0,6,11,0,17,0,0,0,0,0,4,1,0,0,0,1,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,34399,1095,33304,32364,20354,10540,142,1181,28,119,940,883,134,333,140,5,158,50,10,3,43,0,0,1,5,1,0,50,24,3,0,5,11,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,20020,18653,1367,717,653,0,0,653,0,64,0,0,64
PLST,LA,620,L6,00,000,0012722,620L600US22006,22006,3,7,22,01629543,006,44241493,2359093,6,State House District 6,N,42384,21202,+32.4648151,-093.7074123,LL,22006,42384,39492,30038,7559,190,931,45,729,2892,2673,345,744,354,32,981,41,40,13,101,4,2,9,6,0,1,194,64,25,3,36,9,1,43,5,4,1,0,0,0,1,1,0,1,0,0,0,23,1,0,17,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,42384,2262,40122,38205,29422,7501,151,924,44,163,1917,1783,316,687,335,32,249,37,39,13,65,2,2,0,6,0,0,120,55,25,3,19,7,1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,13,1,0,8,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,33493,31522,24546,5492,155,767,36,526,1971,1839,138,582,205,16,749,36,30,11,52,4,2,8,6,0,0,122,45,14,0,22,0,0,29,5,4,0,0,0,0,1,1,0,1,0,0,0,8,1,0,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,33493,1586,31907,30621,24120,5456,134,760,35,116,1286,1208,128,551,198,16,198,32,29,11,35,2,2,0,6,0,0,74,36,14,0,14,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,21202,19020,2182,502,474,0,0,474,0,28,0,0,28
PLST,LA,620,L6,00,000,0012723,620L600US22007,22007,3,7,22,01629543,007,2375205734,147550270,7,State House District 7,N,43738,19788,+32.0338941,-093.7619589,LL,22007,43738,41563,28461,11521,694,217,10,660,2175,2038,314,854,63,11,653,59,21,1,48,0,0,7,2,1,4,129,49,2,4,10,5,6,37,0,2,0,0,0,6,7,1,0,0,0,0,0,5,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,43738,1482,42256,40574,28113,11479,636,212,10,124,1682,1599,310,809,60,11,294,57,21,1,30,0,0,2,1,1,2,79,42,2,4,7,3,6,3,0,1,0,0,0,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,33712,32279,22679,8442,541,180,9,428,1433,1351,116,653,39,7,456,35,17,0,22,0,0,3,1,0,2,79,28,2,1,5,2,2,32,0,1,0,0,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,33712,979,32733,31623,22455,8412,497,176,9,74,1110,1068,115,629,36,7,213,33,17,0,14,0,0,2,1,0,1,40,22,2,1,5,1,2,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,19788,17432,2356,290,290,0,0,290,0,0,0,0,0
PLST,LA,620,L6,00,000,0012724,620L600US22008,22008,3,7,22,01629543,008,182666259,12581474,8,State House District 8,N,53050,22282,+32.6090585,-093.6900308,LL,22008,53050,49529,33382,12450,255,1292,31,2119,3521,3267,559,798,397,38,1221,70,60,5,85,0,1,8,12,9,4,227,58,32,1,25,26,2,43,20,3,7,2,1,1,2,3,0,1,0,0,0,27,10,0,11,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,53050,4150,48900,46575,32534,12353,191,1270,31,196,2325,2164,518,738,371,37,307,69,58,4,42,0,1,1,12,3,3,141,45,32,1,8,25,2,4,18,0,0,0,1,1,2,1,0,1,0,0,0,20,9,0,5,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,38817,36647,25529,8567,199,952,21,1379,2170,2033,202,593,183,26,862,48,36,2,59,0,1,4,9,6,2,128,26,10,0,17,15,2,29,14,1,7,2,1,0,2,2,0,0,0,0,0,9,2,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,38817,2705,36112,34757,25002,8526,149,933,21,126,1355,1278,184,555,174,26,211,47,34,2,30,0,1,1,9,2,2,73,20,10,0,6,15,2,4,12,0,0,0,1,0,2,1,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22282,20644,1638,427,270,14,0,256,0,157,0,0,157
PLST,LA,620,L6,00,000,0012725,620L600US22009,22009,3,7,22,01629543,009,617132138,14400496,9,State House District 9,N,48092,20285,+32.5368902,-093.5555245,LL,22009,48092,44184,32448,8776,394,735,68,1763,3908,3683,605,1030,325,29,1407,57,64,9,88,2,2,32,14,17,2,210,55,26,1,31,16,3,41,22,7,4,0,0,0,3,1,0,0,0,0,0,15,5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48092,3918,44174,41627,31684,8702,286,710,62,183,2547,2407,569,961,300,26,353,54,62,9,48,0,2,3,13,5,2,135,49,26,1,9,15,1,7,22,2,0,0,0,0,3,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35892,33468,25054,6336,297,624,52,1105,2424,2297,226,751,167,15,943,43,47,6,52,2,0,22,13,8,2,121,38,15,1,12,3,3,36,6,2,2,0,0,0,3,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35892,2454,33438,31824,24551,6296,219,605,46,107,1614,1535,220,713,155,13,286,41,45,6,37,0,0,3,13,1,2,77,34,15,1,8,3,1,6,6,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20285,18464,1821,366,19,0,19,0,0,347,0,316,31
PLST,LA,620,L6,00,000,0012726,620L600US22010,22010,3,7,22,01629543,010,1774108484,79394432,10,State House District 10,N,38844,19263,+32.6554259,-093.3572428,LL,22010,38844,37324,24276,12384,158,142,13,351,1520,1445,389,567,61,7,340,46,0,0,25,0,1,6,3,0,0,68,39,7,2,0,7,0,4,5,0,0,0,0,0,1,3,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,38844,741,38103,36805,24084,12338,141,141,13,88,1298,1245,373,552,61,6,190,43,0,0,16,0,1,0,3,0,0,50,29,7,2,0,4,0,1,5,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30275,29290,19411,9382,144,113,8,232,985,938,166,445,41,7,224,31,0,0,15,0,1,5,3,0,0,40,25,0,2,0,4,0,4,1,0,0,0,0,0,1,3,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,30275,470,29805,28934,19283,9343,129,113,8,58,871,839,166,437,41,6,144,31,0,0,10,0,1,0,3,0,0,29,21,0,2,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19263,16499,2764,404,258,0,0,258,0,146,0,56,90
