FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,LA,610,U6,00,000,0010848,610U600US22001,22001,3,7,22,01629543,001,2970553858,7906324656,1,State Senate District 1,N,128656,53402,+29.7454912,-089.3657652,LU,22001,128656,117562,81739,28981,788,2373,59,3622,11094,10144,1514,1967,725,44,5086,176,94,3,400,8,0,51,35,23,18,736,171,45,5,137,40,3,219,25,61,3,5,0,6,8,6,0,0,0,2,0,200,20,1,160,3,3,0,0,9,0,0,2,1,0,1,0,12,3,8,0,0,1,0,2,2,128656,10983,117673,111664,79307,28675,553,2330,54,745,6009,5594,1430,1825,656,42,1028,167,88,3,296,5,0,8,34,10,2,368,139,38,5,74,40,2,21,25,7,0,4,0,3,7,2,0,0,0,1,0,47,17,0,23,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,98046,90719,65241,20539,609,1850,47,2433,7327,6754,516,1482,423,28,3732,136,46,2,290,8,0,42,25,15,9,439,93,20,4,77,28,2,153,16,29,1,5,0,6,1,4,0,0,0,0,0,121,11,0,96,1,2,0,0,7,0,0,2,1,0,1,0,11,3,8,0,0,0,0,2,2,98046,7499,90547,86815,63611,20369,435,1819,42,539,3732,3483,482,1402,393,28,741,127,46,2,223,5,0,5,24,5,0,216,80,17,4,43,28,2,18,16,1,0,4,0,3,0,0,0,0,0,0,0,33,11,0,18,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,53402,49067,4335,1169,948,500,0,448,0,221,0,31,190
PLST,LA,610,U6,00,000,0010849,610U600US22002,22002,3,7,22,01629543,002,1822967308,122433964,2,State Senate District 2,N,108026,45840,+30.0554622,-090.9118601,LU,22002,108026,103969,42958,57593,377,557,23,2461,4057,3789,1070,517,160,23,1542,149,40,13,222,4,2,20,11,10,6,239,96,10,1,31,15,3,52,9,3,2,1,1,0,2,4,4,5,0,0,0,26,6,0,4,1,1,2,4,5,0,0,0,2,0,1,0,3,3,0,0,0,0,0,0,0,108026,5022,103004,100549,42249,57251,265,540,20,224,2455,2300,1037,484,149,21,250,138,36,12,146,3,1,0,11,8,4,141,86,7,1,13,9,3,1,8,3,1,1,1,0,2,2,2,1,0,0,0,11,2,0,3,1,1,1,1,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,0,82817,80257,35151,42528,297,431,21,1829,2560,2394,504,366,87,15,1104,94,29,4,154,2,1,16,8,5,5,150,65,4,0,17,10,3,30,7,1,1,1,0,0,0,4,3,4,0,0,0,13,4,0,3,0,0,2,1,0,0,0,0,2,0,1,0,3,3,0,0,0,0,0,0,0,82817,3592,79225,77778,34641,42316,219,421,18,163,1447,1347,495,344,83,13,181,91,25,4,95,1,0,0,8,3,4,89,60,3,0,7,4,3,0,7,1,0,1,0,0,0,2,1,0,0,0,0,8,1,0,3,0,0,1,1,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,0,45840,40641,5199,4770,4325,3472,0,737,116,445,0,343,102
PLST,LA,610,U6,00,000,0010850,610U600US22003,22003,3,7,22,01629543,003,184753614,35445449,3,State Senate District 3,N,126317,55527,+29.9633556,-089.9814565,LU,22003,126317,118647,33317,73060,507,6826,41,4896,7670,6895,1237,737,494,20,2970,303,105,17,899,12,1,58,14,17,11,676,220,64,8,137,26,1,116,15,57,1,5,0,16,0,3,5,0,0,0,2,93,10,0,67,3,3,0,2,4,0,0,1,1,0,2,0,6,0,5,0,0,1,0,0,0,126317,10556,115761,111749,31658,72258,334,6755,28,716,4012,3574,1154,665,458,20,468,283,99,17,371,12,1,6,13,6,1,401,196,62,8,65,25,0,5,14,7,1,5,0,9,0,1,1,0,0,0,2,37,7,0,20,2,3,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,96202,90947,27948,53796,387,5484,37,3295,5255,4718,666,558,302,16,2205,219,56,8,598,12,1,40,14,13,10,456,170,33,4,97,22,0,69,11,28,0,5,0,10,0,1,4,0,0,0,2,75,9,0,53,3,3,0,0,4,0,0,0,1,0,2,0,6,0,5,0,0,1,0,0,0,96202,7220,88982,86247,26769,53260,266,5429,26,497,2735,2408,631,520,286,16,364,209,53,8,284,12,1,5,13,5,1,296,155,32,4,50,22,0,5,10,4,0,5,0,7,0,0,0,0,0,0,2,31,6,0,17,2,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,55527,49666,5861,1725,1370,1085,11,274,0,355,182,0,173
PLST,LA,610,U6,00,000,0010851,610U600US22004,22004,3,7,22,01629543,004,66965747,2752741,4,State Senate District 4,N,132156,66306,+29.9758292,-090.0793109,LU,22004,132156,124468,42301,76689,453,1826,33,3166,7688,6925,1177,557,525,18,3265,290,101,17,892,3,0,38,10,28,4,633,196,55,0,164,22,0,94,19,10,5,11,0,28,13,12,3,0,0,0,1,120,23,1,84,1,3,0,2,2,0,1,2,0,0,1,0,7,4,3,0,0,0,0,3,3,132156,8522,123634,119729,41042,75918,265,1792,26,686,3905,3479,1080,487,498,18,588,272,91,15,398,3,0,10,7,12,0,374,161,51,0,68,16,0,4,19,1,5,11,0,16,13,8,0,0,0,0,1,49,12,0,33,1,0,0,1,0,0,0,1,0,0,1,0,3,2,1,0,0,0,0,0,0,103776,98183,36013,57997,364,1538,29,2242,5593,5039,743,470,299,10,2501,223,67,15,657,3,0,29,5,14,3,468,153,28,0,116,19,0,75,16,6,5,11,0,19,10,7,3,0,0,0,0,78,10,0,61,1,1,0,0,2,0,1,1,0,0,1,0,5,2,3,0,0,0,0,3,3,103776,6213,97563,94778,35072,57456,221,1506,24,499,2785,2467,687,420,291,10,435,209,58,13,324,3,0,9,4,4,0,280,132,24,0,49,13,0,4,16,1,5,11,0,12,10,3,0,0,0,0,0,35,7,0,25,1,0,0,0,0,0,0,1,0,0,1,0,3,2,1,0,0,0,0,0,0,66306,56569,9737,3593,475,13,48,414,0,3118,2281,0,837
PLST,LA,610,U6,00,000,0010852,610U600US22005,22005,3,7,22,01629543,005,39166657,2365042,5,State Senate District 5,N,120152,66602,+29.9473727,-090.0995921,LU,22005,120152,110426,52164,50292,517,2558,54,4841,9726,8990,1140,817,822,37,3713,317,119,13,1882,11,2,63,20,30,4,580,184,30,1,146,24,0,99,7,41,1,10,0,30,3,4,0,0,0,0,0,148,8,2,123,1,1,0,2,7,0,0,3,1,0,0,0,5,3,2,0,0,0,0,3,3,120152,13017,107135,102739,49669,49543,291,2521,47,668,4396,4032,1065,737,783,37,641,299,111,13,305,9,2,4,16,10,0,316,157,23,1,67,19,0,10,7,6,1,10,0,12,3,0,0,0,0,0,0,44,3,1,35,1,1,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,1,1,101126,93451,46632,40319,407,2379,51,3663,7675,7137,782,684,595,30,2954,267,78,11,1634,11,2,48,16,22,3,417,122,18,1,98,18,0,80,7,33,0,10,0,25,2,3,0,0,0,0,0,113,4,1,101,0,0,0,0,3,0,0,3,1,0,0,0,5,3,2,0,0,0,0,3,3,101126,10308,90818,87479,44471,39806,249,2344,46,563,3339,3082,738,633,569,30,494,252,70,11,252,9,2,2,12,8,0,222,102,15,1,44,13,0,10,7,6,0,10,0,12,2,0,0,0,0,0,0,31,3,1,24,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,1,1,66602,55187,11415,9796,2268,1708,28,500,32,7528,6545,0,983
PLST,LA,610,U6,00,000,0010853,610U600US22006,22006,3,7,22,01629543,006,1077924097,79592287,6,State Senate District 6,N,132643,56757,+30.3735281,-090.4565582,LU,22006,132643,125063,79747,37141,450,3034,24,4667,7580,7171,1068,1521,546,45,3489,163,60,13,208,2,0,38,4,11,3,360,104,6,1,72,22,1,95,16,21,5,0,1,8,6,1,0,0,0,0,1,39,6,0,29,0,2,1,1,0,0,0,0,0,0,0,0,10,1,9,0,0,0,0,0,0,132643,9421,123222,118857,78116,36879,345,3013,22,482,4365,4134,1039,1459,536,41,705,155,58,13,115,2,0,5,4,2,0,204,92,6,1,45,12,1,13,11,7,4,0,1,6,4,1,0,0,0,0,0,24,6,0,15,0,1,1,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,101087,96046,64434,25971,368,2269,21,2983,5041,4790,433,1159,314,34,2523,126,27,10,126,2,0,27,3,4,2,218,59,1,0,36,11,0,72,11,12,1,0,1,6,6,1,0,0,0,0,1,30,5,0,22,0,1,1,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,101087,6256,94831,92034,63346,25828,279,2252,19,310,2797,2665,421,1121,313,32,540,118,27,10,75,2,0,3,3,0,0,115,53,1,0,26,7,0,8,6,4,0,0,1,4,4,1,0,0,0,0,0,17,5,0,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56757,52104,4653,1636,754,0,8,746,0,882,558,0,324
PLST,LA,610,U6,00,000,0010854,610U600US22007,22007,3,7,22,01629543,007,156153863,21905623,7,State Senate District 7,N,111694,47893,+29.8613264,-090.0174399,LU,22007,111694,103492,30791,60627,507,3597,92,7878,8202,7609,1163,810,445,36,3751,302,117,10,830,5,1,93,8,28,10,513,134,37,1,131,23,2,88,9,36,4,9,0,26,5,5,0,1,2,0,0,73,11,3,48,0,1,0,1,5,1,0,2,0,0,1,0,4,0,3,0,0,1,0,3,3,111694,14950,96744,93391,28938,59908,322,3549,75,599,3353,3068,1084,550,398,36,341,272,112,10,236,4,1,8,8,8,0,248,110,26,1,40,17,0,13,7,2,2,9,0,11,5,4,0,1,0,0,0,33,5,3,22,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,3,3,83316,77873,25188,44194,381,2922,69,5119,5443,5070,613,586,256,20,2657,201,52,8,566,2,1,70,8,20,10,311,91,10,0,68,16,0,60,6,16,4,9,0,22,5,1,0,1,2,0,0,56,6,3,43,0,1,0,0,0,1,0,2,0,0,0,0,3,0,3,0,0,0,0,3,3,83316,9858,73458,71341,23954,43775,249,2894,55,414,2117,1919,581,412,228,20,235,191,49,8,173,1,1,6,8,6,0,166,70,9,0,31,13,0,7,6,2,2,9,0,10,5,1,0,1,0,0,0,29,4,3,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,47893,43371,4522,969,723,0,31,692,0,246,0,44,202
PLST,LA,610,U6,00,000,0010855,610U600US22008,22008,3,7,22,01629543,008,1546610160,2090076396,8,State Senate District 8,N,121086,49621,+29.3678129,-089.8072651,LU,22008,121086,110744,54725,40068,1047,7337,47,7520,10342,9713,1297,1431,865,23,4935,195,92,21,652,17,2,79,26,45,33,549,133,36,11,106,42,1,107,10,67,7,4,0,15,0,1,2,1,2,0,4,72,20,0,35,2,0,3,4,6,0,0,1,0,0,1,0,6,3,1,0,0,2,0,2,2,121086,16129,104957,100439,52166,39486,779,7260,36,712,4518,4203,1196,1054,825,23,597,175,87,21,153,17,2,6,26,20,1,273,111,34,11,33,32,1,8,10,15,1,4,0,7,0,1,1,0,1,0,3,36,15,0,14,2,0,0,2,1,0,0,1,0,0,1,0,4,3,0,0,0,1,0,2,2,92436,85358,44365,29174,849,5855,30,5085,7078,6705,553,1093,536,16,3731,136,55,8,433,13,2,56,18,28,27,329,80,9,4,53,35,0,70,10,39,4,4,0,12,0,1,1,1,2,0,4,37,4,0,27,2,0,0,0,4,0,0,0,0,0,0,0,5,3,1,0,0,1,0,2,2,92436,11132,81304,78431,42649,28847,639,5807,25,464,2873,2687,524,818,520,16,474,120,53,8,104,13,2,6,18,10,1,164,66,9,4,13,26,0,5,10,14,1,4,0,7,0,1,0,0,1,0,3,17,3,0,11,2,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,49621,44562,5059,542,406,0,98,308,0,136,0,0,136
PLST,LA,610,U6,00,000,0010856,610U600US22009,22009,3,7,22,01629543,009,50896793,3211154,9,State Senate District 9,N,122806,60287,+29.9816880,-090.1560804,LU,22009,122806,110762,83610,12947,567,4593,37,9008,12044,11482,680,1029,808,33,7629,112,57,12,882,14,1,164,8,45,8,502,103,22,5,115,28,3,135,13,46,1,1,0,16,1,2,1,0,1,0,9,56,12,0,35,3,1,0,1,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,122806,21294,101512,97652,79765,12502,197,4514,29,645,3860,3598,614,888,757,29,941,93,54,12,176,11,1,5,7,10,0,237,83,20,5,54,21,3,9,13,11,0,1,0,6,1,2,1,0,0,0,7,22,11,0,7,3,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,99404,90637,70515,9899,394,3659,27,6143,8767,8384,328,788,489,26,5843,78,44,4,604,13,1,130,6,24,6,340,69,15,3,69,18,1,109,11,21,1,1,0,11,1,2,0,0,1,0,7,39,7,0,25,3,1,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,99404,15239,84165,81515,67658,9618,148,3602,24,465,2650,2470,294,704,465,23,715,68,43,4,132,10,1,3,5,3,0,162,55,14,3,35,15,1,7,11,5,0,1,0,5,1,2,0,0,0,0,7,15,6,0,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,60287,55294,4993,1479,692,0,18,674,0,787,561,0,226
PLST,LA,610,U6,00,000,0010857,610U600US22010,22010,3,7,22,01629543,010,67363480,4049611,10,State Senate District 10,N,120330,53233,+29.9895100,-090.2251313,LU,22010,120330,105699,74401,14319,629,5276,40,11034,14631,14005,830,1202,740,26,10261,104,51,3,499,14,0,159,22,73,21,569,99,39,3,126,28,3,170,9,61,5,1,1,13,2,4,1,1,0,0,3,53,7,0,41,0,0,0,0,3,0,0,2,0,0,0,0,4,0,3,0,0,1,0,0,0,120330,26444,93886,89920,69785,13964,235,5223,27,686,3966,3720,769,1007,708,24,897,96,44,3,111,14,0,6,20,19,2,225,76,38,3,33,27,3,17,9,8,0,1,0,3,2,4,1,0,0,0,0,19,6,0,11,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,1,0,0,0,95980,85391,62054,10923,477,4143,28,7766,10589,10217,309,934,392,18,7935,64,26,2,331,14,0,102,15,58,17,339,59,17,1,63,16,1,128,4,28,3,1,1,10,1,3,0,1,0,0,2,29,2,0,24,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,0,95980,19110,76870,74350,58801,10715,190,4120,20,504,2520,2376,277,804,380,17,683,61,26,2,80,14,0,2,13,15,2,132,49,17,1,24,15,1,12,4,1,0,1,0,3,1,3,0,0,0,0,0,10,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,53233,49296,3937,788,593,0,24,532,37,195,0,0,195
