FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,MI,620,L6,00,000,0025417,620L600US26001,26001,2,3,26,01779789,001,37330021,45571444,1,State House District 1,N,81483,34013,+42.4444031,-082.8736606,LL,26001,81483,78486,22594,54460,147,778,18,489,2997,2741,1072,281,237,14,598,284,51,13,165,4,0,7,6,7,2,237,131,17,3,21,6,1,31,4,9,0,3,0,9,1,1,0,0,0,0,0,19,8,0,6,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,81483,1482,80001,77622,22339,54104,123,762,10,284,2379,2190,1023,267,223,13,205,276,50,13,103,4,0,2,5,6,0,177,122,14,3,14,5,0,2,4,3,0,3,0,5,1,1,0,0,0,0,0,12,7,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59788,58061,18966,37962,112,665,15,341,1727,1561,565,192,83,13,358,217,21,1,91,3,0,6,6,3,2,160,96,7,2,14,3,0,20,3,4,0,3,0,6,1,1,0,0,0,0,0,6,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59788,909,58879,57512,18785,37764,94,651,9,209,1367,1238,540,184,76,12,119,212,20,1,62,3,0,2,5,2,0,127,93,5,2,9,3,0,2,3,2,0,3,0,3,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34013,29906,4107,652,402,0,14,370,18,250,0,0,250
PLST,MI,620,L6,00,000,0025418,620L600US26002,26002,2,3,26,01779789,002,50127559,31930982,2,State House District 2,N,73969,35917,+42.3846252,-082.9200786,LL,26002,73969,70925,27299,42245,196,711,12,462,3044,2733,790,265,304,8,823,298,87,7,122,4,0,16,3,5,1,278,132,26,4,42,7,1,32,15,8,3,1,2,2,0,3,0,0,0,0,0,33,8,4,13,1,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73969,1628,72341,70091,26932,42001,169,702,7,280,2250,2018,764,243,302,8,244,288,82,7,70,3,0,4,2,1,0,210,124,23,3,20,4,1,9,15,3,1,1,2,1,0,3,0,0,0,0,0,22,7,4,6,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57031,55086,21874,32121,149,610,10,322,1945,1772,496,190,134,7,530,242,59,6,85,2,0,13,3,4,1,155,80,11,3,18,2,1,18,12,3,1,1,1,2,0,2,0,0,0,0,0,18,7,2,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57031,1043,55988,54507,21631,31951,133,602,7,183,1481,1338,483,172,133,7,180,239,54,6,56,1,0,4,2,1,0,128,75,11,3,12,1,1,5,12,2,1,1,1,1,0,2,0,0,0,0,0,15,7,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35917,29957,5960,1209,510,29,15,466,0,699,0,0,699
PLST,MI,620,L6,00,000,0025419,620L600US26003,26003,2,3,26,01779789,003,44510734,20627,3,State House District 3,N,72391,33097,+42.4322737,-083.0581649,LL,26003,72391,69865,3898,64841,169,363,32,562,2526,2175,1111,90,75,11,223,383,65,4,183,2,0,14,7,6,1,333,232,17,4,29,4,1,17,4,4,1,9,0,7,3,1,0,0,0,0,0,15,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,72391,1136,71255,69069,3771,64457,145,349,28,319,2186,1906,1080,75,67,11,89,373,62,4,130,2,0,4,5,4,0,273,220,13,2,14,3,1,0,2,0,1,8,0,5,3,1,0,0,0,0,0,5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,54130,52469,3451,48182,118,291,25,402,1661,1444,665,65,43,6,156,306,44,2,140,0,0,8,7,1,1,208,147,4,3,19,3,1,12,3,0,1,7,0,6,1,1,0,0,0,0,0,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,54130,756,53374,51922,3345,47943,105,279,21,229,1452,1278,657,54,38,6,63,300,42,2,108,0,0,2,5,1,0,170,142,1,1,7,3,1,0,1,0,1,6,0,5,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,33097,27842,5255,529,304,150,0,154,0,225,33,0,192
PLST,MI,620,L6,00,000,0025420,620L600US26004,26004,2,3,26,01779789,004,52292919,0,4,State House District 4,N,91069,43042,+42.3837320,-083.0546432,LL,26004,91069,86550,29944,40285,202,15207,28,884,4519,4115,991,253,1530,15,628,304,90,14,129,36,1,9,23,91,1,358,176,24,6,52,21,2,26,17,7,5,9,1,4,1,6,0,0,0,0,1,45,12,3,22,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,91069,1597,89472,85488,29585,40025,169,15167,26,516,3984,3674,950,226,1517,15,346,294,86,13,81,35,0,1,22,88,0,282,163,22,4,29,16,2,5,15,5,0,9,1,4,1,6,0,0,0,0,0,27,10,2,9,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,68749,65774,22361,31478,148,11064,19,704,2975,2708,685,221,896,9,403,241,42,9,94,25,1,4,19,58,1,238,121,17,3,34,12,2,17,13,2,3,8,0,1,1,4,0,0,0,0,0,28,8,1,12,0,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,68749,1144,67605,64993,22085,31323,129,11035,17,404,2612,2404,663,204,895,9,193,232,39,8,62,24,0,1,18,56,0,189,112,15,2,17,12,2,2,12,1,0,8,0,1,1,4,0,0,0,0,0,18,7,0,5,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,43042,34814,8228,4271,385,5,6,346,28,3886,3051,0,835
PLST,MI,620,L6,00,000,0025421,620L600US26005,26005,2,3,26,01779789,005,40315584,206128,5,State House District 5,N,69458,33919,+42.3441297,-083.1308255,LL,26005,69458,62280,11694,34003,933,205,9,15436,7178,6793,916,284,178,21,4551,253,45,9,342,4,1,150,4,23,12,342,117,14,8,65,17,2,73,13,13,5,2,1,5,7,0,0,0,0,0,0,38,8,5,19,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,69458,25072,44386,42451,8258,33529,161,183,5,315,1935,1726,823,140,166,19,171,239,45,8,98,3,1,1,4,7,1,186,92,11,7,27,17,1,3,12,5,0,2,1,2,6,0,0,0,0,0,0,18,7,5,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,49290,44632,8012,26019,644,159,8,9790,4658,4399,526,221,105,16,2926,189,29,5,241,2,1,109,4,18,7,229,83,8,7,47,10,1,47,11,6,1,0,0,2,6,0,0,0,0,0,0,25,6,4,11,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,49290,15777,33513,32230,5978,25768,132,144,5,203,1283,1125,489,105,98,15,117,177,29,5,76,1,1,1,4,6,1,139,71,8,6,23,10,1,1,11,3,0,0,0,0,5,0,0,0,0,0,0,14,6,4,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,33919,24715,9204,487,99,0,13,86,0,388,10,0,378
PLST,MI,620,L6,00,000,0025422,620L600US26006,26006,2,3,26,01779789,006,60450275,14270596,6,State House District 6,N,84329,48036,+42.3167080,-083.0717506,LL,26006,84329,76858,22351,42633,818,1211,45,9800,7471,6836,1320,497,247,27,3808,351,73,14,314,5,0,147,11,13,9,563,257,26,11,69,8,3,138,16,12,0,6,0,8,6,3,0,0,0,0,0,68,25,3,30,3,0,2,2,0,0,2,1,0,0,0,0,4,2,2,0,0,0,0,0,0,84329,18361,65968,62858,18854,42131,236,1199,23,415,3110,2736,1220,382,226,25,307,329,70,14,126,5,0,16,11,5,0,329,216,23,11,22,6,3,6,15,10,0,6,0,4,6,1,0,0,0,0,0,41,21,3,8,3,0,2,1,0,0,2,1,0,0,0,0,4,2,2,0,0,0,0,0,0,67505,62397,19358,34652,623,1163,32,6569,5108,4701,724,359,197,15,2749,260,46,10,211,3,0,108,5,10,4,355,158,20,1,34,5,2,97,15,6,0,5,0,6,4,2,0,0,0,0,0,49,18,3,22,0,0,2,1,0,0,2,1,0,0,0,0,3,2,1,0,0,0,0,0,0,67505,12289,55216,53138,17107,34382,181,1154,16,298,2078,1828,687,284,183,14,240,249,45,10,92,3,0,13,5,3,0,214,146,17,1,10,4,2,4,14,4,0,5,0,2,4,1,0,0,0,0,0,33,17,3,8,0,0,2,0,0,0,2,1,0,0,0,0,3,2,1,0,0,0,0,0,0,48036,39883,8153,2678,1256,582,115,559,0,1422,0,0,1422
PLST,MI,620,L6,00,000,0025423,620L600US26007,26007,2,3,26,01779789,007,37267294,0,7,State House District 7,N,79207,38694,+42.4103655,-083.1422716,LL,26007,79207,76730,2367,73410,190,185,12,566,2477,2112,1043,49,55,7,123,448,93,33,227,5,4,7,2,11,5,325,207,18,5,29,8,3,19,4,9,2,6,4,7,3,1,0,0,0,0,0,35,9,0,20,2,0,0,1,1,0,2,0,0,0,0,0,3,2,1,0,0,0,0,2,2,79207,1081,78126,75979,2216,73022,158,179,7,397,2147,1856,1001,25,44,6,58,433,85,31,153,4,2,4,2,8,0,270,192,14,5,20,6,3,3,4,6,2,6,4,2,3,0,0,0,0,0,0,17,8,0,6,1,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,2,2,60347,58657,2156,55759,159,160,11,412,1690,1452,718,31,28,1,90,352,61,15,135,4,4,4,2,4,3,217,150,9,4,16,2,1,11,1,4,2,6,1,6,3,1,0,0,0,0,0,16,4,0,9,2,0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,2,2,60347,728,59619,58124,2042,55499,136,155,6,286,1495,1292,691,16,25,1,37,342,58,15,93,3,2,4,2,3,0,189,144,6,4,12,2,1,2,1,3,2,6,1,2,3,0,0,0,0,0,0,10,4,0,4,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,2,2,38694,31354,7340,1944,1006,368,101,533,4,938,449,0,489
PLST,MI,620,L6,00,000,0025424,620L600US26008,26008,2,3,26,01779789,008,41079316,5164,8,State House District 8,N,83410,37607,+42.4056495,-083.2334241,LL,26008,83410,80633,3686,75803,249,151,16,728,2777,2409,1189,87,64,5,157,608,70,7,177,7,3,18,2,14,1,330,206,20,5,34,20,3,18,3,4,2,4,0,8,1,2,0,0,0,0,0,37,18,4,11,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,83410,1179,82231,79794,3570,75377,212,145,14,476,2437,2155,1154,59,56,5,68,591,67,6,125,5,3,8,2,5,1,263,190,15,5,14,17,2,3,3,3,0,4,0,4,1,2,0,0,0,0,0,18,9,0,6,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,62448,60651,3297,56504,193,137,14,506,1797,1547,679,65,44,2,91,463,49,4,126,4,1,10,2,6,1,228,147,10,2,25,11,0,16,3,2,0,1,0,8,1,2,0,0,0,0,0,21,9,0,9,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,62448,731,61717,60095,3207,56265,167,131,12,313,1622,1419,666,51,40,2,45,451,46,4,98,2,1,5,2,5,1,189,139,10,2,11,11,0,3,3,2,0,1,0,4,1,2,0,0,0,0,0,13,6,0,5,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,37607,32965,4642,327,164,9,9,146,0,163,0,0,163
PLST,MI,620,L6,00,000,0025425,620L600US26009,26009,2,3,26,01779789,009,42367465,84538,9,State House District 9,N,89088,37194,+42.3628154,-083.2128363,LL,26009,89088,84895,18041,63553,309,310,17,2665,4193,3771,1209,176,585,17,1003,370,61,21,269,4,1,14,4,28,9,393,207,22,13,49,13,7,40,14,21,0,4,1,2,0,0,0,0,0,0,0,26,4,3,10,0,2,0,2,2,0,2,0,1,0,0,0,2,2,0,0,0,0,0,1,1,89088,4488,84600,81566,17506,63095,182,300,7,476,3034,2720,1165,133,569,13,247,344,60,21,133,4,1,0,3,24,3,292,179,22,13,25,11,7,6,13,9,0,4,1,2,0,0,0,0,0,0,0,19,4,3,6,0,1,0,2,0,0,2,0,1,0,0,0,2,2,0,0,0,0,0,1,1,62529,59933,12389,45383,228,199,14,1720,2596,2345,715,110,336,12,622,271,41,14,187,4,1,8,3,13,8,228,123,12,1,33,3,5,25,9,10,0,4,1,2,0,0,0,0,0,0,0,20,4,1,10,0,1,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,1,1,62529,2805,59724,57804,12051,45120,141,193,5,294,1920,1725,702,88,332,8,155,256,40,14,107,4,1,0,2,13,3,176,111,12,1,21,3,5,6,8,2,0,4,1,2,0,0,0,0,0,0,0,16,4,1,6,0,1,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,1,1,37194,31624,5570,334,134,0,17,117,0,200,0,0,200
PLST,MI,620,L6,00,000,0025426,620L600US26010,26010,2,3,26,01779789,010,45063511,4823,10,State House District 10,N,88981,39056,+42.4124905,-083.2982405,LL,26010,88981,84604,22534,60219,264,505,16,1066,4377,3921,1510,611,200,7,821,414,77,8,231,7,0,27,1,6,1,425,260,23,3,40,16,0,34,12,12,1,4,0,13,0,7,0,0,0,0,0,29,12,2,5,3,4,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,1,88981,2360,86621,83080,22046,59841,217,497,16,463,3541,3187,1448,580,191,7,310,398,77,7,158,4,0,2,1,4,0,331,235,17,3,19,12,0,6,12,5,0,3,0,12,0,7,0,0,0,0,0,21,11,2,0,3,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,1,69209,66409,19533,45470,224,403,14,765,2800,2524,744,457,145,5,608,309,52,5,171,5,0,18,1,3,1,252,159,9,3,18,7,0,23,10,8,1,1,0,10,0,3,0,0,0,0,0,22,11,2,3,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,69209,1547,67662,65411,19217,45254,188,398,14,340,2251,2026,717,440,136,5,238,300,52,5,127,3,0,0,1,2,0,204,143,4,3,13,7,0,6,10,5,0,0,0,10,0,3,0,0,0,0,0,19,11,2,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,39056,36293,2763,460,243,0,36,207,0,217,10,0,207
