FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,MI,610,U6,00,000,0021939,610U600US26001,26001,2,3,26,01779789,001,208936789,46485535,1,State Senate District 1,N,239207,125665,+42.1635966,-083.1819788,LU,26001,239207,225274,107344,107290,1031,4232,77,5300,13933,12756,2954,2277,881,66,4993,746,184,30,457,22,2,80,31,26,7,1054,540,70,23,118,29,5,140,40,30,9,19,2,15,6,8,0,0,0,0,0,117,33,3,63,5,0,1,4,2,0,5,1,0,0,0,0,6,3,3,0,0,0,0,0,0,239207,14149,225058,215932,103511,106473,678,4204,47,1019,9126,8282,2793,2091,843,61,1252,714,172,29,244,18,2,23,28,12,0,770,486,65,22,50,24,4,15,37,22,1,18,2,13,6,5,0,0,0,0,0,71,29,3,22,5,0,1,4,1,0,5,1,0,0,0,0,3,0,3,0,0,0,0,0,0,193087,183575,91231,83763,811,3908,53,3809,9512,8773,1718,1722,519,40,3623,576,105,21,326,16,2,53,25,20,7,667,342,42,10,67,15,3,93,33,18,6,18,1,9,4,6,0,0,0,0,0,67,23,1,35,1,0,1,2,1,0,2,1,0,0,0,0,5,3,2,0,0,0,0,0,0,193087,9778,183309,177103,88638,83267,551,3888,32,727,6206,5651,1660,1605,501,37,922,558,97,20,190,12,2,18,22,7,0,502,321,40,10,29,13,3,10,30,12,1,17,1,7,4,4,0,0,0,0,0,51,22,1,20,1,0,1,2,1,0,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,125665,107771,17894,8378,2588,611,139,1762,76,5790,3027,0,2763
PLST,MI,610,U6,00,000,0021940,610U600US26002,26002,2,3,26,01779789,002,123512459,77502426,2,State Senate District 2,N,231980,98311,+42.4444031,-082.8736606,LU,26002,231980,218734,75661,115276,1050,15066,45,11636,13246,12297,2668,841,1947,47,4977,747,169,30,510,40,3,178,21,109,10,846,393,42,10,99,32,5,172,26,27,2,9,3,17,3,5,0,0,0,0,1,97,29,5,43,2,1,2,5,2,0,5,2,0,1,0,0,5,3,2,0,0,0,0,1,1,231980,21169,210811,202955,72181,114340,429,14995,34,976,7856,7256,2512,670,1911,45,794,719,163,30,238,39,1,14,19,100,1,540,353,35,8,45,22,4,11,25,11,0,8,3,8,3,4,0,0,0,0,0,55,26,4,12,2,1,2,3,1,0,2,1,0,1,0,0,4,3,1,0,0,0,0,1,1,169357,161136,57917,84035,769,10727,41,7647,8221,7634,1515,617,1002,33,3241,574,106,11,301,27,3,115,17,68,4,521,254,21,6,53,15,3,114,18,10,1,6,0,14,1,5,0,0,0,0,0,60,17,3,27,1,1,2,4,2,0,1,2,0,0,0,0,5,3,2,0,0,0,0,1,1,169357,13617,155740,150963,55766,83480,330,10668,32,687,4777,4396,1438,484,988,33,507,555,101,11,162,26,1,11,15,63,1,343,230,16,5,26,15,3,6,18,7,0,5,0,7,1,4,0,0,0,0,0,33,16,2,6,1,1,2,2,1,0,1,1,0,0,0,0,4,3,1,0,0,0,0,1,1,98311,83989,14322,2153,1108,155,116,833,4,1045,142,0,903
PLST,MI,610,U6,00,000,0021941,610U600US26003,26003,2,3,26,01779789,003,142183038,845019,3,State Senate District 3,N,259777,107185,+42.3446638,-083.2098765,LU,26003,259777,246438,115874,120664,733,3270,47,5850,13339,12346,2766,1001,2433,51,4496,785,149,43,478,9,4,46,15,57,13,901,442,53,17,106,46,11,101,42,46,1,9,1,17,3,5,0,1,0,0,0,85,19,7,42,1,3,0,3,3,0,4,0,2,1,0,0,4,4,0,0,0,0,0,3,3,259777,11841,247936,238399,113616,119750,433,3234,36,1330,9537,8836,2655,881,2393,46,1609,745,142,40,249,7,3,7,14,42,3,637,380,45,15,49,43,11,8,40,21,0,9,1,8,3,4,0,0,0,0,0,58,18,7,21,1,2,0,3,0,0,4,0,1,1,0,0,3,3,0,0,0,0,0,3,3,186758,178158,83287,87692,560,2699,40,3880,8600,8002,1552,755,1441,32,3089,585,103,26,331,6,4,31,14,23,10,538,273,27,3,61,19,7,70,17,28,0,9,1,15,3,4,0,1,0,0,0,53,12,3,26,1,2,0,3,1,0,4,0,1,0,0,0,4,4,0,0,0,0,0,3,3,186758,7797,178961,172881,81850,87164,345,2675,30,817,6080,5650,1512,687,1427,27,1090,558,97,26,178,4,3,4,13,21,3,386,245,24,2,32,19,7,7,16,12,0,9,1,6,3,3,0,0,0,0,0,38,11,3,14,1,2,0,3,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,3,3,107185,93437,13748,1399,468,10,26,402,30,931,597,0,334
PLST,MI,610,U6,00,000,0021942,610U600US26004,26004,2,3,26,01779789,004,122330960,331658,4,State Senate District 4,N,235802,109831,+42.3157710,-083.1274048,LU,26004,235802,217358,86876,107967,1602,1827,94,18992,18444,17326,3135,2297,634,48,9279,778,155,39,657,15,3,215,12,37,22,1017,464,57,14,155,28,6,169,34,35,8,15,1,12,12,7,0,0,0,0,0,93,22,10,38,5,3,0,2,9,0,3,0,0,0,1,0,4,0,4,0,0,0,0,4,4,235802,36430,199372,190792,80303,106977,617,1765,72,1058,8580,7871,2894,1982,589,42,1107,740,149,36,276,15,1,16,9,14,1,650,410,45,10,64,28,4,10,28,15,3,14,1,4,11,3,0,0,0,0,0,52,19,9,8,4,2,0,2,5,0,3,0,0,0,0,0,3,0,3,0,0,0,0,4,4,180199,167945,70413,82371,1218,1519,82,12342,12254,11550,1617,1741,391,24,6374,622,88,20,447,6,2,167,12,24,15,651,310,30,12,94,10,1,109,27,19,5,12,1,8,9,4,0,0,0,0,0,45,11,6,16,2,3,0,1,5,0,1,0,0,0,0,0,4,0,4,0,0,0,0,4,4,180199,23478,156721,150981,66385,81831,522,1471,63,709,5740,5262,1530,1569,370,21,830,597,87,20,206,6,0,10,9,6,1,440,284,24,9,46,10,1,7,22,11,3,11,1,2,8,1,0,0,0,0,0,31,11,6,4,1,2,0,1,5,0,1,0,0,0,0,0,3,0,3,0,0,0,0,4,4,109831,93551,16280,2077,837,368,12,457,0,1240,374,0,866
PLST,MI,610,U6,00,000,0021943,610U600US26005,26005,2,3,26,01779789,005,132994011,30443,5,State Senate District 5,N,266365,112205,+42.3613300,-083.2774790,LU,26005,266365,252705,102823,143515,871,2179,45,3272,13660,12478,3922,2053,1066,53,3383,1060,219,33,541,22,8,68,17,27,6,1075,605,74,9,113,41,9,109,21,22,5,17,2,24,14,10,0,0,0,0,0,100,35,9,39,4,4,0,2,3,0,3,0,0,0,1,0,5,3,1,0,1,0,0,2,2,266365,8213,258152,247571,100790,142566,717,2156,36,1306,10581,9708,3753,1905,1041,53,1257,1018,216,29,361,17,8,13,16,17,4,817,546,64,9,59,33,8,13,21,8,0,16,2,15,14,9,0,0,0,0,0,51,23,2,14,3,2,0,2,2,0,3,0,0,0,0,0,3,1,1,0,1,0,0,2,2,203828,194972,82542,107537,731,1798,31,2333,8856,8122,1917,1567,702,37,2417,803,152,23,395,15,3,54,16,15,6,662,373,32,6,68,22,5,78,16,14,2,9,0,21,10,6,0,0,0,0,0,65,26,3,25,4,1,0,1,3,0,2,0,0,0,0,0,5,3,1,0,1,0,0,2,2,203828,5441,198387,191530,81200,106991,610,1781,25,923,6857,6301,1863,1481,694,37,929,780,150,21,288,11,3,12,15,13,4,509,337,26,6,43,22,5,12,16,6,0,8,0,13,10,5,0,0,0,0,0,42,21,2,10,3,1,0,1,2,0,2,0,0,0,0,0,3,1,1,0,1,0,0,2,2,112205,103881,8324,1613,918,5,125,788,0,695,10,0,685
PLST,MI,610,U6,00,000,0021944,610U600US26006,26006,2,3,26,01779789,006,561514156,30749923,6,State Senate District 6,N,276664,119509,+42.1851272,-083.3775361,LU,26006,276664,255743,181993,59000,1233,8409,82,5026,20921,19617,4737,4994,1303,82,7156,518,170,33,450,35,0,59,19,50,11,1179,573,98,15,132,29,3,157,45,64,3,17,0,24,7,5,4,1,0,0,2,113,38,13,44,1,2,0,1,1,0,10,0,2,1,0,0,11,5,5,0,1,0,0,1,1,276664,15315,261349,246392,177540,58374,884,8361,66,1167,14957,14057,4468,4781,1238,77,2435,488,158,32,287,34,0,11,18,25,5,820,492,87,15,71,26,2,5,40,38,0,15,0,18,7,3,0,1,0,0,0,69,28,11,14,1,2,0,1,1,0,10,0,0,1,0,0,10,4,5,0,1,0,0,1,1,217734,204227,149152,43715,969,6627,60,3704,13507,12759,1865,3855,716,59,5290,414,95,19,321,24,0,43,14,35,9,662,352,34,10,60,17,1,88,27,33,3,8,0,14,6,5,3,1,0,0,0,74,27,5,28,0,2,0,1,1,0,8,0,2,0,0,0,11,5,5,0,1,0,0,1,1,217734,10250,207484,197931,146368,43380,699,6588,51,845,9553,9009,1783,3724,696,57,1968,394,91,18,216,24,0,7,13,13,5,481,317,32,10,34,15,1,5,22,21,0,6,0,8,6,3,0,1,0,0,0,52,24,5,11,0,2,0,1,1,0,8,0,0,0,0,0,10,4,5,0,1,0,0,1,1,119509,113833,5676,2368,1347,0,18,1165,164,1021,0,0,1021
PLST,MI,610,U6,00,000,0021945,610U600US26007,26007,2,3,26,01779789,007,293181742,1803398,7,State Senate District 7,N,283766,117485,+42.3619413,-083.4473752,LU,26007,283766,266584,211913,21070,698,29964,43,2896,17182,16290,2431,3187,2858,67,6918,230,134,13,262,27,1,66,24,58,14,816,286,61,9,112,49,2,159,29,50,8,12,5,17,10,7,0,0,0,0,0,70,24,6,26,1,0,1,4,3,0,4,0,0,0,1,0,6,4,2,0,0,0,0,0,0,283766,10532,273234,261533,209191,20797,507,29889,31,1118,11701,11167,2279,3067,2812,64,2396,201,126,9,115,22,0,11,24,41,0,483,236,52,7,37,47,0,14,29,20,1,11,5,10,9,5,0,0,0,0,0,47,22,5,11,1,0,1,3,1,0,3,0,0,0,0,0,4,3,1,0,0,0,0,0,0,225553,214846,173458,16064,552,22626,30,2116,10707,10171,1012,2433,1206,44,4930,138,83,8,185,21,1,47,16,35,12,479,162,35,5,49,28,0,127,15,15,6,12,3,10,6,6,0,0,0,0,0,52,14,3,23,1,0,1,4,2,0,4,0,0,0,0,0,5,4,1,0,0,0,0,0,0,225553,7217,218336,211358,171678,15909,412,22579,22,758,6978,6662,955,2352,1186,43,1764,120,80,7,84,18,0,9,16,28,0,278,137,29,5,17,26,0,12,15,8,0,11,3,6,5,4,0,0,0,0,0,35,14,3,9,1,0,1,3,1,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,117485,112938,4547,2259,1426,0,0,1419,7,833,74,0,759
PLST,MI,610,U6,00,000,0021946,610U600US26008,26008,2,3,26,01779789,008,625516328,47945309,8,State Senate District 8,N,282379,122690,+42.7850014,-083.0084700,LU,26008,282379,265991,237955,18273,714,5533,48,3468,16388,15585,2678,3883,1921,70,6363,222,101,9,182,16,0,49,40,48,3,747,281,71,5,86,63,6,124,40,51,3,14,0,1,2,0,0,0,0,0,0,53,18,2,21,0,6,1,0,1,0,0,0,1,0,3,0,1,0,1,0,0,0,0,2,2,282379,9923,272456,260532,235544,18046,547,5472,42,881,11924,11380,2551,3747,1864,67,2661,200,101,9,90,15,0,6,40,29,0,515,251,70,5,39,57,4,14,40,19,0,14,0,0,2,0,0,0,0,0,0,27,17,2,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,227952,217675,196115,14000,592,4490,38,2440,10277,9850,1074,2859,974,46,4462,139,60,5,126,13,0,39,22,30,1,402,150,27,1,36,27,1,79,33,36,1,10,0,0,1,0,0,0,0,0,0,22,4,0,12,0,3,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,2,227952,6546,221406,214026,194588,13859,462,4450,32,635,7380,7085,1031,2771,952,44,1966,130,60,5,71,13,0,4,22,16,0,283,141,27,1,22,25,1,9,33,13,0,10,0,0,1,0,0,0,0,0,0,10,3,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,122690,116973,5717,3835,3301,1881,25,1353,42,534,0,0,534
PLST,MI,610,U6,00,000,0021947,610U600US26009,26009,2,3,26,01779789,009,165720621,367229,9,State Senate District 9,N,278511,118978,+42.5057966,-082.9854938,LU,26009,278511,261543,173371,67389,882,17125,74,2702,16968,15950,4812,4062,1530,78,4214,498,201,19,329,26,2,39,42,91,7,953,408,92,9,132,60,4,128,46,52,4,6,0,4,5,0,0,3,0,0,0,58,15,7,24,1,6,1,0,0,0,0,0,1,0,3,0,7,2,4,0,1,0,0,0,0,278511,7436,271075,257149,171153,66921,722,17068,57,1228,13926,13186,4615,3840,1483,73,2143,485,200,19,186,26,0,3,42,71,0,711,379,89,9,72,53,3,21,45,27,1,6,0,1,5,0,0,0,0,0,0,28,13,6,8,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,219325,208866,145894,47835,738,12439,66,1894,10459,9890,1899,3126,881,51,3106,373,91,15,199,23,2,32,32,55,5,534,242,26,2,75,31,0,95,23,25,4,3,0,1,4,0,0,3,0,0,0,31,5,7,16,1,1,0,0,0,0,0,0,0,0,1,0,4,1,2,0,1,0,0,0,0,219325,5008,214317,205831,144391,47578,618,12400,49,795,8486,8070,1839,2990,855,47,1648,366,90,15,116,23,0,3,32,46,0,396,227,26,2,45,29,0,21,22,15,1,3,0,1,4,0,0,0,0,0,0,19,4,6,8,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,118978,112585,6393,2047,1504,0,0,1437,67,543,0,0,543
PLST,MI,610,U6,00,000,0021948,610U600US26010,26010,2,3,26,01779789,010,238280959,1744837,10,State Senate District 10,N,292704,116733,+42.6210528,-082.9654137,LU,26010,292704,277772,235753,23394,541,15612,59,2413,14932,14217,2284,2833,2638,105,5642,213,117,11,209,18,2,39,42,64,0,676,272,65,3,94,43,3,98,38,40,5,10,0,3,1,1,0,0,0,0,0,38,9,4,19,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,292704,8054,284650,273568,233617,23155,424,15556,46,770,11082,10600,2173,2699,2600,96,2494,187,115,11,111,18,0,4,40,52,0,459,232,61,3,41,41,3,5,34,21,5,10,0,1,1,1,0,0,0,0,0,22,9,4,5,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232106,222682,190574,17565,405,12351,50,1737,9424,9031,971,2100,1482,58,3929,162,75,6,129,14,0,28,31,46,0,370,143,31,2,46,25,1,61,26,20,4,8,0,1,1,1,0,0,0,0,0,22,6,2,9,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232106,5406,226700,219804,189203,17420,311,12314,37,519,6896,6626,935,2029,1468,53,1759,148,73,6,71,14,0,3,29,38,0,252,121,31,2,17,24,1,4,22,15,4,8,0,1,1,1,0,0,0,0,0,17,6,2,5,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,116733,113052,3681,1397,964,0,11,953,0,433,0,0,433
