FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,MN,620,L6,00,000,0023089,620L600US2701A,2701A,2,4,27,00662849,01A,12059171138,128916279,01A,State House District 1A,N,38675,18835,+48.5929369,-096.2798364,LL,2701A,38675,36813,35049,278,452,542,19,473,1862,1747,166,677,141,10,668,18,8,4,15,6,0,15,12,7,0,94,30,11,2,6,14,7,18,5,0,0,0,0,0,0,1,0,0,0,0,0,14,2,0,7,1,4,0,0,0,0,0,0,0,0,0,0,5,1,3,1,0,0,0,2,2,38675,1278,37397,35995,34642,269,400,541,19,124,1402,1326,145,648,140,10,323,18,6,4,9,6,0,0,12,5,0,66,28,5,2,2,14,7,2,5,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,29781,28718,27481,190,293,392,16,346,1063,993,68,408,25,0,445,11,2,0,5,6,0,10,6,7,0,58,14,9,2,5,13,7,2,5,0,0,0,0,0,0,1,0,0,0,0,0,9,2,0,3,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,29781,772,29009,28201,27262,184,265,391,16,83,808,755,60,400,24,0,240,11,0,0,3,6,0,0,6,5,0,48,14,3,2,2,13,7,1,5,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18835,16601,2234,552,364,51,0,313,0,188,110,0,78
PLST,MN,620,L6,00,000,0023090,620L600US2701B,2701B,2,4,27,00662849,01B,7536072923,72376284,01B,State House District 1B,N,39022,18128,+47.8397693,-096.2775411,LL,2701B,39022,36963,34507,998,560,179,12,707,2059,1948,160,737,143,21,818,7,3,1,17,4,3,6,18,10,0,94,16,18,1,14,4,2,24,11,0,0,1,0,0,0,1,0,0,2,0,0,17,1,2,5,0,1,0,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,39022,2206,36816,35505,33768,979,472,175,10,101,1311,1234,153,687,140,16,202,4,2,1,0,4,2,0,18,5,0,70,16,18,1,9,4,2,9,9,0,0,1,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29454,28309,26670,629,381,142,2,485,1145,1088,44,452,68,2,473,3,2,1,16,4,2,2,18,1,0,46,3,10,1,6,0,1,14,7,0,0,1,0,0,0,1,0,0,2,0,0,11,1,2,5,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,29454,1274,28180,27436,26273,623,335,138,2,65,744,707,43,435,68,2,129,3,2,1,0,4,2,0,18,0,0,36,3,10,1,5,0,1,7,7,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18128,15685,2443,1359,662,134,9,519,0,697,392,0,305
PLST,MN,620,L6,00,000,0023091,620L600US2702A,2702A,2,4,27,00662849,02A,12561206499,2686541808,02A,State House District 2A,N,40238,22917,+48.1670901,-095.0109425,LL,2702A,40238,38056,31017,105,6608,121,19,186,2182,2038,167,1124,122,4,525,41,8,0,10,17,3,5,10,2,0,126,46,3,0,22,27,1,8,8,1,1,1,0,3,1,0,0,2,0,0,2,12,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,40238,606,39632,37683,30847,87,6495,119,18,117,1949,1839,155,1083,120,3,408,29,7,0,6,13,3,1,10,1,0,99,42,3,0,9,26,1,3,8,0,1,1,0,0,1,0,0,2,0,0,2,6,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,30035,28843,24479,66,4055,99,5,139,1192,1132,64,629,39,2,349,20,4,0,10,3,3,3,5,1,0,46,19,3,0,5,4,1,3,3,0,1,0,0,2,1,0,0,2,0,0,2,10,0,0,3,0,2,0,5,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,30035,305,29730,28646,24382,57,4013,97,5,92,1084,1036,56,624,38,1,281,16,3,0,6,3,3,0,5,0,0,39,17,3,0,4,4,1,1,3,0,1,0,0,0,1,0,0,2,0,0,2,6,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,22917,15708,7209,381,327,106,7,214,0,54,0,0,54
PLST,MN,620,L6,00,000,0023092,620L600US2702B,2702B,2,4,27,00662849,02B,6773140344,447878668,02B,State House District 2B,N,41480,23081,+47.0633587,-095.5315491,LL,2702B,41480,38599,33126,156,4907,104,13,293,2881,2758,133,1909,94,10,533,44,4,3,1,7,4,10,6,0,0,109,52,1,6,0,7,3,17,2,2,0,6,0,4,3,0,0,1,1,0,4,9,1,0,4,0,1,0,1,0,0,2,0,0,0,0,0,5,4,1,0,0,0,0,0,0,41480,831,40649,38052,32914,147,4793,99,7,92,2597,2509,133,1860,90,9,358,35,4,3,1,6,4,0,6,0,0,80,48,1,6,0,7,3,2,2,0,0,4,0,0,3,0,0,0,0,0,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,30859,29160,25741,92,3045,81,11,190,1699,1644,54,1154,60,1,335,24,0,0,0,3,4,7,2,0,0,47,23,1,2,0,2,0,4,2,2,0,3,0,4,0,0,0,0,0,0,4,4,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,30859,440,30419,28887,25639,91,2999,78,7,73,1532,1489,54,1125,57,1,228,16,0,0,0,2,4,0,2,0,0,36,22,1,2,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,23081,16328,6753,530,339,33,0,291,15,191,0,0,191
PLST,MN,620,L6,00,000,0023093,620L600US2703A,2703A,2,4,27,00662849,03A,24527082856,8103715334,03A,State House District 3A,N,38441,31955,+47.8955141,-091.9706951,LL,2703A,38441,36643,34412,232,1577,183,19,220,1798,1708,131,821,93,8,579,17,4,4,23,7,0,13,5,3,0,74,20,9,8,2,4,3,11,6,5,0,0,3,1,0,0,0,1,1,0,0,14,4,1,3,0,4,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,38441,557,37884,36349,34256,225,1543,176,17,132,1535,1479,112,807,91,7,420,15,3,4,5,7,0,3,5,0,0,49,16,9,8,0,4,3,0,6,1,0,0,0,1,0,0,0,1,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,32051,30857,29183,209,1126,155,9,175,1194,1150,68,575,43,6,422,7,4,0,16,2,0,2,4,1,0,39,9,5,3,1,1,1,7,3,4,0,0,3,0,0,0,0,1,1,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,32051,340,31711,30684,29102,204,1113,154,7,104,1027,1003,51,574,41,6,312,6,3,0,3,2,0,1,4,0,0,22,7,5,3,0,1,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,31955,18119,13836,756,356,8,0,348,0,400,283,0,117
PLST,MN,620,L6,00,000,0023094,620L600US2703B,2703B,2,4,27,00662849,03B,813545867,219246888,03B,State House District 3B,N,40507,16746,+46.8995728,-092.0027255,LL,2703B,40507,38585,37205,408,319,455,5,193,1922,1841,180,639,213,23,731,14,5,2,13,7,3,4,4,3,0,73,25,10,9,5,3,0,6,6,9,0,0,0,0,0,0,0,0,0,0,0,7,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,40507,580,39927,38235,36979,405,303,455,5,88,1692,1628,179,632,208,23,544,12,5,2,8,6,3,0,4,2,0,57,24,10,9,1,3,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32163,30936,29850,330,247,363,5,141,1227,1192,79,460,103,12,496,12,5,2,9,6,2,0,4,2,0,33,12,1,5,3,2,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32163,385,31778,30676,29683,327,234,363,5,64,1102,1073,79,458,101,12,387,12,5,2,4,5,2,0,4,2,0,27,11,1,5,1,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16746,15612,1134,2395,1244,552,59,633,0,1151,731,0,420
PLST,MN,620,L6,00,000,0023095,620L600US2704A,2704A,2,4,27,00662849,04A,126398889,18637,04A,State House District 4A,N,45043,18539,+46.9124321,-096.7256055,LL,2704A,45043,42200,36824,2998,939,721,16,702,2843,2703,440,843,324,14,974,49,4,0,19,4,1,12,8,4,7,123,50,4,0,10,7,12,20,11,8,0,0,0,0,0,1,0,0,0,0,0,16,0,0,7,5,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,45043,2390,42653,40634,36008,2951,855,706,14,100,2019,1931,414,748,316,14,368,45,4,0,7,4,1,0,8,0,2,77,42,4,0,1,7,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,5,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,34132,32496,28966,1808,616,594,15,497,1636,1581,185,511,183,14,624,20,1,0,12,4,1,12,8,4,2,48,18,0,0,5,6,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34132,1416,32716,31517,28510,1783,556,589,13,66,1199,1158,176,485,177,14,266,20,1,0,4,4,1,0,8,0,2,39,18,0,0,1,6,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18539,17239,1300,2864,449,76,45,327,1,2415,2195,0,220
PLST,MN,620,L6,00,000,0023096,620L600US2704B,2704B,2,4,27,00662849,04B,5095884845,108843845,04B,State House District 4B,N,42360,20934,+47.0712212,-096.4165099,LL,2704B,42360,39932,38180,345,822,192,17,376,2428,2309,188,1205,145,14,695,33,2,0,7,3,0,8,3,1,5,97,37,0,0,6,10,0,23,11,2,0,1,0,0,5,0,0,1,0,0,1,18,3,0,7,0,0,0,5,0,0,2,1,0,0,0,0,4,4,0,0,0,0,0,0,0,42360,1226,41134,39170,37751,338,769,186,8,118,1964,1890,181,1164,145,14,346,32,2,0,2,1,0,0,3,0,0,66,33,0,0,2,10,0,3,11,2,0,1,0,0,3,0,0,0,0,0,1,8,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31996,30684,29528,213,531,149,14,249,1312,1260,61,665,63,7,438,6,0,0,6,3,0,3,3,0,5,43,17,0,0,5,3,0,7,5,2,0,1,0,0,1,0,0,1,0,0,1,5,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,31996,664,31332,30274,29311,209,519,145,8,82,1058,1024,60,658,63,7,225,6,0,0,1,1,0,0,3,0,0,31,14,0,0,2,3,0,2,5,2,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20934,17286,3648,737,423,55,0,368,0,314,0,0,314
PLST,MN,620,L6,00,000,0023097,620L600US2705A,2705A,2,4,27,00662849,05A,4731949874,1178672202,05A,State House District 5A,N,41031,22990,+47.4087060,-094.1470811,LL,2705A,41031,38375,29504,525,7813,270,10,253,2656,2510,168,1491,152,8,528,95,2,2,5,25,7,19,2,6,0,143,74,10,2,9,16,7,5,7,4,2,0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41031,1014,40017,37686,29199,504,7604,259,7,113,2331,2211,161,1437,152,3,338,81,2,1,2,24,6,2,2,0,0,119,71,10,2,8,9,7,1,7,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31957,30352,24694,423,4797,230,8,200,1605,1551,65,907,84,3,430,31,1,1,4,10,0,10,2,3,0,52,17,8,2,1,4,7,3,0,2,1,0,0,0,3,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31957,685,31272,29895,24487,407,4693,220,5,83,1377,1336,63,880,84,3,271,20,1,0,2,10,0,0,2,0,0,41,17,8,2,1,1,7,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22990,16518,6472,2000,519,80,58,357,24,1481,1049,0,432
PLST,MN,620,L6,00,000,0023098,620L600US2705B,2705B,2,4,27,00662849,05B,3745213913,434707824,05B,State House District 5B,N,40213,25475,+47.1003623,-093.8580147,LL,2705B,40213,38030,36829,162,663,162,5,209,2183,2082,161,1077,158,17,634,7,10,0,5,0,4,3,3,3,0,98,33,1,3,4,16,5,16,4,9,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,40213,529,39684,37734,36653,160,624,162,0,135,1950,1888,151,1064,150,13,482,7,10,0,2,0,3,0,3,3,0,61,26,1,0,2,16,5,2,4,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,31876,30571,29767,108,425,125,0,146,1305,1242,45,649,76,7,445,5,2,0,4,0,3,3,3,0,0,61,19,1,3,2,5,3,12,3,6,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,31876,319,31557,30390,29665,106,401,125,0,93,1167,1133,42,641,76,7,352,5,2,0,2,0,3,0,3,0,0,34,14,1,0,2,5,3,1,3,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25475,17059,8416,971,597,49,53,477,18,374,116,0,258
