FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,MN,610,U6,00,000,0018028,610U600US27001,27001,2,4,27,00662849,001,19595244061,201292563,01,State Senate District 1,N,77697,36963,+48.3068276,-096.2705328,LU,27001,77697,73776,69556,1276,1012,721,31,1180,3921,3695,326,1414,284,31,1486,25,11,5,32,10,3,21,30,17,0,188,46,29,3,20,18,9,42,16,0,0,1,0,0,0,2,0,0,2,0,0,31,3,2,12,1,5,0,3,0,0,0,0,3,0,2,0,5,1,3,1,0,0,0,2,2,77697,3484,74213,71500,68410,1248,872,716,29,225,2713,2560,298,1335,280,26,525,22,8,5,9,10,2,0,30,10,0,136,44,23,3,11,18,9,11,14,0,0,1,0,0,0,2,0,0,0,0,0,16,0,0,5,1,4,0,3,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,59235,57027,54151,819,674,534,18,831,2208,2081,112,860,93,2,918,14,4,1,21,10,2,12,24,8,0,104,17,19,3,11,13,8,16,12,0,0,1,0,0,0,2,0,0,2,0,0,20,3,2,8,0,4,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,2,2,59235,2046,57189,55637,53535,807,600,529,18,148,1552,1462,103,835,92,2,369,14,2,1,3,10,2,0,24,5,0,84,17,13,3,7,13,8,8,12,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,36963,32286,4677,1911,1026,185,9,832,0,885,502,0,383
PLST,MN,610,U6,00,000,0018029,610U600US27002,27002,2,4,27,00662849,002,19334346843,3134420476,02,State Senate District 2,N,81718,45998,+47.7765851,-095.1526380,LU,27002,81718,76655,64143,261,11515,225,32,479,5063,4796,300,3033,216,14,1058,85,12,3,11,24,7,15,16,2,0,235,98,4,6,22,34,4,25,10,3,1,7,0,7,4,0,0,3,1,0,6,21,1,0,7,0,5,0,6,0,0,2,0,0,0,0,0,11,10,1,0,0,0,0,0,0,81718,1437,80281,75735,63761,234,11288,218,25,209,4546,4348,288,2943,210,12,766,64,11,3,7,19,7,1,16,1,0,179,90,4,6,9,33,4,5,10,0,1,5,0,0,4,0,0,2,0,0,6,9,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,60894,58003,50220,158,7100,180,16,329,2891,2776,118,1783,99,3,684,44,4,0,10,6,7,10,7,1,0,93,42,4,2,5,6,1,7,5,2,1,3,0,6,1,0,0,2,0,0,6,14,1,0,5,0,2,0,6,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,60894,745,60149,57533,50021,148,7012,175,12,165,2616,2525,110,1749,95,2,509,32,3,0,6,5,7,0,7,0,0,75,39,4,2,4,6,1,1,5,0,1,3,0,0,1,0,0,2,0,0,6,9,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,45998,32036,13962,911,666,139,7,505,15,245,0,0,245
PLST,MN,610,U6,00,000,0018030,610U600US27003,27003,2,4,27,00662849,003,25340628723,8322962222,03,State Senate District 3,N,78948,48701,+47.8530365,-091.9620353,LU,27003,78948,75228,71617,640,1896,638,24,413,3720,3549,311,1460,306,31,1310,31,9,6,36,14,3,17,9,6,0,147,45,19,17,7,7,3,17,12,14,0,0,3,1,0,0,0,1,1,0,0,21,6,1,7,0,5,0,0,0,1,1,0,0,0,0,0,3,1,2,0,0,0,0,0,0,78948,1137,77811,74584,71235,630,1846,631,22,220,3227,3107,291,1439,299,30,964,27,8,6,13,13,3,3,9,2,0,106,40,19,17,1,7,3,2,12,3,0,0,0,1,0,0,0,1,0,0,0,11,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,64214,61793,59033,539,1373,518,14,316,2421,2342,147,1035,146,18,918,19,9,2,25,8,2,2,8,3,0,72,21,6,8,4,3,1,10,6,8,0,0,3,0,0,0,0,1,1,0,0,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,64214,725,63489,61360,58785,531,1347,517,12,168,2129,2076,130,1032,142,18,699,18,8,2,7,7,2,1,8,2,0,49,18,6,8,1,3,1,2,6,3,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,48701,33731,14970,3151,1600,560,59,981,0,1551,1014,0,537
PLST,MN,610,U6,00,000,0018031,610U600US27004,27004,2,4,27,00662849,004,5222283734,108862482,04,State Senate District 4,N,87403,39473,+47.0712555,-096.4472779,LU,27004,87403,82132,75004,3343,1761,913,33,1078,5271,5012,628,2048,469,28,1669,82,6,0,26,7,1,20,11,5,12,220,87,4,0,16,17,12,43,22,10,0,1,0,0,5,1,0,1,0,0,1,34,3,0,14,5,0,0,8,0,0,2,1,0,0,1,0,5,5,0,0,0,0,0,0,0,87403,3616,83787,79804,73759,3289,1624,892,22,218,3983,3821,595,1912,461,28,714,77,6,0,9,5,1,0,11,0,2,143,75,4,0,3,17,12,3,22,2,0,1,0,0,3,0,0,0,0,0,1,18,3,0,2,5,0,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,66128,63180,58494,2021,1147,743,29,746,2948,2841,246,1176,246,21,1062,26,1,0,18,7,1,15,11,4,7,91,35,0,0,10,9,12,12,7,2,0,1,0,0,1,0,0,1,0,0,1,12,0,0,7,0,0,0,3,0,0,0,1,0,0,1,0,4,4,0,0,0,0,0,0,0,66128,2080,64048,61791,57821,1992,1075,734,21,148,2257,2182,236,1143,240,21,491,26,1,0,5,5,1,0,11,0,2,70,32,0,0,3,9,12,2,7,2,0,1,0,0,1,0,0,0,0,0,1,5,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39473,34525,4948,3601,872,131,45,695,1,2729,2195,0,534
PLST,MN,610,U6,00,000,0018032,610U600US27005,27005,2,4,27,00662849,005,8477163787,1613380026,05,State Senate District 5,N,81244,48465,+47.2784504,-094.0937742,LU,27005,81244,76405,66333,687,8476,432,15,462,4839,4592,329,2568,310,25,1162,102,12,2,10,25,11,22,5,9,0,241,107,11,5,13,32,12,21,11,13,2,2,1,3,3,0,4,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,2,0,0,0,1,0,0,81244,1543,79701,75420,65852,664,8228,421,7,248,4281,4099,312,2501,302,16,820,88,12,1,4,24,9,2,5,3,0,180,97,11,2,10,25,12,3,11,1,1,2,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,63833,60923,54461,531,5222,355,8,346,2910,2793,110,1556,160,10,875,36,3,1,8,10,3,13,5,3,0,113,36,9,5,3,9,10,15,3,8,1,2,1,3,3,0,4,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,63833,1004,62829,60285,54152,513,5094,345,5,176,2544,2469,105,1521,160,10,623,25,3,0,4,10,3,0,5,0,0,75,31,9,2,3,6,10,2,3,1,1,2,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48465,33577,14888,2971,1116,129,111,834,42,1855,1165,0,690
PLST,MN,610,U6,00,000,0018033,610U600US27006,27006,2,4,27,00662849,006,10400336105,393866867,06,State Senate District 6,N,77524,44548,+47.4055713,-092.7859127,LU,27006,77524,73778,71540,691,952,264,20,311,3746,3585,535,1648,255,19,1015,53,6,0,8,14,5,6,16,3,2,147,71,8,4,16,10,1,18,7,5,1,2,0,0,0,0,2,2,0,0,0,13,4,3,1,0,2,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,77524,1051,76473,73153,71128,674,903,260,19,169,3320,3199,519,1595,241,18,733,50,5,0,6,9,5,1,16,1,0,115,71,7,3,4,9,1,6,7,3,1,1,0,0,0,0,0,2,0,0,0,6,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62151,59967,58245,517,725,231,14,235,2184,2110,172,1060,117,11,686,25,6,0,7,4,3,3,15,1,0,67,26,2,1,10,2,1,13,5,1,1,1,0,0,0,0,2,2,0,0,0,6,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,62151,621,61530,59564,58000,505,697,227,14,121,1966,1917,170,1032,108,11,538,23,5,0,6,4,3,1,15,1,0,48,26,2,0,4,2,1,4,5,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44548,34940,9608,1659,859,177,0,682,0,800,185,0,615
PLST,MN,610,U6,00,000,0018034,610U600US27007,27007,2,4,27,00662849,007,144817488,326543408,07,State Senate District 7,N,79658,37135,+46.8390701,-092.0023206,LU,27007,79658,74389,67458,2936,2136,1178,38,643,5269,4924,934,1993,557,51,1174,113,9,3,26,11,3,27,15,4,4,326,190,5,1,31,20,7,41,15,5,3,2,0,0,1,0,1,4,0,0,0,15,10,1,2,0,2,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,79658,1916,77742,73156,66817,2848,2009,1169,32,281,4586,4331,907,1912,540,51,746,110,8,3,18,6,3,9,15,1,2,242,172,5,1,5,17,7,8,15,3,2,2,0,0,1,0,0,4,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,65161,61905,56609,2202,1559,1014,25,496,3256,3102,380,1387,295,31,873,51,9,3,24,6,2,25,13,1,2,143,70,0,0,12,8,4,28,9,3,3,0,0,0,1,0,1,4,0,0,0,9,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,65161,1314,63847,61052,56176,2143,1495,1005,24,209,2795,2676,362,1346,286,31,539,51,8,3,17,6,2,9,13,1,2,112,70,0,0,5,8,4,7,9,2,2,0,0,0,1,0,0,4,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37135,34588,2547,4640,783,30,121,622,10,3857,2168,0,1689
PLST,MN,610,U6,00,000,0018035,610U600US27008,27008,2,4,27,00662849,008,5502276217,732186266,08,State Senate District 8,N,84550,50004,+46.3420876,-095.6848574,LU,27008,84550,81119,77813,1052,423,507,26,1298,3431,3267,399,972,310,40,1478,10,4,2,18,3,0,17,7,4,3,140,61,3,2,10,7,0,45,5,3,0,0,0,3,0,1,0,0,0,0,0,22,8,3,5,6,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,84550,2846,81704,79177,77072,1029,359,506,26,185,2527,2434,374,906,310,38,771,8,4,2,7,3,0,0,7,4,0,74,46,3,2,0,6,0,13,3,0,0,0,0,0,0,1,0,0,0,0,0,18,7,0,5,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,66349,64397,62172,621,318,387,26,873,1952,1869,130,605,136,28,932,2,1,2,6,3,0,14,5,4,1,78,28,2,2,6,2,0,27,4,3,0,0,0,3,0,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66349,1702,64647,63183,61780,605,261,386,26,125,1464,1424,122,584,136,28,538,0,1,2,1,3,0,0,5,4,0,36,15,2,2,0,1,0,13,2,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50004,35871,14133,2017,1217,80,11,1109,17,800,144,0,656
PLST,MN,610,U6,00,000,0018036,610U600US27009,27009,2,4,27,00662849,009,7710834800,237108477,09,State Senate District 9,N,80712,40374,+46.2042486,-094.6288729,LU,27009,80712,77674,74807,457,340,287,98,1685,3038,2924,346,919,180,14,1293,19,5,4,117,4,1,21,1,0,0,94,49,2,0,16,2,3,5,2,9,3,1,0,0,0,0,0,1,1,0,0,8,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,10,2,4,2,0,2,0,2,2,80712,3216,77496,75399,74164,411,288,267,86,183,2097,2027,328,868,175,10,607,19,5,4,6,3,1,0,1,0,0,61,41,1,0,5,2,3,1,1,5,0,0,0,0,0,0,0,1,1,0,0,7,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,61324,59564,57685,272,234,217,64,1092,1760,1706,100,588,69,3,812,11,4,3,94,3,0,18,1,0,0,44,28,1,0,4,0,3,1,1,3,0,1,0,0,0,0,0,1,1,0,0,5,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,1,1,61324,1899,59425,58190,57348,241,201,208,57,135,1235,1197,90,568,69,3,445,11,4,3,0,3,0,0,1,0,0,33,25,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40374,32371,8003,1218,603,28,18,557,0,615,0,0,615
PLST,MN,610,U6,00,000,0018037,610U600US27010,27010,2,4,27,00662849,010,7304102851,859088964,10,State Senate District 10,N,81820,55512,+46.5641443,-093.6489304,LU,27010,81820,78509,76124,481,1058,370,20,456,3311,3163,426,1116,309,35,1228,14,0,2,16,2,0,4,4,5,2,139,43,6,0,15,7,2,28,20,12,2,0,1,0,0,0,0,2,0,0,1,8,0,2,3,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,81820,1132,80688,77826,75731,441,999,370,20,265,2862,2769,418,1073,301,32,913,13,0,0,6,2,0,1,4,4,2,90,41,3,0,7,7,0,9,18,4,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,65037,63060,61457,300,680,292,15,316,1977,1905,146,721,141,21,851,3,0,0,10,0,0,4,4,4,0,66,20,0,0,7,3,0,18,7,9,0,0,1,0,0,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,65037,669,64368,62642,61224,283,647,292,15,181,1726,1678,143,705,139,18,662,2,0,0,0,0,0,1,4,4,0,46,19,0,0,3,3,0,9,7,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,55512,35071,20441,1607,1034,137,19,857,21,573,0,0,573
