FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,MO,620,L6,00,000,0020415,620L600US29001,29001,2,4,29,01779791,001,5577723818,30053730,1,State House District 1,N,32742,15712,+40.3384885,-095.0432562,LL,29001,32742,31504,30374,396,108,419,7,200,1238,1166,135,518,106,4,351,4,3,0,16,2,5,2,3,14,3,61,10,2,11,0,7,2,15,5,3,3,0,1,1,0,0,0,0,0,0,1,6,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,32742,592,32150,31119,30152,389,90,403,7,78,1031,996,128,518,105,2,218,0,3,0,3,0,5,0,3,9,2,31,9,0,3,0,7,2,1,5,2,1,0,0,0,0,0,0,0,0,0,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26049,25242,24300,349,68,369,0,156,807,772,61,387,49,0,254,1,1,0,6,0,5,2,1,4,1,28,2,2,2,0,4,2,4,5,2,2,0,1,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,26049,409,25640,24945,24136,343,55,358,0,53,695,676,59,387,48,0,169,0,1,0,3,0,5,0,1,3,0,17,1,0,1,0,4,2,1,5,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15712,13382,2330,2149,900,485,1,412,2,1249,1062,0,187
PLST,MO,620,L6,00,000,0020416,620L600US29002,29002,2,4,29,01779791,002,5694292740,37320310,2,State House District 2,N,33778,15327,+40.1313837,-094.1646546,LL,29002,33778,32487,31313,757,116,94,20,187,1291,1227,118,661,58,11,338,0,3,4,7,1,0,8,7,11,0,56,10,0,0,3,5,3,10,9,5,5,1,0,1,1,0,0,3,0,0,0,4,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,33778,598,33180,32045,31046,750,93,90,16,50,1135,1097,109,648,58,11,246,0,3,2,4,0,0,2,6,8,0,33,6,0,0,3,4,3,3,9,1,0,1,0,0,1,0,0,2,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,26013,25188,24146,716,106,78,15,127,825,794,53,445,22,6,240,0,3,2,7,0,0,6,7,3,0,25,6,0,0,1,2,2,8,3,0,0,0,0,1,0,0,0,2,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,26013,376,25637,24892,23966,710,89,76,11,40,745,722,45,445,22,6,186,0,3,2,4,0,0,0,6,3,0,19,6,0,0,1,2,2,3,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15327,12923,2404,2322,2176,1820,0,344,12,146,0,0,146
PLST,MO,620,L6,00,000,0020417,620L600US29003,29003,2,4,29,01779791,003,4862805565,21609376,3,State House District 3,N,35070,17232,+40.3429500,-093.1261543,LL,29003,35070,33302,30050,1494,157,707,11,883,1768,1629,214,509,148,4,689,10,13,3,9,0,6,10,6,8,0,121,28,15,8,2,19,4,14,11,11,0,1,0,2,2,2,0,0,0,0,2,18,3,0,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35070,1933,33137,31931,29605,1479,74,697,11,65,1206,1098,210,493,148,3,203,9,13,3,5,0,2,0,6,3,0,100,26,13,8,0,18,4,6,10,10,0,0,0,2,1,2,0,0,0,0,0,8,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28139,26895,24426,1062,132,633,8,634,1244,1164,107,413,105,3,494,7,11,1,8,0,2,10,1,2,0,66,19,8,0,2,10,3,7,2,7,0,1,0,2,1,2,0,0,0,0,2,14,3,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28139,1348,26791,25917,24125,1057,62,623,8,42,874,814,107,403,105,2,169,7,11,1,4,0,2,0,1,2,0,52,19,6,0,0,9,3,1,2,7,0,0,0,2,1,2,0,0,0,0,0,8,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17232,14180,3052,2873,480,50,20,395,15,2393,2332,0,61
PLST,MO,620,L6,00,000,0020418,620L600US29004,29004,2,4,29,01779791,004,6646849587,52628021,4,State House District 4,N,33620,15435,+40.2822473,-092.0701751,LL,29004,33620,32545,31977,246,64,94,8,156,1075,996,183,506,40,4,198,12,7,5,5,3,0,13,4,16,0,64,18,1,0,4,17,2,6,1,12,0,0,0,0,0,0,0,0,0,0,3,12,1,4,2,0,0,0,2,0,0,0,0,1,2,0,0,3,3,0,0,0,0,0,0,0,33620,369,33251,32283,31855,237,56,89,5,41,968,907,182,495,40,4,130,12,7,5,4,3,0,6,4,15,0,51,13,1,0,4,17,1,3,1,8,0,0,0,0,0,0,0,0,0,0,3,10,0,4,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25408,24694,24272,175,48,84,3,112,714,678,69,385,28,4,151,7,7,0,2,3,0,11,4,7,0,24,7,1,0,1,3,1,6,1,1,0,0,0,0,0,0,0,0,0,0,3,9,0,4,2,0,0,0,0,0,0,0,0,1,2,0,0,3,3,0,0,0,0,0,0,0,25408,248,25160,24521,24187,173,47,79,3,32,639,611,69,375,28,4,100,7,7,0,1,3,0,6,4,7,0,20,7,1,0,1,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,3,8,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15435,13131,2304,1273,370,17,2,351,0,903,837,0,66
PLST,MO,620,L6,00,000,0020419,620L600US29005,29005,2,4,29,01779791,005,2654489591,23789277,5,State House District 5,N,37159,17015,+39.7887010,-091.8724279,LL,29005,37159,35181,33075,1515,137,186,18,250,1978,1880,524,695,122,21,466,13,4,1,16,3,0,3,9,3,0,79,41,1,7,9,4,3,5,3,4,0,0,2,0,0,0,0,0,0,0,0,18,0,1,6,7,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,37159,714,36445,34716,32815,1497,99,178,17,110,1729,1641,519,678,117,21,256,13,4,1,15,3,0,2,9,3,0,74,41,1,7,7,4,3,5,2,2,0,0,2,0,0,0,0,0,0,0,0,13,0,1,1,7,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,28401,27252,25742,1094,95,139,18,164,1149,1110,160,534,47,16,319,13,0,0,8,0,0,3,8,2,0,38,21,0,0,3,4,0,5,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28401,452,27949,26957,25586,1081,75,135,17,63,992,955,159,517,43,16,187,13,0,0,8,0,0,2,8,2,0,36,21,0,0,2,4,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17015,15022,1993,1341,749,123,57,551,18,592,410,0,182
PLST,MO,620,L6,00,000,0020420,620L600US29006,29006,2,4,29,01779791,006,3123170254,43063402,6,State House District 6,N,35944,17419,+39.7570314,-092.5852263,LL,29006,35944,33806,32150,1119,127,160,15,235,2138,2020,552,790,123,4,509,3,5,4,9,2,0,10,4,4,1,100,35,3,2,4,0,1,25,2,20,0,0,0,3,0,4,0,0,0,0,1,17,1,1,8,0,0,0,0,3,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,35944,758,35186,33364,31867,1099,111,160,15,112,1822,1755,545,757,111,4,309,0,5,4,9,2,0,0,4,4,1,57,24,3,1,4,0,1,7,0,13,0,0,0,0,0,4,0,0,0,0,0,9,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,27560,26300,25002,887,95,127,15,174,1260,1199,162,596,54,0,370,1,4,0,0,0,0,7,4,0,1,51,21,0,1,0,0,1,15,0,6,0,0,0,3,0,4,0,0,0,0,0,9,0,1,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,27560,469,27091,26028,24838,880,84,127,15,84,1063,1028,155,575,49,0,240,0,4,0,0,0,0,0,4,0,1,29,18,0,1,0,0,1,5,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17419,14952,2467,633,449,0,0,434,15,184,97,0,87
PLST,MO,620,L6,00,000,0020421,620L600US29007,29007,2,4,29,01779791,007,3800273532,36644871,7,State House District 7,N,33603,15782,+39.9132560,-093.4166614,LL,29007,33603,32316,31365,432,115,163,14,227,1287,1204,205,542,94,11,319,8,5,4,5,5,3,2,0,0,1,71,18,1,0,7,10,2,21,3,5,2,0,0,2,0,0,0,0,0,0,0,11,3,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,33603,712,32891,31820,31066,425,107,157,14,51,1071,1024,200,521,89,7,181,8,4,3,2,5,3,1,0,0,0,38,18,1,0,0,7,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0,9,3,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25886,25056,24291,368,99,130,10,158,830,788,75,412,37,3,237,6,5,3,0,5,3,1,0,0,1,34,6,0,0,0,7,0,15,1,1,2,0,0,2,0,0,0,0,0,0,0,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,25886,403,25483,24765,24135,361,91,127,10,41,718,692,71,403,37,3,157,6,4,3,0,5,3,0,0,0,0,21,6,0,0,0,7,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15782,13422,2360,1911,1771,1137,11,606,17,140,64,0,76
PLST,MO,620,L6,00,000,0020422,620L600US29008,29008,2,4,29,01779791,008,2376517495,20799484,8,State House District 8,N,36796,15749,+39.6213180,-094.1889998,LL,29008,36796,34780,33936,304,145,130,21,244,2016,1921,228,874,139,22,604,4,2,0,16,4,0,14,4,10,0,92,37,1,6,9,9,4,15,0,5,4,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36796,846,35950,34293,33629,292,131,129,17,95,1657,1591,205,851,138,22,349,2,2,0,13,1,0,4,2,2,0,64,31,1,0,6,9,4,4,0,5,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28119,26803,26164,246,120,99,18,156,1316,1260,66,653,75,4,423,2,2,0,11,3,0,13,4,4,0,53,14,1,6,2,9,4,9,0,5,1,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28119,519,27600,26503,25985,242,107,99,14,56,1097,1059,61,639,74,4,261,2,2,0,9,0,0,3,2,2,0,36,14,1,0,0,9,4,0,0,5,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15749,14149,1600,758,731,111,34,584,2,27,0,0,27
PLST,MO,620,L6,00,000,0020423,620L600US29009,29009,2,4,29,01779791,009,1456022157,14357618,9,State House District 9,N,39101,16603,+39.9290487,-094.7795628,LL,29009,39101,36870,34048,1476,118,679,169,380,2231,2157,413,684,130,11,812,9,10,0,28,3,0,6,49,0,2,65,28,9,3,5,6,4,3,0,0,0,3,1,3,0,0,0,0,0,0,0,9,1,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39101,1425,37676,36046,33594,1425,92,673,166,96,1630,1577,399,650,128,11,307,5,10,0,16,1,0,0,49,0,1,48,27,9,2,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30419,28996,26927,1081,112,499,109,268,1423,1386,172,503,62,8,573,6,10,0,12,2,0,6,31,0,1,28,9,9,0,0,2,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,9,1,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30419,909,29510,28462,26662,1055,87,493,107,58,1048,1023,165,495,62,8,239,5,10,0,7,1,0,0,31,0,0,20,8,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16603,15556,1047,1563,453,0,48,405,0,1110,1049,0,61
PLST,MO,620,L6,00,000,0020424,620L600US29010,29010,2,4,29,01779791,010,52564430,1787873,10,State House District 10,N,33161,15434,+39.7846814,-094.8587571,LL,29010,33161,30303,26300,2321,221,334,191,936,2858,2705,757,764,124,25,898,28,13,2,61,3,0,19,9,1,1,146,66,1,3,27,6,1,24,7,0,6,0,1,3,0,1,0,0,0,0,0,7,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33161,2541,30620,28576,25543,2258,146,330,186,113,2044,1946,720,713,115,25,290,26,13,2,30,1,0,1,9,0,1,94,64,1,2,12,5,1,0,7,0,0,0,1,0,0,1,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25724,24060,21044,1841,174,242,125,634,1664,1578,241,572,47,6,623,26,8,0,30,1,0,16,8,0,0,81,33,1,2,13,4,0,19,7,0,0,0,1,0,0,1,0,0,0,0,0,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25724,1645,24079,22933,20571,1805,126,240,123,68,1146,1088,230,546,43,6,205,26,8,0,15,1,0,0,8,0,0,54,33,1,1,6,4,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15434,12982,2452,2331,2057,1782,15,167,93,274,0,0,274
