FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,MO,610,U6,00,000,0016768,610U600US29001,29001,2,4,29,01779791,001,143678638,7260311,1,State Senate District 1,N,184444,82564,+38.5160123,-090.3292078,LU,29001,184444,173004,156460,8487,414,5700,43,1900,11440,10878,1897,2747,1488,52,4280,98,63,6,150,11,6,25,17,33,5,504,152,47,0,60,39,6,115,46,20,4,5,0,7,2,1,0,0,0,0,0,51,17,0,26,2,1,0,2,3,0,0,0,0,0,0,0,7,4,2,0,0,1,0,0,0,184444,6092,178352,170000,154953,8398,276,5650,41,682,8352,7998,1829,2634,1461,51,1754,81,57,4,71,11,6,1,17,19,2,325,142,42,0,23,33,6,15,45,7,1,4,0,4,2,1,0,0,0,0,0,24,15,0,7,2,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,146772,139696,127317,6320,325,4419,37,1278,7076,6762,660,2098,787,38,2943,54,27,3,87,9,6,17,15,16,2,274,93,12,0,27,16,1,69,31,13,2,4,0,6,0,0,0,0,0,0,0,34,7,0,23,2,1,0,1,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,146772,4050,142722,137621,126287,6277,220,4388,35,414,5101,4904,634,2032,770,37,1279,48,22,2,38,9,6,1,15,9,2,178,86,11,0,17,11,1,9,30,7,0,3,0,3,0,0,0,0,0,0,0,14,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,82564,78617,3947,2422,1301,0,96,1185,20,1121,759,0,362
PLST,MO,610,U6,00,000,0016769,610U600US29002,29002,2,4,29,01779791,002,959349339,27981164,2,State Senate District 2,N,217782,82517,+38.7507409,-090.8034045,LU,29002,217782,203770,184509,9946,496,5826,146,2847,14012,13366,2363,3910,1632,90,4914,117,74,0,144,14,4,44,29,27,4,581,205,49,4,63,59,4,95,46,37,0,7,5,3,1,0,3,0,0,0,0,52,11,0,36,0,0,0,1,2,0,2,0,0,0,0,0,13,7,6,0,0,0,0,0,0,217782,7980,209802,199308,182565,9837,350,5790,132,634,10494,10070,2272,3808,1584,87,1984,114,74,0,78,14,4,2,28,20,1,398,183,47,4,30,54,4,2,46,13,0,7,5,0,0,0,3,0,0,0,0,20,8,0,9,0,0,0,1,0,0,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,161471,153326,139596,7089,358,4274,92,1917,8145,7868,782,2796,727,63,3213,89,33,0,78,6,4,33,21,19,4,235,88,12,1,16,19,0,55,22,12,0,1,5,3,1,0,0,0,0,0,0,29,3,0,22,0,0,0,0,2,0,2,0,0,0,0,0,13,7,6,0,0,0,0,0,0,161471,4945,156526,150486,138467,7032,267,4245,87,388,6040,5869,766,2741,711,61,1384,86,33,0,39,6,4,2,21,14,1,154,81,11,1,10,15,0,1,22,7,0,1,5,0,0,0,0,0,0,0,0,11,3,0,6,0,0,0,0,0,0,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,82517,79621,2896,1109,674,0,20,644,10,435,189,0,246
PLST,MO,610,U6,00,000,0016770,610U600US29003,29003,2,4,29,01779791,003,8846710818,61290785,3,State Senate District 3,N,172553,75587,+37.7400459,-090.6894509,LU,29003,172553,163590,157330,4070,592,700,32,866,8963,8668,880,4515,422,40,2684,7,16,4,38,6,7,7,32,5,5,261,91,17,7,9,42,4,43,19,13,2,0,2,3,0,0,4,0,4,0,1,32,10,3,5,0,4,0,3,3,0,3,0,0,0,0,1,2,2,0,0,0,0,0,0,0,172553,2672,169881,161942,156238,4034,550,688,32,400,7939,7736,859,4412,417,39,1916,7,13,4,30,6,1,1,29,2,0,183,82,16,2,7,42,3,4,18,1,1,0,2,1,0,0,4,0,0,0,0,20,10,3,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135188,128929,123569,3712,495,548,18,587,6259,6097,307,3475,204,23,2001,7,8,1,24,4,6,6,29,0,2,143,52,10,0,1,24,2,34,5,1,2,0,2,1,0,0,4,0,4,0,1,19,6,0,0,0,3,0,3,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,135188,1776,133412,127790,122832,3692,458,541,18,249,5622,5508,294,3410,204,22,1514,7,5,1,18,4,0,0,29,0,0,101,49,10,0,1,24,1,4,4,0,1,0,2,1,0,0,4,0,0,0,0,13,6,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75587,65321,10266,10178,9013,6683,132,1815,383,1165,621,0,544
PLST,MO,610,U6,00,000,0016771,610U600US29004,29004,2,4,29,01779791,004,91609684,3914742,4,State Senate District 4,N,166629,93902,+38.6399125,-090.2794462,LU,29004,166629,156588,97774,48711,445,6941,56,2661,10041,9375,1982,1544,1403,53,3400,412,163,19,274,22,0,37,30,34,2,597,232,50,5,99,22,2,105,28,29,0,6,0,17,1,1,0,0,0,0,0,58,9,0,35,6,3,0,4,1,0,0,0,0,0,0,0,10,4,4,0,0,1,1,1,1,166629,6703,159926,152791,96288,48439,305,6896,52,811,7135,6701,1929,1475,1355,52,1056,394,162,16,192,18,0,2,27,23,0,394,220,50,4,32,18,2,11,28,10,0,5,0,12,1,1,0,0,0,0,0,33,8,0,14,6,2,0,3,0,0,0,0,0,0,0,0,7,2,4,0,0,0,1,0,0,138208,131237,84940,37915,365,6007,49,1961,6971,6522,1045,1279,836,41,2627,299,96,13,199,15,0,26,23,21,2,394,169,15,3,55,18,0,75,24,10,0,6,0,17,1,1,0,0,0,0,0,48,8,0,30,3,3,0,3,1,0,0,0,0,0,0,0,6,4,1,0,0,0,1,1,1,138208,4924,133284,128414,83792,37740,259,5975,46,602,4870,4566,1028,1233,809,40,871,286,95,12,140,14,0,2,22,14,0,271,162,15,2,21,14,0,7,24,7,0,5,0,12,1,1,0,0,0,0,0,29,8,0,13,3,2,0,3,0,0,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,93902,81722,12180,2928,908,0,60,616,232,2020,964,0,1056
PLST,MO,610,U6,00,000,0016772,610U600US29005,29005,2,4,29,01779791,005,87741515,7648466,5,State Senate District 5,N,170041,98392,+38.6289053,-090.2271308,LU,29005,170041,159420,62559,83221,588,7547,55,5450,10621,9786,2566,1363,1182,41,3210,648,174,9,439,7,0,55,24,65,3,754,320,78,3,120,25,1,81,37,50,0,9,0,17,5,5,0,0,0,0,3,61,20,0,29,5,0,0,3,1,0,0,1,2,0,0,0,15,7,8,0,0,0,0,5,5,170041,10021,160020,152439,60804,82646,362,7499,44,1084,7581,6952,2471,1289,1161,36,831,632,171,9,265,6,0,5,22,54,0,568,286,77,3,66,25,1,8,35,34,0,7,0,13,5,5,0,0,0,0,3,46,20,0,15,5,0,0,3,0,0,0,1,2,0,0,0,15,7,8,0,0,0,0,0,0,138056,130550,56633,62813,472,6701,40,3891,7506,6926,1402,1151,813,31,2445,529,96,7,326,6,0,43,23,51,3,517,213,48,2,65,10,0,74,35,35,0,8,0,14,5,5,0,0,0,0,3,47,17,0,22,3,0,0,3,0,0,0,0,2,0,0,0,13,7,6,0,0,0,0,3,3,138056,7242,130814,125482,55276,62419,284,6659,34,810,5332,4876,1361,1097,803,26,692,515,95,7,202,5,0,5,22,46,0,405,201,47,2,45,10,0,6,35,30,0,6,0,10,5,5,0,0,0,0,3,38,17,0,13,3,0,0,3,0,0,0,0,2,0,0,0,13,7,6,0,0,0,0,0,0,98392,80577,17815,8847,2228,1213,70,893,52,6619,4683,0,1936
PLST,MO,610,U6,00,000,0016773,610U600US29006,29006,2,4,29,01779791,006,9448662327,133245332,6,State Senate District 6,N,174980,85309,+38.3943165,-092.2106141,LU,29006,174980,165568,153045,8718,679,1213,150,1763,9412,8971,1553,3708,513,91,2783,83,31,5,115,0,0,31,26,14,18,387,119,46,2,35,36,4,76,24,16,8,3,2,8,5,0,0,1,0,0,2,46,7,13,3,8,1,0,11,1,0,1,1,0,0,0,0,8,5,1,0,0,0,2,0,0,174980,4885,170095,162516,151557,8631,528,1193,123,484,7579,7304,1496,3623,499,83,1374,73,28,5,66,0,0,12,23,11,11,235,98,40,2,11,34,1,14,24,3,0,1,2,0,5,0,0,0,0,0,0,34,3,12,1,6,0,0,11,0,0,0,1,0,0,0,0,6,3,1,0,0,0,2,0,0,135345,129414,120297,6369,528,948,111,1161,5931,5693,458,2763,258,40,1956,68,13,1,62,0,0,27,24,9,14,208,56,15,0,14,27,3,49,19,7,0,1,2,8,5,0,0,0,0,0,2,28,5,7,3,2,1,0,8,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,135345,3124,132221,127425,119355,6331,415,939,92,293,4796,4636,437,2717,251,35,1043,61,11,1,33,0,0,8,23,9,7,140,55,14,0,10,27,0,6,19,1,0,1,2,0,5,0,0,0,0,0,0,18,1,7,1,0,0,0,8,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,85309,69420,15889,6936,5880,4326,42,1478,34,1056,851,0,205
PLST,MO,610,U6,00,000,0016774,610U600US29007,29007,2,4,29,01779791,007,234519380,5790670,7,State Senate District 7,N,185688,97242,+38.9205134,-094.5251357,LU,29007,185688,170100,119743,37483,985,5314,193,6382,15588,14497,2791,2756,1601,115,5902,594,111,33,377,6,3,92,61,45,10,998,372,79,11,169,48,8,182,40,42,4,10,1,15,8,4,1,2,2,0,0,78,33,2,29,6,3,3,1,0,0,0,0,0,1,0,0,14,8,6,0,0,0,0,1,1,185688,16255,169433,159648,115831,37005,565,5241,179,827,9785,9108,2660,2521,1563,103,1282,560,111,24,192,6,1,5,56,23,1,615,328,71,11,65,40,8,18,36,7,0,10,1,8,8,4,0,0,0,0,0,53,28,2,13,6,1,3,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0,0,1,1,152270,141665,103025,28352,792,4652,124,4720,10605,9934,1348,2177,1016,52,4431,421,72,13,246,5,2,67,50,28,6,606,242,29,4,87,23,2,122,34,29,2,7,1,10,8,2,0,2,2,0,0,51,19,0,27,4,1,0,0,0,0,0,0,0,0,0,0,13,8,5,0,0,0,0,1,1,152270,11901,140369,133854,100031,28076,463,4604,115,565,6515,6078,1313,2039,1001,50,987,408,72,9,129,5,0,4,45,15,1,394,217,29,4,51,18,2,14,30,6,0,7,1,5,8,2,0,0,0,0,0,35,19,0,11,4,1,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,0,1,1,97242,87593,9649,4533,2989,1481,139,1124,245,1544,1017,0,527
PLST,MO,610,U6,00,000,0016775,610U600US29008,29008,2,4,29,01779791,008,651288390,13502450,8,State Senate District 8,N,185724,73534,+38.9601945,-094.2502316,LU,29008,185724,170129,150426,12344,812,3050,308,3189,15595,14614,2687,4314,1386,240,5295,225,95,30,216,9,3,48,46,15,5,914,290,76,27,138,81,3,156,58,45,10,4,1,15,2,7,1,0,0,0,0,63,20,0,36,3,1,0,2,1,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,1,185724,10420,175304,164019,147409,12105,613,3003,296,593,11285,10687,2559,4094,1354,221,1960,200,92,30,107,9,3,7,43,8,0,566,255,70,20,40,77,3,19,56,8,0,4,1,5,2,6,0,0,0,0,0,30,17,0,8,2,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,138573,129595,115749,8554,627,2298,215,2152,8978,8506,844,3139,645,96,3365,144,63,12,118,7,2,36,21,10,4,436,144,16,10,71,39,3,88,27,17,1,3,1,9,1,5,1,0,0,0,0,32,12,0,17,2,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,1,138573,6228,132345,125823,114057,8421,495,2280,209,361,6522,6222,814,3008,630,92,1367,134,62,12,65,7,2,6,18,5,0,284,133,16,8,32,38,3,12,26,3,0,3,1,4,1,4,0,0,0,0,0,14,11,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,73534,69856,3678,1059,793,0,24,768,1,266,0,0,266
PLST,MO,610,U6,00,000,0016776,610U600US29009,29009,2,4,29,01779791,009,199795154,1187729,9,State Senate District 9,N,170721,81728,+39.0103208,-094.5081884,LU,29009,170721,155756,47697,89333,1206,3656,261,13603,14965,13694,3307,1660,551,103,5760,1237,179,73,577,18,6,124,36,52,11,1186,589,100,26,164,48,5,149,27,21,13,3,4,29,5,2,1,0,0,0,0,76,23,4,31,7,4,0,4,3,0,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,170721,24352,146369,137803,43834,88546,679,3602,241,901,8566,7699,3137,1484,500,90,646,1196,169,69,311,18,5,11,30,33,0,818,518,86,17,71,44,5,16,26,4,2,3,4,15,5,2,0,0,0,0,0,42,21,4,8,7,0,0,2,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,128678,119121,40289,66031,947,2714,203,8937,9557,8882,1590,1366,348,62,3908,950,103,31,349,13,6,95,29,27,5,623,342,28,5,69,12,4,108,14,8,4,3,4,16,5,1,0,0,0,0,0,45,14,0,23,3,0,0,2,3,0,0,0,0,0,0,0,7,2,5,0,0,0,0,0,0,128678,15640,113038,107511,37890,65586,563,2680,188,604,5527,5070,1553,1245,329,56,556,927,99,30,213,13,5,8,23,13,0,427,300,28,2,33,11,4,8,13,2,2,3,4,11,5,1,0,0,0,0,0,25,13,0,7,3,0,0,2,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,81728,69295,12433,3513,1020,15,96,891,18,2493,1174,0,1319
PLST,MO,610,U6,00,000,0016777,610U600US29010,29010,2,4,29,01779791,010,9753574482,178018587,10,State Senate District 10,N,184339,78025,+39.0644769,-091.6047648,LU,29010,184339,172970,163809,5396,701,810,72,2182,11369,10865,2056,4558,611,60,3324,62,24,3,81,13,3,27,20,6,17,448,149,20,10,45,32,3,112,40,18,3,5,0,4,2,2,1,2,0,0,0,42,8,1,23,2,0,1,2,3,0,1,0,1,0,0,0,14,1,10,1,2,0,0,0,0,184339,5025,179314,169715,162403,5315,567,795,65,570,9599,9281,2005,4441,596,60,1984,58,22,3,61,12,3,6,20,5,5,292,141,20,9,11,31,3,16,40,8,1,5,0,4,0,2,1,0,0,0,0,20,8,1,6,2,0,0,2,0,0,0,0,1,0,0,0,6,1,4,1,0,0,0,0,0,141013,134026,127229,4156,572,637,52,1380,6987,6754,559,3399,332,43,2242,50,20,3,37,12,0,25,19,4,9,191,78,0,2,14,15,1,58,6,10,2,2,0,1,0,1,1,0,0,0,0,28,7,1,16,2,0,0,0,1,0,0,0,1,0,0,0,14,1,10,1,2,0,0,0,0,141013,3086,137927,131970,126385,4114,469,626,45,331,5957,5809,559,3333,325,43,1415,46,18,3,28,12,0,5,19,3,0,125,73,0,1,6,15,1,14,6,4,0,2,0,1,0,1,1,0,0,0,0,17,7,1,6,2,0,0,0,0,0,0,0,1,0,0,0,6,1,4,1,0,0,0,0,0,78025,69605,8420,6550,4757,3035,57,1189,476,1793,1059,0,734
