FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,MS,620,L6,00,000,0008947,620L600US28001,28001,3,6,28,01779790,001,989113553,41706288,1,State House District 1,N,22350,11762,+34.8317455,-088.2845999,LL,28001,22350,21452,20434,691,61,104,4,158,898,873,154,412,40,5,239,9,2,0,10,0,0,1,1,0,0,24,9,4,0,1,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22350,436,21914,21156,20288,688,57,104,4,15,758,739,145,403,40,5,134,8,2,0,1,0,0,0,1,0,0,18,8,4,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17612,16996,16253,521,46,80,1,95,616,605,51,341,18,2,173,9,2,0,7,0,0,1,1,0,0,11,4,0,0,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17612,253,17359,16815,16165,521,42,80,1,6,544,538,51,337,18,2,118,8,2,0,1,0,0,0,1,0,0,6,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11762,9278,2484,327,269,55,0,214,0,58,0,0,58
PLST,MS,620,L6,00,000,0008948,620L600US28002,28002,3,6,28,01779790,002,536920879,2970358,2,State House District 2,N,21833,10342,+34.8998883,-088.6201045,LL,28002,21833,20992,16474,3719,79,100,13,607,841,809,255,280,42,0,185,16,6,0,15,0,0,6,3,1,0,30,15,2,0,7,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21833,981,20852,20172,16283,3700,41,99,13,36,680,660,241,274,40,0,77,15,6,0,3,0,0,0,3,1,0,20,14,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16832,16372,13117,2769,47,75,9,355,460,445,56,213,24,0,120,14,6,0,4,0,0,5,3,0,0,13,9,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16832,539,16293,15904,13011,2761,25,75,9,23,389,376,56,211,24,0,60,13,6,0,3,0,0,0,3,0,0,13,9,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10342,9164,1178,614,605,360,17,228,0,9,0,0,9
PLST,MS,620,L6,00,000,0008949,620L600US28003,28003,3,6,28,01779790,003,1043577959,7999069,3,State House District 3,N,22984,10017,+34.6611156,-088.4990688,LL,28003,22984,22239,19432,2479,62,79,7,180,745,726,247,296,10,0,131,9,0,0,17,2,0,6,2,0,6,17,4,4,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22984,392,22592,21938,19297,2459,57,79,7,39,654,640,242,294,10,0,65,7,0,0,11,2,0,3,2,0,4,14,4,4,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17855,17420,15248,1938,50,50,4,130,435,425,96,213,3,0,90,4,0,0,8,2,0,3,0,0,6,9,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17855,269,17586,17196,15149,1930,49,50,4,14,390,381,94,213,3,0,57,3,0,0,5,2,0,0,0,0,4,9,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017,8735,1282,1329,206,84,0,122,0,1123,1045,0,78
PLST,MS,620,L6,00,000,0008950,620L600US28004,28004,3,6,28,01779790,004,1313858169,5573611,4,State House District 4,N,22725,10307,+34.7773385,-088.8925560,LL,28004,22725,21971,17642,3489,45,26,0,769,754,724,261,196,15,0,202,15,3,3,20,0,0,4,0,5,0,25,16,0,0,0,2,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,22725,1135,21590,21011,17439,3472,22,25,0,53,579,557,253,196,15,0,63,13,3,0,14,0,0,0,0,0,0,17,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17414,17022,13825,2664,36,19,0,478,392,373,70,142,6,0,130,9,0,3,5,0,0,4,0,4,0,14,7,0,0,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17414,694,16720,16432,13703,2656,19,19,0,35,288,275,70,142,6,0,50,7,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10307,9163,1144,563,193,0,0,193,0,370,331,0,39
PLST,MS,620,L6,00,000,0008951,620L600US28005,28005,3,6,28,01779790,005,1309924204,32766523,5,State House District 5,N,21408,9486,+34.7336174,-089.4917681,LL,28005,21408,20787,7123,12998,53,49,14,550,621,585,220,147,12,5,134,29,5,3,18,0,0,0,12,0,0,28,16,0,0,0,0,0,5,1,3,0,0,0,3,0,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,21408,754,20654,20151,7021,12978,28,46,14,64,503,478,209,139,11,5,56,27,2,3,14,0,0,0,12,0,0,20,16,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17239,16832,5865,10502,48,40,13,364,407,381,115,103,6,5,95,29,5,3,12,0,0,0,8,0,0,24,15,0,0,0,0,0,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17239,495,16744,16405,5803,10487,28,37,13,37,339,321,114,101,6,5,46,27,2,3,9,0,0,0,8,0,0,18,15,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9486,7929,1557,1747,1119,1067,0,41,11,628,596,0,32
PLST,MS,620,L6,00,000,0008952,620L600US28006,28006,3,6,28,01779790,006,65836151,356079,6,State House District 6,N,30253,11520,+34.9557519,-089.8411534,LL,28006,30253,28734,16966,10359,82,581,22,724,1519,1454,312,380,144,9,498,35,29,1,29,0,0,6,4,5,2,56,14,5,0,5,8,0,14,4,4,0,0,0,1,1,0,0,0,0,0,0,7,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,30253,1330,28923,27829,16733,10320,56,574,22,124,1094,1054,297,376,140,9,142,34,29,1,16,0,0,0,4,4,2,35,14,5,0,3,8,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22742,21848,13452,7459,60,430,16,431,894,867,105,271,83,7,337,28,6,0,18,0,0,5,4,2,1,23,3,1,0,2,6,0,7,0,2,0,0,0,1,1,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22742,818,21924,21291,13310,7436,39,425,16,65,633,619,102,271,80,7,109,27,6,0,11,0,0,0,4,1,1,11,3,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11520,10897,623,45,45,0,0,45,0,0,0,0,0
PLST,MS,620,L6,00,000,0008953,620L600US28007,28007,3,6,28,01779790,007,53905530,334842,7,State House District 7,N,26444,10537,+34.9739911,-089.9406138,LL,28007,26444,25123,14969,8652,74,510,23,895,1321,1242,223,351,137,6,396,32,17,4,61,0,0,14,0,1,0,76,24,9,0,13,8,1,14,2,2,0,0,0,1,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,26444,1495,24949,24022,14742,8619,45,510,23,83,927,880,212,330,136,6,115,31,17,4,29,0,0,0,0,0,0,47,18,9,0,6,8,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20428,19635,12353,6223,61,409,18,571,793,757,74,259,78,2,277,19,8,1,26,0,0,12,0,1,0,36,12,1,0,4,3,1,11,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20428,951,19477,18927,12202,6212,37,409,18,49,550,530,69,245,77,2,86,18,8,1,24,0,0,0,0,0,0,20,12,1,0,1,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10537,10015,522,0,0,0,0,0,0,0,0,0,0
PLST,MS,620,L6,00,000,0008954,620L600US28008,28008,3,6,28,01779790,008,810042295,46348320,8,State House District 8,N,22912,9382,+34.6518505,-089.7839684,LL,28008,22912,22124,15761,5808,61,56,6,432,788,751,222,229,23,7,217,18,1,1,31,0,0,1,0,1,0,35,12,3,6,4,0,0,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,22912,678,22234,21601,15641,5780,47,51,5,77,633,603,212,218,23,7,103,18,0,1,21,0,0,0,0,0,0,28,12,3,6,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,17788,17306,12573,4346,54,46,5,282,482,456,85,176,11,3,142,10,1,1,26,0,0,0,0,1,0,24,10,0,1,3,0,0,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,17788,406,17382,16985,12508,4327,41,44,5,60,397,377,83,174,11,3,75,10,0,1,20,0,0,0,0,0,0,18,10,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,9382,8371,1011,1244,333,51,0,0,282,911,723,0,188
PLST,MS,620,L6,00,000,0008955,620L600US28009,28009,3,6,28,01779790,009,2563679409,106259359,9,State House District 9,N,19785,9381,+34.4923422,-090.3524061,LL,28009,19785,19354,5256,13754,28,56,3,257,431,407,199,56,17,1,63,29,8,3,25,3,0,3,0,0,0,11,4,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,8,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,19785,335,19450,19088,5223,13708,23,54,2,78,362,343,192,53,17,1,22,29,7,3,16,3,0,0,0,0,0,8,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,15077,14781,4506,10000,27,52,2,194,296,273,128,45,12,1,46,21,2,3,13,0,0,2,0,0,0,10,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,8,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,15077,240,14837,14591,4486,9970,22,51,2,60,246,228,121,45,12,1,16,21,1,3,8,0,0,0,0,0,0,7,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,9381,7818,1563,536,209,106,0,103,0,327,327,0,0
PLST,MS,620,L6,00,000,0008956,620L600US28010,28010,3,6,28,01779790,010,1387957384,90573621,10,State House District 10,N,27968,12836,+34.2778067,-089.8024897,LL,28010,27968,26950,19507,6756,59,228,9,391,1018,976,186,295,79,10,314,34,6,1,37,0,2,9,2,1,0,35,12,4,1,3,5,0,1,0,1,1,4,0,2,1,0,0,0,0,0,0,5,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,27968,853,27115,26388,19350,6708,49,227,8,46,727,694,186,278,74,10,82,34,6,1,19,0,0,1,2,1,0,28,12,4,1,1,5,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,21653,20987,15551,4978,34,171,7,246,666,640,81,234,42,4,214,22,6,0,26,0,2,9,0,0,0,22,12,2,1,0,0,0,0,0,1,0,4,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21653,554,21099,20626,15449,4946,28,170,6,27,473,452,81,222,40,4,64,22,6,0,12,0,0,1,0,0,0,18,12,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12836,11281,1555,225,221,65,0,156,0,4,0,0,4
