FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,MS,610,U6,00,000,0007245,610U600US28001,28001,3,6,28,01779790,001,856138532,48257896,1,State Senate District 1,N,70174,27562,+34.8468824,-090.0567288,LU,28001,70174,66803,49464,14246,193,1054,36,1810,3371,3218,464,1009,375,27,1159,57,33,6,57,0,0,8,5,17,1,140,49,12,1,19,11,1,19,17,3,1,1,0,3,2,0,0,1,0,0,0,11,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,70174,3339,66835,64418,48850,14172,111,1043,35,207,2417,2314,450,977,361,26,369,53,33,6,21,0,0,1,5,11,1,100,44,9,1,8,11,1,5,14,2,1,1,0,0,2,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52308,50208,37658,10402,153,796,18,1181,2100,2019,178,791,176,18,752,42,15,1,30,0,0,5,2,8,1,74,34,1,0,5,5,1,14,7,0,0,1,0,3,2,0,0,1,0,0,0,7,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52308,2057,50251,48694,37312,10347,91,789,17,138,1557,1498,170,778,175,18,279,38,15,1,15,0,0,1,2,5,1,56,30,1,0,4,5,1,4,7,0,0,1,0,0,2,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27562,25454,2108,588,558,416,69,73,0,30,0,0,30
PLST,MS,610,U6,00,000,0007246,610U600US28002,28002,3,6,28,01779790,002,106655534,1089458,2,State Senate District 2,N,61092,24166,+34.9693608,-090.0029997,LU,28002,61092,57905,28497,25497,183,795,57,2876,3187,3013,704,775,251,12,980,87,38,12,110,0,0,33,6,2,3,163,62,18,0,18,10,1,34,9,3,2,1,0,2,3,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,61092,4350,56742,54478,27924,25408,83,791,55,217,2264,2152,686,729,245,10,276,85,38,12,60,0,0,3,6,0,2,111,54,18,0,11,10,1,0,9,2,2,1,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45468,43568,23367,17577,127,646,43,1808,1900,1819,252,597,131,2,655,63,22,2,60,0,0,27,6,1,1,77,27,2,0,7,3,1,27,3,1,0,1,0,2,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45468,2715,42753,41411,23007,17527,61,644,41,131,1342,1300,244,569,129,2,219,61,22,2,43,0,0,3,6,0,0,42,25,2,0,4,3,1,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24166,22754,1412,275,265,0,0,265,0,10,0,0,10
PLST,MS,610,U6,00,000,0007247,610U600US28003,28003,3,6,28,01779790,003,2771116058,13761040,3,State Senate District 3,N,57884,26176,+34.5776932,-089.0810772,LU,28003,57884,55690,43046,10164,202,156,4,2118,2194,2065,568,591,81,9,670,39,4,7,55,6,0,28,0,7,0,104,39,4,1,12,3,0,23,1,5,0,6,1,5,0,4,0,0,0,0,0,15,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,57884,3146,54738,53118,42613,10112,69,148,4,172,1620,1544,563,568,77,9,239,39,4,7,34,4,0,0,0,0,0,73,34,4,1,8,1,0,9,1,5,0,6,1,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44018,42736,33496,7700,155,101,1,1283,1282,1196,195,440,43,3,411,35,2,4,29,2,0,26,0,6,0,68,29,4,1,6,2,0,13,1,0,0,6,1,5,0,0,0,0,0,0,0,8,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,44018,1859,42159,41189,33246,7674,62,98,1,108,970,912,190,430,41,3,180,35,2,4,25,2,0,0,0,0,0,55,24,4,1,6,0,0,9,1,0,0,6,1,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26176,22638,3538,515,465,114,73,278,0,50,0,0,50
PLST,MS,610,U6,00,000,0007248,610U600US28004,28004,3,6,28,01779790,004,2221865085,8930261,4,State Senate District 4,N,56555,26036,+34.8297603,-088.7568679,LU,28004,56555,54448,44798,7801,143,206,19,1481,2107,2033,623,694,84,0,519,39,9,3,41,0,0,11,4,6,0,67,37,2,0,9,7,0,6,1,1,0,0,0,2,2,0,0,0,0,0,0,6,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,56555,2366,54189,52514,44347,7763,81,204,19,100,1675,1623,593,680,82,0,202,35,9,0,17,0,0,0,4,1,0,47,35,0,0,4,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,43590,42417,35397,5874,98,150,10,888,1173,1134,156,527,42,0,341,29,6,3,12,0,0,10,4,4,0,32,18,0,0,4,0,0,4,1,1,0,0,0,2,2,0,0,0,0,0,0,6,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,43590,1370,42220,41267,35132,5858,58,150,10,59,953,923,156,523,42,0,164,25,6,0,3,0,0,0,4,0,0,25,18,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,26036,23156,2880,1248,822,360,17,445,0,426,331,0,95
PLST,MS,610,U6,00,000,0007249,610U600US28005,28005,3,6,28,01779790,005,2880546600,75313828,5,State Senate District 5,N,58680,27988,+34.5994936,-088.3691729,LU,28005,58680,56684,50829,4954,164,156,5,576,1996,1937,506,837,48,11,451,14,3,0,38,2,0,15,2,4,6,50,9,10,2,4,12,1,6,0,0,3,0,2,1,0,0,0,0,0,0,0,5,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,58680,1201,57479,55763,50449,4929,141,156,5,83,1716,1676,499,819,46,9,248,11,3,0,28,2,0,3,2,2,4,35,9,10,2,0,6,1,2,0,0,3,0,2,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,45960,44706,40193,3853,125,121,4,410,1254,1224,165,658,16,2,328,9,3,0,22,2,0,12,0,1,6,26,5,2,2,2,7,0,2,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,45960,803,45157,44069,39943,3844,114,121,4,43,1088,1066,163,645,15,2,208,8,3,0,15,2,0,0,0,1,4,20,5,2,2,0,4,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,27988,23137,4851,3035,762,160,10,592,0,2273,2170,0,103
PLST,MS,610,U6,00,000,0007250,610U600US28006,28006,3,6,28,01779790,006,940331929,7439977,6,State Senate District 6,N,62466,27413,+34.3664184,-088.6502252,LU,28006,62466,60250,46990,11325,115,841,17,962,2216,2077,481,683,157,8,623,53,9,1,45,4,2,2,0,6,3,132,64,10,0,12,0,0,26,7,0,0,5,0,0,0,5,0,0,3,0,0,7,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62466,1837,60629,58896,46577,11258,74,837,17,133,1733,1638,462,673,151,8,253,46,6,1,26,4,2,0,0,6,0,91,61,10,0,8,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47947,46610,37221,8066,86,633,9,595,1337,1255,163,529,73,8,413,34,4,1,17,4,1,2,0,3,3,75,40,0,0,9,0,0,16,6,0,0,1,0,0,0,0,0,0,3,0,0,7,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47947,1112,46835,45771,36979,8029,57,631,9,66,1064,1011,158,523,72,8,198,27,1,1,15,4,1,0,0,3,0,49,37,0,0,5,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27413,24760,2653,943,919,174,34,673,38,24,0,0,24
PLST,MS,610,U6,00,000,0007251,610U600US28007,28007,3,6,28,01779790,007,2066315584,19746496,7,State Senate District 7,N,51636,24699,+34.0125257,-088.5060978,LU,28007,51636,50128,29027,19966,134,151,9,841,1508,1414,456,379,86,0,378,73,5,1,23,2,0,11,0,0,0,86,52,4,0,11,0,0,7,3,1,0,5,1,1,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,1,0,0,0,0,51636,1382,50254,49040,28810,19895,86,150,9,90,1214,1137,446,370,83,0,145,66,5,1,19,2,0,0,0,0,0,71,46,4,0,10,0,0,0,3,1,0,5,1,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,39540,38593,23126,14727,91,120,4,525,947,889,238,297,44,0,242,44,4,1,9,2,0,8,0,0,0,50,38,0,0,3,0,0,2,1,0,0,3,1,1,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,1,0,0,0,0,39540,839,38701,37917,22998,14678,65,119,4,53,784,738,236,296,42,0,105,43,4,1,9,2,0,0,0,0,0,40,32,0,0,2,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,24699,21004,3695,593,469,96,0,357,16,124,0,0,124
PLST,MS,610,U6,00,000,0007252,610U600US28008,28008,3,6,28,01779790,008,4101028916,21601000,8,State Senate District 8,N,53112,25043,+33.9972380,-089.1770590,LU,28008,53112,51387,31927,17943,95,109,6,1307,1725,1635,547,484,65,3,381,64,9,4,43,8,0,15,3,6,3,81,35,4,2,12,0,0,14,1,3,1,0,0,6,0,2,0,0,1,0,0,6,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,1,53112,1978,51134,49730,31622,17876,58,106,5,63,1404,1337,534,469,63,3,147,62,9,4,30,8,0,4,1,3,0,58,35,4,2,6,0,0,5,1,0,1,0,0,3,0,0,0,0,1,0,0,6,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,1,41090,40037,25607,13485,80,88,4,773,1053,992,217,387,28,2,254,53,9,4,14,2,0,15,3,1,3,52,24,1,0,8,0,0,11,1,0,1,0,0,3,0,2,0,0,1,0,0,6,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,1,41090,1225,39865,39007,25420,13426,52,85,4,20,858,810,214,373,26,2,110,51,9,4,14,2,0,4,1,0,0,39,24,1,0,5,0,0,3,1,0,1,0,0,3,0,0,0,0,1,0,0,6,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,1,25043,21515,3528,1156,1048,491,14,543,0,108,0,0,108
PLST,MS,610,U6,00,000,0007253,610U600US28009,28009,3,6,28,01779790,009,2045114888,165313041,9,State Senate District 9,N,66851,33148,+34.3684101,-089.5551618,LU,28009,66851,64066,46189,14881,103,1732,25,1136,2785,2686,406,750,375,21,960,50,19,6,69,2,6,14,4,4,0,88,37,6,1,9,11,0,14,0,1,0,3,0,5,1,0,0,0,0,0,0,8,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,66851,2559,64292,62358,45608,14774,83,1732,24,137,1934,1864,394,706,371,19,244,49,19,6,40,2,4,3,4,3,0,62,36,6,1,3,9,0,1,0,0,0,3,0,2,1,0,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,54239,52255,38582,11361,68,1470,23,751,1984,1919,211,585,241,16,740,37,14,5,45,2,6,14,2,1,0,59,31,6,1,3,2,0,10,0,1,0,1,0,3,1,0,0,0,0,0,0,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,54239,1787,52452,51077,38137,11291,61,1470,22,96,1375,1327,206,565,240,14,211,36,14,5,25,2,4,3,2,0,0,43,30,6,1,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,33148,26671,6477,5920,666,194,0,472,0,5254,4989,0,265
PLST,MS,610,U6,00,000,0007254,610U600US28010,28010,3,6,28,01779790,010,2646278438,24799695,10,State Senate District 10,N,52188,21967,+34.7007946,-089.6826573,LU,28010,52188,50502,28659,20463,132,113,15,1120,1686,1599,542,413,50,19,421,62,13,5,57,0,0,4,12,1,0,74,26,9,7,5,0,0,7,12,3,0,0,0,3,2,0,0,0,0,0,0,9,5,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,2,52188,1659,50529,49153,28394,20412,89,103,13,142,1376,1305,521,392,50,19,198,61,3,5,44,0,0,0,12,0,0,61,26,9,7,4,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,8,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,41009,39951,23105,15900,119,92,11,724,1058,992,233,318,31,14,281,44,13,5,44,0,0,0,8,1,0,60,24,5,1,4,0,0,7,12,3,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,2,41009,1047,39962,39088,22953,15861,79,86,11,98,874,822,228,313,31,14,141,43,3,5,36,0,0,0,8,0,0,48,24,5,1,4,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,21967,19098,2869,3069,1452,1118,0,41,293,1617,1397,0,220
