FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,NM,620,L6,00,000,0007267,620L600US35001,35001,4,8,35,00897535,001,919094051,1492801,1,State House District 1,N,29381,12128,+36.8967345,-108.2675426,LL,35001,29381,25940,18228,263,5288,352,21,1788,3441,3283,132,939,134,30,1904,57,1,0,7,12,5,58,2,0,2,151,35,1,1,18,12,0,71,2,2,0,3,0,1,1,0,0,0,2,0,2,5,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,29381,6101,23280,21892,16256,209,4918,337,20,152,1388,1337,118,792,122,29,206,45,1,0,0,12,3,6,2,0,1,48,26,1,1,2,12,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,21893,19746,14329,172,3638,278,15,1314,2147,2072,52,579,58,17,1293,28,1,0,3,3,3,31,2,0,2,73,16,0,1,7,3,0,39,2,0,0,0,0,0,1,0,0,0,2,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21893,3922,17971,17131,13139,149,3455,267,14,107,840,816,48,514,53,17,145,26,1,0,0,3,1,5,2,0,1,24,13,0,1,2,3,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12128,10944,1184,258,147,16,19,112,0,111,0,0,111
PLST,NM,620,L6,00,000,0007268,620L600US35002,35002,4,8,35,00897535,002,115314031,1366953,2,State House District 2,N,27273,10764,+36.7249964,-108.1071926,LL,35002,27273,24337,11964,230,8747,180,17,3199,2936,2811,102,652,63,11,1806,53,0,0,23,9,5,79,4,1,3,113,28,2,0,3,10,0,55,0,1,1,0,0,4,0,0,1,1,1,0,6,9,0,3,2,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,27273,7699,19574,18700,9912,185,8295,172,17,119,874,838,90,491,48,10,135,45,0,0,2,9,3,0,4,0,1,33,13,2,0,1,7,0,1,0,0,0,0,0,1,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,19939,18081,9524,171,5911,151,15,2309,1858,1797,42,371,42,8,1228,39,0,0,10,8,2,40,4,1,2,54,11,0,0,1,3,0,29,0,1,1,0,0,0,0,0,0,1,1,0,6,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,19939,5103,14836,14279,8224,140,5670,146,15,84,557,541,41,302,36,8,107,35,0,0,0,8,0,0,4,0,0,15,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10764,9614,1150,733,559,365,9,185,0,174,0,0,174
PLST,NM,620,L6,00,000,0007269,620L600US35003,35003,4,8,35,00897535,003,2391205767,36208686,3,State House District 3,N,25710,11162,+36.7576383,-107.8029180,LL,35003,25710,22539,15537,95,4043,131,13,2720,3171,3019,93,641,87,7,2091,20,0,0,18,10,5,36,7,2,2,142,30,1,1,8,9,0,80,1,1,1,2,0,6,0,0,0,0,1,0,1,9,0,0,1,0,0,0,2,4,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,25710,7376,18334,17395,13297,65,3754,118,12,149,939,904,58,532,67,3,208,16,0,0,3,10,4,1,2,0,0,34,18,1,1,1,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19169,17078,12279,61,2633,119,13,1973,2091,2012,34,395,37,2,1489,9,0,0,11,6,1,22,2,2,2,74,11,1,1,1,6,0,51,0,0,1,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19169,4943,14226,13615,10827,51,2514,106,12,105,611,595,30,341,31,2,175,6,0,0,1,6,0,1,2,0,0,16,7,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11162,9792,1370,86,79,0,0,79,0,7,0,0,7
PLST,NM,620,L6,00,000,0007270,620L600US35004,35004,4,8,35,00897535,004,2489269830,6343860,4,State House District 4,N,28067,9428,+36.7839898,-108.7167473,LL,35004,28067,26761,4590,116,21112,208,17,718,1306,1212,61,467,39,4,452,85,1,1,3,23,22,51,1,2,0,90,27,1,0,8,6,0,33,8,0,0,0,0,1,0,0,0,6,0,0,0,4,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28067,2222,25845,25123,4033,88,20755,200,16,31,722,682,46,411,35,4,55,80,1,1,1,22,22,2,0,2,0,36,23,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20235,19473,3583,93,15113,146,8,530,762,721,28,281,32,2,286,40,1,1,1,10,12,25,0,2,0,40,11,1,0,2,1,0,11,8,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20235,1385,18850,18431,3237,79,14939,142,7,27,419,400,23,248,28,2,34,37,1,1,1,9,12,2,0,2,0,18,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9428,8612,816,224,4,4,0,0,0,220,186,0,34
PLST,NM,620,L6,00,000,0007271,620L600US35005,35005,4,8,35,00897535,005,7494341197,6965601,5,State House District 5,N,28922,10022,+36.0430174,-108.4499256,LL,35005,28922,27322,3081,143,22471,420,13,1194,1600,1503,49,447,45,0,668,122,1,0,10,26,10,113,7,3,2,85,16,3,0,6,9,0,40,0,4,2,0,0,0,1,0,0,1,3,0,0,9,0,0,1,0,0,2,2,1,0,2,0,0,1,0,0,2,0,2,0,0,0,0,1,1,28922,3272,25650,24997,2423,137,21933,418,13,73,653,620,39,353,42,0,26,112,1,0,3,25,9,3,7,0,0,28,15,1,0,1,7,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21122,20160,2451,123,16368,319,10,889,962,912,17,229,30,0,504,48,1,0,7,15,5,47,7,1,1,42,10,1,0,1,2,0,18,0,4,2,0,0,0,1,0,0,0,3,0,0,5,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,1,1,21122,2210,18912,18559,1983,119,16071,317,10,59,353,336,10,195,28,0,23,48,1,0,1,15,5,3,7,0,0,15,10,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10022,9035,987,486,280,176,9,78,17,206,52,0,154
PLST,NM,620,L6,00,000,0007272,620L600US35006,35006,4,8,35,00897535,006,10007311178,4223539,6,State House District 6,N,29411,10748,+35.0376179,-108.4769511,LL,35006,29411,27663,5152,135,20857,165,7,1347,1748,1652,28,368,31,5,1031,70,2,1,11,19,13,59,2,12,0,87,9,2,0,0,8,0,55,2,2,1,2,0,2,1,1,0,2,0,0,0,5,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,3,29411,4305,25106,24579,3868,122,20395,163,1,30,527,497,22,304,26,3,34,63,1,1,5,18,12,5,2,1,0,27,9,1,0,0,7,0,1,2,0,0,2,0,2,1,0,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21925,20698,4375,123,15040,131,7,1022,1227,1166,20,204,19,5,825,23,2,1,6,9,10,29,2,11,0,53,9,1,0,0,4,0,30,2,2,1,2,0,1,1,0,0,0,0,0,0,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,3,21925,3158,18767,18469,3429,111,14779,130,1,19,298,276,15,167,14,3,30,19,1,1,2,9,10,3,2,0,0,20,9,1,0,0,3,0,1,2,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10748,9312,1436,768,736,736,0,0,0,32,0,0,32
PLST,NM,620,L6,00,000,0007273,620L600US35007,35007,4,8,35,00897535,007,261723852,171190,7,State House District 7,N,27814,10744,+34.7507757,-106.6398031,LL,35007,27814,20667,13337,260,837,123,16,6094,7147,6956,84,431,118,9,6142,11,2,1,36,4,1,83,7,24,3,180,3,1,0,29,12,0,112,6,13,1,0,1,0,2,0,0,0,0,0,0,9,1,3,2,0,0,0,0,0,0,1,2,0,0,0,0,2,1,1,0,0,0,0,0,0,27814,18181,9633,8989,8036,195,507,75,9,167,644,608,68,260,77,3,167,7,2,1,8,3,1,3,7,0,1,31,2,0,0,6,6,0,2,6,5,1,0,1,0,2,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20780,15697,10411,186,556,97,16,4431,5083,4955,40,320,58,9,4406,11,2,0,17,4,0,61,7,19,1,121,2,0,0,15,4,0,83,4,10,1,0,0,0,2,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,20780,12848,7932,7477,6782,156,348,67,9,115,455,431,32,214,41,3,113,7,2,0,5,3,0,3,7,0,1,23,2,0,0,6,2,0,2,4,4,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10744,9952,792,75,33,0,33,0,0,42,0,0,42
PLST,NM,620,L6,00,000,0007274,620L600US35008,35008,4,8,35,00897535,008,182980223,905474,8,State House District 8,N,31433,11885,+34.7898677,-106.7704924,LL,35008,31433,24156,17089,491,1213,224,19,5120,7277,7010,153,526,144,16,5966,9,1,1,59,7,3,89,9,23,4,246,17,8,0,23,12,0,154,4,24,1,0,0,1,2,0,0,0,0,0,0,21,5,1,10,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31433,18070,13363,12562,10943,377,867,186,10,179,801,768,113,320,102,14,184,3,1,1,13,6,1,6,4,0,0,31,9,6,0,2,0,0,7,4,0,1,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24271,18939,13607,374,905,175,12,3866,5332,5160,77,332,95,15,4515,6,0,0,33,7,0,59,8,11,2,154,9,2,0,8,6,0,106,3,17,1,0,0,0,2,0,0,0,0,0,0,18,5,0,9,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24271,13063,11208,10627,9348,315,677,156,6,125,581,556,69,226,72,14,148,3,0,0,11,6,0,3,4,0,0,25,9,2,0,2,0,0,6,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11885,11201,684,1777,964,942,0,22,0,813,0,0,813
PLST,NM,620,L6,00,000,0007275,620L600US35009,35009,4,8,35,00897535,009,3405159956,5020507,9,State House District 9,N,27806,10081,+36.0163108,-108.8816601,LL,35009,27806,25970,3032,184,20543,436,20,1755,1836,1733,20,520,31,1,904,97,1,0,3,23,7,119,3,4,0,91,14,1,0,12,5,0,43,3,3,1,0,3,0,1,0,0,1,4,0,0,10,0,0,1,0,3,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,1,1,27806,4656,23150,22512,2112,159,19753,426,18,44,638,606,13,415,27,1,26,88,1,0,0,22,7,3,3,0,0,32,13,1,0,0,4,0,5,3,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20026,18802,2518,157,14346,346,17,1418,1224,1168,13,299,19,1,692,42,1,0,3,15,5,71,3,4,0,50,8,1,0,4,1,0,25,3,3,0,0,1,0,1,0,0,0,3,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,20026,3321,16705,16322,1835,141,13950,340,17,39,383,364,7,247,19,1,25,39,1,0,0,15,5,2,3,0,0,19,8,1,0,0,0,0,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10081,8947,1134,376,76,0,24,52,0,300,0,0,300
PLST,NM,620,L6,00,000,0007276,620L600US35010,35010,4,8,35,00897535,010,143359255,2962856,10,State House District 10,N,29415,10559,+35.0382606,-106.5393143,LL,35010,29415,22209,12646,974,974,365,39,7211,7206,6936,143,302,153,31,6098,23,13,0,49,9,0,90,10,12,3,245,35,11,2,23,8,8,120,6,24,1,1,0,4,2,0,0,0,0,0,0,24,5,0,13,2,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,29415,19710,9705,9003,6958,861,675,327,36,146,702,643,111,183,132,27,124,20,10,0,9,9,0,7,10,0,1,52,17,5,2,1,8,8,1,6,3,0,1,0,0,0,0,0,0,0,0,0,7,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22413,17107,9839,781,760,321,30,5376,5306,5155,85,198,107,21,4602,11,10,0,33,7,0,63,10,6,2,139,20,4,1,9,5,4,81,4,8,0,1,0,2,0,0,0,0,0,0,0,12,2,0,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22413,14437,7976,7492,5793,708,555,300,28,108,484,446,66,121,91,20,99,9,10,0,8,7,0,4,10,0,1,32,11,2,1,1,5,4,1,4,2,0,1,0,0,0,0,0,0,0,0,0,6,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10559,9661,898,1646,144,58,72,14,0,1502,579,693,230
