FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,NM,610,U6,00,000,0005860,610U600US35001,35001,4,8,35,00897535,001,134225064,1463359,1,State Senate District 1,N,47051,18509,+36.7422593,-108.1764120,LU,35001,47051,42109,21291,449,15887,468,30,3984,4942,4708,186,1301,175,29,2716,102,1,0,25,29,13,121,6,0,4,218,51,4,0,20,17,0,104,1,1,1,3,0,1,0,0,0,5,2,0,8,11,0,2,2,0,0,0,3,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,4,47051,10992,36059,34228,18101,363,15096,445,29,194,1831,1762,168,1044,157,27,222,89,1,0,2,29,9,6,6,0,2,63,27,4,0,2,14,0,2,1,0,0,0,0,0,0,0,0,5,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,4,4,34333,31270,16956,333,10678,377,27,2899,3063,2947,88,721,107,20,1849,65,1,0,6,12,8,61,6,0,3,110,20,1,0,7,6,0,58,1,1,1,0,0,0,0,0,0,5,2,0,8,5,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,34333,7147,27186,26056,14951,285,10287,362,26,145,1130,1094,85,628,93,20,177,62,1,0,0,12,4,5,6,0,1,35,11,1,0,2,5,0,2,1,0,0,0,0,0,0,0,0,5,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,18509,16746,1763,1041,594,381,28,185,0,447,156,0,291
PLST,NM,610,U6,00,000,0005861,610U600US35002,35002,4,8,35,00897535,002,3574501359,38474202,2,State Senate District 2,N,43831,18391,+36.7984841,-107.9641294,LU,35002,43831,38596,26981,208,6926,262,26,4193,5235,4999,173,1127,136,23,3362,47,0,0,25,13,10,68,8,4,3,223,49,1,2,12,15,0,120,2,3,1,2,0,11,1,0,1,0,2,0,1,12,0,1,1,0,0,0,2,5,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,43831,11522,32309,30640,23522,150,6455,241,25,247,1669,1604,124,944,104,19,348,36,0,0,3,13,9,1,2,1,0,64,35,1,2,2,15,0,0,1,0,0,0,0,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32561,29157,21114,131,4635,219,19,3039,3404,3286,59,728,53,9,2339,21,0,0,18,9,2,39,2,4,3,110,22,1,2,3,6,0,70,1,0,1,0,0,0,1,0,0,0,2,0,1,8,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32561,7646,24915,23858,18950,106,4415,201,18,168,1057,1027,52,623,47,9,266,15,0,0,1,9,1,1,2,1,0,30,16,1,2,2,6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18391,16204,2187,198,191,0,0,191,0,7,0,0,7
PLST,NM,610,U6,00,000,0005862,610U600US35003,35003,4,8,35,00897535,003,6953176045,11761267,3,State Senate District 3,N,44802,15671,+36.3843218,-108.7010479,LU,35003,44802,42423,4800,203,34984,436,27,1973,2379,2240,39,718,42,1,1077,149,1,1,4,36,17,148,2,5,0,127,29,1,0,13,14,0,46,10,3,1,0,3,0,0,0,0,2,5,0,0,9,0,0,0,0,2,2,2,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0,1,1,44802,5344,39458,38481,3748,166,34056,431,25,55,977,918,28,594,39,1,57,134,1,1,2,35,17,6,2,1,0,53,27,1,0,0,11,0,5,3,0,1,0,3,0,0,0,0,2,0,0,0,6,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32811,31268,3919,165,25252,340,18,1574,1543,1477,13,436,29,1,817,54,1,1,3,24,10,81,2,5,0,61,11,1,0,4,2,0,23,10,3,0,0,1,0,0,0,0,2,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,32811,3801,29010,28453,3128,144,24781,337,17,46,557,535,7,365,28,1,40,50,1,1,1,23,10,5,2,1,0,21,9,1,0,0,0,0,5,3,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15671,14131,1540,414,82,4,0,78,0,332,30,0,302
PLST,NM,610,U6,00,000,0005863,610U600US35004,35004,4,8,35,00897535,004,10507665032,16162279,4,State Senate District 4,N,50253,18161,+35.3969901,-108.3936946,LU,35004,50253,47374,7661,260,36793,667,20,1973,2879,2692,74,837,77,5,1263,167,4,2,18,38,24,170,6,6,1,165,22,5,0,10,14,0,88,3,7,3,3,0,1,3,1,0,3,2,0,0,18,0,0,2,1,2,0,4,1,0,6,0,0,1,0,1,2,0,2,0,0,0,0,2,2,50253,6052,44201,43046,6166,235,35878,657,16,94,1155,1101,57,676,68,3,59,154,3,2,7,35,22,9,6,0,0,48,20,2,0,1,11,0,1,3,1,0,2,0,1,3,0,0,3,0,0,0,5,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,36679,34866,6353,227,26262,504,16,1504,1813,1705,37,446,51,5,944,70,4,2,13,17,17,89,6,4,0,93,16,2,0,2,8,0,45,3,7,3,2,0,0,3,0,0,0,2,0,0,11,0,0,2,1,2,0,3,0,0,1,0,0,1,0,1,2,0,2,0,0,0,0,2,2,36679,4175,32504,31850,5286,209,25771,497,13,74,654,616,24,373,45,3,53,63,3,2,3,17,17,7,6,0,0,34,16,2,0,1,5,0,1,3,1,0,2,0,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,18161,15930,2231,981,837,761,24,52,0,144,0,0,144
PLST,NM,610,U6,00,000,0005864,610U600US35005,35005,4,8,35,00897535,005,7492884476,51400343,5,State Senate District 5,N,50828,24085,+36.5794621,-106.3472425,LU,35005,50828,38738,23607,322,3998,1319,23,9469,12090,11686,98,588,250,23,10420,38,16,5,48,10,10,162,3,8,7,379,36,4,0,37,15,6,249,0,14,3,2,0,1,0,5,1,0,4,1,1,24,2,0,8,1,8,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,50828,29589,21239,20147,14959,274,3351,1279,19,265,1092,1041,76,369,244,21,253,29,16,2,3,10,7,6,0,0,5,43,19,3,0,0,13,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39979,30774,19127,273,2897,1041,20,7416,9205,8918,64,436,131,18,8063,17,6,1,29,7,8,123,0,8,7,273,25,3,0,18,13,5,192,0,5,1,2,0,0,0,5,0,0,2,1,1,14,2,0,5,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39979,22643,17336,16576,12584,250,2507,1015,16,204,760,722,55,297,127,18,181,12,6,1,2,7,6,5,0,0,5,34,12,3,0,0,11,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24085,20854,3231,264,102,48,5,49,0,162,0,0,162
PLST,NM,610,U6,00,000,0005865,610U600US35006,35006,4,8,35,00897535,006,5983258241,3553756,6,State Senate District 6,N,51900,28169,+36.4291755,-105.7373514,LU,35006,51900,39974,27776,237,4090,416,37,7418,11926,11431,162,777,209,26,9978,30,5,2,24,8,4,171,10,18,7,466,48,15,1,23,6,5,313,9,25,9,0,1,1,0,4,0,0,6,0,0,22,2,0,5,3,2,0,5,3,1,0,0,0,0,0,1,4,1,0,2,0,0,1,3,3,51900,26878,25022,23659,19495,188,3237,386,15,338,1363,1294,125,481,200,26,380,27,5,2,13,7,4,11,8,2,3,58,22,10,1,3,0,5,2,9,5,0,0,0,1,0,0,0,0,0,0,0,10,2,0,2,0,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,42208,33041,23526,177,2991,355,30,5962,9167,8864,105,533,121,18,7893,18,1,2,14,7,1,134,8,8,1,289,12,10,0,17,3,2,221,1,10,4,0,0,1,0,4,0,0,4,0,0,8,2,0,4,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,2,0,0,0,3,3,42208,20782,21426,20425,17188,146,2458,329,15,289,1001,966,86,388,116,18,305,15,1,2,10,6,1,10,8,0,0,32,11,10,0,3,0,2,0,1,4,0,0,0,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28169,22712,5457,248,177,55,13,109,0,71,0,0,71
PLST,NM,610,U6,00,000,0005866,610U600US35007,35007,4,8,35,00897535,007,19942649625,25504671,7,State Senate District 7,N,48881,22801,+36.3275583,-103.2836344,LU,35007,48881,40809,30268,2083,671,717,45,7025,8072,7749,463,745,271,38,5908,22,31,4,141,7,3,72,21,16,7,289,46,16,1,57,13,0,86,17,30,2,2,2,6,6,2,0,0,0,0,3,26,1,2,7,0,5,0,2,1,2,4,2,0,0,0,0,8,3,5,0,0,0,0,0,0,48881,20915,27966,26235,23214,1819,287,656,36,223,1731,1628,375,526,239,31,361,15,29,4,20,3,3,1,18,3,0,90,36,15,0,3,13,0,0,8,0,2,2,2,1,6,2,0,0,0,0,0,10,0,2,1,0,4,0,1,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,36462,31011,23370,1519,518,574,39,4991,5451,5276,206,564,144,16,4149,15,19,4,64,3,0,54,21,10,7,153,30,6,1,18,7,0,59,12,7,2,2,2,2,0,2,0,0,0,0,3,16,1,1,3,0,5,0,2,0,2,2,0,0,0,0,0,6,2,4,0,0,0,0,0,0,36462,14020,22442,21244,18891,1404,225,537,30,157,1198,1135,191,453,134,14,268,12,19,4,17,1,0,1,18,3,0,55,26,6,0,0,7,0,0,7,0,2,2,2,1,0,2,0,0,0,0,0,6,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,22801,19472,3329,833,781,585,11,185,0,52,10,0,42
PLST,NM,610,U6,00,000,0005867,610U600US35008,35008,4,8,35,00897535,008,38266034169,105211508,8,State Senate District 8,N,44769,28534,+35.7892119,-104.5562427,LU,35008,44769,33075,24135,455,898,294,22,7271,11694,11337,115,553,82,14,10330,11,8,2,57,5,4,115,17,17,7,308,45,6,2,13,11,0,158,8,37,14,0,2,2,0,2,0,1,2,0,5,37,3,3,15,5,1,0,3,5,1,0,1,0,0,0,0,12,4,3,2,0,2,1,0,0,44769,29066,15703,14837,13571,353,457,264,15,177,866,788,81,306,73,14,273,6,6,1,11,2,0,4,11,0,0,61,25,6,0,1,5,0,5,8,2,2,0,2,2,0,2,0,1,0,0,0,13,0,1,3,5,1,0,2,0,0,0,1,0,0,0,0,4,0,3,0,0,0,1,0,0,36424,27260,19960,384,730,252,20,5914,9164,8926,59,429,46,10,8201,7,0,2,47,2,0,95,12,9,7,209,29,3,0,11,4,0,119,7,18,9,0,2,1,0,2,0,1,0,0,3,19,0,3,9,5,1,0,0,0,1,0,0,0,0,0,0,10,4,3,1,0,2,0,0,0,36424,22613,13811,13166,12055,334,380,234,13,150,645,599,48,246,42,10,224,5,0,1,11,0,0,1,11,0,0,35,15,3,0,0,0,0,1,7,1,2,0,2,1,0,2,0,1,0,0,0,8,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,28534,19229,9305,2277,1535,1136,23,181,195,742,585,0,157
PLST,NM,610,U6,00,000,0005868,610U600US35009,35009,4,8,35,00897535,009,380929328,1882082,9,State Senate District 9,N,52710,22396,+35.2939184,-106.4878193,LU,35009,52710,42633,32333,1052,2249,1105,70,5824,10077,9513,286,843,354,27,7658,49,27,0,60,17,6,117,29,33,7,534,65,23,2,57,16,9,268,23,46,11,3,4,3,1,0,1,0,0,1,1,23,2,0,15,0,0,1,4,0,0,1,0,0,0,0,0,7,0,5,0,1,0,1,0,0,52710,20811,31899,30237,26150,935,1800,1050,42,260,1662,1543,226,564,291,18,311,40,26,0,17,8,6,4,26,6,0,116,50,23,2,2,8,5,5,19,1,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42530,35150,27237,781,1669,867,53,4543,7380,6994,168,576,180,12,5828,27,13,0,28,8,6,97,21,23,7,362,36,17,0,26,9,2,214,17,27,4,3,1,3,0,0,1,0,0,1,1,17,0,0,13,0,0,0,3,0,0,1,0,0,0,0,0,7,0,5,0,1,0,1,0,0,42530,15279,27251,26102,22926,731,1352,835,34,224,1149,1077,155,418,158,9,250,24,13,0,11,6,6,3,19,5,0,72,28,17,0,1,5,2,5,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22396,21157,1239,646,255,0,0,255,0,391,0,0,391
PLST,NM,610,U6,00,000,0005869,610U600US35010,35010,4,8,35,00897535,010,210716900,1397519,10,State Senate District 10,N,52958,22438,+35.2407151,-106.8199961,LU,35010,52958,42036,29371,1737,3137,1437,80,6274,10922,10333,355,832,497,47,8168,97,28,3,92,21,2,129,16,36,10,559,73,25,3,82,32,4,255,20,49,4,2,0,7,0,1,1,1,0,0,0,24,1,0,15,2,1,3,2,0,0,0,0,0,0,0,0,5,0,4,0,0,1,0,1,1,52958,23416,29542,27710,21915,1472,2629,1333,63,298,1832,1708,269,533,397,42,308,75,24,3,6,19,2,7,13,10,0,119,47,20,3,5,15,3,1,15,4,1,2,0,0,0,1,1,1,0,0,0,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,41643,33650,23854,1327,2376,1148,66,4879,7993,7631,189,569,294,40,6258,70,22,1,46,8,1,90,12,22,9,342,36,16,1,45,14,1,191,12,18,4,2,0,1,0,1,0,0,0,0,0,15,0,0,11,1,1,1,1,0,0,0,0,0,0,0,0,4,0,3,0,0,1,0,1,1,41643,17123,24520,23251,18660,1193,2022,1091,59,226,1269,1194,166,397,250,37,233,56,19,1,3,7,1,3,11,10,0,71,30,13,1,4,7,0,0,10,2,1,2,0,0,0,1,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,22438,21453,985,539,155,0,22,133,0,384,278,0,106
