FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,SLDU18,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,OR,610,U6,00,000,0007670,610U600US41001,41001,4,9,41,01155107,001,14676931089,1195325416,1,State Senate District 1,N,131782,61721,+42.7646345,-123.8634254,LU,41001,131782,120705,113727,478,2472,1336,168,2524,11077,10433,506,4877,869,242,3677,40,19,1,19,20,21,52,51,24,15,583,129,23,2,28,94,29,149,77,34,5,2,0,1,0,1,2,3,3,0,1,47,5,1,8,5,0,0,14,6,1,6,0,1,0,0,0,10,5,0,0,1,4,0,4,4,131782,7961,123821,115533,110873,450,2138,1301,156,615,8288,7902,451,4500,800,227,1754,34,17,1,13,18,13,8,42,21,3,353,117,22,1,17,69,25,18,69,11,1,1,0,0,0,0,0,1,0,0,1,25,5,0,1,5,0,0,14,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0,3,3,108464,100629,95090,393,1918,1152,141,1935,7835,7460,260,3625,481,117,2807,24,10,0,14,15,16,37,35,13,6,339,65,10,1,14,41,16,113,43,22,4,2,0,0,0,1,2,2,2,0,1,29,4,0,5,5,0,0,7,2,1,4,0,1,0,0,0,5,2,0,0,1,2,0,2,2,108464,5384,103080,97119,93313,376,1679,1123,132,496,5961,5757,240,3426,458,111,1412,20,10,0,8,14,8,8,30,11,1,184,58,10,0,8,31,12,14,39,8,1,1,0,0,0,0,0,1,0,0,1,17,4,0,1,5,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,61721,55566,6155,2094,765,228,40,429,68,1329,49,15,1265
PLST,OR,610,U6,00,000,0007671,610U600US41002,41002,4,9,41,01155107,002,2602947683,9171522,2,State Senate District 2,N,139727,59080,+42.2964285,-123.3259315,LU,41002,139727,126089,116520,762,1798,1412,285,5312,13638,12745,782,4547,1200,280,5599,21,24,13,21,23,3,124,73,30,5,809,155,20,1,53,75,34,252,127,53,6,3,0,8,4,8,0,6,0,0,4,81,10,7,43,0,0,0,13,8,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,139727,14636,125091,116420,111962,680,1362,1381,277,758,8671,8211,699,4070,1128,261,1894,18,15,13,6,17,3,3,66,15,3,423,123,16,1,21,57,34,28,114,16,0,0,0,4,2,1,0,6,0,0,0,36,10,7,9,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,111566,102356,95091,602,1403,1194,225,3841,9210,8694,341,3420,651,161,3890,13,17,5,11,10,0,86,62,22,5,460,95,11,1,36,38,15,147,60,33,6,0,0,8,3,1,0,2,0,0,4,54,7,7,29,0,0,0,3,8,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,111566,9658,101908,95889,92300,550,1071,1179,218,571,6019,5754,326,3152,615,148,1404,10,15,5,4,4,0,1,56,11,3,241,75,8,1,15,28,15,23,57,11,0,0,0,4,1,1,0,2,0,0,0,23,7,7,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,59080,55734,3346,1861,899,234,25,640,0,962,0,0,962
PLST,OR,610,U6,00,000,0007672,610U600US41003,41003,4,9,41,01155107,003,2596119746,17073363,3,State Senate District 3,N,139191,61860,+42.1405487,-122.7801595,LU,41003,139191,123171,109192,1292,1709,2542,665,7771,16020,14986,1068,3634,1427,278,8164,41,20,9,74,30,8,91,75,60,7,942,183,35,1,67,121,16,288,159,54,13,0,0,0,1,1,0,2,0,0,1,82,12,0,38,1,0,3,7,11,6,3,0,1,0,0,0,10,6,0,0,2,2,0,0,0,139191,20273,118918,110244,103974,1182,1014,2471,612,991,8674,8108,967,3233,1318,239,2126,36,17,9,22,25,7,4,71,32,2,522,161,28,0,19,113,16,21,142,15,4,0,0,0,1,0,0,2,0,0,0,40,11,0,15,1,0,2,7,4,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,111504,100777,90293,965,1298,2111,492,5618,10727,10105,544,2698,827,166,5566,37,12,1,46,21,4,73,62,42,6,564,109,10,0,35,60,5,211,102,22,9,0,0,0,1,0,0,0,0,0,0,53,9,0,27,0,0,2,5,4,2,3,0,1,0,0,0,5,3,0,0,1,1,0,0,0,111504,13209,98295,92222,87195,910,806,2062,457,792,6073,5741,508,2483,771,153,1659,32,10,1,17,16,4,4,59,22,2,303,95,10,0,15,58,5,18,90,7,4,0,0,0,1,0,0,0,0,0,0,27,8,0,13,0,0,1,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,61860,57867,3993,2817,826,285,26,515,0,1991,1183,0,808
PLST,OR,610,U6,00,000,0007673,610U600US41004,41004,4,9,41,01155107,004,16139528745,167874360,4,State Senate District 4,N,134294,60421,+43.6214580,-122.7026247,LU,41004,134294,121375,112715,1099,1636,2598,196,3131,12919,12006,817,4053,1546,276,4919,65,30,12,56,25,7,71,78,45,6,824,175,63,9,58,101,38,205,108,36,20,5,0,2,1,0,0,0,0,0,3,75,11,5,38,3,5,0,7,1,0,3,1,1,0,0,0,10,0,3,3,0,4,0,4,4,134294,9248,125046,115738,109837,1030,1294,2540,177,860,9308,8788,751,3694,1457,248,2404,47,28,11,23,21,5,7,71,20,1,479,144,49,9,16,87,29,19,98,18,6,2,0,0,1,0,0,0,0,0,1,33,7,3,11,3,0,0,7,0,0,2,0,0,0,0,0,7,0,3,2,0,2,0,1,1,110609,101441,94419,905,1279,2266,145,2427,9168,8632,455,3123,990,150,3626,43,24,7,42,14,6,50,66,30,6,486,114,28,1,32,50,18,139,75,18,10,0,0,0,1,0,0,0,0,0,0,41,7,1,19,3,2,0,6,1,0,0,1,1,0,0,0,5,0,3,1,0,1,0,4,4,110609,6399,104210,97410,92470,854,1024,2216,130,716,6800,6486,428,2898,936,147,1890,34,24,6,17,14,4,6,64,17,1,288,101,20,1,15,43,14,13,68,7,5,0,0,0,1,0,0,0,0,0,0,22,4,0,9,3,0,0,6,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,1,60421,56093,4328,1129,561,0,22,529,10,568,0,0,568
PLST,OR,610,U6,00,000,0007674,610U600US41005,41005,4,9,41,01155107,005,8612858235,1753186064,5,State Senate District 5,N,136002,76025,+44.4438637,-123.9071555,LU,41005,136002,123667,112038,854,4357,1790,261,4367,12335,11618,584,4886,985,269,4493,43,26,18,24,34,33,77,92,29,25,655,134,29,20,24,113,25,161,100,14,13,2,0,3,5,4,1,4,2,0,1,40,15,2,10,2,3,0,4,1,0,2,1,0,0,0,0,17,7,7,0,1,2,0,5,5,136002,11185,124817,116078,108688,811,3841,1748,246,744,8739,8297,549,4517,928,244,1803,36,25,16,11,24,27,18,85,9,5,406,124,28,16,11,90,17,21,86,2,1,1,0,0,4,3,0,0,1,0,1,26,9,0,9,2,1,0,4,0,0,0,1,0,0,0,0,8,4,3,0,1,0,0,2,2,113397,104717,95964,719,3174,1579,208,3073,8680,8270,299,3631,568,145,3315,26,18,6,18,32,30,59,82,27,14,379,91,8,18,5,62,14,106,49,9,6,1,0,2,5,1,1,0,0,0,1,16,7,0,4,2,1,0,1,0,0,0,1,0,0,0,0,10,6,1,0,1,2,0,5,5,113397,7479,105918,99554,93712,693,2832,1545,196,576,6364,6106,288,3447,554,133,1480,25,17,4,10,22,24,12,76,9,5,240,83,7,14,3,56,13,13,44,2,0,0,0,0,4,0,0,0,0,0,1,11,3,0,3,2,1,0,1,0,0,0,1,0,0,0,0,5,4,0,0,1,0,0,2,2,76025,58724,17301,3958,2655,2194,73,388,0,1303,334,30,939
PLST,OR,610,U6,00,000,0007675,610U600US41006,41006,4,9,41,01155107,006,2139868829,11733047,6,State Senate District 6,N,135585,54463,+44.2180677,-122.9357895,LU,41006,135585,122073,109490,1372,1660,3144,403,6004,13512,12553,1123,3952,1858,253,4951,54,46,14,61,23,11,68,96,33,10,880,231,51,7,64,73,32,186,164,55,5,2,3,3,0,0,0,1,0,0,3,72,19,5,19,4,2,0,18,3,0,1,1,0,0,0,0,6,4,0,1,0,1,0,1,1,135585,14443,121142,112080,105337,1267,1259,3058,375,784,9062,8520,1033,3598,1765,227,1629,40,43,12,28,19,9,3,95,15,4,498,184,38,7,16,56,19,17,143,14,1,0,3,0,0,0,0,0,0,0,0,40,14,3,3,4,0,0,16,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,109509,100236,90400,1061,1300,2790,334,4351,9273,8710,568,2949,1170,154,3542,47,29,9,51,17,7,53,78,28,8,525,144,19,3,28,37,21,130,97,39,3,0,1,0,0,0,0,1,0,0,2,34,9,1,10,4,0,0,5,3,0,1,1,0,0,0,0,3,1,0,1,0,1,0,1,1,109509,9708,99801,93426,87751,1003,1018,2732,311,611,6375,6056,551,2743,1130,145,1277,34,29,8,23,16,5,3,77,13,2,301,125,12,3,8,29,14,10,88,11,0,0,1,0,0,0,0,0,0,0,0,17,8,0,2,4,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,54463,52108,2355,6463,398,20,30,348,0,6065,5240,0,825
PLST,OR,610,U6,00,000,0007676,610U600US41007,41007,4,9,41,01155107,007,301188455,3301704,7,State Senate District 7,N,142227,61330,+44.1652677,-123.1949086,LU,41007,142227,127308,112106,2269,1846,4094,452,6541,14919,13671,1366,4114,2081,327,5209,123,45,20,83,19,6,123,104,35,16,1147,284,86,7,67,131,34,272,196,40,18,1,1,5,0,0,0,1,0,0,4,82,10,10,26,6,7,0,15,5,0,1,0,2,0,0,0,18,10,4,2,0,2,0,1,1,142227,15980,126247,116455,107824,2121,1219,4001,429,861,9792,9068,1238,3638,1962,295,1589,101,43,20,32,18,5,4,103,9,11,670,214,62,7,24,111,22,36,182,9,1,1,1,0,0,0,0,0,0,0,0,39,6,1,10,6,1,0,14,0,0,1,0,0,0,0,0,14,10,4,0,0,0,0,1,1,115411,105445,93666,1802,1462,3486,372,4657,9966,9305,684,3111,1164,188,3728,89,38,19,55,12,5,95,74,27,16,601,147,29,2,27,77,14,178,99,18,7,1,1,0,0,0,0,1,0,0,0,44,3,7,15,4,4,0,4,5,0,0,0,2,0,0,0,15,7,4,2,0,2,0,1,1,115411,10825,104586,97947,90826,1712,985,3417,353,654,6639,6257,623,2835,1111,172,1256,76,36,19,17,12,4,3,73,9,11,357,110,24,2,14,66,7,32,95,5,0,1,1,0,0,0,0,0,0,0,0,13,1,0,5,4,0,0,3,0,0,0,0,0,0,0,0,11,7,4,0,0,0,0,1,1,61330,58781,2549,5428,750,274,68,259,149,4678,0,0,4678
PLST,OR,610,U6,00,000,0007677,610U600US41008,41008,4,9,41,01155107,008,642487525,9299958,8,State Senate District 8,N,141765,59116,+44.6040016,-123.1266821,LU,41008,141765,127513,110931,1385,1590,7161,442,6004,14252,13346,941,3163,2178,316,6340,40,37,13,55,4,8,120,92,34,5,831,154,48,8,79,83,7,189,183,53,7,2,7,2,5,3,0,1,0,0,0,69,11,4,21,5,1,0,6,15,0,4,0,2,0,0,0,5,3,2,0,0,0,0,1,1,141765,15945,125820,117204,106597,1292,1016,7097,417,785,8616,8130,868,2877,2074,284,1809,28,36,8,23,2,8,8,85,20,0,466,112,47,8,27,56,6,8,166,18,1,2,7,0,5,3,0,0,0,0,0,19,7,1,1,5,0,0,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,115838,105934,92512,1106,1202,6384,364,4366,9904,9314,540,2363,1409,179,4502,27,34,6,42,1,4,98,85,22,2,531,99,24,1,46,46,5,143,128,29,4,1,0,1,4,0,0,0,0,0,0,53,4,1,21,3,1,0,6,11,0,4,0,2,0,0,0,5,3,2,0,0,0,0,1,1,115838,10904,104934,98837,89714,1048,782,6330,355,608,6097,5785,504,2184,1349,165,1403,19,34,3,21,1,4,4,79,15,0,301,78,23,1,20,34,5,8,113,13,1,1,0,0,4,0,0,0,0,0,0,10,0,1,1,3,0,0,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,59116,55759,3357,7346,766,224,110,427,5,6580,5453,0,1127
PLST,OR,610,U6,00,000,0007678,610U600US41009,41009,4,9,41,01155107,009,9415806926,61320833,9,State Senate District 9,N,140064,54147,+44.7674181,-122.3400419,LU,41009,140064,127308,115330,586,1816,1407,260,7909,12756,12086,563,3912,967,261,6076,37,10,18,22,15,6,100,67,25,7,608,116,28,12,31,70,16,195,98,22,7,4,2,1,1,1,0,1,2,0,1,48,6,6,13,2,0,1,14,5,0,0,0,1,0,0,0,13,4,5,0,4,0,0,1,1,140064,17019,123045,115472,111412,534,1196,1353,232,745,7573,7218,499,3599,890,245,1837,30,8,16,4,13,3,2,62,9,1,326,90,26,11,8,53,14,18,96,1,1,3,2,0,1,1,0,1,0,0,0,23,3,5,2,1,0,0,12,0,0,0,0,0,0,0,0,5,2,0,0,3,0,0,1,1,107798,99340,90945,388,1378,1150,177,5302,8458,8082,258,2852,509,147,4128,22,4,10,17,10,4,58,49,11,3,351,57,17,2,21,37,10,121,61,11,6,4,0,0,1,1,0,1,0,0,1,18,3,2,11,1,0,0,0,0,0,0,0,1,0,0,0,6,2,3,0,1,0,0,1,1,107798,10741,97057,91818,88687,357,945,1122,157,550,5239,5039,243,2701,477,140,1381,19,3,10,3,9,1,1,45,6,0,193,50,17,1,5,27,10,14,61,1,1,3,0,0,1,1,0,1,0,0,0,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,54147,50846,3301,1472,806,0,0,805,1,666,57,0,609
PLST,OR,610,U6,00,000,0007679,610U600US41010,41010,4,9,41,01155107,010,319829579,5214006,10,State Senate District 10,N,150059,57547,+44.8849411,-123.0344329,LU,41010,150059,133590,113413,1906,2040,4271,1184,10776,16469,15290,1213,3494,1876,387,7775,36,34,7,89,21,9,146,133,56,14,1072,215,55,9,75,124,21,288,190,64,5,2,0,5,2,3,0,1,9,0,4,98,18,3,43,2,0,0,20,9,1,1,1,0,0,0,0,9,1,5,0,3,0,0,0,0,150059,25143,124916,116058,106816,1781,1407,4174,1136,744,8858,8248,1092,3166,1754,365,1620,29,30,7,22,16,9,7,118,11,2,568,173,48,8,10,109,16,22,161,9,2,2,0,3,1,3,0,0,1,0,0,39,9,2,6,2,0,0,19,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,115510,105047,90379,1408,1508,3410,797,7545,10463,9831,518,2535,1018,221,5169,25,22,2,45,16,7,106,109,27,11,572,107,11,1,36,78,16,183,106,15,4,2,0,1,1,2,0,1,6,0,2,52,8,2,30,0,0,0,6,3,1,1,1,0,0,0,0,8,1,4,0,3,0,0,0,0,115510,16082,99428,93672,86594,1339,1071,3349,766,553,5756,5421,499,2373,964,210,1185,21,21,2,9,15,7,5,104,4,2,309,89,10,0,6,67,13,16,98,3,2,2,0,0,1,2,0,0,0,0,0,23,8,2,6,0,0,0,6,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,57547,54924,2623,5105,2437,1946,60,379,52,2668,1583,0,1085
